역명,출구개수,월별총합계(21.7~23.12),집계일수,일일평균하차인원,평균값을 바탕으로 수치,매핑개수,매핑기준점수,총점,화장실개수,앨리베이터개수
제기동,6,5533336,652,8487,9,5,0,9,26,
청량리,6,4820232,652,7393,8,18,1,9,7,
종로5가,8,4797434,652,7358,8,14,1,9,20,
연신내,7,4702577,655,7180,8,3,0,8,36,
혜화,4,2513413,652,3855,4,295,4,8,22,
안국,6,1916399,652,2939,3,314,5,8,21,
선릉,10,4042090,652,6200,7,8,0,7,27,
창동,2,3778818,652,5796,6,13,1,7,32,
회현,7,3745184,652,5744,6,19,1,7,22,
수유,8,3490469,652,5353,6,12,1,7,21,
신도림,6,3450350,652,5292,6,14,1,7,67,
양재,12,2928944,652,4492,5,56,2,7,14,
종로3가,16,8219997,1956,4202,5,65,2,7,99,
압구정,6,2687321,652,4122,5,76,2,7,22,
신림,8,3736463,652,5731,6,5,0,6,31,
미아사거리,8,3314242,652,5083,6,3,0,6,27,
역삼,7,2977123,652,4566,5,22,1,6,21,
강남,12,2805648,652,4303,5,12,1,6,20,
홍제,6,2646270,652,4059,5,10,1,6,34,
남부터미널,6,2381715,652,3653,4,60,2,6,20,
경복궁,7,1736346,652,2663,3,122,3,6,27,
서울대입구,8,3232353,652,4958,5,4,0,5,22,
구로디지털단지,8,3216069,652,4933,5,4,0,5,24,
쌍문,6,3065303,652,4701,5,7,0,5,23,
총신대입구,14,3064069,652,4699,5,3,0,5,19,
까치산,8,2944943,652,4517,5,2,0,5,34,
봉천,8,2687821,652,4122,5,6,0,5,17,
사당,14,5310346,1304,4072,5,3,0,5,105,
화곡,8,2621923,652,4021,5,8,0,5,24,
종각,8,2452998,652,3762,4,41,1,5,37,
잠실,16,4717228,1304,3618,4,19,1,5,64,
고속터미널,16,4707678,1304,3610,4,17,1,5,13,
충무로,8,2285583,655,3489,4,12,1,5,29,
교대,14,4536492,1304,3479,4,15,1,5,53,
신촌,8,2258649,652,3464,4,13,1,5,26,
삼성,6,2001967,652,3071,4,47,1,5,30,
홍대입구,9,1626002,652,2494,3,72,2,5,40,
청담,6,1472156,652,2258,3,58,2,5,32,
동대문,10,5003826,1304,3837,4,5,0,4,42,
신대방,6,2316646,652,3553,4,3,0,4,28,
길음,8,2198551,652,3372,4,7,0,4,28,
구파발,8,2168864,652,3326,4,7,0,4,16,
응암,6,2160508,652,3314,4,2,0,4,16,
잠실새내,10,2158536,652,3311,4,1,0,4,27,
상계,6,2147553,652,3294,4,8,0,4,22,
강변,4,2117118,652,3247,4,3,0,4,31,
미아,8,2101773,652,3224,4,6,0,4,16,
노원,14,3995018,1304,3064,4,4,0,4,49,
낙성대,8,1982356,652,3040,4,9,0,4,27,
구의,4,1961482,652,3008,4,3,0,4,17,
성수,8,1799822,652,2760,3,20,1,4,24,
을지로입구,7,1700800,652,2609,3,34,1,4,25,
성신여대입구,6,1576123,652,2417,3,18,1,4,25,
광화문,8,1420899,652,2179,3,40,1,4,18,
한성대입구,6,1370954,652,2103,3,41,1,4,18,
건대입구,8,2666460,1304,2045,3,43,1,4,68,
공릉,6,1313398,652,2014,3,23,1,4,17,
암사,8,1953384,652,2996,3,3,0,3,19,
수서,10,1948828,652,2989,3,5,0,3,21,
천호,10,3896092,1304,2988,3,3,0,3,38,
하계,4,1934672,652,2967,3,6,0,3,23,
강동,6,1924053,652,2951,3,1,0,3,30,
신대방삼거리,8,1760593,652,2700,3,1,0,3,16,
불광,8,3476424,1304,2666,3,9,0,3,37,
장한평,8,1723798,652,2644,3,7,0,3,20,
아차산,6,1717630,652,2634,3,6,0,3,21,
동묘앞,8,3336210,1304,2558,3,9,0,3,45,
문래,6,1633916,652,2506,3,5,0,3,28,
새절,4,1634187,652,2506,3,4,0,3,16,
마들,6,1624566,652,2492,3,2,0,3,28,
오목교,6,1606204,652,2464,3,2,0,3,15,
목동,6,1596311,652,2448,3,2,0,3,16,
망원,4,1591417,652,2441,3,7,0,3,15,
서초,8,1582653,652,2427,3,5,0,3,23,
중계,4,1540588,652,2363,3,3,0,3,26,
대림,12,3007554,1304,2306,3,9,0,3,52,
가산디지털단지,8,1498115,652,2298,3,9,0,3,22,
방배,8,1479823,652,2270,3,6,0,3,20,
길동,4,1468066,652,2252,3,4,0,3,18,
답십리,8,1449804,652,2224,3,7,0,3,24,
석계,8,1444149,652,2215,3,7,0,3,34,
녹번,4,1441623,652,2211,3,3,0,3,24,
이수 (총신대입구),14,1441203,652,2210,3,4,0,3,42,
고덕,8,1428170,652,2190,3,2,0,3,14,
내방,6,1396406,652,2142,3,6,0,3,21,
명일,4,1385948,652,2126,3,2,0,3,19,
당고개,4,1381400,652,2119,3,2,0,3,34,
신풍,8,1338816,652,2053,3,1,0,3,15,
일원,6,1332349,652,2043,3,1,0,3,18,
신사,6,1330919,652,2041,3,7,0,3,20,
증산,4,1330913,652,2041,3,3,0,3,26,
영등포시장,6,1327678,652,2036,3,2,0,3,21,
장승배기,6,1324311,652,2031,3,2,0,3,20,
굽은다리,4,1315234,652,2017,3,1,0,3,16,
월곡,4,1314005,652,2015,3,5,0,3,20,
