06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,수송일자,요일,일일합계,승하차구분,역명,역번호,연번,날짜
45,20,30,39,63,88,79,98,69,114,170,125,95,100,62,40.0,29.0,31.0,4.0,,2021-07-01,목요일,1301,승차,강남구청,2732,467,2021-12-31
38,15,38,37,57,83,98,81,79,107,191,129,108,97,72,32.0,29.0,35.0,5.0,,2021-07-02,금요일,1331,승차,강남구청,2732,1027,2021-12-31
36,18,21,36,68,71,80,82,60,86,87,67,50,36,36,31.0,21.0,15.0,4.0,,2021-07-03,토요일,905,승차,강남구청,2732,1587,2021-12-31
29,13,23,12,32,21,58,46,70,40,41,39,34,26,19,16.0,18.0,18.0,3.0,,2021-07-04,일요일,558,승차,강남구청,2732,2147,2021-12-31
49,14,27,45,62,97,110,114,110,144,177,151,121,84,57,37.0,50.0,28.0,3.0,,2021-07-05,월요일,1480,승차,강남구청,2732,2707,2021-12-31
43,12,34,37,74,96,116,96,78,135,209,125,95,98,51,43.0,37.0,26.0,5.0,,2021-07-06,화요일,1410,승차,강남구청,2732,3267,2021-12-31
44,18,30,39,65,90,83,102,89,122,176,107,112,92,62,38.0,42.0,28.0,3.0,,2021-07-07,수요일,1342,승차,강남구청,2732,3827,2021-12-31
38,15,28,36,62,69,104,85,71,108,182,124,115,91,54,39.0,52.0,29.0,3.0,,2021-07-08,목요일,1305,승차,강남구청,2732,4387,2021-12-31
39,21,28,34,70,74,106,79,74,136,164,139,115,78,85,36.0,36.0,30.0,7.0,,2021-07-09,금요일,1351,승차,강남구청,2732,4947,2021-12-31
31,10,26,40,39,57,68,79,65,59,44,58,45,50,28,23.0,23.0,16.0,1.0,,2021-07-10,토요일,762,승차,강남구청,2732,5507,2021-12-31
36,13,18,23,31,26,37,42,41,25,36,42,25,18,12,9.0,20.0,8.0,1.0,,2021-07-11,일요일,463,승차,강남구청,2732,6067,2021-12-31
40,15,36,30,75,88,97,83,78,118,183,133,118,82,47,23.0,28.0,25.0,4.0,,2021-07-12,월요일,1303,승차,강남구청,2732,6627,2021-12-31
41,16,26,40,45,92,81,73,72,120,154,119,88,106,53,39.0,24.0,19.0,1.0,,2021-07-13,화요일,1209,승차,강남구청,2732,7187,2021-12-31
36,21,41,40,58,82,76,88,63,97,144,105,116,99,63,33.0,30.0,17.0,0.0,,2021-07-14,수요일,1209,승차,강남구청,2732,7747,2021-12-31
42,22,32,38,60,67,76,74,74,90,165,123,102,87,55,36.0,30.0,14.0,1.0,,2021-07-15,목요일,1188,승차,강남구청,2732,8307,2021-12-31
39,20,31,35,55,81,80,60,84,106,167,100,106,87,69,26.0,16.0,20.0,2.0,,2021-07-16,금요일,1184,승차,강남구청,2732,8867,2021-12-31
43,19,22,32,46,60,71,71,39,44,32,55,40,35,36,15.0,17.0,19.0,2.0,,2021-07-17,토요일,698,승차,강남구청,2732,9427,2021-12-31
34,12,26,23,29,20,19,20,22,29,27,30,24,18,27,14.0,7.0,9.0,1.0,,2021-07-18,일요일,391,승차,강남구청,2732,9987,2021-12-31
40,14,27,45,62,94,79,98,71,118,160,115,119,75,51,30.0,21.0,23.0,0.0,,2021-07-19,월요일,1242,승차,강남구청,2732,10547,2021-12-31
38,17,31,35,57,87,84,89,71,129,157,122,92,106,54,32.0,24.0,19.0,1.0,,2021-07-20,화요일,1245,승차,강남구청,2732,11107,2021-12-31
45,19,31,46,57,82,77,69,62,109,140,114,93,91,60,29.0,21.0,14.0,1.0,,2021-07-21,수요일,1160,승차,강남구청,2732,11667,2021-12-31
37,14,39,31,38,73,72,56,69,98,155,106,107,104,53,26.0,27.0,17.0,2.0,,2021-07-22,목요일,1124,승차,강남구청,2732,12227,2021-12-31
33,20,38,48,64,96,84,71,74,105,170,112,109,90,58,25.0,29.0,17.0,1.0,,2021-07-23,금요일,1244,승차,강남구청,2732,12787,2021-12-31
41,10,28,39,42,70,59,59,47,33,41,46,42,35,35,8.0,15.0,13.0,0.0,,2021-07-24,토요일,663,승차,강남구청,2732,13347,2021-12-31
36,12,12,29,24,25,24,15,29,18,14,20,23,23,29,19.0,13.0,6.0,0.0,,2021-07-25,일요일,371,승차,강남구청,2732,13907,2021-12-31
34,16,44,31,58,85,97,75,82,126,167,125,110,78,47,25.0,25.0,17.0,6.0,,2021-07-26,월요일,1248,승차,강남구청,2732,14467,2021-12-31
38,22,27,42,66,82,79,76,83,96,161,111,90,85,62,31.0,22.0,19.0,3.0,,2021-07-27,화요일,1195,승차,강남구청,2732,15027,2021-12-31
36,17,36,45,56,80,87,76,73,104,165,124,97,97,48,26.0,26.0,11.0,1.0,,2021-07-28,수요일,1205,승차,강남구청,2732,15587,2021-12-31
41,21,22,42,69,76,69,76,81,108,149,119,106,84,50,25.0,23.0,18.0,1.0,,2021-07-29,목요일,1180,승차,강남구청,2732,16147,2021-12-31
43,13,31,37,57,85,91,73,67,100,155,106,108,94,54,25.0,24.0,19.0,2.0,,2021-07-30,금요일,1184,승차,강남구청,2732,16707,2021-12-31
40,18,17,39,62,55,77,60,34,41,46,55,37,40,36,23.0,22.0,7.0,2.0,,2021-07-31,토요일,711,승차,강남구청,2732,17267,2021-12-31
28,11,23,13,27,21,21,27,25,28,29,32,21,13,15,11.0,12.0,7.0,0.0,,2021-08-01,일요일,364,승차,강남구청,2732,17827,2021-12-31
43,14,25,40,56,73,91,82,80,136,159,122,89,77,44,34.0,22.0,18.0,2.0,,2021-08-02,월요일,1207,승차,강남구청,2732,18387,2021-12-31
39,12,38,29,68,87,84,80,57,113,164,93,103,85,46,29.0,22.0,17.0,2.0,,2021-08-03,화요일,1168,승차,강남구청,2732,18947,2021-12-31
39,16,37,40,73,75,65,76,56,109,147,97,110,83,49,24.0,21.0,19.0,0.0,,2021-08-04,수요일,1136,승차,강남구청,2732,19507,2021-12-31
36,19,34,31,81,70,77,82,55,105,158,99,99,75,50,37.0,27.0,20.0,2.0,,2021-08-05,목요일,1157,승차,강남구청,2732,20067,2021-12-31
39,21,38,39,64,82,69,71,76,89,158,99,88,88,49,29.0,18.0,17.0,4.0,,2021-08-06,금요일,1138,승차,강남구청,2732,20627,2021-12-31
39,11,33,24,55,63,53,47,49,53,35,50,47,38,24,23.0,23.0,15.0,2.0,,2021-08-07,토요일,684,승차,강남구청,2732,21187,2021-12-31
