06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,수송일자,요일,일일합계,승하차구분,역명,역번호,연번,날짜
50,29,55,73,80,77,45,49,41,31,39,46,23,20,16,10.0,7.0,2.0,0.0,,2021-07-01,목요일,693,승차,강일,2562,341,2021-12-31
53,24,50,65,90,69,54,51,45,56,40,42,35,21,7,13.0,3.0,3.0,0.0,,2021-07-02,금요일,721,승차,강일,2562,901,2021-12-31
26,18,41,52,58,83,64,42,34,47,34,10,12,13,4,5.0,4.0,0.0,0.0,,2021-07-03,토요일,547,승차,강일,2562,1461,2021-12-31
13,8,10,29,46,42,27,32,27,21,23,12,13,18,3,4.0,5.0,1.0,1.0,,2021-07-04,일요일,335,승차,강일,2562,2021,2021-12-31
51,23,62,89,95,95,38,43,59,53,42,37,33,24,10,10.0,3.0,1.0,3.0,,2021-07-05,월요일,771,승차,강일,2562,2581,2021-12-31
47,26,69,71,96,73,62,51,51,41,43,49,26,32,12,7.0,8.0,0.0,0.0,,2021-07-06,화요일,764,승차,강일,2562,3141,2021-12-31
46,28,52,71,106,77,64,46,48,35,37,37,33,34,9,10.0,2.0,0.0,0.0,,2021-07-07,수요일,735,승차,강일,2562,3701,2021-12-31
38,29,51,70,87,71,36,50,47,43,22,48,29,21,13,8.0,4.0,1.0,0.0,,2021-07-08,목요일,668,승차,강일,2562,4261,2021-12-31
42,26,51,68,91,58,53,40,46,37,37,43,36,22,16,13.0,1.0,0.0,0.0,,2021-07-09,금요일,680,승차,강일,2562,4821,2021-12-31
23,11,29,55,50,48,37,41,23,20,27,23,18,16,9,4.0,2.0,1.0,0.0,,2021-07-10,토요일,437,승차,강일,2562,5381,2021-12-31
12,11,6,29,40,33,18,43,23,15,24,8,15,16,6,4.0,5.0,0.0,0.0,,2021-07-11,일요일,308,승차,강일,2562,5941,2021-12-31
43,21,41,69,77,63,34,25,43,28,28,35,31,35,10,5.0,5.0,1.0,0.0,,2021-07-12,월요일,594,승차,강일,2562,6501,2021-12-31
39,24,55,56,77,60,39,29,39,37,35,37,24,29,5,9.0,6.0,1.0,0.0,,2021-07-13,화요일,601,승차,강일,2562,7061,2021-12-31
40,15,54,65,68,58,27,22,34,27,38,42,30,27,14,9.0,4.0,0.0,0.0,,2021-07-14,수요일,574,승차,강일,2562,7621,2021-12-31
44,23,49,49,73,51,37,32,27,39,27,27,34,21,13,7.0,4.0,0.0,0.0,,2021-07-15,목요일,557,승차,강일,2562,8181,2021-12-31
34,20,48,71,64,58,46,23,37,26,35,31,38,29,14,9.0,4.0,2.0,0.0,,2021-07-16,금요일,589,승차,강일,2562,8741,2021-12-31
32,15,32,58,63,54,46,32,23,25,34,24,17,12,9,3.0,4.0,2.0,0.0,,2021-07-17,토요일,485,승차,강일,2562,9301,2021-12-31
13,10,13,21,37,29,21,18,10,13,15,17,13,15,10,4.0,3.0,0.0,0.0,,2021-07-18,일요일,262,승차,강일,2562,9861,2021-12-31
44,27,52,71,84,55,34,27,28,33,37,34,30,29,9,8.0,3.0,1.0,1.0,,2021-07-19,월요일,607,승차,강일,2562,10421,2021-12-31
42,19,48,64,88,57,39,25,31,23,44,33,33,26,12,12.0,7.0,1.0,0.0,,2021-07-20,화요일,604,승차,강일,2562,10981,2021-12-31
41,21,46,69,79,46,32,28,28,33,24,29,34,30,14,9.0,4.0,1.0,0.0,,2021-07-21,수요일,568,승차,강일,2562,11541,2021-12-31
42,20,44,57,52,42,31,27,33,35,30,26,28,34,21,5.0,3.0,1.0,0.0,,2021-07-22,목요일,531,승차,강일,2562,12101,2021-12-31
37,26,58,54,76,53,34,22,24,33,29,29,31,23,15,11.0,4.0,4.0,0.0,,2021-07-23,금요일,563,승차,강일,2562,12661,2021-12-31
32,18,24,45,54,45,35,30,19,14,9,23,16,18,8,4.0,5.0,0.0,0.0,,2021-07-24,토요일,399,승차,강일,2562,13221,2021-12-31
19,12,12,20,36,28,19,22,15,9,7,7,10,16,8,0.0,6.0,1.0,0.0,,2021-07-25,일요일,247,승차,강일,2562,13781,2021-12-31
51,14,53,80,94,47,32,39,24,27,32,43,20,24,17,8.0,2.0,3.0,0.0,,2021-07-26,월요일,610,승차,강일,2562,14341,2021-12-31
48,17,52,52,77,57,39,29,23,30,27,38,22,22,14,7.0,5.0,1.0,0.0,,2021-07-27,화요일,560,승차,강일,2562,14901,2021-12-31
46,19,47,60,65,62,25,28,41,29,24,41,18,34,8,13.0,3.0,2.0,1.0,,2021-07-28,수요일,566,승차,강일,2562,15461,2021-12-31
42,22,51,47,79,54,34,34,44,36,24,30,30,19,14,6.0,2.0,2.0,0.0,,2021-07-29,목요일,570,승차,강일,2562,16021,2021-12-31
42,23,51,61,63,53,30,31,30,27,26,36,32,30,14,3.0,2.0,2.0,0.0,,2021-07-30,금요일,556,승차,강일,2562,16581,2021-12-31
24,19,43,30,50,51,45,36,30,18,22,34,17,11,8,5.0,2.0,1.0,0.0,,2021-07-31,토요일,446,승차,강일,2562,17141,2021-12-31
18,6,11,25,36,32,27,26,21,17,16,18,16,10,5,8.0,2.0,1.0,0.0,,2021-08-01,일요일,295,승차,강일,2562,17701,2021-12-31
40,23,52,66,83,61,33,36,28,32,39,48,30,28,9,8.0,3.0,2.0,1.0,,2021-08-02,월요일,622,승차,강일,2562,18261,2021-12-31
41,17,36,77,85,67,37,31,28,38,27,41,23,28,19,7.0,2.0,0.0,1.0,,2021-08-03,화요일,605,승차,강일,2562,18821,2021-12-31
40,27,43,75,79,48,34,45,25,31,34,29,29,22,11,9.0,3.0,1.0,0.0,,2021-08-04,수요일,585,승차,강일,2562,19381,2021-12-31
52,16,47,56,83,55,34,31,32,25,33,34,19,32,7,5.0,9.0,2.0,2.0,,2021-08-05,목요일,574,승차,강일,2562,19941,2021-12-31
45,29,45,66,71,48,25,40,30,33,41,41,23,20,16,4.0,2.0,2.0,1.0,,2021-08-06,금요일,582,승차,강일,2562,20501,2021-12-31
25,8,27,39,63,67,50,30,28,26,22,17,18,15,8,2.0,7.0,1.0,0.0,,2021-08-07,토요일,453,승차,강일,2562,21061,2021-12-31
18,13,27,23,36,31,26,19,21,17,19,14,9,13,7,2.0,4.0,3.0,0.0,,2021-08-08,일요일,302,승차,강일,2562,21621,2021-12-31
41,16,51,78,83,76,41,34,38,33,30,34,31,26,21,11.0,6.0,0.0,1.0,,2021-08-09,월요일,651,승차,강일,2562,22181,2021-12-31
47,22,52,82,87,65,52,38,39,29,34,34,24,18,19,6.0,2.0,1.0,0.0,,2021-08-10,화요일,651,승차,강일,2562,22741,2021-12-31
42,20,49,71,64,75,43,31,40,40,38,44,24,21,17,12.0,3.0,0.0,0.0,,2021-08-11,수요일,634,승차,강일,2562,23301,2021-12-31
57,24,46,64,73,75,43,37,43,49,28,43,32,17,10,8.0,3.0,0.0,0.0,,2021-08-12,목요일,652,승차,강일,2562,23861,2021-12-31
46,15,47,72,63,59,55,40,40,44,38,45,20,23,10,6.0,4.0,2.0,0.0,,2021-08-13,금요일,629,승차,강일,2562,24421,2021-12-31
26,17,29,42,56,71,55,41,34,29,28,25,25,8,6,6.0,3.0,3.0,0.0,,2021-08-14,토요일,504,승차,강일,2562,24981,2021-12-31
13,4,21,27,44,34,27,26,21,26,24,12,19,13,5,4.0,5.0,1.0,0.0,,2021-08-15,일요일,326,승차,강일,2562,25541,2021-12-31
32,15,26,34,54,56,41,30,32,33,27,27,27,17,6,4.0,4.0,0.0,0.0,,2021-08-16,월요일,465,승차,강일,2562,26101,2021-12-31
49,18,50,69,77,78,53,35,37,38,31,34,19,30,11,9.0,3.0,1.0,1.0,,2021-08-17,화요일,643,승차,강일,2562,26661,2021-12-31
41,24,44,61,76,74,44,38,40,39,31,32,28,28,17,7.0,5.0,0.0,0.0,,2021-08-18,수요일,629,승차,강일,2562,27221,2021-12-31
54,24,44,96,67,72,47,38,47,35,28,42,39,17,12,3.0,2.0,1.0,0.0,,2021-08-19,목요일,668,승차,강일,2562,27781,2021-12-31
48,28,51,78,86,68,43,42,49,28,40,50,35,24,9,5.0,1.0,3.0,0.0,,2021-08-20,금요일,688,승차,강일,2562,28341,2021-12-31
30,16,35,37,43,43,35,21,12,27,27,17,19,8,8,5.0,2.0,4.0,0.0,,2021-08-21,토요일,389,승차,강일,2562,28901,2021-12-31
18,12,9,35,53,31,36,33,23,19,21,12,13,8,3,5.0,6.0,1.0,0.0,,2021-08-22,일요일,338,승차,강일,2562,29461,2021-12-31
46,21,60,73,80,68,41,44,41,33,39,40,24,25,7,5.0,4.0,4.0,1.0,,2021-08-23,월요일,656,승차,강일,2562,30021,2021-12-31
43,22,49,69,59,71,51,27,27,32,43,36,20,23,5,2.0,2.0,1.0,0.0,,2021-08-24,화요일,582,승차,강일,2562,30581,2021-12-31
35,24,56,64,90,64,52,40,39,35,23,33,32,25,8,5.0,4.0,2.0,0.0,,2021-08-25,수요일,631,승차,강일,2562,31141,2021-12-31
51,29,50,73,78,88,64,40,58,33,39,42,35,22,10,6.0,3.0,2.0,1.0,,2021-08-26,목요일,724,승차,강일,2562,31701,2021-12-31
41,23,53,66,61,64,44,48,44,39,34,40,31,24,10,5.0,3.0,1.0,0.0,,2021-08-27,금요일,631,승차,강일,2562,32261,2021-12-31
33,18,19,49,52,68,62,34,44,32,42,22,20,14,9,5.0,5.0,3.0,0.0,,2021-08-28,토요일,531,승차,강일,2562,32821,2021-12-31
16,13,20,16,54,47,42,49,34,20,31,17,13,17,6,11.0,4.0,2.0,0.0,,2021-08-29,일요일,412,승차,강일,2562,33381,2021-12-31
49,26,41,66,89,81,54,38,61,49,40,38,30,30,12,5.0,3.0,1.0,0.0,,2021-08-30,월요일,713,승차,강일,2562,33941,2021-12-31
46,21,43,66,84,73,48,36,30,22,32,26,21,14,9,5.0,2.0,0.0,0.0,,2021-08-31,화요일,578,승차,강일,2562,34501,2021-12-31
40,24,48,57,74,65,46,37,55,46,33,34,27,26,10,3.0,3.0,0.0,1.0,,2021-09-01,수요일,629,승차,강일,2562,35061,2021-12-31
48,26,52,73,86,88,68,39,50,46,37,37,32,28,10,6.0,5.0,0.0,0.0,,2021-09-02,목요일,731,승차,강일,2562,35621,2021-12-31
53,25,53,61,98,72,47,51,52,59,41,44,34,20,16,9.0,1.0,1.0,0.0,,2021-09-03,금요일,737,승차,강일,2562,36181,2021-12-31
27,12,42,45,67,71,81,58,47,27,39,29,27,14,2,3.0,3.0,1.0,0.0,,2021-09-04,토요일,595,승차,강일,2562,36741,2021-12-31
21,17,20,21,60,55,38,37,33,27,31,15,21,15,5,5.0,3.0,0.0,0.0,,2021-09-05,일요일,424,승차,강일,2562,37301,2021-12-31
57,25,48,74,106,71,47,42,70,47,38,42,27,26,14,6.0,6.0,1.0,0.0,,2021-09-06,월요일,747,승차,강일,2562,37861,2021-12-31
40,24,51,66,65,44,39,44,39,35,41,43,27,18,8,3.0,3.0,1.0,0.0,,2021-09-07,화요일,591,승차,강일,2562,38421,2021-12-31
40,21,54,66,95,79,59,29,62,47,33,42,35,26,8,8.0,0.0,1.0,1.0,,2021-09-08,수요일,706,승차,강일,2562,38981,2021-12-31
48,26,49,70,99,91,49,49,46,46,46,45,26,30,11,6.0,2.0,3.0,1.0,,2021-09-09,목요일,743,승차,강일,2562,39541,2021-12-31
51,23,56,69,99,78,49,47,46,48,46,40,36,33,12,5.0,4.0,3.0,2.0,,2021-09-10,금요일,747,승차,강일,2562,40101,2021-12-31
28,20,43,53,56,84,79,44,36,40,32,30,19,11,14,2.0,4.0,2.0,1.0,,2021-09-11,토요일,598,승차,강일,2562,40661,2021-12-31
