06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,수송일자,요일,일일합계,승하차구분,역명,역번호,연번,날짜
38,47,53,57,91,54,51,79,71,47,62,78,36,42,18,22.0,14.0,7.0,0.0,,2021-07-01,목요일,867,승차,고려대(종암),2641,409,2021-12-31
26,39,60,68,80,69,67,70,54,48,49,64,49,37,32,28.0,14.0,12.0,1.0,,2021-07-02,금요일,867,승차,고려대(종암),2641,969,2021-12-31
33,43,27,40,57,60,64,72,60,27,39,25,27,18,12,11.0,8.0,1.0,1.0,,2021-07-03,토요일,625,승차,고려대(종암),2641,1529,2021-12-31
18,19,22,28,30,50,34,73,33,28,29,27,24,8,18,14.0,7.0,3.0,3.0,,2021-07-04,일요일,468,승차,고려대(종암),2641,2089,2021-12-31
35,45,61,60,98,76,68,67,59,73,51,65,50,36,22,19.0,10.0,3.0,1.0,,2021-07-05,월요일,899,승차,고려대(종암),2641,2649,2021-12-31
40,44,54,65,82,56,68,54,53,46,53,84,43,34,24,32.0,22.0,4.0,3.0,,2021-07-06,화요일,861,승차,고려대(종암),2641,3209,2021-12-31
34,44,48,66,89,71,54,61,66,52,56,76,53,37,21,30.0,11.0,4.0,2.0,,2021-07-07,수요일,875,승차,고려대(종암),2641,3769,2021-12-31
36,41,54,72,57,58,48,61,50,51,49,75,41,31,23,29.0,18.0,6.0,1.0,,2021-07-08,목요일,801,승차,고려대(종암),2641,4329,2021-12-31
31,38,52,60,83,63,48,64,48,50,65,70,51,27,22,19.0,10.0,8.0,0.0,,2021-07-09,금요일,809,승차,고려대(종암),2641,4889,2021-12-31
28,31,29,40,48,53,45,70,41,43,32,27,16,28,11,12.0,6.0,4.0,0.0,,2021-07-10,토요일,564,승차,고려대(종암),2641,5449,2021-12-31
25,21,20,29,38,44,26,61,29,42,31,18,10,22,9,12.0,8.0,6.0,0.0,,2021-07-11,일요일,451,승차,고려대(종암),2641,6009,2021-12-31
33,37,52,60,97,71,57,45,63,41,54,68,35,27,25,16.0,10.0,1.0,1.0,,2021-07-12,월요일,793,승차,고려대(종암),2641,6569,2021-12-31
34,43,54,59,79,48,47,44,55,47,50,73,48,30,32,15.0,10.0,2.0,1.0,,2021-07-13,화요일,771,승차,고려대(종암),2641,7129,2021-12-31
36,40,57,59,70,63,50,43,62,37,42,65,40,32,25,22.0,5.0,4.0,0.0,,2021-07-14,수요일,752,승차,고려대(종암),2641,7689,2021-12-31
42,44,43,58,90,47,43,47,52,38,33,68,33,29,23,24.0,8.0,6.0,1.0,,2021-07-15,목요일,729,승차,고려대(종암),2641,8249,2021-12-31
32,47,48,64,68,56,38,36,41,41,57,73,21,36,25,14.0,11.0,8.0,2.0,,2021-07-16,금요일,718,승차,고려대(종암),2641,8809,2021-12-31
39,38,33,38,51,45,41,49,44,28,39,29,24,20,10,17.0,5.0,4.0,1.0,,2021-07-17,토요일,555,승차,고려대(종암),2641,9369,2021-12-31
21,23,28,38,37,41,33,33,27,22,19,27,17,23,8,16.0,13.0,2.0,2.0,,2021-07-18,일요일,430,승차,고려대(종암),2641,9929,2021-12-31
44,41,46,57,84,61,41,49,53,26,61,63,42,33,18,18.0,9.0,5.0,1.0,,2021-07-19,월요일,752,승차,고려대(종암),2641,10489,2021-12-31
35,45,48,70,74,54,43,33,52,40,59,74,35,35,18,13.0,9.0,4.0,2.0,,2021-07-20,화요일,743,승차,고려대(종암),2641,11049,2021-12-31
34,41,57,74,65,55,36,52,59,45,43,59,34,37,20,17.0,11.0,3.0,0.0,,2021-07-21,수요일,742,승차,고려대(종암),2641,11609,2021-12-31
35,41,51,60,73,50,43,45,55,41,49,59,26,35,26,19.0,9.0,3.0,2.0,,2021-07-22,목요일,722,승차,고려대(종암),2641,12169,2021-12-31
30,39,56,72,79,57,35,43,46,32,60,48,46,25,24,22.0,5.0,3.0,2.0,,2021-07-23,금요일,724,승차,고려대(종암),2641,12729,2021-12-31
27,39,34,35,56,40,43,47,41,30,37,31,28,21,22,9.0,8.0,3.0,0.0,,2021-07-24,토요일,551,승차,고려대(종암),2641,13289,2021-12-31
21,17,26,31,41,50,40,27,24,24,18,19,15,17,14,8.0,7.0,1.0,1.0,,2021-07-25,일요일,401,승차,고려대(종암),2641,13849,2021-12-31
30,37,44,76,80,47,48,44,51,37,46,65,45,26,24,21.0,9.0,5.0,1.0,,2021-07-26,월요일,736,승차,고려대(종암),2641,14409,2021-12-31
37,39,50,70,83,43,38,55,39,48,53,57,45,34,14,24.0,8.0,7.0,1.0,,2021-07-27,화요일,745,승차,고려대(종암),2641,14969,2021-12-31
32,36,58,72,69,56,47,52,50,44,56,51,28,37,23,23.0,6.0,3.0,1.0,,2021-07-28,수요일,744,승차,고려대(종암),2641,15529,2021-12-31
36,43,49,62,69,55,38,55,51,46,46,54,39,28,22,12.0,6.0,3.0,2.0,,2021-07-29,목요일,716,승차,고려대(종암),2641,16089,2021-12-31
35,45,57,68,65,58,48,43,61,35,45,55,38,32,21,14.0,7.0,7.0,1.0,,2021-07-30,금요일,735,승차,고려대(종암),2641,16649,2021-12-31
31,38,37,41,56,39,42,53,33,29,33,31,30,25,11,20.0,7.0,3.0,2.0,,2021-07-31,토요일,561,승차,고려대(종암),2641,17209,2021-12-31
23,20,22,31,29,40,33,37,23,23,19,22,10,15,7,6.0,3.0,9.0,1.0,,2021-08-01,일요일,373,승차,고려대(종암),2641,17769,2021-12-31
28,29,47,66,69,53,45,50,58,47,51,69,37,25,23,13.0,8.0,5.0,1.0,,2021-08-02,월요일,724,승차,고려대(종암),2641,18329,2021-12-31
37,36,44,58,73,58,48,55,45,50,48,60,38,27,18,17.0,11.0,4.0,1.0,,2021-08-03,화요일,728,승차,고려대(종암),2641,18889,2021-12-31
30,30,49,65,74,53,38,40,50,43,50,81,36,39,20,28.0,9.0,3.0,1.0,,2021-08-04,수요일,739,승차,고려대(종암),2641,19449,2021-12-31
46,44,50,64,74,65,41,50,52,29,35,66,37,35,21,14.0,10.0,5.0,1.0,,2021-08-05,목요일,739,승차,고려대(종암),2641,20009,2021-12-31
45,38,46,73,81,59,45,42,60,49,50,56,34,36,11,18.0,4.0,8.0,0.0,,2021-08-06,금요일,755,승차,고려대(종암),2641,20569,2021-12-31
33,29,28,50,59,50,51,39,52,39,28,35,27,23,22,14.0,10.0,5.0,2.0,,2021-08-07,토요일,596,승차,고려대(종암),2641,21129,2021-12-31
26,25,28,27,48,36,31,41,32,19,31,19,13,19,7,8.0,4.0,2.0,1.0,,2021-08-08,일요일,417,승차,고려대(종암),2641,21689,2021-12-31
33,28,50,67,95,57,45,53,49,41,44,83,29,37,24,13.0,8.0,6.0,0.0,,2021-08-09,월요일,762,승차,고려대(종암),2641,22249,2021-12-31
43,40,48,74,78,67,49,39,53,53,55,65,35,34,19,20.0,3.0,4.0,2.0,,2021-08-10,화요일,781,승차,고려대(종암),2641,22809,2021-12-31
36,35,50,69,81,56,58,37,49,32,43,61,41,33,23,26.0,6.0,4.0,2.0,,2021-08-11,수요일,742,승차,고려대(종암),2641,23369,2021-12-31
32,34,51,59,72,54,57,61,51,49,53,56,39,34,16,12.0,12.0,5.0,0.0,,2021-08-12,목요일,747,승차,고려대(종암),2641,23929,2021-12-31
27,42,44,66,94,59,47,45,55,35,54,59,24,35,18,12.0,7.0,5.0,3.0,,2021-08-13,금요일,731,승차,고려대(종암),2641,24489,2021-12-31
33,44,32,38,52,49,46,49,46,38,45,34,20,20,26,7.0,5.0,3.0,3.0,,2021-08-14,토요일,590,승차,고려대(종암),2641,25049,2021-12-31
19,25,28,37,36,53,34,47,29,37,24,24,21,13,16,9.0,3.0,5.0,0.0,,2021-08-15,일요일,460,승차,고려대(종암),2641,25609,2021-12-31
28,38,24,43,47,53,44,28,59,33,32,30,36,28,17,14.0,9.0,3.0,1.0,,2021-08-16,월요일,567,승차,고려대(종암),2641,26169,2021-12-31
34,45,41,66,74,76,51,50,70,40,49,76,28,36,19,16.0,6.0,2.0,1.0,,2021-08-17,화요일,780,승차,고려대(종암),2641,26729,2021-12-31
35,44,53,53,69,51,53,54,62,56,49,69,32,41,21,20.0,10.0,3.0,1.0,,2021-08-18,수요일,776,승차,고려대(종암),2641,27289,2021-12-31
43,43,51,63,82,70,55,54,55,54,54,73,51,30,23,18.0,16.0,4.0,1.0,,2021-08-19,목요일,840,승차,고려대(종암),2641,27849,2021-12-31
45,38,47,65,70,60,54,46,61,49,61,66,52,28,16,17.0,5.0,11.0,1.0,,2021-08-20,금요일,792,승차,고려대(종암),2641,28409,2021-12-31
36,31,26,42,46,28,36,43,31,27,43,28,23,19,13,5.0,6.0,3.0,2.0,,2021-08-21,토요일,488,승차,고려대(종암),2641,28969,2021-12-31
18,21,30,47,42,40,33,59,48,40,45,24,17,21,15,13.0,5.0,2.0,1.0,,2021-08-22,일요일,521,승차,고려대(종암),2641,29529,2021-12-31
33,37,55,69,95,61,67,60,67,47,51,76,33,38,21,17.0,4.0,3.0,4.0,,2021-08-23,월요일,838,승차,고려대(종암),2641,30089,2021-12-31
29,35,54,69,63,45,49,44,49,40,36,64,33,30,24,12.0,7.0,3.0,2.0,,2021-08-24,화요일,688,승차,고려대(종암),2641,30649,2021-12-31
33,48,52,59,79,51,50,46,62,56,61,83,42,40,28,23.0,4.0,3.0,3.0,,2021-08-25,수요일,823,승차,고려대(종암),2641,31209,2021-12-31
40,50,60,66,74,73,57,60,64,57,53,62,31,30,20,17.0,9.0,3.0,2.0,,2021-08-26,목요일,828,승차,고려대(종암),2641,31769,2021-12-31
29,47,63,56,73,62,51,65,55,49,58,52,32,28,17,22.0,8.0,11.0,1.0,,2021-08-27,금요일,779,승차,고려대(종암),2641,32329,2021-12-31
33,41,29,44,61,77,60,62,56,46,49,32,20,30,14,18.0,4.0,2.0,0.0,,2021-08-28,토요일,678,승차,고려대(종암),2641,32889,2021-12-31
17,27,30,32,29,46,44,64,36,48,35,28,23,18,13,6.0,5.0,5.0,3.0,,2021-08-29,일요일,509,승차,고려대(종암),2641,33449,2021-12-31
41,47,54,68,94,82,59,54,59,65,74,63,38,48,19,24.0,4.0,6.0,2.0,,2021-08-30,월요일,901,승차,고려대(종암),2641,34009,2021-12-31
37,44,57,70,80,63,61,47,51,35,50,71,29,32,19,16.0,7.0,6.0,1.0,,2021-08-31,화요일,776,승차,고려대(종암),2641,34569,2021-12-31
43,39,45,72,80,63,57,53,70,42,59,73,44,35,21,20.0,7.0,5.0,0.0,,2021-09-01,수요일,828,승차,고려대(종암),2641,35129,2021-12-31
31,53,50,74,87,68,66,53,68,62,56,57,40,35,25,16.0,10.0,6.0,3.0,,2021-09-02,목요일,860,승차,고려대(종암),2641,35689,2021-12-31
41,48,56,79,92,75,58,51,64,63,59,67,37,37,26,27.0,8.0,11.0,0.0,,2021-09-03,금요일,899,승차,고려대(종암),2641,36249,2021-12-31
28,52,35,55,57,47,49,65,60,47,51,41,32,15,16,10.0,4.0,6.0,0.0,,2021-09-04,토요일,670,승차,고려대(종암),2641,36809,2021-12-31
23,23,29,47,53,55,33,53,34,36,33,27,18,18,11,14.0,6.0,5.0,3.0,,2021-09-05,일요일,521,승차,고려대(종암),2641,37369,2021-12-31
34,45,61,71,76,75,70,57,54,59,69,65,44,35,22,23.0,8.0,6.0,3.0,,2021-09-06,월요일,877,승차,고려대(종암),2641,37929,2021-12-31
35,41,48,75,60,59,55,34,45,46,61,61,36,36,25,18.0,8.0,10.0,1.0,,2021-09-07,화요일,754,승차,고려대(종암),2641,38489,2021-12-31
34,52,52,70,74,64,73,49,71,48,55,73,47,35,26,24.0,11.0,7.0,2.0,,2021-09-08,수요일,867,승차,고려대(종암),2641,39049,2021-12-31
42,49,56,86,89,72,57,74,58,61,75,68,43,41,22,19.0,7.0,9.0,1.0,,2021-09-09,목요일,929,승차,고려대(종암),2641,39609,2021-12-31
43,56,45,76,75,66,46,68,76,60,67,83,67,34,32,19.0,17.0,12.0,1.0,,2021-09-10,금요일,943,승차,고려대(종암),2641,40169,2021-12-31
35,46,31,53,59,60,47,55,64,34,43,41,23,27,18,13.0,13.0,6.0,0.0,,2021-09-11,토요일,668,승차,고려대(종암),2641,40729,2021-12-31
23,29,25,47,48,56,58,69,35,27,29,29,26,21,13,11.0,7.0,2.0,1.0,,2021-09-12,일요일,556,승차,고려대(종암),2641,41289,2021-12-31
40,46,52,82,100,76,67,60,69,57,55,60,35,30,26,20.0,8.0,5.0,0.0,,2021-09-13,월요일,888,승차,고려대(종암),2641,41849,2021-12-31
40,46,51,83,67,62,51,67,83,63,68,82,58,41,31,25.0,11.0,3.0,3.0,,2021-09-14,화요일,935,승차,고려대(종암),2641,42409,2021-12-31
39,46,60,68,90,76,76,58,69,83,73,62,49,31,25,22.0,12.0,13.0,2.0,,2021-09-15,수요일,954,승차,고려대(종암),2641,42969,2021-12-31
30,50,57,85,89,59,68,62,68,60,67,78,51,31,34,21.0,13.0,6.0,2.0,,2021-09-16,목요일,931,승차,고려대(종암),2641,43529,2021-12-31
35,48,55,64,90,63,64,74,55,60,66,69,44,38,26,17.0,13.0,4.0,2.0,,2021-09-17,금요일,887,승차,고려대(종암),2641,44089,2021-12-31
33,44,33,61,57,44,62,68,47,52,30,45,38,26,10,17.0,8.0,4.0,2.0,,2021-09-18,토요일,681,승차,고려대(종암),2641,44649,2021-12-31
