06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,수송일자,요일,일일합계,승하차구분,역명,역번호,연번,날짜
108,24,51,56,81,78,88,115,88,124,97,71,83,66,101,63.0,70.0,46.0,14.0,0.0,2023-10-01,일요일,1424,승차,교대(법원·검찰청),223,148660,2023-12-31
36,10,13,15,41,49,60,52,80,65,49,62,47,46,61,43.0,42.0,25.0,5.0,0.0,2023-10-01,일요일,801,승차,교대(법원·검찰청),330,148756,2023-12-31
94,25,52,57,81,139,117,143,155,195,155,163,135,109,129,111.0,73.0,46.0,5.0,0.0,2023-10-02,월요일,1984,승차,교대(법원·검찰청),223,149204,2023-12-31
37,12,21,27,49,72,82,54,85,102,95,85,93,79,83,78.0,61.0,22.0,5.0,0.0,2023-10-02,월요일,1142,승차,교대(법원·검찰청),330,149300,2023-12-31
107,26,34,49,79,102,96,138,123,205,192,179,118,140,153,106.0,53.0,34.0,14.0,0.0,2023-10-03,화요일,1948,승차,교대(법원·검찰청),223,149748,2023-12-31
37,8,23,23,46,72,58,48,58,111,90,107,59,90,104,92.0,48.0,16.0,5.0,0.0,2023-10-03,화요일,1095,승차,교대(법원·검찰청),330,149844,2023-12-31
120,23,97,132,196,230,250,281,482,660,641,502,436,335,246,196.0,109.0,53.0,14.0,1.0,2023-10-04,수요일,5004,승차,교대(법원·검찰청),223,150292,2023-12-31
50,13,43,66,96,126,162,159,224,361,359,260,221,165,160,119.0,69.0,35.0,10.0,1.0,2023-10-04,수요일,2699,승차,교대(법원·검찰청),330,150388,2023-12-31
124,30,93,134,191,233,292,301,473,659,677,509,471,305,246,225.0,142.0,77.0,20.0,4.0,2023-10-05,목요일,5206,승차,교대(법원·검찰청),223,150836,2023-12-31
49,11,45,60,92,149,166,175,259,410,359,279,287,176,184,130.0,88.0,47.0,12.0,1.0,2023-10-05,목요일,2979,승차,교대(법원·검찰청),330,150932,2023-12-31
114,30,94,119,201,252,316,293,405,628,621,452,477,297,253,240.0,149.0,90.0,24.0,3.0,2023-10-06,금요일,5058,승차,교대(법원·검찰청),223,151380,2023-12-31
47,15,49,69,98,144,169,175,248,381,297,286,257,182,133,164.0,81.0,45.0,13.0,4.0,2023-10-06,금요일,2857,승차,교대(법원·검찰청),330,151476,2023-12-31
131,35,76,102,121,184,225,177,196,277,205,236,192,188,258,170.0,85.0,33.0,26.0,0.0,2023-10-07,토요일,2917,승차,교대(법원·검찰청),223,151924,2023-12-31
35,13,28,41,68,100,96,81,131,173,160,119,123,151,145,122.0,69.0,29.0,9.0,0.0,2023-10-07,토요일,1693,승차,교대(법원·검찰청),330,152020,2023-12-31
106,18,76,46,92,109,96,140,127,134,122,114,118,106,124,84.0,56.0,35.0,7.0,0.0,2023-10-08,일요일,1710,승차,교대(법원·검찰청),223,152468,2023-12-31
37,11,22,33,51,72,36,67,74,73,85,58,53,75,96,69.0,53.0,20.0,0.0,0.0,2023-10-08,일요일,985,승차,교대(법원·검찰청),330,152564,2023-12-31
109,22,51,56,87,124,131,144,154,216,213,205,179,136,142,145.0,80.0,31.0,4.0,0.0,2023-10-09,월요일,2229,승차,교대(법원·검찰청),223,153012,2023-12-31
35,6,26,24,59,51,75,60,78,170,140,133,81,86,106,122.0,73.0,20.0,3.0,0.0,2023-10-09,월요일,1348,승차,교대(법원·검찰청),330,153108,2023-12-31
130,28,100,134,218,269,350,355,480,744,658,529,552,336,323,248.0,141.0,64.0,12.0,4.0,2023-10-10,화요일,5675,승차,교대(법원·검찰청),223,153556,2023-12-31
42,17,43,78,95,160,164,209,288,463,368,320,316,203,155,171.0,91.0,40.0,15.0,1.0,2023-10-10,화요일,3239,승차,교대(법원·검찰청),330,153652,2023-12-31
124,33,89,148,219,308,325,324,477,658,642,528,456,326,227,274.0,150.0,73.0,10.0,4.0,2023-10-11,수요일,5395,승차,교대(법원·검찰청),223,154100,2023-12-31
41,12,60,73,103,133,187,194,285,404,373,281,250,215,133,146.0,92.0,39.0,17.0,1.0,2023-10-11,수요일,3039,승차,교대(법원·검찰청),330,154196,2023-12-31
118,35,86,154,195,295,339,315,410,727,636,513,482,368,269,252.0,160.0,86.0,13.0,3.0,2023-10-12,목요일,5456,승차,교대(법원·검찰청),223,154644,2023-12-31
48,15,59,70,112,151,201,182,245,389,366,297,272,224,142,176.0,111.0,48.0,13.0,3.0,2023-10-12,목요일,3124,승차,교대(법원·검찰청),330,154740,2023-12-31
129,39,98,140,206,281,385,342,422,695,620,529,481,288,251,301.0,197.0,86.0,29.0,6.0,2023-10-13,금요일,5525,승차,교대(법원·검찰청),223,155188,2023-12-31
54,8,49,72,97,166,201,184,257,403,409,276,271,195,169,168.0,131.0,65.0,14.0,5.0,2023-10-13,금요일,3194,승차,교대(법원·검찰청),330,155284,2023-12-31
126,28,72,77,115,183,202,184,180,317,268,230,189,167,308,210.0,110.0,55.0,19.0,0.0,2023-10-14,토요일,3040,승차,교대(법원·검찰청),223,155732,2023-12-31
45,17,27,40,62,111,108,78,146,240,180,171,114,145,234,135.0,89.0,25.0,5.0,0.0,2023-10-14,토요일,1972,승차,교대(법원·검찰청),330,155828,2023-12-31
120,22,83,68,110,136,107,109,155,123,148,112,95,111,142,113.0,54.0,35.0,2.0,0.0,2023-10-15,일요일,1845,승차,교대(법원·검찰청),223,156276,2023-12-31
39,12,22,31,55,64,39,51,92,77,86,62,37,70,87,66.0,31.0,31.0,2.0,0.0,2023-10-15,일요일,954,승차,교대(법원·검찰청),330,156372,2023-12-31
122,24,88,131,199,286,327,354,485,704,655,535,496,339,264,244.0,123.0,59.0,9.0,2.0,2023-10-16,월요일,5446,승차,교대(법원·검찰청),223,156820,2023-12-31
43,15,46,75,102,142,200,194,271,406,361,325,258,187,171,162.0,88.0,38.0,7.0,2.0,2023-10-16,월요일,3093,승차,교대(법원·검찰청),330,156916,2023-12-31
143,33,100,135,189,273,345,326,492,695,624,561,496,341,287,243.0,152.0,70.0,16.0,2.0,2023-10-17,화요일,5523,승차,교대(법원·검찰청),223,157364,2023-12-31
42,11,62,66,104,142,190,172,280,399,368,336,279,195,187,165.0,106.0,33.0,12.0,4.0,2023-10-17,화요일,3153,승차,교대(법원·검찰청),330,157460,2023-12-31
125,29,99,149,213,280,331,357,459,687,688,557,469,322,295,286.0,189.0,77.0,14.0,4.0,2023-10-18,수요일,5630,승차,교대(법원·검찰청),223,157908,2023-12-31
45,18,57,67,92,177,181,219,263,404,395,356,283,194,147,188.0,169.0,45.0,5.0,4.0,2023-10-18,수요일,3309,승차,교대(법원·검찰청),330,158004,2023-12-31
108,30,110,135,161,241,326,315,476,745,615,504,525,323,296,240.0,187.0,72.0,17.0,2.0,2023-10-19,목요일,5428,승차,교대(법원·검찰청),223,158452,2023-12-31
48,8,50,70,93,158,177,194,273,429,352,276,262,197,198,159.0,113.0,46.0,9.0,1.0,2023-10-19,목요일,3113,승차,교대(법원·검찰청),330,158548,2023-12-31
108,34,106,128,212,306,306,340,439,695,608,555,466,347,218,250.0,201.0,95.0,16.0,3.0,2023-10-20,금요일,5433,승차,교대(법원·검찰청),223,158996,2023-12-31
47,16,57,62,105,138,172,219,283,381,356,354,292,199,146,194.0,98.0,54.0,23.0,2.0,2023-10-20,금요일,3198,승차,교대(법원·검찰청),330,159092,2023-12-31
131,20,82,92,142,163,215,213,219,337,274,197,208,166,231,195.0,109.0,64.0,6.0,0.0,2023-10-21,토요일,3064,승차,교대(법원·검찰청),223,159540,2023-12-31
48,9,33,48,66,83,113,123,138,235,181,140,124,103,172,137.0,86.0,40.0,3.0,0.0,2023-10-21,토요일,1882,승차,교대(법원·검찰청),330,159636,2023-12-31
113,20,73,60,111,126,116,129,141,140,141,132,131,122,122,148.0,70.0,29.0,3.0,0.0,2023-10-22,일요일,1927,승차,교대(법원·검찰청),223,160084,2023-12-31
37,12,26,25,51,61,53,75,102,120,82,82,65,100,67,115.0,46.0,32.0,1.0,0.0,2023-10-22,일요일,1152,승차,교대(법원·검찰청),330,160180,2023-12-31
135,26,90,140,202,271,361,311,434,685,621,530,550,307,241,218.0,124.0,71.0,10.0,3.0,2023-10-23,월요일,5330,승차,교대(법원·검찰청),223,160628,2023-12-31
52,8,45,65,107,164,200,188,267,385,353,309,268,220,134,145.0,106.0,49.0,14.0,0.0,2023-10-23,월요일,3079,승차,교대(법원·검찰청),330,160724,2023-12-31
109,31,91,154,199,305,302,366,468,674,618,497,491,295,276,243.0,126.0,63.0,17.0,3.0,2023-10-24,화요일,5328,승차,교대(법원·검찰청),223,161172,2023-12-31
48,20,45,64,96,168,159,193,272,431,376,326,250,177,148,148.0,91.0,37.0,10.0,2.0,2023-10-24,화요일,3061,승차,교대(법원·검찰청),330,161268,2023-12-31
129,29,115,142,224,278,313,344,469,752,579,575,472,319,241,211.0,153.0,81.0,19.0,8.0,2023-10-25,수요일,5453,승차,교대(법원·검찰청),223,161716,2023-12-31
58,7,45,75,107,157,169,203,306,413,368,332,280,196,166,156.0,122.0,48.0,11.0,3.0,2023-10-25,수요일,3222,승차,교대(법원·검찰청),330,161812,2023-12-31
113,33,97,130,205,291,318,320,469,687,600,522,522,308,283,262.0,174.0,75.0,18.0,4.0,2023-10-26,목요일,5431,승차,교대(법원·검찰청),223,162260,2023-12-31
41,16,59,77,100,134,190,214,242,391,362,361,278,193,177,198.0,138.0,39.0,13.0,3.0,2023-10-26,목요일,3226,승차,교대(법원·검찰청),330,162356,2023-12-31
121,32,103,147,226,282,329,329,454,657,673,536,507,321,239,261.0,178.0,73.0,30.0,8.0,2023-10-27,금요일,5506,승차,교대(법원·검찰청),223,162804,2023-12-31
52,9,43,67,107,148,172,210,206,412,346,381,319,168,148,185.0,133.0,58.0,13.0,5.0,2023-10-27,금요일,3182,승차,교대(법원·검찰청),330,162900,2023-12-31
130,39,58,88,129,178,231,195,206,312,304,251,208,176,234,225.0,142.0,65.0,11.0,0.0,2023-10-28,토요일,3182,승차,교대(법원·검찰청),223,163348,2023-12-31
39,18,37,46,85,93,98,125,109,175,142,155,116,143,140,168.0,120.0,65.0,8.0,0.0,2023-10-28,토요일,1882,승차,교대(법원·검찰청),330,163444,2023-12-31
106,26,69,72,105,125,134,112,121,139,111,137,123,108,130,138.0,66.0,39.0,5.0,0.0,2023-10-29,일요일,1866,승차,교대(법원·검찰청),223,163892,2023-12-31
40,7,25,24,56,65,61,63,85,79,70,87,63,73,109,102.0,47.0,24.0,2.0,0.0,2023-10-29,일요일,1082,승차,교대(법원·검찰청),330,163988,2023-12-31
119,23,98,137,211,259,298,366,427,662,605,551,508,289,225,191.0,141.0,58.0,23.0,2.0,2023-10-30,월요일,5193,승차,교대(법원·검찰청),223,164436,2023-12-31
46,18,48,84,107,126,163,202,221,344,343,316,278,204,136,132.0,104.0,34.0,18.0,5.0,2023-10-30,월요일,2929,승차,교대(법원·검찰청),330,164532,2023-12-31
137,33,95,141,186,293,314,311,396,623,599,515,417,310,247,240.0,134.0,60.0,15.0,2.0,2023-10-31,화요일,5068,승차,교대(법원·검찰청),223,164980,2023-12-31
44,8,60,69,93,149,199,174,243,337,334,321,280,165,188,137.0,98.0,27.0,15.0,4.0,2023-10-31,화요일,2945,승차,교대(법원·검찰청),330,165076,2023-12-31
118,29,101,121,210,298,295,314,467,607,559,536,406,302,205,175.0,125.0,56.0,16.0,1.0,2023-11-01,수요일,4941,승차,교대(법원·검찰청),223,165524,2023-12-31
45,15,53,69,82,119,183,188,252,311,326,307,258,178,169,129.0,105.0,57.0,6.0,2.0,2023-11-01,수요일,2854,승차,교대(법원·검찰청),330,165620,2023-12-31
130,30,97,130,173,234,337,318,444,664,577,468,459,330,266,210.0,151.0,82.0,14.0,5.0,2023-11-02,목요일,5119,승차,교대(법원·검찰청),223,166068,2023-12-31
53,9,51,72,94,165,185,214,246,354,385,305,279,180,162,115.0,110.0,42.0,9.0,2.0,2023-11-02,목요일,3032,승차,교대(법원·검찰청),330,166164,2023-12-31
107,29,99,130,210,275,304,307,434,599,638,476,477,341,270,244.0,157.0,78.0,35.0,3.0,2023-11-03,금요일,5213,승차,교대(법원·검찰청),223,166612,2023-12-31
48,17,63,67,89,144,182,198,242,319,325,296,274,163,156,176.0,141.0,41.0,24.0,2.0,2023-11-03,금요일,2967,승차,교대(법원·검찰청),330,166708,2023-12-31
118,37,79,90,129,166,207,197,214,289,245,208,195,183,199,189.0,136.0,95.0,16.0,0.0,2023-11-04,토요일,2992,승차,교대(법원·검찰청),223,167156,2023-12-31
43,8,43,50,67,78,95,122,106,160,154,111,125,155,153,140.0,98.0,48.0,9.0,0.0,2023-11-04,토요일,1765,승차,교대(법원·검찰청),330,167252,2023-12-31
