06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,수송일자,요일,일일합계,승하차구분,역명,역번호,연번,날짜
14,2,21,21,41,42,83,67,68,102,76,94,79,57,35,28.0,36.0,17.0,1.0,,2021-07-01,목요일,884,승차,김포공항,2513,243,2021-12-31
10,2,14,15,30,36,45,61,69,94,65,80,91,56,36,30.0,24.0,19.0,3.0,,2021-07-02,금요일,780,승차,김포공항,2513,803,2021-12-31
9,2,11,13,23,25,60,60,55,67,70,79,57,37,33,11.0,25.0,13.0,1.0,,2021-07-03,토요일,651,승차,김포공항,2513,1363,2021-12-31
5,2,5,10,16,26,37,36,51,62,61,54,50,27,25,26.0,23.0,7.0,4.0,,2021-07-04,일요일,527,승차,김포공항,2513,1923,2021-12-31
15,5,17,18,38,49,42,50,61,75,73,67,78,55,23,23.0,27.0,17.0,3.0,,2021-07-05,월요일,736,승차,김포공항,2513,2483,2021-12-31
13,1,12,19,29,51,57,56,53,89,96,89,82,58,35,20.0,22.0,10.0,0.0,,2021-07-06,화요일,792,승차,김포공항,2513,3043,2021-12-31
13,3,17,20,20,46,56,61,61,69,82,73,88,63,26,21.0,15.0,12.0,1.0,,2021-07-07,수요일,747,승차,김포공항,2513,3603,2021-12-31
16,1,11,13,32,35,50,52,48,71,69,90,85,58,32,31.0,30.0,19.0,1.0,,2021-07-08,목요일,744,승차,김포공항,2513,4163,2021-12-31
11,4,19,17,36,36,55,42,57,69,72,73,82,60,25,28.0,28.0,10.0,2.0,,2021-07-09,금요일,726,승차,김포공항,2513,4723,2021-12-31
7,2,3,14,17,34,33,55,71,62,60,81,67,58,31,35.0,25.0,11.0,1.0,,2021-07-10,토요일,667,승차,김포공항,2513,5283,2021-12-31
4,1,8,13,17,23,33,29,38,45,38,53,41,36,30,23.0,15.0,6.0,1.0,,2021-07-11,일요일,454,승차,김포공항,2513,5843,2021-12-31
21,3,12,22,20,34,50,47,46,65,73,71,65,59,23,26.0,13.0,6.0,0.0,,2021-07-12,월요일,656,승차,김포공항,2513,6403,2021-12-31
15,2,18,14,29,47,62,59,64,84,82,65,78,60,29,24.0,27.0,13.0,1.0,,2021-07-13,화요일,773,승차,김포공항,2513,6963,2021-12-31
14,2,14,16,25,38,53,34,57,58,71,74,91,60,26,30.0,19.0,12.0,1.0,,2021-07-14,수요일,695,승차,김포공항,2513,7523,2021-12-31
17,3,11,24,22,41,55,65,52,74,91,90,83,56,33,26.0,25.0,13.0,1.0,,2021-07-15,목요일,782,승차,김포공항,2513,8083,2021-12-31
15,3,13,16,26,34,50,53,58,89,88,95,104,89,19,18.0,27.0,10.0,3.0,,2021-07-16,금요일,810,승차,김포공항,2513,8643,2021-12-31
10,1,6,11,25,31,39,59,58,53,59,72,86,58,27,35.0,26.0,5.0,0.0,,2021-07-17,토요일,661,승차,김포공항,2513,9203,2021-12-31
6,0,4,6,13,14,38,40,49,59,65,77,60,44,38,20.0,19.0,10.0,2.0,,2021-07-18,일요일,564,승차,김포공항,2513,9763,2021-12-31
17,3,10,21,33,24,55,51,57,79,78,72,71,66,27,37.0,22.0,11.0,0.0,,2021-07-19,월요일,734,승차,김포공항,2513,10323,2021-12-31
16,1,9,21,35,46,56,61,50,68,77,85,108,49,20,36.0,16.0,12.0,1.0,,2021-07-20,화요일,767,승차,김포공항,2513,10883,2021-12-31
17,3,16,17,20,42,58,53,64,73,90,99,123,65,35,19.0,28.0,10.0,1.0,,2021-07-21,수요일,833,승차,김포공항,2513,11443,2021-12-31
20,2,14,20,30,46,59,55,81,81,102,107,103,82,40,25.0,22.0,16.0,2.0,,2021-07-22,목요일,907,승차,김포공항,2513,12003,2021-12-31
18,5,17,14,37,48,46,56,90,87,114,124,118,72,45,30.0,27.0,9.0,1.0,,2021-07-23,금요일,958,승차,김포공항,2513,12563,2021-12-31
9,1,8,13,22,30,58,51,47,84,93,108,98,86,66,34.0,22.0,8.0,2.0,,2021-07-24,토요일,840,승차,김포공항,2513,13123,2021-12-31
6,1,8,10,16,23,37,40,48,55,85,102,97,75,49,27.0,25.0,8.0,1.0,,2021-07-25,일요일,713,승차,김포공항,2513,13683,2021-12-31
18,1,20,17,32,40,63,49,71,77,88,117,137,89,44,24.0,23.0,7.0,1.0,,2021-07-26,월요일,918,승차,김포공항,2513,14243,2021-12-31
21,3,14,29,31,49,58,72,83,81,107,136,135,99,45,26.0,21.0,9.0,3.0,,2021-07-27,화요일,1022,승차,김포공항,2513,14803,2021-12-31
15,2,14,16,35,35,56,63,68,94,109,149,123,96,39,26.0,18.0,11.0,2.0,,2021-07-28,수요일,971,승차,김포공항,2513,15363,2021-12-31
21,2,13,18,32,41,58,56,60,85,108,119,107,83,40,33.0,32.0,9.0,2.0,,2021-07-29,목요일,919,승차,김포공항,2513,15923,2021-12-31
15,2,15,22,29,33,50,57,68,87,104,99,131,85,36,36.0,22.0,11.0,2.0,,2021-07-30,금요일,904,승차,김포공항,2513,16483,2021-12-31
8,1,12,9,22,18,55,49,59,92,75,111,106,92,45,20.0,26.0,9.0,2.0,,2021-07-31,토요일,811,승차,김포공항,2513,17043,2021-12-31
4,0,7,13,10,24,28,47,43,58,72,87,98,53,27,16.0,20.0,8.0,2.0,,2021-08-01,일요일,617,승차,김포공항,2513,17603,2021-12-31
13,2,15,23,22,51,61,55,67,72,69,80,81,57,25,27.0,19.0,11.0,0.0,,2021-08-02,월요일,750,승차,김포공항,2513,18163,2021-12-31
18,3,12,16,30,48,55,56,55,56,80,93,129,72,34,27.0,23.0,13.0,2.0,,2021-08-03,화요일,822,승차,김포공항,2513,18723,2021-12-31
10,2,18,19,19,52,42,62,57,73,93,103,137,83,21,33.0,22.0,13.0,0.0,,2021-08-04,수요일,859,승차,김포공항,2513,19283,2021-12-31
15,1,15,21,25,38,61,49,69,75,94,117,116,74,33,20.0,21.0,6.0,3.0,,2021-08-05,목요일,853,승차,김포공항,2513,19843,2021-12-31
15,2,14,9,28,49,55,53,79,61,104,110,106,61,35,18.0,22.0,9.0,0.0,,2021-08-06,금요일,830,승차,김포공항,2513,20403,2021-12-31
