06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,수송일자,요일,일일합계,승하차구분,역명,역번호,연번,날짜
31,28,59,71,81,85,102,130,121,98,106,93,121,71,21,33.0,24.0,12.0,3.0,,2021-07-01,목요일,1290,승차,대흥(서강대앞),2626,379,2021-12-31
33,31,57,59,93,93,112,127,98,107,108,108,114,68,47,40.0,20.0,14.0,1.0,,2021-07-02,금요일,1330,승차,대흥(서강대앞),2626,939,2021-12-31
36,31,40,46,75,75,76,107,67,78,87,41,23,27,21,17.0,9.0,5.0,1.0,,2021-07-03,토요일,862,승차,대흥(서강대앞),2626,1499,2021-12-31
12,17,18,20,32,46,52,52,31,44,47,28,23,20,12,7.0,8.0,3.0,0.0,,2021-07-04,일요일,472,승차,대흥(서강대앞),2626,2059,2021-12-31
36,31,53,56,89,115,117,132,106,78,120,102,107,61,33,27.0,16.0,15.0,0.0,,2021-07-05,월요일,1294,승차,대흥(서강대앞),2626,2619,2021-12-31
36,24,61,72,91,105,92,116,91,113,109,81,122,52,47,18.0,27.0,7.0,1.0,,2021-07-06,화요일,1265,승차,대흥(서강대앞),2626,3179,2021-12-31
35,29,48,72,95,102,106,118,91,91,95,101,99,70,43,29.0,19.0,8.0,3.0,,2021-07-07,수요일,1254,승차,대흥(서강대앞),2626,3739,2021-12-31
41,27,49,65,86,79,86,139,90,91,91,87,128,67,44,20.0,14.0,14.0,0.0,,2021-07-08,목요일,1218,승차,대흥(서강대앞),2626,4299,2021-12-31
31,27,60,64,88,92,98,143,91,92,96,77,131,58,39,23.0,27.0,14.0,2.0,,2021-07-09,금요일,1253,승차,대흥(서강대앞),2626,4859,2021-12-31
30,27,40,52,62,58,78,75,55,62,39,47,30,25,31,17.0,15.0,3.0,1.0,,2021-07-10,토요일,747,승차,대흥(서강대앞),2626,5419,2021-12-31
15,17,31,45,41,48,34,51,44,38,23,31,20,18,12,14.0,9.0,8.0,0.0,,2021-07-11,일요일,499,승차,대흥(서강대앞),2626,5979,2021-12-31
41,24,55,72,69,94,95,94,84,70,102,85,72,50,26,20.0,11.0,7.0,0.0,,2021-07-12,월요일,1071,승차,대흥(서강대앞),2626,6539,2021-12-31
36,28,45,67,102,93,74,53,73,77,98,83,52,47,31,13.0,16.0,5.0,2.0,,2021-07-13,화요일,995,승차,대흥(서강대앞),2626,7099,2021-12-31
37,19,51,65,86,81,99,78,67,78,94,87,60,47,30,24.0,10.0,7.0,1.0,,2021-07-14,수요일,1021,승차,대흥(서강대앞),2626,7659,2021-12-31
48,26,54,63,72,89,65,64,74,65,84,73,52,44,27,19.0,10.0,7.0,2.0,,2021-07-15,목요일,938,승차,대흥(서강대앞),2626,8219,2021-12-31
43,21,53,62,85,87,90,62,86,74,94,68,75,51,39,18.0,12.0,8.0,2.0,,2021-07-16,금요일,1030,승차,대흥(서강대앞),2626,8779,2021-12-31
32,22,37,56,60,65,61,58,42,55,50,34,15,39,24,15.0,11.0,5.0,4.0,,2021-07-17,토요일,685,승차,대흥(서강대앞),2626,9339,2021-12-31
16,14,39,41,37,51,31,38,40,28,29,27,29,23,14,12.0,7.0,5.0,0.0,,2021-07-18,일요일,481,승차,대흥(서강대앞),2626,9899,2021-12-31
30,31,57,79,87,100,99,84,70,60,104,63,47,41,28,19.0,11.0,7.0,1.0,,2021-07-19,월요일,1018,승차,대흥(서강대앞),2626,10459,2021-12-31
45,21,53,78,97,102,103,77,87,84,111,62,61,53,39,18.0,11.0,6.0,0.0,,2021-07-20,화요일,1108,승차,대흥(서강대앞),2626,11019,2021-12-31
30,24,55,78,77,85,87,70,77,66,90,76,67,48,43,15.0,12.0,11.0,2.0,,2021-07-21,수요일,1013,승차,대흥(서강대앞),2626,11579,2021-12-31
38,23,39,77,75,86,76,69,64,63,79,61,50,44,27,20.0,13.0,7.0,0.0,,2021-07-22,목요일,911,승차,대흥(서강대앞),2626,12139,2021-12-31
28,24,47,65,88,115,83,61,65,57,84,52,63,49,33,29.0,17.0,10.0,0.0,,2021-07-23,금요일,970,승차,대흥(서강대앞),2626,12699,2021-12-31
31,21,34,55,62,50,71,48,41,36,31,33,42,24,20,27.0,14.0,3.0,2.0,,2021-07-24,토요일,645,승차,대흥(서강대앞),2626,13259,2021-12-31
18,21,26,44,38,58,33,32,29,32,27,24,22,20,11,13.0,5.0,6.0,0.0,,2021-07-25,일요일,459,승차,대흥(서강대앞),2626,13819,2021-12-31
36,24,58,69,83,91,95,64,89,125,89,75,61,34,34,28.0,7.0,5.0,1.0,,2021-07-26,월요일,1068,승차,대흥(서강대앞),2626,14379,2021-12-31
26,30,53,69,97,81,79,70,105,118,98,63,55,51,26,20.0,17.0,3.0,1.0,,2021-07-27,화요일,1062,승차,대흥(서강대앞),2626,14939,2021-12-31
37,29,42,72,83,102,89,77,64,62,87,70,45,48,31,17.0,11.0,8.0,2.0,,2021-07-28,수요일,976,승차,대흥(서강대앞),2626,15499,2021-12-31
31,23,52,79,70,66,83,54,70,60,93,76,53,56,32,17.0,8.0,5.0,0.0,,2021-07-29,목요일,928,승차,대흥(서강대앞),2626,16059,2021-12-31
31,29,54,68,77,91,92,62,77,72,85,63,58,49,40,25.0,10.0,9.0,3.0,,2021-07-30,금요일,995,승차,대흥(서강대앞),2626,16619,2021-12-31
27,23,37,54,56,50,69,50,55,33,55,32,19,23,28,19.0,11.0,2.0,2.0,,2021-07-31,토요일,645,승차,대흥(서강대앞),2626,17179,2021-12-31
