06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,수송일자,요일,일일합계,승하차구분,역명,역번호,연번,날짜
27,12,32,40,52,57,62,44,65,59,79,65,57,36,22,25.0,13.0,7.0,2.0,,2021-07-01,목요일,756,승차,도곡,334,169,2021-12-31
29,13,25,40,57,57,47,67,54,74,88,85,80,66,30,20.0,13.0,6.0,1.0,,2021-07-02,금요일,852,승차,도곡,334,729,2021-12-31
25,17,15,25,33,42,53,30,31,45,43,32,33,14,13,17.0,9.0,2.0,1.0,,2021-07-03,토요일,480,승차,도곡,334,1289,2021-12-31
20,5,8,11,17,16,16,25,19,17,15,17,18,8,6,8.0,4.0,2.0,1.0,,2021-07-04,일요일,233,승차,도곡,334,1849,2021-12-31
30,11,23,43,61,52,53,61,64,75,76,94,64,52,21,24.0,10.0,9.0,1.0,,2021-07-05,월요일,824,승차,도곡,334,2409,2021-12-31
26,7,35,32,57,63,43,48,48,64,75,68,58,40,21,10.0,15.0,6.0,2.0,,2021-07-06,화요일,718,승차,도곡,334,2969,2021-12-31
25,14,22,36,50,44,49,44,41,65,73,64,57,43,18,18.0,10.0,10.0,3.0,,2021-07-07,수요일,686,승차,도곡,334,3529,2021-12-31
27,10,22,44,42,58,54,47,50,65,76,71,54,53,18,20.0,11.0,5.0,2.0,,2021-07-08,목요일,729,승차,도곡,334,4089,2021-12-31
28,13,26,31,42,66,43,46,41,56,62,63,67,41,35,16.0,12.0,8.0,1.0,,2021-07-09,금요일,697,승차,도곡,334,4649,2021-12-31
24,11,19,23,31,40,34,30,26,33,25,35,23,16,7,12.0,2.0,1.0,3.0,,2021-07-10,토요일,395,승차,도곡,334,5209,2021-12-31
22,11,8,13,13,13,13,12,17,13,8,12,14,11,7,9.0,7.0,1.0,1.0,,2021-07-11,일요일,205,승차,도곡,334,5769,2021-12-31
26,12,28,36,51,47,52,39,45,58,57,59,60,48,26,20.0,12.0,4.0,0.0,,2021-07-12,월요일,680,승차,도곡,334,6329,2021-12-31
