06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,수송일자,요일,일일합계,승하차구분,역명,역번호,연번,날짜
32,17,41,49,51,43,47,43,47,36,41,29,21,17,11,7.0,5.0,2.0,1.0,,2021-07-01,목요일,540,승차,독바위,2614,357,2021-12-31
36,15,44,54,61,66,34,42,46,31,48,27,21,21,18,5.0,6.0,2.0,1.0,,2021-07-02,금요일,578,승차,독바위,2614,917,2021-12-31
27,15,26,34,34,41,48,38,31,34,27,23,9,8,8,5.0,6.0,1.0,0.0,,2021-07-03,토요일,415,승차,독바위,2614,1477,2021-12-31
16,13,12,24,26,24,22,25,20,19,26,16,15,2,6,1.0,6.0,2.0,0.0,,2021-07-04,일요일,275,승차,독바위,2614,2037,2021-12-31
36,23,44,50,63,39,44,29,42,38,34,25,26,16,26,10.0,6.0,3.0,0.0,,2021-07-05,월요일,554,승차,독바위,2614,2597,2021-12-31
32,20,43,54,56,63,39,43,42,31,29,39,31,14,17,9.0,8.0,2.0,1.0,,2021-07-06,화요일,573,승차,독바위,2614,3157,2021-12-31
32,22,39,63,64,43,42,30,49,44,40,30,16,14,16,4.0,4.0,2.0,1.0,,2021-07-07,수요일,555,승차,독바위,2614,3717,2021-12-31
34,22,38,48,70,55,50,32,50,22,38,23,11,15,10,12.0,3.0,4.0,1.0,,2021-07-08,목요일,538,승차,독바위,2614,4277,2021-12-31
35,20,43,55,65,41,38,35,35,27,41,31,19,11,13,6.0,2.0,2.0,0.0,,2021-07-09,금요일,519,승차,독바위,2614,4837,2021-12-31
17,17,25,34,47,39,44,40,25,27,32,23,16,19,12,9.0,2.0,1.0,0.0,,2021-07-10,토요일,429,승차,독바위,2614,5397,2021-12-31
19,11,20,14,35,29,18,23,34,29,15,13,12,7,14,4.0,1.0,1.0,0.0,,2021-07-11,일요일,299,승차,독바위,2614,5957,2021-12-31
