06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,수송일자,요일,일일합계,승하차구분,역명,역번호,연번,날짜
14,12,27,39,28,50,55,75,71,94,109,94,78,60,38,33.0,22.0,21.0,2.0,,2021-07-01,목요일,922,승차,동대입구,322,145,2021-12-31
16,13,14,27,34,42,45,61,73,99,77,103,71,53,39,29.0,17.0,22.0,5.0,,2021-07-02,금요일,840,승차,동대입구,322,705,2021-12-31
15,11,10,29,25,35,44,55,58,91,97,63,46,20,31,17.0,12.0,26.0,1.0,,2021-07-03,토요일,686,승차,동대입구,322,1265,2021-12-31
11,6,8,12,27,25,35,60,62,44,45,45,48,38,15,33.0,14.0,15.0,4.0,,2021-07-04,일요일,547,승차,동대입구,322,1825,2021-12-31
16,12,19,24,35,55,39,59,66,77,94,91,86,56,40,32.0,16.0,17.0,0.0,,2021-07-05,월요일,834,승차,동대입구,322,2385,2021-12-31
11,17,23,21,32,35,39,56,52,85,73,82,67,49,30,40.0,24.0,26.0,1.0,,2021-07-06,화요일,763,승차,동대입구,322,2945,2021-12-31
12,14,25,27,37,51,44,48,61,54,78,96,80,62,32,29.0,33.0,16.0,1.0,,2021-07-07,수요일,800,승차,동대입구,322,3505,2021-12-31
13,23,23,24,31,43,43,46,56,91,81,86,85,41,25,24.0,15.0,22.0,0.0,,2021-07-08,목요일,772,승차,동대입구,322,4065,2021-12-31
16,16,19,25,36,41,48,48,57,64,58,64,60,56,31,22.0,41.0,25.0,4.0,,2021-07-09,금요일,731,승차,동대입구,322,4625,2021-12-31
10,13,16,18,24,43,29,52,37,72,82,47,69,40,23,31.0,25.0,23.0,1.0,,2021-07-10,토요일,655,승차,동대입구,322,5185,2021-12-31
19,10,11,12,18,33,64,53,48,63,43,49,56,39,18,24.0,16.0,19.0,2.0,,2021-07-11,일요일,597,승차,동대입구,322,5745,2021-12-31
10,19,22,18,34,45,41,48,60,54,70,63,67,53,29,22.0,15.0,14.0,1.0,,2021-07-12,월요일,685,승차,동대입구,322,6305,2021-12-31
11,20,25,22,30,30,34,37,60,65,61,76,76,48,22,23.0,12.0,18.0,1.0,,2021-07-13,화요일,671,승차,동대입구,322,6865,2021-12-31
15,18,23,23,25,46,34,40,53,51,68,73,77,31,36,25.0,11.0,17.0,0.0,,2021-07-14,수요일,666,승차,동대입구,322,7425,2021-12-31
16,22,26,22,31,42,44,39,43,60,83,80,85,48,37,21.0,13.0,18.0,0.0,,2021-07-15,목요일,730,승차,동대입구,322,7985,2021-12-31
13,14,28,26,37,39,42,41,46,45,66,75,53,50,30,22.0,17.0,20.0,0.0,,2021-07-16,금요일,664,승차,동대입구,322,8545,2021-12-31
13,10,22,21,27,31,45,41,45,34,59,58,48,40,29,11.0,16.0,19.0,0.0,,2021-07-17,토요일,569,승차,동대입구,322,9105,2021-12-31
15,4,19,26,20,21,27,43,33,50,36,52,50,35,26,5.0,16.0,14.0,1.0,,2021-07-18,일요일,493,승차,동대입구,322,9665,2021-12-31
17,14,26,32,38,56,54,50,51,59,55,89,32,52,28,18.0,14.0,12.0,1.0,,2021-07-19,월요일,698,승차,동대입구,322,10225,2021-12-31
17,16,24,31,45,57,48,46,57,61,55,75,71,46,30,24.0,13.0,18.0,0.0,,2021-07-20,화요일,734,승차,동대입구,322,10785,2021-12-31
20,17,24,21,39,45,34,41,52,63,70,75,86,41,38,24.0,12.0,18.0,3.0,,2021-07-21,수요일,723,승차,동대입구,322,11345,2021-12-31
20,15,23,38,24,36,30,41,64,57,67,71,67,41,26,22.0,15.0,14.0,2.0,,2021-07-22,목요일,673,승차,동대입구,322,11905,2021-12-31
17,18,23,31,30,52,33,44,51,58,56,69,69,51,27,23.0,10.0,19.0,2.0,,2021-07-23,금요일,683,승차,동대입구,322,12465,2021-12-31
12,14,23,20,32,35,33,40,41,29,46,41,59,30,21,16.0,17.0,20.0,0.0,,2021-07-24,토요일,529,승차,동대입구,322,13025,2021-12-31
12,13,16,12,21,23,24,38,32,33,22,40,61,31,25,12.0,13.0,19.0,0.0,,2021-07-25,일요일,447,승차,동대입구,322,13585,2021-12-31
17,17,29,26,48,36,26,36,42,51,58,60,70,55,29,18.0,21.0,9.0,5.0,,2021-07-26,월요일,653,승차,동대입구,322,14145,2021-12-31
16,18,30,27,40,41,31,32,44,53,45,71,72,40,37,16.0,15.0,22.0,2.0,,2021-07-27,화요일,652,승차,동대입구,322,14705,2021-12-31
14,13,33,22,28,44,28,39,45,46,57,64,66,53,34,20.0,12.0,21.0,2.0,,2021-07-28,수요일,641,승차,동대입구,322,15265,2021-12-31
19,18,27,22,39,40,35,38,61,37,73,78,74,40,32,14.0,21.0,17.0,3.0,,2021-07-29,목요일,688,승차,동대입구,322,15825,2021-12-31
13,18,22,29,23,40,33,41,58,70,73,60,76,51,28,19.0,17.0,19.0,1.0,,2021-07-30,금요일,691,승차,동대입구,322,16385,2021-12-31
14,14,15,24,34,27,38,38,40,40,51,51,54,39,22,20.0,11.0,17.0,2.0,,2021-07-31,토요일,551,승차,동대입구,322,16945,2021-12-31
13,8,14,15,22,22,21,38,31,32,39,35,43,33,12,12.0,10.0,13.0,1.0,,2021-08-01,일요일,414,승차,동대입구,322,17505,2021-12-31
21,13,15,22,29,24,37,44,47,49,66,65,54,60,31,19.0,15.0,10.0,1.0,,2021-08-02,월요일,622,승차,동대입구,322,18065,2021-12-31
15,16,27,25,44,34,37,40,58,65,59,76,64,45,37,11.0,14.0,18.0,2.0,,2021-08-03,화요일,687,승차,동대입구,322,18625,2021-12-31
19,17,18,17,33,40,36,33,52,71,83,85,55,34,27,20.0,12.0,15.0,2.0,,2021-08-04,수요일,669,승차,동대입구,322,19185,2021-12-31
11,18,25,24,42,34,41,43,52,79,77,80,83,54,18,22.0,11.0,15.0,1.0,,2021-08-05,목요일,730,승차,동대입구,322,19745,2021-12-31
19,17,18,28,42,40,39,27,54,59,73,76,54,45,35,27.0,11.0,12.0,4.0,,2021-08-06,금요일,680,승차,동대입구,322,20305,2021-12-31
15,12,15,22,37,33,40,29,50,42,57,45,40,55,15,16.0,18.0,18.0,0.0,,2021-08-07,토요일,559,승차,동대입구,322,20865,2021-12-31
17,8,24,12,20,20,31,51,36,43,47,26,51,26,24,8.0,13.0,12.0,1.0,,2021-08-08,일요일,470,승차,동대입구,322,21425,2021-12-31
19,20,19,28,45,41,50,42,56,58,56,89,79,58,29,20.0,12.0,12.0,0.0,,2021-08-09,월요일,733,승차,동대입구,322,21985,2021-12-31
18,19,34,29,48,46,50,50,63,69,66,84,65,45,50,20.0,12.0,13.0,1.0,,2021-08-10,화요일,782,승차,동대입구,322,22545,2021-12-31
17,15,22,18,30,37,43,45,59,49,83,87,74,59,34,24.0,21.0,14.0,1.0,,2021-08-11,수요일,732,승차,동대입구,322,23105,2021-12-31
19,19,25,32,39,40,45,47,59,47,85,78,81,37,33,11.0,14.0,23.0,2.0,,2021-08-12,목요일,736,승차,동대입구,322,23665,2021-12-31
14,15,21,27,35,47,48,47,62,64,70,75,73,51,31,16.0,15.0,28.0,2.0,,2021-08-13,금요일,741,승차,동대입구,322,24225,2021-12-31
17,11,23,19,32,40,52,44,52,49,73,54,58,65,39,13.0,18.0,20.0,0.0,,2021-08-14,토요일,679,승차,동대입구,322,24785,2021-12-31
12,10,12,22,25,24,43,31,46,60,69,67,55,55,24,23.0,11.0,18.0,0.0,,2021-08-15,일요일,607,승차,동대입구,322,25345,2021-12-31
20,7,17,30,33,34,43,47,45,67,63,57,63,57,34,17.0,21.0,13.0,3.0,,2021-08-16,월요일,671,승차,동대입구,322,25905,2021-12-31
15,19,26,26,31,46,50,55,54,69,74,102,93,59,31,10.0,20.0,11.0,1.0,,2021-08-17,화요일,792,승차,동대입구,322,26465,2021-12-31
18,15,28,13,28,38,39,46,52,67,76,83,82,56,38,23.0,20.0,19.0,0.0,,2021-08-18,수요일,741,승차,동대입구,322,27025,2021-12-31
18,15,19,20,32,47,66,44,58,74,107,114,60,71,28,19.0,12.0,11.0,0.0,,2021-08-19,목요일,815,승차,동대입구,322,27585,2021-12-31
17,19,26,23,36,38,39,55,61,73,81,83,72,51,30,18.0,19.0,14.0,1.0,,2021-08-20,금요일,756,승차,동대입구,322,28145,2021-12-31
22,9,16,12,41,24,34,29,41,38,59,61,53,38,11,15.0,12.0,20.0,1.0,,2021-08-21,토요일,536,승차,동대입구,322,28705,2021-12-31
