06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,수송일자,요일,일일합계,승하차구분,역명,역번호,연번,날짜
76,26,83,97,116,141,117,110,132,155,176,144,141,95,74,48.0,40.0,25.0,1.0,,2021-07-01,목요일,1797,승차,매봉,333,167,2021-12-31
72,19,62,100,136,155,107,89,129,147,163,162,156,107,62,48.0,39.0,30.0,4.0,,2021-07-02,금요일,1787,승차,매봉,333,727,2021-12-31
61,21,45,53,75,79,111,86,93,90,87,65,59,30,26,28.0,20.0,11.0,5.0,,2021-07-03,토요일,1045,승차,매봉,333,1287,2021-12-31
46,8,19,27,40,47,51,71,72,38,50,27,43,29,29,20.0,15.0,6.0,1.0,,2021-07-04,일요일,639,승차,매봉,333,1847,2021-12-31
76,25,68,96,131,138,136,104,138,176,210,155,163,103,54,58.0,37.0,9.0,2.0,,2021-07-05,월요일,1879,승차,매봉,333,2407,2021-12-31
77,16,76,102,146,138,146,134,138,167,174,138,156,70,62,31.0,40.0,17.0,4.0,,2021-07-06,화요일,1832,승차,매봉,333,2967,2021-12-31
79,21,75,90,131,134,151,112,110,152,155,158,137,98,53,38.0,34.0,14.0,3.0,,2021-07-07,수요일,1745,승차,매봉,333,3527,2021-12-31
77,15,69,86,115,120,149,104,129,168,168,147,135,77,75,35.0,60.0,14.0,1.0,,2021-07-08,목요일,1744,승차,매봉,333,4087,2021-12-31
85,22,61,103,118,96,105,88,114,127,126,133,144,94,49,38.0,39.0,11.0,2.0,,2021-07-09,금요일,1555,승차,매봉,333,4647,2021-12-31
63,20,39,47,61,69,91,65,86,79,56,48,47,41,35,16.0,17.0,16.0,3.0,,2021-07-10,토요일,899,승차,매봉,333,5207,2021-12-31
51,17,14,28,38,46,51,49,55,34,49,36,20,23,34,22.0,14.0,10.0,1.0,,2021-07-11,일요일,592,승차,매봉,333,5767,2021-12-31
74,20,74,98,105,120,116,82,111,143,148,134,137,83,51,33.0,27.0,8.0,1.0,,2021-07-12,월요일,1565,승차,매봉,333,6327,2021-12-31
79,31,63,101,112,106,108,105,106,131,151,143,115,81,37,27.0,27.0,11.0,1.0,,2021-07-13,화요일,1535,승차,매봉,333,6887,2021-12-31
78,21,72,92,111,139,114,87,107,147,130,130,119,79,45,29.0,21.0,4.0,2.0,,2021-07-14,수요일,1527,승차,매봉,333,7447,2021-12-31
66,32,75,82,108,95,93,104,100,116,135,137,119,82,45,25.0,29.0,6.0,2.0,,2021-07-15,목요일,1451,승차,매봉,333,8007,2021-12-31
77,16,66,99,105,106,97,86,87,114,130,125,126,98,60,41.0,24.0,9.0,1.0,,2021-07-16,금요일,1467,승차,매봉,333,8567,2021-12-31
60,25,35,57,65,71,71,58,73,61,57,46,41,43,29,14.0,14.0,8.0,1.0,,2021-07-17,토요일,829,승차,매봉,333,9127,2021-12-31
44,10,15,25,25,40,36,55,32,34,39,28,18,27,23,16.0,9.0,5.0,1.0,,2021-07-18,일요일,482,승차,매봉,333,9687,2021-12-31
73,24,67,98,115,113,111,96,96,111,151,140,130,110,35,36.0,22.0,12.0,0.0,,2021-07-19,월요일,1540,승차,매봉,333,10247,2021-12-31
74,18,64,80,121,114,106,104,103,130,152,140,134,72,55,34.0,26.0,11.0,3.0,,2021-07-20,화요일,1541,승차,매봉,333,10807,2021-12-31
71,21,66,86,120,126,112,85,92,109,126,111,125,77,48,40.0,16.0,9.0,3.0,,2021-07-21,수요일,1443,승차,매봉,333,11367,2021-12-31
83,15,64,81,92,99,100,88,100,127,112,130,114,83,40,39.0,23.0,9.0,0.0,,2021-07-22,목요일,1399,승차,매봉,333,11927,2021-12-31
67,28,73,88,106,115,110,91,87,79,133,104,115,80,47,32.0,27.0,12.0,2.0,,2021-07-23,금요일,1396,승차,매봉,333,12487,2021-12-31
57,13,44,47,65,81,81,64,62,61,51,50,47,32,30,23.0,16.0,6.0,5.0,,2021-07-24,토요일,835,승차,매봉,333,13047,2021-12-31
41,20,16,31,34,44,42,31,32,29,29,30,26,20,16,7.0,9.0,2.0,3.0,,2021-07-25,일요일,462,승차,매봉,333,13607,2021-12-31
72,16,63,97,114,124,91,84,110,136,136,129,130,100,42,32.0,21.0,8.0,4.0,,2021-07-26,월요일,1509,승차,매봉,333,14167,2021-12-31
69,28,77,83,118,89,83,109,121,112,141,126,123,74,50,20.0,24.0,8.0,3.0,,2021-07-27,화요일,1458,승차,매봉,333,14727,2021-12-31
77,20,65,87,104,106,90,92,103,114,107,116,131,69,56,35.0,21.0,6.0,3.0,,2021-07-28,수요일,1402,승차,매봉,333,15287,2021-12-31
72,29,57,85,105,90,91,95,92,120,124,121,129,79,49,42.0,19.0,10.0,0.0,,2021-07-29,목요일,1409,승차,매봉,333,15847,2021-12-31
69,22,57,93,98,109,102,78,102,110,121,120,135,83,50,44.0,34.0,7.0,0.0,,2021-07-30,금요일,1434,승차,매봉,333,16407,2021-12-31
62,22,38,41,48,63,63,57,68,55,48,43,42,29,28,27.0,17.0,9.0,1.0,,2021-07-31,토요일,761,승차,매봉,333,16967,2021-12-31
44,10,19,30,32,42,27,40,32,34,25,39,37,19,16,21.0,5.0,6.0,1.0,,2021-08-01,일요일,479,승차,매봉,333,17527,2021-12-31
63,21,67,72,98,125,105,79,100,125,125,152,120,86,47,38.0,31.0,6.0,1.0,,2021-08-02,월요일,1461,승차,매봉,333,18087,2021-12-31
74,16,73,85,95,117,103,108,100,112,138,125,109,76,46,29.0,21.0,6.0,2.0,,2021-08-03,화요일,1435,승차,매봉,333,18647,2021-12-31
69,25,66,74,95,122,96,101,94,116,112,137,106,69,52,28.0,32.0,8.0,4.0,,2021-08-04,수요일,1406,승차,매봉,333,19207,2021-12-31
65,17,60,84,107,125,105,95,106,111,128,112,108,81,44,47.0,30.0,9.0,1.0,,2021-08-05,목요일,1435,승차,매봉,333,19767,2021-12-31
73,22,70,88,100,97,100,97,103,120,118,108,128,81,45,28.0,24.0,7.0,2.0,,2021-08-06,금요일,1411,승차,매봉,333,20327,2021-12-31
59,15,44,47,69,62,92,46,49,60,59,58,48,41,39,27.0,16.0,12.0,1.0,,2021-08-07,토요일,844,승차,매봉,333,20887,2021-12-31
49,17,14,29,25,40,44,51,39,40,30,35,27,29,19,17.0,13.0,3.0,3.0,,2021-08-08,일요일,524,승차,매봉,333,21447,2021-12-31
74,15,63,81,117,112,108,100,123,162,137,152,139,90,48,36.0,25.0,9.0,1.0,,2021-08-09,월요일,1592,승차,매봉,333,22007,2021-12-31
71,19,64,101,112,127,107,109,115,123,141,148,131,76,49,34.0,35.0,9.0,0.0,,2021-08-10,화요일,1571,승차,매봉,333,22567,2021-12-31
68,23,59,83,108,113,120,98,105,129,140,130,149,90,44,35.0,27.0,13.0,2.0,,2021-08-11,수요일,1536,승차,매봉,333,23127,2021-12-31
72,30,66,92,120,97,109,104,88,136,154,145,110,83,48,42.0,33.0,13.0,1.0,,2021-08-12,목요일,1543,승차,매봉,333,23687,2021-12-31
73,15,59,88,115,104,105,125,103,127,132,130,114,65,50,31.0,21.0,11.0,0.0,,2021-08-13,금요일,1468,승차,매봉,333,24247,2021-12-31
55,21,40,49,60,69,98,67,66,81,63,52,61,46,29,35.0,10.0,9.0,1.0,,2021-08-14,토요일,912,승차,매봉,333,24807,2021-12-31
48,11,20,26,35,49,43,63,36,43,56,34,38,29,22,13.0,16.0,12.0,0.0,,2021-08-15,일요일,594,승차,매봉,333,25367,2021-12-31
50,15,35,51,63,94,70,63,81,86,80,84,61,63,43,28.0,22.0,8.0,0.0,,2021-08-16,월요일,997,승차,매봉,333,25927,2021-12-31
79,17,63,89,122,131,114,124,133,146,171,153,131,79,52,24.0,28.0,6.0,0.0,,2021-08-17,화요일,1662,승차,매봉,333,26487,2021-12-31
67,25,64,81,113,125,120,105,115,123,164,126,136,95,46,26.0,25.0,7.0,1.0,,2021-08-18,수요일,1564,승차,매봉,333,27047,2021-12-31
70,20,70,82,137,122,119,117,122,134,158,137,131,96,49,47.0,25.0,10.0,0.0,,2021-08-19,목요일,1646,승차,매봉,333,27607,2021-12-31
67,22,66,99,119,98,115,103,111,125,135,153,128,94,60,30.0,30.0,5.0,1.0,,2021-08-20,금요일,1561,승차,매봉,333,28167,2021-12-31
58,17,30,46,68,49,94,52,54,63,66,61,40,31,29,22.0,12.0,8.0,1.0,,2021-08-21,토요일,801,승차,매봉,333,28727,2021-12-31
