06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,수송일자,요일,일일합계,승하차구분,역명,역번호,연번,날짜
34,12,27,47,48,33,42,46,67,101,85,77,79,51,25,13.0,16.0,7.0,3.0,,2021-07-01,목요일,813,승차,몽촌토성(평화의문),2814,533,2021-12-31
29,16,34,49,52,57,52,56,66,63,110,88,76,32,25,19.0,20.0,12.0,5.0,,2021-07-02,금요일,861,승차,몽촌토성(평화의문),2814,1093,2021-12-31
27,16,19,35,36,46,43,64,46,49,57,48,27,33,7,11.0,7.0,3.0,0.0,,2021-07-03,토요일,574,승차,몽촌토성(평화의문),2814,1653,2021-12-31
23,6,14,15,23,34,29,54,32,30,41,36,47,26,19,17.0,3.0,10.0,1.0,,2021-07-04,일요일,460,승차,몽촌토성(평화의문),2814,2213,2021-12-31
29,12,27,42,62,61,56,61,59,81,88,118,72,51,28,26.0,10.0,4.0,2.0,,2021-07-05,월요일,889,승차,몽촌토성(평화의문),2814,2773,2021-12-31
35,15,29,33,60,48,36,74,63,89,82,96,81,48,18,18.0,12.0,9.0,1.0,,2021-07-06,화요일,847,승차,몽촌토성(평화의문),2814,3333,2021-12-31
30,12,28,39,47,58,50,48,55,80,76,101,65,35,27,24.0,16.0,2.0,2.0,,2021-07-07,수요일,795,승차,몽촌토성(평화의문),2814,3893,2021-12-31
40,16,19,44,48,42,44,64,73,64,77,86,55,53,33,26.0,11.0,5.0,3.0,,2021-07-08,목요일,803,승차,몽촌토성(평화의문),2814,4453,2021-12-31
29,14,27,47,53,59,50,58,58,65,92,73,73,38,28,19.0,14.0,7.0,3.0,,2021-07-09,금요일,807,승차,몽촌토성(평화의문),2814,5013,2021-12-31
25,7,25,34,33,40,41,51,37,48,43,32,38,25,26,9.0,9.0,7.0,1.0,,2021-07-10,토요일,531,승차,몽촌토성(평화의문),2814,5573,2021-12-31
