06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,수송일자,요일,일일합계,승하차구분,역명,역번호,연번,날짜
40,41,43,71,98,72,52,46,57,54,68,56,42,31,20,13.0,11.0,7.0,6.0,,2021-07-01,목요일,828,승차,보문,2639,405,2021-12-31
40,40,47,63,131,104,59,60,58,67,72,43,31,36,22,20.0,15.0,6.0,2.0,,2021-07-02,금요일,916,승차,보문,2639,965,2021-12-31
30,35,31,40,74,78,65,49,47,30,35,20,16,19,6,9.0,4.0,3.0,2.0,,2021-07-03,토요일,593,승차,보문,2639,1525,2021-12-31
14,14,8,16,26,33,24,53,49,33,28,21,12,7,15,11.0,9.0,3.0,1.0,,2021-07-04,일요일,377,승차,보문,2639,2085,2021-12-31
35,43,44,74,94,80,59,45,61,85,69,53,46,26,18,12.0,8.0,3.0,5.0,,2021-07-05,월요일,860,승차,보문,2639,2645,2021-12-31
35,44,43,79,99,58,58,53,61,54,52,51,31,29,26,22.0,4.0,5.0,1.0,,2021-07-06,화요일,805,승차,보문,2639,3205,2021-12-31
35,44,33,80,68,53,54,50,53,64,66,49,60,28,18,22.0,14.0,5.0,2.0,,2021-07-07,수요일,798,승차,보문,2639,3765,2021-12-31
43,40,38,67,85,69,52,44,54,43,74,48,30,24,21,16.0,13.0,5.0,2.0,,2021-07-08,목요일,768,승차,보문,2639,4325,2021-12-31
45,42,46,71,90,75,52,49,60,49,68,56,35,29,20,9.0,14.0,8.0,2.0,,2021-07-09,금요일,820,승차,보문,2639,4885,2021-12-31
28,32,26,41,49,55,37,43,47,33,36,23,26,15,13,9.0,5.0,5.0,1.0,,2021-07-10,토요일,524,승차,보문,2639,5445,2021-12-31
12,17,16,26,37,43,23,60,36,29,29,14,16,21,13,5.0,9.0,4.0,2.0,,2021-07-11,일요일,412,승차,보문,2639,6005,2021-12-31
33,44,37,62,76,71,58,46,48,52,47,28,39,31,27,15.0,7.0,3.0,1.0,,2021-07-12,월요일,725,승차,보문,2639,6565,2021-12-31
39,39,44,67,67,67,41,45,53,40,65,52,36,30,18,12.0,10.0,5.0,2.0,,2021-07-13,화요일,732,승차,보문,2639,7125,2021-12-31
34,45,38,61,57,51,55,42,45,54,42,44,33,30,26,12.0,11.0,3.0,0.0,,2021-07-14,수요일,683,승차,보문,2639,7685,2021-12-31
