06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,수송일자,요일,일일합계,승하차구분,역명,역번호,연번,날짜
24,28,39,36,44,39,37,49,42,31,33,48,27,29,5,13.0,3.0,0.0,2.0,,2021-07-01,목요일,529,승차,부천종합운동장,2754,511,2021-12-31
23,25,36,42,47,48,42,29,28,30,23,31,31,26,9,9.0,6.0,4.0,1.0,,2021-07-02,금요일,490,승차,부천종합운동장,2754,1071,2021-12-31
14,22,26,29,38,37,50,47,27,31,48,16,16,9,17,5.0,4.0,0.0,0.0,,2021-07-03,토요일,436,승차,부천종합운동장,2754,1631,2021-12-31
10,13,13,14,23,20,21,21,15,15,19,12,21,11,9,6.0,6.0,1.0,0.0,,2021-07-04,일요일,250,승차,부천종합운동장,2754,2191,2021-12-31
26,27,29,32,48,57,41,31,44,35,36,36,37,30,13,10.0,5.0,2.0,1.0,,2021-07-05,월요일,540,승차,부천종합운동장,2754,2751,2021-12-31
24,25,38,21,40,42,40,32,38,24,29,43,39,26,17,7.0,6.0,1.0,1.0,,2021-07-06,화요일,493,승차,부천종합운동장,2754,3311,2021-12-31
25,28,31,26,39,58,30,35,34,37,20,43,42,23,13,7.0,4.0,1.0,0.0,,2021-07-07,수요일,496,승차,부천종합운동장,2754,3871,2021-12-31
26,25,37,35,48,38,42,38,31,34,27,36,27,33,16,22.0,9.0,1.0,1.0,,2021-07-08,목요일,526,승차,부천종합운동장,2754,4431,2021-12-31
28,29,28,32,45,51,42,35,34,27,30,43,15,24,13,10.0,4.0,6.0,0.0,,2021-07-09,금요일,496,승차,부천종합운동장,2754,4991,2021-12-31
17,23,19,22,26,35,38,46,26,24,25,24,21,14,9,5.0,2.0,2.0,0.0,,2021-07-10,토요일,378,승차,부천종합운동장,2754,5551,2021-12-31
9,11,18,11,31,19,29,27,21,12,18,17,16,7,8,4.0,2.0,3.0,0.0,,2021-07-11,일요일,263,승차,부천종합운동장,2754,6111,2021-12-31
23,24,30,28,50,35,47,40,39,32,20,32,29,33,7,6.0,5.0,1.0,0.0,,2021-07-12,월요일,481,승차,부천종합운동장,2754,6671,2021-12-31
23,26,38,28,42,32,26,35,25,29,24,29,30,25,9,7.0,5.0,3.0,0.0,,2021-07-13,화요일,436,승차,부천종합운동장,2754,7231,2021-12-31
25,21,32,33,42,26,27,40,16,30,26,26,38,26,10,7.0,6.0,3.0,1.0,,2021-07-14,수요일,435,승차,부천종합운동장,2754,7791,2021-12-31
20,28,42,34,31,35,34,27,27,22,14,29,34,24,8,8.0,4.0,1.0,0.0,,2021-07-15,목요일,422,승차,부천종합운동장,2754,8351,2021-12-31
25,19,36,32,38,41,35,20,38,29,18,30,34,23,10,4.0,4.0,3.0,0.0,,2021-07-16,금요일,439,승차,부천종합운동장,2754,8911,2021-12-31
18,20,23,27,38,26,29,32,13,25,26,31,31,19,10,6.0,2.0,2.0,1.0,,2021-07-17,토요일,379,승차,부천종합운동장,2754,9471,2021-12-31
8,9,19,14,36,23,31,28,25,21,17,17,19,15,9,6.0,4.0,1.0,0.0,,2021-07-18,일요일,302,승차,부천종합운동장,2754,10031,2021-12-31
26,25,36,34,45,44,43,31,36,26,22,22,34,22,6,3.0,7.0,2.0,1.0,,2021-07-19,월요일,465,승차,부천종합운동장,2754,10591,2021-12-31
27,21,35,32,40,45,24,31,22,30,19,37,39,24,8,1.0,5.0,2.0,1.0,,2021-07-20,화요일,443,승차,부천종합운동장,2754,11151,2021-12-31
26,25,31,38,50,23,24,15,25,18,19,25,24,14,11,8.0,3.0,3.0,0.0,,2021-07-21,수요일,382,승차,부천종합운동장,2754,11711,2021-12-31
28,18,30,36,40,34,32,36,17,17,22,37,35,16,7,9.0,7.0,1.0,0.0,,2021-07-22,목요일,422,승차,부천종합운동장,2754,12271,2021-12-31
26,22,31,41,35,40,33,29,32,32,23,20,28,22,8,6.0,10.0,2.0,0.0,,2021-07-23,금요일,440,승차,부천종합운동장,2754,12831,2021-12-31
19,13,19,31,35,38,33,39,14,10,15,15,19,18,14,3.0,4.0,3.0,0.0,,2021-07-24,토요일,342,승차,부천종합운동장,2754,13391,2021-12-31
11,10,25,31,24,22,27,23,16,8,15,17,9,10,13,3.0,4.0,2.0,0.0,,2021-07-25,일요일,270,승차,부천종합운동장,2754,13951,2021-12-31
22,20,31,29,41,39,38,23,32,29,25,32,31,21,6,9.0,5.0,2.0,0.0,,2021-07-26,월요일,435,승차,부천종합운동장,2754,14511,2021-12-31
19,28,35,31,44,33,45,20,24,31,17,35,26,21,9,8.0,4.0,4.0,0.0,,2021-07-27,화요일,434,승차,부천종합운동장,2754,15071,2021-12-31
20,21,32,39,40,28,33,26,26,15,26,31,21,12,10,3.0,3.0,2.0,0.0,,2021-07-28,수요일,388,승차,부천종합운동장,2754,15631,2021-12-31
21,28,27,29,47,31,30,30,28,34,24,23,34,21,12,5.0,6.0,1.0,0.0,,2021-07-29,목요일,431,승차,부천종합운동장,2754,16191,2021-12-31
17,21,34,31,47,28,37,27,25,32,26,18,23,17,16,3.0,10.0,1.0,1.0,,2021-07-30,금요일,414,승차,부천종합운동장,2754,16751,2021-12-31
15,20,32,24,25,36,37,25,27,15,21,18,21,12,10,10.0,1.0,1.0,0.0,,2021-07-31,토요일,350,승차,부천종합운동장,2754,17311,2021-12-31
15,5,20,16,19,24,19,18,17,18,6,25,20,8,13,5.0,3.0,1.0,0.0,,2021-08-01,일요일,252,승차,부천종합운동장,2754,17871,2021-12-31
33,26,30,31,32,26,39,23,16,26,34,20,24,22,10,5.0,5.0,3.0,0.0,,2021-08-02,월요일,405,승차,부천종합운동장,2754,18431,2021-12-31
25,25,37,30,36,37,26,19,28,39,20,30,30,21,13,8.0,6.0,1.0,0.0,,2021-08-03,화요일,431,승차,부천종합운동장,2754,18991,2021-12-31
27,24,36,36,37,33,36,25,30,24,21,29,31,13,17,7.0,6.0,3.0,0.0,,2021-08-04,수요일,435,승차,부천종합운동장,2754,19551,2021-12-31
26,19,41,29,33,39,34,35,14,24,22,23,31,25,9,4.0,3.0,2.0,0.0,,2021-08-05,목요일,413,승차,부천종합운동장,2754,20111,2021-12-31
25,29,33,39,45,28,34,20,23,24,24,30,21,21,12,5.0,5.0,3.0,0.0,,2021-08-06,금요일,421,승차,부천종합운동장,2754,20671,2021-12-31
16,14,27,26,31,34,61,27,27,13,22,23,18,19,14,3.0,4.0,4.0,0.0,,2021-08-07,토요일,383,승차,부천종합운동장,2754,21231,2021-12-31
9,16,25,21,25,33,40,32,18,14,20,23,6,7,7,0.0,1.0,1.0,0.0,,2021-08-08,일요일,298,승차,부천종합운동장,2754,21791,2021-12-31
19,21,39,39,32,32,34,33,18,28,24,29,34,32,14,4.0,5.0,3.0,2.0,,2021-08-09,월요일,442,승차,부천종합운동장,2754,22351,2021-12-31
25,21,42,33,43,41,37,32,23,23,17,34,33,29,11,8.0,7.0,4.0,0.0,,2021-08-10,화요일,463,승차,부천종합운동장,2754,22911,2021-12-31
27,19,30,32,35,36,43,23,32,19,19,24,30,23,8,8.0,6.0,2.0,1.0,,2021-08-11,수요일,417,승차,부천종합운동장,2754,23471,2021-12-31
19,20,38,32,27,41,42,33,21,29,29,29,40,22,8,5.0,3.0,1.0,0.0,,2021-08-12,목요일,439,승차,부천종합운동장,2754,24031,2021-12-31
23,20,29,35,37,42,35,25,21,22,27,26,23,31,13,5.0,6.0,1.0,0.0,,2021-08-13,금요일,421,승차,부천종합운동장,2754,24591,2021-12-31
12,20,28,24,37,39,50,31,23,22,26,18,18,16,8,7.0,10.0,3.0,0.0,,2021-08-14,토요일,392,승차,부천종합운동장,2754,25151,2021-12-31
8,9,19,13,26,21,40,29,28,13,22,18,16,14,14,4.0,2.0,0.0,0.0,,2021-08-15,일요일,296,승차,부천종합운동장,2754,25711,2021-12-31
11,13,25,31,48,48,43,38,23,8,23,23,25,14,14,6.0,3.0,3.0,0.0,,2021-08-16,월요일,399,승차,부천종합운동장,2754,26271,2021-12-31
19,22,37,36,35,40,34,34,19,30,26,30,29,21,10,3.0,5.0,1.0,0.0,,2021-08-17,화요일,431,승차,부천종합운동장,2754,26831,2021-12-31
22,22,32,37,24,23,12,27,20,29,33,32,36,18,15,9.0,5.0,1.0,1.0,,2021-08-18,수요일,398,승차,부천종합운동장,2754,27391,2021-12-31
24,23,32,36,35,38,44,29,32,30,28,32,28,24,12,5.0,3.0,4.0,1.0,,2021-08-19,목요일,460,승차,부천종합운동장,2754,27951,2021-12-31
28,22,31,38,47,46,35,23,38,33,32,31,33,23,10,7.0,3.0,3.0,0.0,,2021-08-20,금요일,483,승차,부천종합운동장,2754,28511,2021-12-31
10,21,19,22,14,26,22,16,13,17,20,33,16,11,10,1.0,3.0,3.0,0.0,,2021-08-21,토요일,277,승차,부천종합운동장,2754,29071,2021-12-31
11,19,25,21,26,41,43,29,26,24,25,30,23,8,13,3.0,7.0,0.0,0.0,,2021-08-22,일요일,374,승차,부천종합운동장,2754,29631,2021-12-31
