06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,수송일자,요일,일일합계,승하차구분,역명,역번호,연번,날짜
11,9,13,23,33,36,45,37,61,66,52,62,50,39,32,14.0,5.0,6.0,2.0,,2021-07-01,목요일,596,승차,삼각지,428,225,2021-12-31
13,10,11,27,24,18,21,28,31,31,46,38,39,26,22,7.0,15.0,6.0,1.0,,2021-07-01,목요일,414,승차,삼각지,2629,385,2021-12-31
12,8,20,25,30,41,40,38,49,73,61,70,43,55,28,17.0,21.0,14.0,6.0,,2021-07-02,금요일,651,승차,삼각지,428,785,2021-12-31
14,14,12,10,15,26,26,37,45,42,65,37,39,19,22,15.0,9.0,1.0,1.0,,2021-07-02,금요일,449,승차,삼각지,2629,945,2021-12-31
15,5,14,10,24,28,34,15,31,30,24,31,39,10,23,10.0,11.0,6.0,1.0,,2021-07-03,토요일,361,승차,삼각지,428,1345,2021-12-31
18,7,5,8,13,23,18,22,26,29,36,20,23,11,8,9.0,5.0,2.0,1.0,,2021-07-03,토요일,284,승차,삼각지,2629,1505,2021-12-31
5,1,11,5,16,14,16,69,45,32,28,24,28,10,11,8.0,8.0,4.0,1.0,,2021-07-04,일요일,336,승차,삼각지,428,1905,2021-12-31
8,3,6,3,9,8,12,24,19,11,18,15,9,9,5,1.0,2.0,0.0,0.0,,2021-07-04,일요일,162,승차,삼각지,2629,2065,2021-12-31
16,7,16,22,38,46,37,50,48,58,57,50,53,32,17,18.0,8.0,9.0,1.0,,2021-07-05,월요일,583,승차,삼각지,428,2465,2021-12-31
16,7,10,16,20,21,36,24,28,47,51,30,29,20,17,15.0,10.0,4.0,2.0,,2021-07-05,월요일,403,승차,삼각지,2629,2625,2021-12-31
15,8,16,15,33,47,40,27,59,68,68,48,41,43,24,27.0,15.0,8.0,1.0,,2021-07-06,화요일,603,승차,삼각지,428,3025,2021-12-31
17,13,10,13,19,30,23,26,39,44,51,45,24,20,20,18.0,13.0,3.0,0.0,,2021-07-06,화요일,428,승차,삼각지,2629,3185,2021-12-31
11,7,15,28,35,30,43,39,69,69,51,42,46,37,19,23.0,19.0,6.0,0.0,,2021-07-07,수요일,589,승차,삼각지,428,3585,2021-12-31
16,13,12,20,16,25,26,27,45,30,55,45,35,19,24,17.0,11.0,8.0,2.0,,2021-07-07,수요일,446,승차,삼각지,2629,3745,2021-12-31
9,7,19,23,28,39,36,27,64,83,57,44,47,43,19,16.0,14.0,10.0,1.0,,2021-07-08,목요일,586,승차,삼각지,428,4145,2021-12-31
18,11,9,11,30,33,23,19,46,45,61,39,51,27,12,18.0,14.0,3.0,0.0,,2021-07-08,목요일,470,승차,삼각지,2629,4305,2021-12-31
13,6,20,28,33,34,31,32,45,52,46,40,36,41,19,12.0,17.0,18.0,2.0,,2021-07-09,금요일,525,승차,삼각지,428,4705,2021-12-31
16,10,10,9,22,33,33,19,32,37,40,29,36,22,15,11.0,10.0,6.0,1.0,,2021-07-09,금요일,391,승차,삼각지,2629,4865,2021-12-31
14,4,11,17,23,23,26,25,27,28,31,30,31,32,16,15.0,22.0,5.0,0.0,,2021-07-10,토요일,380,승차,삼각지,428,5265,2021-12-31
8,7,11,4,13,20,19,19,13,25,35,16,13,10,7,9.0,4.0,4.0,0.0,,2021-07-10,토요일,237,승차,삼각지,2629,5425,2021-12-31
7,3,11,7,10,24,16,39,32,20,30,16,15,14,6,8.0,5.0,1.0,1.0,,2021-07-11,일요일,265,승차,삼각지,428,5825,2021-12-31
8,3,9,3,8,11,13,24,9,10,17,17,5,12,5,1.0,6.0,1.0,0.0,,2021-07-11,일요일,162,승차,삼각지,2629,5985,2021-12-31
11,8,18,27,27,35,39,47,48,34,48,32,30,35,16,9.0,7.0,6.0,2.0,,2021-07-12,월요일,479,승차,삼각지,428,6385,2021-12-31
19,16,8,11,24,15,22,27,24,49,46,32,32,26,14,10.0,10.0,3.0,2.0,,2021-07-12,월요일,390,승차,삼각지,2629,6545,2021-12-31
