06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,수송일자,요일,일일합계,승하차구분,역명,역번호,연번,날짜
23,7,27,30,77,46,52,49,45,51,47,51,55,29,26,12.0,8.0,9.0,1.0,,2021-07-01,목요일,645,승차,상수,2624,375,2021-12-31
19,9,26,34,71,42,37,47,54,46,42,36,42,32,23,24.0,11.0,8.0,2.0,,2021-07-02,금요일,605,승차,상수,2624,935,2021-12-31
20,8,16,17,47,34,37,33,37,22,23,28,18,20,11,4.0,9.0,11.0,0.0,,2021-07-03,토요일,395,승차,상수,2624,1495,2021-12-31
8,6,12,9,16,23,22,30,20,22,15,12,7,6,6,3.0,9.0,8.0,0.0,,2021-07-04,일요일,234,승차,상수,2624,2055,2021-12-31
24,7,35,44,58,52,50,58,48,38,56,39,56,31,17,8.0,8.0,8.0,0.0,,2021-07-05,월요일,637,승차,상수,2624,2615,2021-12-31
22,9,28,28,73,43,47,41,62,41,42,45,49,23,31,10.0,16.0,10.0,1.0,,2021-07-06,화요일,621,승차,상수,2624,3175,2021-12-31
23,10,28,24,50,55,44,51,58,43,42,28,58,23,31,8.0,10.0,10.0,1.0,,2021-07-07,수요일,597,승차,상수,2624,3735,2021-12-31
17,10,27,27,58,39,32,46,58,46,50,35,34,28,22,5.0,3.0,8.0,1.0,,2021-07-08,목요일,546,승차,상수,2624,4295,2021-12-31
21,13,30,35,60,57,36,40,44,48,44,43,41,30,19,10.0,9.0,7.0,1.0,,2021-07-09,금요일,588,승차,상수,2624,4855,2021-12-31
13,7,17,21,40,46,31,35,24,38,23,30,18,18,9,11.0,6.0,11.0,0.0,,2021-07-10,토요일,398,승차,상수,2624,5415,2021-12-31
15,2,9,17,16,16,13,28,12,19,13,20,13,11,14,4.0,7.0,5.0,0.0,,2021-07-11,일요일,234,승차,상수,2624,5975,2021-12-31
19,5,28,36,58,41,36,37,34,45,40,42,42,19,27,9.0,8.0,4.0,2.0,,2021-07-12,월요일,532,승차,상수,2624,6535,2021-12-31
22,9,26,28,61,51,32,38,42,33,56,32,40,31,22,13.0,5.0,7.0,1.0,,2021-07-13,화요일,549,승차,상수,2624,7095,2021-12-31
17,7,27,32,41,46,36,50,41,42,46,37,43,28,19,13.0,6.0,3.0,1.0,,2021-07-14,수요일,535,승차,상수,2624,7655,2021-12-31
24,7,21,32,45,34,29,43,38,38,41,39,44,27,18,4.0,10.0,2.0,0.0,,2021-07-15,목요일,496,승차,상수,2624,8215,2021-12-31
15,23,24,35,68,45,36,35,41,40,45,46,31,26,19,13.0,5.0,7.0,1.0,,2021-07-16,금요일,555,승차,상수,2624,8775,2021-12-31
22,5,18,24,27,48,33,19,26,23,28,25,11,19,11,2.0,7.0,7.0,0.0,,2021-07-17,토요일,355,승차,상수,2624,9335,2021-12-31
12,4,10,20,27,14,18,16,15,11,16,8,19,8,13,5.0,4.0,5.0,1.0,,2021-07-18,일요일,226,승차,상수,2624,9895,2021-12-31
22,6,25,35,61,53,43,36,36,43,41,41,42,17,21,15.0,5.0,4.0,2.0,,2021-07-19,월요일,548,승차,상수,2624,10455,2021-12-31
16,10,27,31,72,31,44,31,40,38,62,32,43,31,18,8.0,7.0,4.0,1.0,,2021-07-20,화요일,546,승차,상수,2624,11015,2021-12-31
19,10,27,31,56,38,42,44,35,38,41,44,41,34,21,10.0,12.0,4.0,0.0,,2021-07-21,수요일,547,승차,상수,2624,11575,2021-12-31
14,9,21,30,49,34,41,37,33,34,28,43,35,30,21,13.0,8.0,7.0,1.0,,2021-07-22,목요일,488,승차,상수,2624,12135,2021-12-31
25,10,21,37,64,47,36,35,43,29,43,34,40,30,24,10.0,12.0,8.0,1.0,,2021-07-23,금요일,549,승차,상수,2624,12695,2021-12-31
17,4,18,23,28,32,25,25,21,21,13,15,14,15,12,8.0,11.0,5.0,0.0,,2021-07-24,토요일,307,승차,상수,2624,13255,2021-12-31
15,5,11,12,21,20,12,20,10,13,20,10,10,15,10,3.0,5.0,5.0,0.0,,2021-07-25,일요일,217,승차,상수,2624,13815,2021-12-31
17,10,21,34,61,47,31,42,47,38,40,29,36,28,21,9.0,8.0,7.0,1.0,,2021-07-26,월요일,527,승차,상수,2624,14375,2021-12-31
22,13,22,45,70,40,32,42,43,47,45,31,34,32,21,16.0,8.0,4.0,0.0,,2021-07-27,화요일,567,승차,상수,2624,14935,2021-12-31
16,12,28,32,59,46,27,46,43,34,36,33,34,33,22,11.0,10.0,2.0,1.0,,2021-07-28,수요일,525,승차,상수,2624,15495,2021-12-31
27,11,18,30,47,41,38,42,37,43,42,41,29,34,19,12.0,10.0,4.0,1.0,,2021-07-29,목요일,526,승차,상수,2624,16055,2021-12-31
17,11,24,27,78,48,20,34,40,28,40,40,37,33,20,8.0,8.0,4.0,1.0,,2021-07-30,금요일,518,승차,상수,2624,16615,2021-12-31
21,6,14,21,42,38,24,18,28,18,19,15,18,17,13,10.0,5.0,8.0,0.0,,2021-07-31,토요일,335,승차,상수,2624,17175,2021-12-31
13,3,11,11,14,13,23,19,23,22,15,17,7,9,3,2.0,8.0,5.0,0.0,,2021-08-01,일요일,218,승차,상수,2624,17735,2021-12-31
23,6,24,31,45,42,53,35,51,39,37,27,37,30,26,9.0,5.0,4.0,0.0,,2021-08-02,월요일,524,승차,상수,2624,18295,2021-12-31
17,15,23,40,54,52,32,41,37,45,41,29,40,25,15,9.0,6.0,5.0,1.0,,2021-08-03,화요일,527,승차,상수,2624,18855,2021-12-31
22,11,28,37,42,40,41,42,30,32,37,47,44,25,24,6.0,7.0,1.0,2.0,,2021-08-04,수요일,518,승차,상수,2624,19415,2021-12-31
20,11,24,42,44,42,33,31,40,30,51,30,36,35,19,14.0,2.0,3.0,0.0,,2021-08-05,목요일,507,승차,상수,2624,19975,2021-12-31
25,9,21,47,50,50,39,45,38,42,37,33,30,31,17,9.0,4.0,5.0,2.0,,2021-08-06,금요일,534,승차,상수,2624,20535,2021-12-31
20,8,16,34,41,39,24,17,25,14,24,23,23,17,13,8.0,7.0,11.0,2.0,,2021-08-07,토요일,366,승차,상수,2624,21095,2021-12-31
17,5,6,13,32,19,19,14,17,19,13,16,18,15,7,4.0,4.0,3.0,0.0,,2021-08-08,일요일,241,승차,상수,2624,21655,2021-12-31
17,6,33,39,59,49,35,50,36,34,51,51,34,30,16,13.0,7.0,5.0,1.0,,2021-08-09,월요일,566,승차,상수,2624,22215,2021-12-31
22,15,27,32,62,51,47,41,42,42,56,42,37,21,24,12.0,8.0,3.0,2.0,,2021-08-10,화요일,586,승차,상수,2624,22775,2021-12-31
19,14,26,42,48,40,36,50,47,43,42,41,44,22,21,14.0,12.0,3.0,1.0,,2021-08-11,수요일,565,승차,상수,2624,23335,2021-12-31
23,10,21,32,53,42,33,33,38,46,48,56,33,28,27,13.0,5.0,2.0,0.0,,2021-08-12,목요일,543,승차,상수,2624,23895,2021-12-31
13,14,26,36,67,52,42,33,47,52,33,37,43,22,19,10.0,8.0,3.0,1.0,,2021-08-13,금요일,558,승차,상수,2624,24455,2021-12-31
20,4,11,26,32,44,44,34,31,21,20,28,16,11,17,7.0,6.0,5.0,1.0,,2021-08-14,토요일,378,승차,상수,2624,25015,2021-12-31
11,4,11,22,18,36,20,14,18,19,18,19,18,15,3,10.0,2.0,7.0,1.0,,2021-08-15,일요일,266,승차,상수,2624,25575,2021-12-31
17,7,14,25,33,33,32,25,29,26,23,21,19,15,16,12.0,2.0,4.0,1.0,,2021-08-16,월요일,354,승차,상수,2624,26135,2021-12-31
21,5,24,35,64,52,35,54,50,39,36,43,47,29,20,13.0,5.0,2.0,1.0,,2021-08-17,화요일,575,승차,상수,2624,26695,2021-12-31
24,12,28,30,56,34,36,51,52,40,46,47,42,26,25,13.0,2.0,5.0,1.0,,2021-08-18,수요일,570,승차,상수,2624,27255,2021-12-31
18,5,28,38,58,43,33,47,41,38,43,40,43,31,16,15.0,10.0,3.0,1.0,,2021-08-19,목요일,551,승차,상수,2624,27815,2021-12-31
16,10,25,37,47,42,33,44,44,30,42,45,40,30,18,14.0,6.0,5.0,1.0,,2021-08-20,금요일,529,승차,상수,2624,28375,2021-12-31
17,3,17,30,35,40,28,22,15,19,22,32,21,15,7,4.0,6.0,3.0,1.0,,2021-08-21,토요일,337,승차,상수,2624,28935,2021-12-31
14,6,8,17,30,20,18,20,20,30,16,13,10,8,9,3.0,3.0,4.0,1.0,,2021-08-22,일요일,250,승차,상수,2624,29495,2021-12-31
23,5,25,41,61,43,52,46,39,36,53,41,42,25,16,13.0,7.0,1.0,1.0,,2021-08-23,월요일,570,승차,상수,2624,30055,2021-12-31
23,7,28,26,61,38,38,38,48,54,35,32,45,27,17,17.0,5.0,3.0,1.0,,2021-08-24,화요일,543,승차,상수,2624,30615,2021-12-31
19,9,26,36,59,45,32,52,53,39,45,29,52,24,21,12.0,4.0,1.0,0.0,,2021-08-25,수요일,558,승차,상수,2624,31175,2021-12-31
24,11,28,27,66,43,37,48,67,38,41,38,41,26,19,13.0,4.0,3.0,0.0,,2021-08-26,목요일,574,승차,상수,2624,31735,2021-12-31
