06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,수송일자,요일,일일합계,승하차구분,역명,역번호,연번,날짜
63,61,87,126,106,98,75,65,85,64,65,53,41,32,38,11.0,4.0,1.0,1.0,,2021-07-01,목요일,1076,승차,상월곡(한국과학기술연구원),2643,413,2021-12-31
57,46,81,104,106,103,86,78,70,77,51,63,57,31,31,9.0,9.0,7.0,2.0,,2021-07-02,금요일,1068,승차,상월곡(한국과학기술연구원),2643,973,2021-12-31
29,44,61,83,91,65,66,76,54,48,40,27,22,15,15,6.0,1.0,1.0,0.0,,2021-07-03,토요일,744,승차,상월곡(한국과학기술연구원),2643,1533,2021-12-31
12,20,19,38,53,64,72,55,55,43,26,28,21,15,7,8.0,5.0,2.0,2.0,,2021-07-04,일요일,545,승차,상월곡(한국과학기술연구원),2643,2093,2021-12-31
58,63,83,106,110,97,87,79,79,70,85,53,49,26,29,11.0,5.0,5.0,3.0,,2021-07-05,월요일,1098,승차,상월곡(한국과학기술연구원),2643,2653,2021-12-31
57,53,83,116,116,94,97,84,66,71,67,56,46,26,26,6.0,8.0,3.0,3.0,,2021-07-06,화요일,1078,승차,상월곡(한국과학기술연구원),2643,3213,2021-12-31
62,57,86,101,111,87,91,67,63,75,59,51,52,28,28,11.0,9.0,4.0,0.0,,2021-07-07,수요일,1042,승차,상월곡(한국과학기술연구원),2643,3773,2021-12-31
53,52,81,113,106,99,74,72,67,64,47,48,46,29,34,8.0,7.0,4.0,1.0,,2021-07-08,목요일,1005,승차,상월곡(한국과학기술연구원),2643,4333,2021-12-31
57,61,72,100,120,96,81,71,75,72,53,47,46,25,28,17.0,8.0,4.0,1.0,,2021-07-09,금요일,1034,승차,상월곡(한국과학기술연구원),2643,4893,2021-12-31
33,36,59,57,100,86,60,55,70,42,59,22,29,20,11,12.0,4.0,0.0,0.0,,2021-07-10,토요일,755,승차,상월곡(한국과학기술연구원),2643,5453,2021-12-31
23,29,17,41,57,62,55,41,43,37,40,20,19,14,8,8.0,0.0,1.0,0.0,,2021-07-11,일요일,515,승차,상월곡(한국과학기술연구원),2643,6013,2021-12-31
51,59,78,112,104,82,59,56,85,49,68,41,35,32,32,14.0,5.0,4.0,1.0,,2021-07-12,월요일,967,승차,상월곡(한국과학기술연구원),2643,6573,2021-12-31
48,58,81,100,118,78,67,71,65,52,58,41,47,29,30,19.0,10.0,2.0,2.0,,2021-07-13,화요일,976,승차,상월곡(한국과학기술연구원),2643,7133,2021-12-31
55,52,72,101,89,81,66,60,59,73,54,64,50,23,35,13.0,10.0,4.0,1.0,,2021-07-14,수요일,962,승차,상월곡(한국과학기술연구원),2643,7693,2021-12-31
54,57,69,110,97,87,57,75,55,55,43,30,43,23,28,9.0,6.0,3.0,1.0,,2021-07-15,목요일,902,승차,상월곡(한국과학기술연구원),2643,8253,2021-12-31
54,58,75,114,97,94,64,58,72,54,54,54,43,22,20,14.0,10.0,2.0,2.0,,2021-07-16,금요일,961,승차,상월곡(한국과학기술연구원),2643,8813,2021-12-31
40,59,60,70,92,66,50,50,42,44,35,40,22,22,12,5.0,5.0,2.0,1.0,,2021-07-17,토요일,717,승차,상월곡(한국과학기술연구원),2643,9373,2021-12-31
15,24,33,58,69,51,40,34,29,36,29,32,14,11,10,4.0,4.0,1.0,0.0,,2021-07-18,일요일,494,승차,상월곡(한국과학기술연구원),2643,9933,2021-12-31
49,69,80,102,102,98,72,68,69,47,66,44,50,25,33,8.0,2.0,0.0,1.0,,2021-07-19,월요일,985,승차,상월곡(한국과학기술연구원),2643,10493,2021-12-31
54,55,82,96,112,93,72,65,67,76,58,48,37,29,36,15.0,4.0,1.0,1.0,,2021-07-20,화요일,1001,승차,상월곡(한국과학기술연구원),2643,11053,2021-12-31
54,57,75,102,117,73,62,60,65,52,52,51,43,28,28,13.0,5.0,6.0,3.0,,2021-07-21,수요일,946,승차,상월곡(한국과학기술연구원),2643,11613,2021-12-31
56,56,64,111,121,84,58,70,54,60,59,37,42,29,27,8.0,6.0,3.0,3.0,,2021-07-22,목요일,948,승차,상월곡(한국과학기술연구원),2643,12173,2021-12-31
49,58,92,96,117,94,78,53,42,56,52,53,45,37,31,13.0,6.0,3.0,2.0,,2021-07-23,금요일,977,승차,상월곡(한국과학기술연구원),2643,12733,2021-12-31
37,46,65,75,83,63,41,46,41,36,32,21,23,19,13,15.0,6.0,1.0,0.0,,2021-07-24,토요일,663,승차,상월곡(한국과학기술연구원),2643,13293,2021-12-31
22,35,32,51,58,63,28,33,26,24,23,27,24,13,17,5.0,1.0,2.0,1.0,,2021-07-25,일요일,485,승차,상월곡(한국과학기술연구원),2643,13853,2021-12-31
58,54,71,120,123,76,63,62,52,56,61,51,32,35,36,15.0,5.0,2.0,2.0,,2021-07-26,월요일,974,승차,상월곡(한국과학기술연구원),2643,14413,2021-12-31
57,54,65,126,117,111,64,61,51,35,40,59,32,27,26,12.0,7.0,5.0,0.0,,2021-07-27,화요일,949,승차,상월곡(한국과학기술연구원),2643,14973,2021-12-31
56,57,74,112,103,102,62,53,58,44,67,44,46,35,23,7.0,7.0,4.0,1.0,,2021-07-28,수요일,955,승차,상월곡(한국과학기술연구원),2643,15533,2021-12-31
52,59,57,122,116,82,70,56,46,61,47,51,50,21,37,9.0,3.0,2.0,1.0,,2021-07-29,목요일,942,승차,상월곡(한국과학기술연구원),2643,16093,2021-12-31
47,55,82,101,100,74,60,56,55,44,57,45,54,30,29,11.0,9.0,4.0,0.0,,2021-07-30,금요일,913,승차,상월곡(한국과학기술연구원),2643,16653,2021-12-31
28,38,46,68,75,68,58,45,62,29,48,32,25,16,14,6.0,2.0,3.0,0.0,,2021-07-31,토요일,663,승차,상월곡(한국과학기술연구원),2643,17213,2021-12-31
9,26,20,46,56,46,34,35,39,30,41,25,13,17,8,6.0,5.0,9.0,0.0,,2021-08-01,일요일,465,승차,상월곡(한국과학기술연구원),2643,17773,2021-12-31
51,59,62,94,105,73,73,62,67,62,64,48,40,19,23,12.0,5.0,3.0,1.0,,2021-08-02,월요일,923,승차,상월곡(한국과학기술연구원),2643,18333,2021-12-31
56,49,57,96,117,89,80,69,58,60,54,47,45,21,23,11.0,9.0,2.0,0.0,,2021-08-03,화요일,943,승차,상월곡(한국과학기술연구원),2643,18893,2021-12-31
56,54,55,93,107,86,78,74,53,72,61,32,57,22,23,18.0,3.0,3.0,1.0,,2021-08-04,수요일,948,승차,상월곡(한국과학기술연구원),2643,19453,2021-12-31
50,51,75,116,97,74,74,59,50,57,44,60,40,26,33,13.0,6.0,2.0,1.0,,2021-08-05,목요일,928,승차,상월곡(한국과학기술연구원),2643,20013,2021-12-31
52,60,78,112,94,87,70,73,52,56,52,43,46,27,19,14.0,4.0,5.0,1.0,,2021-08-06,금요일,945,승차,상월곡(한국과학기술연구원),2643,20573,2021-12-31
31,45,62,76,71,66,65,57,56,25,34,33,31,27,17,11.0,2.0,2.0,0.0,,2021-08-07,토요일,711,승차,상월곡(한국과학기술연구원),2643,21133,2021-12-31
22,39,22,49,64,64,40,47,41,43,27,20,15,21,6,2.0,3.0,0.0,0.0,,2021-08-08,일요일,525,승차,상월곡(한국과학기술연구원),2643,21693,2021-12-31
54,63,76,95,91,91,66,70,63,70,79,34,50,27,15,7.0,4.0,3.0,2.0,,2021-08-09,월요일,960,승차,상월곡(한국과학기술연구원),2643,22253,2021-12-31
52,59,72,96,98,90,86,58,57,53,52,55,44,26,15,15.0,4.0,4.0,1.0,,2021-08-10,화요일,937,승차,상월곡(한국과학기술연구원),2643,22813,2021-12-31
