06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,수송일자,요일,일일합계,승하차구분,역명,역번호,연번,날짜
54,60,61,71,73,93,84,84,96,64,78,51,86,51,23,15.0,13.0,4.0,0.0,,2021-07-01,목요일,1061,승차,수진,2826,557,2021-12-31
55,61,64,62,73,99,102,66,79,76,71,90,67,54,31,13.0,9.0,1.0,4.0,,2021-07-02,금요일,1077,승차,수진,2826,1117,2021-12-31
34,49,48,44,62,73,49,54,67,54,63,69,43,31,23,9.0,1.0,2.0,3.0,,2021-07-03,토요일,778,승차,수진,2826,1677,2021-12-31
16,20,22,26,41,46,43,52,54,49,57,38,39,19,9,12.0,8.0,4.0,2.0,,2021-07-04,일요일,557,승차,수진,2826,2237,2021-12-31
47,63,66,78,114,104,82,94,88,79,97,79,78,39,25,18.0,6.0,5.0,3.0,,2021-07-05,월요일,1165,승차,수진,2826,2797,2021-12-31
48,55,65,65,86,93,74,77,97,75,61,80,76,41,16,8.0,4.0,3.0,3.0,,2021-07-06,화요일,1027,승차,수진,2826,3357,2021-12-31
58,55,58,70,63,94,89,86,78,83,84,73,58,39,19,16.0,5.0,1.0,3.0,,2021-07-07,수요일,1032,승차,수진,2826,3917,2021-12-31
56,58,59,67,64,87,95,85,80,78,81,82,76,34,26,19.0,4.0,5.0,1.0,,2021-07-08,목요일,1057,승차,수진,2826,4477,2021-12-31
48,51,67,77,65,114,89,89,85,75,85,65,56,40,24,15.0,6.0,6.0,1.0,,2021-07-09,금요일,1058,승차,수진,2826,5037,2021-12-31
36,41,34,59,56,66,73,55,73,43,64,48,41,35,26,10.0,7.0,6.0,3.0,,2021-07-10,토요일,776,승차,수진,2826,5597,2021-12-31
28,27,20,29,39,37,27,38,57,40,22,29,27,23,11,13.0,6.0,0.0,1.0,,2021-07-11,일요일,474,승차,수진,2826,6157,2021-12-31
