06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,수송일자,요일,일일합계,승하차구분,역명,역번호,연번,날짜
43,44,67,68,93,96,67,65,58,64,62,59,45,41,52,33.0,12.0,8.0,2.0,,2021-07-01,목요일,979,승차,신금호,2539,295,2021-12-31
40,47,60,100,93,97,70,87,58,66,76,60,62,41,45,21.0,12.0,12.0,2.0,,2021-07-02,금요일,1049,승차,신금호,2539,855,2021-12-31
26,36,37,47,66,84,78,74,67,48,27,33,27,21,12,10.0,6.0,2.0,1.0,,2021-07-03,토요일,702,승차,신금호,2539,1415,2021-12-31
18,18,17,32,41,52,28,74,49,26,23,20,15,12,28,8.0,9.0,3.0,1.0,,2021-07-04,일요일,474,승차,신금호,2539,1975,2021-12-31
40,35,72,97,89,106,67,64,80,80,66,56,66,43,42,21.0,17.0,7.0,0.0,,2021-07-05,월요일,1048,승차,신금호,2539,2535,2021-12-31
39,46,60,97,97,86,65,62,75,73,65,62,51,50,50,32.0,11.0,7.0,1.0,,2021-07-06,화요일,1029,승차,신금호,2539,3095,2021-12-31
44,41,63,84,95,97,73,70,64,59,61,49,48,41,45,28.0,14.0,5.0,2.0,,2021-07-07,수요일,983,승차,신금호,2539,3655,2021-12-31
39,38,65,69,91,93,59,78,60,56,54,71,38,24,46,28.0,9.0,8.0,0.0,,2021-07-08,목요일,926,승차,신금호,2539,4215,2021-12-31
41,39,56,92,84,79,65,69,73,67,69,69,42,39,55,19.0,9.0,9.0,1.0,,2021-07-09,금요일,977,승차,신금호,2539,4775,2021-12-31
29,34,36,55,74,91,62,58,63,51,45,33,27,17,24,12.0,8.0,6.0,0.0,,2021-07-10,토요일,725,승차,신금호,2539,5335,2021-12-31
16,14,16,23,44,52,58,59,34,33,23,17,14,23,19,7.0,6.0,7.0,0.0,,2021-07-11,일요일,465,승차,신금호,2539,5895,2021-12-31
40,37,65,86,99,97,54,58,51,51,49,61,40,38,37,20.0,14.0,4.0,1.0,,2021-07-12,월요일,902,승차,신금호,2539,6455,2021-12-31
33,41,74,85,96,78,55,52,63,56,60,49,36,28,38,22.0,15.0,2.0,2.0,,2021-07-13,화요일,885,승차,신금호,2539,7015,2021-12-31
41,43,53,68,87,71,61,57,50,48,46,43,44,37,38,22.0,10.0,4.0,0.0,,2021-07-14,수요일,823,승차,신금호,2539,7575,2021-12-31
29,43,63,78,78,73,69,57,47,46,54,46,34,35,34,16.0,11.0,3.0,1.0,,2021-07-15,목요일,817,승차,신금호,2539,8135,2021-12-31
35,41,52,89,79,62,60,58,45,69,69,51,37,36,39,13.0,8.0,7.0,0.0,,2021-07-16,금요일,850,승차,신금호,2539,8695,2021-12-31
30,33,43,46,55,66,46,56,47,47,30,25,27,20,17,11.0,6.0,5.0,2.0,,2021-07-17,토요일,612,승차,신금호,2539,9255,2021-12-31
14,17,20,29,50,43,45,35,24,17,24,19,17,19,12,11.0,6.0,5.0,0.0,,2021-07-18,일요일,407,승차,신금호,2539,9815,2021-12-31
39,32,59,98,93,70,65,48,54,53,54,57,50,24,32,19.0,11.0,6.0,2.0,,2021-07-19,월요일,866,승차,신금호,2539,10375,2021-12-31
35,43,61,86,84,93,57,75,56,46,64,47,38,31,42,15.0,6.0,1.0,0.0,,2021-07-20,화요일,880,승차,신금호,2539,10935,2021-12-31
37,36,52,76,71,91,61,54,45,52,59,30,46,32,39,14.0,12.0,10.0,1.0,,2021-07-21,수요일,818,승차,신금호,2539,11495,2021-12-31
43,44,56,73,81,79,49,46,39,54,43,43,36,36,39,21.0,12.0,6.0,1.0,,2021-07-22,목요일,801,승차,신금호,2539,12055,2021-12-31
44,34,48,87,80,73,60,68,64,45,54,41,34,35,42,18.0,15.0,5.0,0.0,,2021-07-23,금요일,847,승차,신금호,2539,12615,2021-12-31
27,30,31,45,71,65,59,45,39,28,30,25,26,18,22,15.0,4.0,7.0,0.0,,2021-07-24,토요일,587,승차,신금호,2539,13175,2021-12-31
16,14,20,30,60,48,38,32,25,22,21,15,24,13,14,5.0,9.0,4.0,0.0,,2021-07-25,일요일,410,승차,신금호,2539,13735,2021-12-31
40,36,63,90,102,77,65,49,53,42,42,42,34,26,35,11.0,15.0,3.0,0.0,,2021-07-26,월요일,825,승차,신금호,2539,14295,2021-12-31
35,33,61,91,85,69,70,52,35,39,41,46,40,37,35,23.0,13.0,6.0,0.0,,2021-07-27,화요일,811,승차,신금호,2539,14855,2021-12-31
38,37,66,63,81,76,58,58,49,52,57,47,30,22,32,17.0,12.0,4.0,0.0,,2021-07-28,수요일,799,승차,신금호,2539,15415,2021-12-31
42,36,60,69,78,60,59,64,46,63,42,36,39,34,40,9.0,16.0,4.0,0.0,,2021-07-29,목요일,797,승차,신금호,2539,15975,2021-12-31
37,36,60,82,73,93,72,68,47,44,50,54,41,36,41,12.0,8.0,7.0,0.0,,2021-07-30,금요일,861,승차,신금호,2539,16535,2021-12-31
30,31,34,49,70,71,65,51,44,36,28,33,27,27,15,7.0,5.0,6.0,0.0,,2021-07-31,토요일,629,승차,신금호,2539,17095,2021-12-31
17,19,19,29,40,42,31,28,29,37,26,23,18,12,15,8.0,7.0,2.0,1.0,,2021-08-01,일요일,403,승차,신금호,2539,17655,2021-12-31
33,30,55,75,90,68,64,68,60,49,72,43,32,29,34,25.0,12.0,4.0,0.0,,2021-08-02,월요일,843,승차,신금호,2539,18215,2021-12-31
37,32,56,73,77,83,82,71,46,61,42,42,27,37,38,20.0,15.0,4.0,0.0,,2021-08-03,화요일,843,승차,신금호,2539,18775,2021-12-31
39,38,47,69,74,75,64,47,54,50,58,48,40,25,34,12.0,7.0,1.0,0.0,,2021-08-04,수요일,782,승차,신금호,2539,19335,2021-12-31
39,41,63,70,73,54,49,49,56,47,69,50,43,39,38,20.0,10.0,1.0,1.0,,2021-08-05,목요일,812,승차,신금호,2539,19895,2021-12-31
34,34,54,78,70,80,76,55,55,56,44,52,37,31,38,22.0,13.0,2.0,0.0,,2021-08-06,금요일,831,승차,신금호,2539,20455,2021-12-31
35,49,37,56,57,62,80,59,56,38,50,30,27,20,13,8.0,10.0,5.0,2.0,,2021-08-07,토요일,694,승차,신금호,2539,21015,2021-12-31
15,13,18,25,52,53,25,36,35,31,38,21,12,16,10,4.0,5.0,1.0,0.0,,2021-08-08,일요일,410,승차,신금호,2539,21575,2021-12-31
42,42,63,79,88,87,83,47,66,61,60,56,44,44,35,12.0,8.0,5.0,2.0,,2021-08-09,월요일,924,승차,신금호,2539,22135,2021-12-31
37,37,64,91,83,90,61,57,53,45,59,62,44,41,32,19.0,12.0,3.0,0.0,,2021-08-10,화요일,890,승차,신금호,2539,22695,2021-12-31
42,41,59,82,100,73,59,66,66,65,51,36,38,37,42,16.0,10.0,8.0,3.0,,2021-08-11,수요일,894,승차,신금호,2539,23255,2021-12-31
31,44,50,64,73,86,70,69,68,65,55,53,36,36,37,17.0,7.0,3.0,0.0,,2021-08-12,목요일,864,승차,신금호,2539,23815,2021-12-31
32,46,49,85,93,81,60,75,55,73,75,60,38,41,39,20.0,10.0,4.0,0.0,,2021-08-13,금요일,936,승차,신금호,2539,24375,2021-12-31
27,38,47,48,63,62,68,76,70,51,26,37,31,11,22,18.0,8.0,6.0,0.0,,2021-08-14,토요일,709,승차,신금호,2539,24935,2021-12-31
19,26,29,25,53,57,53,45,33,43,26,29,21,19,12,16.0,8.0,3.0,0.0,,2021-08-15,일요일,517,승차,신금호,2539,25495,2021-12-31
28,25,44,64,81,71,68,66,46,52,49,48,26,22,29,11.0,8.0,4.0,0.0,,2021-08-16,월요일,742,승차,신금호,2539,26055,2021-12-31
42,39,61,73,96,92,75,89,58,73,78,70,34,41,39,12.0,6.0,6.0,1.0,,2021-08-17,화요일,985,승차,신금호,2539,26615,2021-12-31
30,40,51,67,67,86,62,76,51,56,72,53,33,34,34,24.0,12.0,7.0,1.0,,2021-08-18,수요일,856,승차,신금호,2539,27175,2021-12-31
38,44,62,76,97,83,76,73,52,65,55,52,30,36,37,19.0,18.0,4.0,1.0,,2021-08-19,목요일,918,승차,신금호,2539,27735,2021-12-31
30,40,56,80,84,71,61,61,68,55,69,58,40,44,47,16.0,10.0,7.0,0.0,,2021-08-20,금요일,897,승차,신금호,2539,28295,2021-12-31
20,44,37,52,55,55,57,53,34,56,42,37,19,19,15,5.0,7.0,4.0,0.0,,2021-08-21,토요일,611,승차,신금호,2539,28855,2021-12-31
23,17,34,35,60,57,54,62,46,36,29,24,20,24,10,15.0,5.0,1.0,1.0,,2021-08-22,일요일,553,승차,신금호,2539,29415,2021-12-31
46,36,64,92,80,81,83,52,53,67,60,50,26,31,37,14.0,15.0,4.0,2.0,,2021-08-23,월요일,893,승차,신금호,2539,29975,2021-12-31
38,31,61,76,71,83,72,46,63,70,54,56,55,34,35,21.0,13.0,3.0,0.0,,2021-08-24,화요일,882,승차,신금호,2539,30535,2021-12-31
30,39,65,75,78,84,55,81,69,76,58,48,37,36,33,25.0,18.0,5.0,0.0,,2021-08-25,수요일,912,승차,신금호,2539,31095,2021-12-31
42,36,54,79,92,84,75,70,64,62,72,58,36,37,45,25.0,14.0,6.0,1.0,,2021-08-26,목요일,952,승차,신금호,2539,31655,2021-12-31
48,41,54,88,88,77,70,69,62,66,76,52,21,36,42,15.0,11.0,6.0,1.0,,2021-08-27,금요일,923,승차,신금호,2539,32215,2021-12-31
29,33,39,45,61,82,78,73,68,57,40,30,27,34,25,13.0,8.0,4.0,0.0,,2021-08-28,토요일,746,승차,신금호,2539,32775,2021-12-31
16,22,27,35,55,60,49,53,48,42,30,29,21,16,17,16.0,6.0,3.0,1.0,,2021-08-29,일요일,546,승차,신금호,2539,33335,2021-12-31
44,29,72,77,95,101,65,59,82,74,80,60,37,35,40,20.0,11.0,2.0,0.0,,2021-08-30,월요일,983,승차,신금호,2539,33895,2021-12-31
36,40,76,72,86,85,79,58,58,61,55,40,40,35,28,21.0,9.0,3.0,0.0,,2021-08-31,화요일,882,승차,신금호,2539,34455,2021-12-31
28,29,74,92,79,82,87,59,76,68,60,46,38,40,38,23.0,16.0,4.0,0.0,,2021-09-01,수요일,939,승차,신금호,2539,35015,2021-12-31
39,42,69,85,89,99,93,63,64,68,70,78,34,30,36,23.0,17.0,1.0,0.0,,2021-09-02,목요일,1000,승차,신금호,2539,35575,2021-12-31
41,36,63,91,98,89,84,72,69,76,62,55,41,39,41,12.0,22.0,6.0,0.0,,2021-09-03,금요일,997,승차,신금호,2539,36135,2021-12-31
31,41,49,58,66,68,81,75,55,58,52,33,25,32,11,14.0,7.0,6.0,1.0,,2021-09-04,토요일,763,승차,신금호,2539,36695,2021-12-31
10,17,22,41,56,70,48,65,40,40,33,20,19,17,20,11.0,3.0,2.0,2.0,,2021-09-05,일요일,536,승차,신금호,2539,37255,2021-12-31
38,42,77,91,91,99,96,66,77,87,75,54,48,45,31,16.0,9.0,7.0,0.0,,2021-09-06,월요일,1049,승차,신금호,2539,37815,2021-12-31
27,34,73,92,73,80,64,58,60,65,55,44,37,44,41,16.0,10.0,7.0,0.0,,2021-09-07,화요일,880,승차,신금호,2539,38375,2021-12-31
38,44,78,94,83,106,69,59,70,69,75,49,49,43,48,26.0,7.0,5.0,0.0,,2021-09-08,수요일,1012,승차,신금호,2539,38935,2021-12-31
41,38,73,85,100,96,96,70,83,79,73,55,46,57,40,23.0,14.0,6.0,1.0,,2021-09-09,목요일,1076,승차,신금호,2539,39495,2021-12-31
45,40,64,99,102,96,86,83,75,84,81,67,49,45,51,17.0,13.0,5.0,2.0,,2021-09-10,금요일,1104,승차,신금호,2539,40055,2021-12-31
38,31,36,60,77,74,91,74,80,49,44,55,32,24,34,12.0,7.0,6.0,0.0,,2021-09-11,토요일,824,승차,신금호,2539,40615,2021-12-31
17,27,23,47,57,53,58,71,48,60,32,23,29,20,11,9.0,7.0,1.0,1.0,,2021-09-12,일요일,594,승차,신금호,2539,41175,2021-12-31
35,34,69,91,108,101,87,72,71,75,73,67,49,50,45,18.0,12.0,3.0,0.0,,2021-09-13,월요일,1060,승차,신금호,2539,41735,2021-12-31
41,40,71,91,101,69,89,76,70,78,60,50,54,42,44,22.0,14.0,3.0,1.0,,2021-09-14,화요일,1016,승차,신금호,2539,42295,2021-12-31
43,36,53,87,113,92,86,73,69,75,69,53,47,42,51,21.0,17.0,8.0,1.0,,2021-09-15,수요일,1036,승차,신금호,2539,42855,2021-12-31
39,43,71,88,93,111,82,83,79,82,76,55,49,41,45,25.0,15.0,5.0,3.0,,2021-09-16,목요일,1085,승차,신금호,2539,43415,2021-12-31
42,40,63,100,87,83,74,75,74,73,88,53,50,40,43,27.0,15.0,7.0,1.0,,2021-09-17,금요일,1035,승차,신금호,2539,43975,2021-12-31
19,35,51,58,76,76,82,57,65,64,38,38,33,20,25,10.0,10.0,5.0,0.0,,2021-09-18,토요일,762,승차,신금호,2539,44535,2021-12-31
20,15,28,32,62,61,38,46,45,39,38,33,17,14,7,6.0,7.0,3.0,2.0,,2021-09-19,일요일,513,승차,신금호,2539,45095,2021-12-31
12,17,16,20,41,30,43,27,40,45,29,16,19,12,8,10.0,3.0,2.0,2.0,,2021-09-20,월요일,392,승차,신금호,2539,45655,2021-12-31
13,11,17,15,20,13,24,22,26,30,19,13,17,8,8,3.0,7.0,7.0,0.0,,2021-09-21,화요일,273,승차,신금호,2539,46215,2021-12-31
14,20,13,24,41,45,54,36,38,33,26,18,27,23,5,4.0,12.0,3.0,0.0,,2021-09-22,수요일,436,승차,신금호,2539,46775,2021-12-31
41,26,67,95,79,90,83,82,52,72,67,50,54,40,37,15.0,10.0,6.0,1.0,,2021-09-23,목요일,967,승차,신금호,2539,47335,2021-12-31
32,39,64,91,95,112,106,74,70,76,78,72,62,28,48,23.0,12.0,6.0,3.0,,2021-09-24,금요일,1091,승차,신금호,2539,47895,2021-12-31
30,31,44,49,62,82,94,63,66,44,52,35,25,21,10,11.0,5.0,6.0,1.0,,2021-09-25,토요일,731,승차,신금호,2539,48455,2021-12-31
10,25,21,43,63,68,56,54,47,35,28,21,25,13,14,7.0,8.0,4.0,1.0,,2021-09-26,일요일,543,승차,신금호,2539,49015,2021-12-31
36,34,66,94,107,79,84,89,70,64,67,55,45,44,42,14.0,8.0,5.0,0.0,,2021-09-27,월요일,1003,승차,신금호,2539,49575,2021-12-31
34,41,60,84,94,108,89,80,67,76,67,55,46,47,33,16.0,6.0,7.0,2.0,,2021-09-28,화요일,1012,승차,신금호,2539,50135,2021-12-31
33,39,55,91,86,56,45,64,41,66,56,57,55,42,32,16.0,12.0,9.0,1.0,,2021-09-29,수요일,856,승차,신금호,2539,50695,2021-12-31
41,40,64,75,101,96,90,79,66,81,72,72,58,55,53,17.0,10.0,9.0,2.0,,2021-09-30,목요일,1081,승차,신금호,2539,51255,2021-12-31
35,41,67,106,84,94,82,72,64,71,75,64,47,54,44,22.0,16.0,6.0,0.0,,2021-10-01,금요일,1044,승차,신금호,2539,51815,2021-12-31
35,39,28,66,63,78,83,72,64,56,51,44,35,21,17,10.0,11.0,5.0,0.0,,2021-10-02,토요일,778,승차,신금호,2539,52375,2021-12-31
17,18,23,43,91,65,61,65,47,49,32,33,23,21,16,8.0,9.0,4.0,0.0,,2021-10-03,일요일,625,승차,신금호,2539,52935,2021-12-31
25,31,46,53,85,68,73,59,36,49,34,32,33,20,29,7.0,8.0,2.0,0.0,,2021-10-04,월요일,690,승차,신금호,2539,53495,2021-12-31
37,42,71,91,96,96,64,93,71,75,62,59,46,40,34,19.0,11.0,13.0,0.0,,2021-10-05,화요일,1020,승차,신금호,2539,54055,2021-12-31
38,45,74,85,94,70,68,62,41,77,70,62,38,42,43,14.0,7.0,8.0,0.0,,2021-10-06,수요일,938,승차,신금호,2539,54615,2021-12-31
40,36,70,84,99,68,93,74,72,73,73,49,56,45,46,18.0,13.0,9.0,0.0,,2021-10-07,목요일,1018,승차,신금호,2539,55175,2021-12-31
35,45,73,99,90,81,90,66,69,76,80,58,40,40,46,15.0,15.0,9.0,1.0,,2021-10-08,금요일,1028,승차,신금호,2539,55735,2021-12-31
31,30,31,50,66,97,84,64,72,51,31,41,23,25,24,12.0,8.0,13.0,0.0,,2021-10-09,토요일,753,승차,신금호,2539,56295,2021-12-31
17,27,19,33,55,58,45,72,50,43,26,18,14,13,19,10.0,8.0,4.0,1.0,,2021-10-10,일요일,532,승차,신금호,2539,56855,2021-12-31
31,28,38,51,73,91,71,72,69,54,48,40,40,33,21,9.0,8.0,2.0,4.0,,2021-10-11,월요일,783,승차,신금호,2539,57415,2021-12-31
39,45,68,97,110,100,99,84,75,74,72,59,39,46,43,22.0,14.0,5.0,0.0,,2021-10-12,화요일,1091,승차,신금호,2539,57975,2021-12-31
33,44,79,81,92,93,90,61,80,76,66,58,60,32,48,19.0,13.0,6.0,1.0,,2021-10-13,수요일,1032,승차,신금호,2539,58535,2021-12-31
46,45,75,70,113,100,79,81,75,78,77,64,62,41,42,17.0,8.0,8.0,2.0,,2021-10-14,목요일,1083,승차,신금호,2539,59095,2021-12-31
35,39,70,82,119,92,83,67,68,87,75,71,57,42,42,26.0,5.0,6.0,0.0,,2021-10-15,금요일,1066,승차,신금호,2539,59655,2021-12-31
31,38,42,56,85,95,108,75,72,54,45,52,39,26,19,8.0,10.0,7.0,1.0,,2021-10-16,토요일,863,승차,신금호,2539,60215,2021-12-31
22,17,22,29,52,66,63,80,53,44,29,21,15,19,19,5.0,8.0,3.0,0.0,,2021-10-17,일요일,567,승차,신금호,2539,60775,2021-12-31
40,38,65,86,104,96,69,61,75,73,78,52,47,41,37,12.0,10.0,6.0,0.0,,2021-10-18,월요일,990,승차,신금호,2539,61335,2021-12-31
35,36,60,79,95,88,77,91,79,81,60,70,39,46,44,15.0,6.0,9.0,0.0,,2021-10-19,화요일,1010,승차,신금호,2539,61895,2021-12-31
48,40,62,97,91,88,70,71,75,70,76,58,47,48,41,18.0,7.0,5.0,1.0,,2021-10-20,수요일,1013,승차,신금호,2539,62455,2021-12-31
42,39,58,91,83,100,89,79,79,65,81,66,56,39,43,18.0,13.0,7.0,1.0,,2021-10-21,목요일,1049,승차,신금호,2539,63015,2021-12-31
33,44,58,92,94,92,93,90,79,79,67,60,41,49,35,23.0,14.0,6.0,0.0,,2021-10-22,금요일,1049,승차,신금호,2539,63575,2021-12-31
39,32,41,58,74,85,103,97,72,52,43,41,35,11,11,10.0,20.0,2.0,0.0,,2021-10-23,토요일,826,승차,신금호,2539,64135,2021-12-31
17,29,16,39,67,92,61,77,56,46,40,18,34,19,19,6.0,9.0,6.0,0.0,,2021-10-24,일요일,651,승차,신금호,2539,64695,2021-12-31
35,38,69,97,107,76,98,79,76,84,73,53,57,43,32,22.0,11.0,9.0,2.0,,2021-10-25,월요일,1061,승차,신금호,2539,65255,2021-12-31
39,38,74,84,100,120,87,68,64,83,71,61,45,38,33,24.0,17.0,10.0,0.0,,2021-10-26,화요일,1056,승차,신금호,2539,65815,2021-12-31
41,37,71,76,98,79,75,90,68,87,80,48,46,40,43,26.0,10.0,10.0,0.0,,2021-10-27,수요일,1025,승차,신금호,2539,66375,2021-12-31
41,41,61,76,104,89,98,68,73,90,84,52,50,41,54,23.0,15.0,8.0,0.0,,2021-10-28,목요일,1068,승차,신금호,2539,66935,2021-12-31
46,40,63,76,115,95,89,81,75,87,77,53,53,40,38,16.0,12.0,10.0,3.0,,2021-10-29,금요일,1069,승차,신금호,2539,67495,2021-12-31
29,37,38,50,86,104,101,95,72,55,54,63,31,26,21,14.0,11.0,8.0,0.0,,2021-10-30,토요일,895,승차,신금호,2539,68055,2021-12-31
18,14,28,38,57,82,66,84,52,46,53,40,16,15,9,13.0,8.0,4.0,0.0,,2021-10-31,일요일,643,승차,신금호,2539,68615,2021-12-31
