06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,수송일자,요일,일일합계,승하차구분,역명,역번호,연번,날짜
66,61,79,122,155,200,178,184,180,214,242,247,224,172,119,82.0,56.0,38.0,7.0,,2021-07-01,목요일,2626,승차,신당,206,31,2021-12-31
16,19,16,35,47,53,83,63,67,78,84,105,88,62,55,30.0,31.0,15.0,4.0,,2021-07-01,목요일,951,승차,신당,2636,399,2021-12-31
78,56,74,93,148,203,197,213,173,213,231,246,211,187,133,91.0,38.0,37.0,9.0,,2021-07-02,금요일,2631,승차,신당,206,591,2021-12-31
27,19,18,25,43,75,73,66,64,78,81,93,91,57,73,38.0,24.0,18.0,4.0,,2021-07-02,금요일,967,승차,신당,2636,959,2021-12-31
62,46,48,75,118,153,167,178,212,212,214,164,159,104,65,55.0,45.0,31.0,6.0,,2021-07-03,토요일,2114,승차,신당,206,1151,2021-12-31
16,16,21,19,32,43,59,58,54,76,79,65,50,47,19,11.0,13.0,11.0,1.0,,2021-07-03,토요일,690,승차,신당,2636,1519,2021-12-31
37,37,29,44,61,111,88,130,150,154,152,132,106,60,49,27.0,16.0,20.0,4.0,,2021-07-04,일요일,1407,승차,신당,206,1711,2021-12-31
16,6,4,14,14,21,27,26,37,34,36,40,30,28,21,15.0,9.0,9.0,1.0,,2021-07-04,일요일,388,승차,신당,2636,2079,2021-12-31
67,55,72,112,143,162,215,200,223,213,237,252,208,183,106,61.0,39.0,27.0,8.0,,2021-07-05,월요일,2583,승차,신당,206,2271,2021-12-31
21,17,25,31,55,64,70,61,58,78,102,81,96,86,51,23.0,28.0,15.0,1.0,,2021-07-05,월요일,963,승차,신당,2636,2639,2021-12-31
83,52,76,96,150,188,207,206,222,227,235,241,231,163,107,80.0,56.0,33.0,6.0,,2021-07-06,화요일,2659,승차,신당,206,2831,2021-12-31
27,20,21,36,47,61,71,72,59,73,102,96,84,52,54,29.0,27.0,18.0,3.0,,2021-07-06,화요일,952,승차,신당,2636,3199,2021-12-31
77,63,76,96,155,172,190,194,174,186,238,202,197,168,100,64.0,50.0,39.0,3.0,,2021-07-07,수요일,2444,승차,신당,206,3391,2021-12-31
24,22,21,28,39,61,58,63,76,72,93,93,105,76,51,31.0,28.0,14.0,1.0,,2021-07-07,수요일,956,승차,신당,2636,3759,2021-12-31
71,55,80,107,135,148,151,180,183,182,218,219,179,166,122,61.0,41.0,33.0,1.0,,2021-07-08,목요일,2332,승차,신당,206,3951,2021-12-31
16,19,28,34,47,52,66,74,55,80,100,70,87,61,46,32.0,28.0,13.0,3.0,,2021-07-08,목요일,911,승차,신당,2636,4319,2021-12-31
76,55,70,99,122,179,182,180,173,217,215,214,193,147,117,86.0,58.0,37.0,6.0,,2021-07-09,금요일,2426,승차,신당,206,4511,2021-12-31
26,23,23,29,49,70,60,61,63,74,84,94,93,66,49,28.0,23.0,13.0,8.0,,2021-07-09,금요일,936,승차,신당,2636,4879,2021-12-31
51,39,50,68,107,119,147,162,179,174,171,169,178,135,96,81.0,32.0,13.0,2.0,,2021-07-10,토요일,1973,승차,신당,206,5071,2021-12-31
19,12,21,19,34,34,65,61,43,54,56,68,63,55,30,18.0,17.0,13.0,1.0,,2021-07-10,토요일,683,승차,신당,2636,5439,2021-12-31
