06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,수송일자,요일,일일합계,승하차구분,역명,역번호,연번,날짜
100,74,86,121,181,205,270,240,246,246,245,284,309,207,85,78.0,55.0,23.0,7.0,,2021-07-01,목요일,3062,승차,신설동,156,13,2021-12-31
10,11,8,7,22,49,66,70,67,67,68,74,83,49,22,10.0,11.0,4.0,0.0,,2021-07-01,목요일,698,승차,신설동,246,111,2021-12-31
83,87,83,128,152,190,248,265,255,225,254,270,267,182,107,82.0,66.0,26.0,8.0,,2021-07-02,금요일,2978,승차,신설동,156,573,2021-12-31
15,15,9,13,24,54,47,86,82,64,81,67,78,63,21,18.0,14.0,8.0,1.0,,2021-07-02,금요일,760,승차,신설동,246,671,2021-12-31
61,54,73,90,118,187,233,232,258,261,229,180,141,107,68,39.0,36.0,25.0,3.0,,2021-07-03,토요일,2395,승차,신설동,156,1133,2021-12-31
7,9,6,10,25,51,76,94,134,168,90,108,83,31,15,13.0,7.0,4.0,0.0,,2021-07-03,토요일,931,승차,신설동,246,1231,2021-12-31
31,34,33,44,69,88,110,143,149,145,160,142,141,66,38,25.0,19.0,11.0,5.0,,2021-07-04,일요일,1453,승차,신설동,156,1693,2021-12-31
10,7,7,8,10,19,31,62,51,59,64,74,50,25,7,10.0,6.0,5.0,0.0,,2021-07-04,일요일,505,승차,신설동,246,1791,2021-12-31
74,79,91,133,141,215,279,238,306,275,298,293,274,200,88,77.0,58.0,21.0,3.0,,2021-07-05,월요일,3143,승차,신설동,156,2253,2021-12-31
10,10,21,13,26,32,58,71,72,80,80,100,74,51,19,18.0,19.0,1.0,0.0,,2021-07-05,월요일,755,승차,신설동,246,2351,2021-12-31
79,83,93,146,185,205,254,213,252,234,284,224,247,171,103,68.0,62.0,25.0,10.0,,2021-07-06,화요일,2938,승차,신설동,156,2813,2021-12-31
14,10,13,12,39,40,46,63,65,41,73,58,78,36,37,14.0,14.0,7.0,3.0,,2021-07-06,화요일,663,승차,신설동,246,2911,2021-12-31
78,74,86,126,152,214,266,230,249,253,246,279,272,186,99,76.0,65.0,26.0,8.0,,2021-07-07,수요일,2985,승차,신설동,156,3373,2021-12-31
6,13,10,11,21,40,49,62,77,69,76,73,72,41,21,16.0,13.0,9.0,0.0,,2021-07-07,수요일,679,승차,신설동,246,3471,2021-12-31
73,74,91,127,159,195,224,222,249,235,226,270,257,188,85,75.0,56.0,18.0,4.0,,2021-07-08,목요일,2828,승차,신설동,156,3933,2021-12-31
8,16,14,8,27,35,43,87,72,69,86,65,75,45,22,17.0,6.0,3.0,0.0,,2021-07-08,목요일,698,승차,신설동,246,4031,2021-12-31
73,81,96,129,135,179,290,260,242,212,255,258,272,178,102,71.0,64.0,27.0,7.0,,2021-07-09,금요일,2931,승차,신설동,156,4493,2021-12-31
10,11,12,10,20,46,38,68,54,59,78,59,78,43,26,13.0,7.0,4.0,0.0,,2021-07-09,금요일,636,승차,신설동,246,4591,2021-12-31
48,68,63,84,107,179,150,204,203,223,222,258,225,158,70,53.0,44.0,18.0,8.0,,2021-07-10,토요일,2385,승차,신설동,156,5053,2021-12-31
9,12,8,11,16,30,67,70,100,118,109,84,92,32,20,11.0,9.0,4.0,0.0,,2021-07-10,토요일,802,승차,신설동,246,5151,2021-12-31
27,33,39,58,107,104,127,151,204,178,212,191,178,117,43,39.0,25.0,20.0,2.0,,2021-07-11,일요일,1855,승차,신설동,156,5613,2021-12-31
5,7,8,7,11,35,54,68,78,117,100,91,57,31,14,8.0,9.0,2.0,0.0,,2021-07-11,일요일,702,승차,신설동,246,5711,2021-12-31
80,80,98,131,155,198,273,226,283,221,236,233,265,188,76,75.0,41.0,25.0,3.0,,2021-07-12,월요일,2887,승차,신설동,156,6173,2021-12-31
