06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,수송일자,요일,일일합계,승하차구분,역명,역번호,연번,날짜
59,40,68,85,119,131,116,107,126,116,122,115,79,58,48,25.0,12.0,12.0,2.0,,2021-07-01,목요일,1440,승차,신중동,2756,515,2021-12-31
40,39,78,92,126,131,135,97,100,124,128,100,92,64,50,27.0,24.0,13.0,2.0,,2021-07-02,금요일,1462,승차,신중동,2756,1075,2021-12-31
42,31,51,64,80,101,86,75,83,70,73,67,36,39,19,26.0,13.0,4.0,2.0,,2021-07-03,토요일,962,승차,신중동,2756,1635,2021-12-31
17,19,31,52,65,74,41,82,52,62,60,51,44,34,22,22.0,8.0,7.0,1.0,,2021-07-04,일요일,744,승차,신중동,2756,2195,2021-12-31
59,42,82,79,126,125,110,99,113,130,122,116,78,62,35,29.0,5.0,7.0,1.0,,2021-07-05,월요일,1420,승차,신중동,2756,2755,2021-12-31
53,34,73,99,121,150,131,106,99,115,129,116,86,63,37,29.0,13.0,9.0,4.0,,2021-07-06,화요일,1467,승차,신중동,2756,3315,2021-12-31
69,32,78,95,123,132,101,140,107,154,151,101,96,61,33,20.0,8.0,9.0,2.0,,2021-07-07,수요일,1512,승차,신중동,2756,3875,2021-12-31
57,35,63,90,112,123,111,83,129,106,104,93,91,59,47,26.0,12.0,5.0,0.0,,2021-07-08,목요일,1346,승차,신중동,2756,4435,2021-12-31
53,28,77,82,108,138,94,82,111,98,116,102,83,56,38,23.0,9.0,13.0,2.0,,2021-07-09,금요일,1313,승차,신중동,2756,4995,2021-12-31
33,35,45,57,73,92,72,78,43,62,50,69,54,44,34,33.0,8.0,7.0,4.0,,2021-07-10,토요일,893,승차,신중동,2756,5555,2021-12-31
35,16,28,35,46,65,30,51,53,51,33,48,29,24,22,30.0,11.0,6.0,2.0,,2021-07-11,일요일,615,승차,신중동,2756,6115,2021-12-31
52,39,70,73,92,115,79,81,71,93,107,104,71,72,27,17.0,11.0,2.0,2.0,,2021-07-12,월요일,1178,승차,신중동,2756,6675,2021-12-31
53,27,63,95,93,117,103,81,74,94,110,95,68,59,26,16.0,13.0,7.0,2.0,,2021-07-13,화요일,1196,승차,신중동,2756,7235,2021-12-31
59,35,69,77,96,127,96,77,86,93,122,87,85,68,41,16.0,10.0,11.0,1.0,,2021-07-14,수요일,1256,승차,신중동,2756,7795,2021-12-31
58,30,79,66,107,99,80,64,81,82,103,97,65,69,29,28.0,16.0,4.0,1.0,,2021-07-15,목요일,1158,승차,신중동,2756,8355,2021-12-31
54,33,65,74,105,114,89,85,92,84,106,81,80,56,32,23.0,10.0,5.0,1.0,,2021-07-16,금요일,1189,승차,신중동,2756,8915,2021-12-31
36,32,41,64,62,81,63,52,52,61,53,56,36,40,25,19.0,9.0,4.0,0.0,,2021-07-17,토요일,786,승차,신중동,2756,9475,2021-12-31
29,23,28,38,54,39,25,23,53,61,38,35,30,24,29,15.0,11.0,3.0,0.0,,2021-07-18,일요일,558,승차,신중동,2756,10035,2021-12-31
67,31,65,79,116,134,128,83,86,95,112,86,79,71,22,20.0,9.0,4.0,2.0,,2021-07-19,월요일,1289,승차,신중동,2756,10595,2021-12-31
56,33,70,82,121,105,108,85,98,98,86,105,66,62,30,24.0,11.0,5.0,2.0,,2021-07-20,화요일,1247,승차,신중동,2756,11155,2021-12-31
59,30,73,72,85,112,82,61,81,82,110,90,77,61,30,32.0,9.0,4.0,2.0,,2021-07-21,수요일,1152,승차,신중동,2756,11715,2021-12-31
66,34,76,62,96,81,87,49,76,86,91,85,80,53,39,20.0,9.0,7.0,1.0,,2021-07-22,목요일,1098,승차,신중동,2756,12275,2021-12-31
65,29,62,75,105,97,102,72,86,85,109,91,85,60,34,24.0,12.0,5.0,3.0,,2021-07-23,금요일,1201,승차,신중동,2756,12835,2021-12-31
37,38,47,55,82,77,57,58,41,31,45,46,42,42,26,22.0,5.0,5.0,4.0,,2021-07-24,토요일,760,승차,신중동,2756,13395,2021-12-31
32,18,26,30,40,49,33,36,33,29,40,28,29,33,17,12.0,6.0,2.0,1.0,,2021-07-25,일요일,494,승차,신중동,2756,13955,2021-12-31
49,37,71,73,109,100,105,70,77,86,88,108,75,72,37,19.0,13.0,7.0,0.0,,2021-07-26,월요일,1196,승차,신중동,2756,14515,2021-12-31
61,28,69,76,115,131,104,82,89,86,85,102,70,67,42,19.0,8.0,9.0,1.0,,2021-07-27,화요일,1244,승차,신중동,2756,15075,2021-12-31
