06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,수송일자,요일,일일합계,승하차구분,역명,역번호,연번,날짜
37,33,50,70,85,86,83,80,96,80,108,68,57,49,40,17.0,15.0,2.0,1.0,,2021-07-01,목요일,1057,승차,애오개,2531,279,2021-12-31
27,33,46,57,80,80,61,82,96,78,88,69,60,49,44,24.0,18.0,4.0,0.0,,2021-07-02,금요일,996,승차,애오개,2531,839,2021-12-31
31,29,36,31,53,71,81,78,62,39,35,24,25,15,12,14.0,5.0,3.0,0.0,,2021-07-03,토요일,644,승차,애오개,2531,1399,2021-12-31
15,12,12,19,35,45,50,63,37,30,28,28,13,14,21,3.0,4.0,0.0,0.0,,2021-07-04,일요일,429,승차,애오개,2531,1959,2021-12-31
43,31,44,56,79,86,79,67,85,88,107,82,63,57,39,16.0,5.0,0.0,1.0,,2021-07-05,월요일,1028,승차,애오개,2531,2519,2021-12-31
29,29,39,58,98,64,79,79,97,90,97,59,59,58,41,25.0,10.0,3.0,2.0,,2021-07-06,화요일,1016,승차,애오개,2531,3079,2021-12-31
45,34,45,62,81,64,67,57,101,77,98,62,66,58,32,25.0,11.0,2.0,0.0,,2021-07-07,수요일,987,승차,애오개,2531,3639,2021-12-31
28,29,38,54,83,60,74,84,94,75,100,62,60,53,30,23.0,6.0,6.0,1.0,,2021-07-08,목요일,960,승차,애오개,2531,4199,2021-12-31
48,31,34,52,64,67,66,88,87,72,93,72,53,42,36,32.0,15.0,8.0,1.0,,2021-07-09,금요일,961,승차,애오개,2531,4759,2021-12-31
20,19,24,26,50,64,54,62,58,26,32,39,28,22,17,12.0,10.0,1.0,0.0,,2021-07-10,토요일,564,승차,애오개,2531,5319,2021-12-31
25,16,13,20,38,33,47,48,30,27,23,18,15,10,12,5.0,5.0,1.0,0.0,,2021-07-11,일요일,386,승차,애오개,2531,5879,2021-12-31
30,30,35,62,75,78,60,70,96,79,94,50,53,55,29,24.0,7.0,2.0,0.0,,2021-07-12,월요일,929,승차,애오개,2531,6439,2021-12-31
42,32,44,60,97,71,55,66,76,72,78,54,48,52,29,14.0,4.0,3.0,0.0,,2021-07-13,화요일,897,승차,애오개,2531,6999,2021-12-31
39,33,39,47,82,59,51,45,86,79,91,49,53,34,29,24.0,8.0,3.0,0.0,,2021-07-14,수요일,851,승차,애오개,2531,7559,2021-12-31
43,32,37,59,70,66,54,73,75,64,94,49,61,38,24,16.0,7.0,2.0,0.0,,2021-07-15,목요일,864,승차,애오개,2531,8119,2021-12-31
30,31,42,66,77,60,51,60,77,73,81,60,46,47,33,19.0,12.0,4.0,1.0,,2021-07-16,금요일,870,승차,애오개,2531,8679,2021-12-31
30,27,25,37,52,49,62,46,36,40,28,22,19,15,20,7.0,8.0,2.0,0.0,,2021-07-17,토요일,525,승차,애오개,2531,9239,2021-12-31
13,27,13,25,30,32,26,23,29,19,15,13,22,15,9,5.0,5.0,2.0,0.0,,2021-07-18,일요일,323,승차,애오개,2531,9799,2021-12-31
45,30,39,61,88,84,73,72,81,52,114,61,59,37,26,14.0,6.0,5.0,0.0,,2021-07-19,월요일,947,승차,애오개,2531,10359,2021-12-31
39,31,36,50,93,57,68,66,73,86,77,52,41,51,28,18.0,8.0,1.0,1.0,,2021-07-20,화요일,876,승차,애오개,2531,10919,2021-12-31
41,32,41,62,71,66,55,60,82,69,81,41,40,61,25,12.0,5.0,3.0,0.0,,2021-07-21,수요일,847,승차,애오개,2531,11479,2021-12-31
30,27,42,69,66,57,50,55,70,66,77,49,60,60,28,18.0,13.0,2.0,0.0,,2021-07-22,목요일,839,승차,애오개,2531,12039,2021-12-31
40,30,41,59,76,51,58,59,53,80,71,50,47,47,32,13.0,5.0,2.0,0.0,,2021-07-23,금요일,814,승차,애오개,2531,12599,2021-12-31
24,19,24,34,60,50,61,34,37,22,16,19,17,17,18,9.0,6.0,1.0,0.0,,2021-07-24,토요일,468,승차,애오개,2531,13159,2021-12-31
32,21,17,22,28,35,34,20,18,16,20,16,17,12,11,10.0,5.0,0.0,0.0,,2021-07-25,일요일,334,승차,애오개,2531,13719,2021-12-31
34,33,33,49,75,71,65,60,73,70,78,57,52,43,25,17.0,4.0,2.0,1.0,,2021-07-26,월요일,842,승차,애오개,2531,14279,2021-12-31
40,34,47,66,76,58,48,55,72,74,63,59,50,43,39,21.0,6.0,4.0,0.0,,2021-07-27,화요일,855,승차,애오개,2531,14839,2021-12-31
33,33,32,56,62,58,55,59,66,57,82,51,43,49,29,7.0,5.0,4.0,1.0,,2021-07-28,수요일,782,승차,애오개,2531,15399,2021-12-31
41,34,45,60,57,65,53,51,73,65,85,54,60,47,29,15.0,2.0,1.0,0.0,,2021-07-29,목요일,837,승차,애오개,2531,15959,2021-12-31
29,29,32,40,75,72,57,57,61,80,88,63,61,49,34,12.0,13.0,6.0,1.0,,2021-07-30,금요일,859,승차,애오개,2531,16519,2021-12-31
29,22,23,30,39,61,60,49,43,33,17,23,40,11,13,8.0,5.0,3.0,0.0,,2021-07-31,토요일,509,승차,애오개,2531,17079,2021-12-31
24,17,20,22,24,25,30,38,25,20,17,19,19,16,8,14.0,9.0,1.0,0.0,,2021-08-01,일요일,348,승차,애오개,2531,17639,2021-12-31
31,26,41,51,69,74,58,54,69,73,79,51,53,47,27,11.0,6.0,4.0,0.0,,2021-08-02,월요일,824,승차,애오개,2531,18199,2021-12-31
28,33,48,52,67,50,54,46,62,47,94,43,48,37,24,22.0,6.0,2.0,0.0,,2021-08-03,화요일,763,승차,애오개,2531,18759,2021-12-31
41,30,40,60,58,55,49,52,60,59,66,48,40,49,25,15.0,6.0,9.0,0.0,,2021-08-04,수요일,762,승차,애오개,2531,19319,2021-12-31
34,32,41,62,62,62,48,60,75,58,92,49,64,56,20,19.0,3.0,3.0,1.0,,2021-08-05,목요일,841,승차,애오개,2531,19879,2021-12-31
38,36,42,54,62,67,68,66,93,69,83,52,48,39,28,21.0,5.0,3.0,0.0,,2021-08-06,금요일,874,승차,애오개,2531,20439,2021-12-31
25,21,23,34,38,39,51,70,44,35,34,26,16,14,20,11.0,7.0,1.0,0.0,,2021-08-07,토요일,509,승차,애오개,2531,20999,2021-12-31
28,23,18,19,32,42,40,35,30,32,6,20,16,11,5,10.0,3.0,0.0,1.0,,2021-08-08,일요일,371,승차,애오개,2531,21559,2021-12-31
40,35,36,74,87,90,70,55,101,68,106,64,57,43,18,17.0,7.0,2.0,0.0,,2021-08-09,월요일,970,승차,애오개,2531,22119,2021-12-31
40,37,43,58,87,70,73,61,81,74,94,49,59,49,29,26.0,7.0,2.0,1.0,,2021-08-10,화요일,940,승차,애오개,2531,22679,2021-12-31
41,36,42,57,63,62,66,66,95,63,87,53,49,46,30,9.0,10.0,4.0,0.0,,2021-08-11,수요일,879,승차,애오개,2531,23239,2021-12-31
43,35,44,52,75,66,63,61,91,67,72,57,67,46,32,17.0,7.0,1.0,0.0,,2021-08-12,목요일,896,승차,애오개,2531,23799,2021-12-31
33,39,41,50,67,63,62,66,84,85,83,71,50,45,25,15.0,11.0,4.0,0.0,,2021-08-13,금요일,894,승차,애오개,2531,24359,2021-12-31
28,29,28,29,54,53,75,56,47,23,40,26,23,19,20,11.0,11.0,1.0,0.0,,2021-08-14,토요일,573,승차,애오개,2531,24919,2021-12-31
26,13,22,25,37,41,40,37,33,16,20,12,13,15,8,6.0,9.0,1.0,0.0,,2021-08-15,일요일,374,승차,애오개,2531,25479,2021-12-31
32,31,27,30,47,55,62,58,51,41,24,31,25,16,10,8.0,3.0,1.0,1.0,,2021-08-16,월요일,553,승차,애오개,2531,26039,2021-12-31
38,35,44,53,95,89,76,73,92,96,101,70,48,50,27,13.0,1.0,3.0,0.0,,2021-08-17,화요일,1004,승차,애오개,2531,26599,2021-12-31
49,37,40,56,58,78,58,79,98,71,92,59,45,40,26,18.0,4.0,3.0,0.0,,2021-08-18,수요일,911,승차,애오개,2531,27159,2021-12-31
32,30,40,51,98,70,78,72,93,63,82,53,52,49,31,12.0,9.0,3.0,1.0,,2021-08-19,목요일,919,승차,애오개,2531,27719,2021-12-31
38,32,52,52,80,75,61,65,87,80,87,69,53,48,33,14.0,7.0,6.0,0.0,,2021-08-20,금요일,939,승차,애오개,2531,28279,2021-12-31
21,20,25,25,42,35,53,37,45,35,23,31,24,14,19,7.0,4.0,0.0,0.0,,2021-08-21,토요일,460,승차,애오개,2531,28839,2021-12-31
22,20,25,22,33,48,52,48,32,38,14,12,12,17,9,9.0,4.0,3.0,0.0,,2021-08-22,일요일,420,승차,애오개,2531,29399,2021-12-31
36,31,41,54,87,78,50,69,83,80,93,59,52,46,29,10.0,7.0,2.0,0.0,,2021-08-23,월요일,907,승차,애오개,2531,29959,2021-12-31
36,31,43,50,70,74,69,64,79,84,108,58,58,36,29,10.0,9.0,1.0,0.0,,2021-08-24,화요일,909,승차,애오개,2531,30519,2021-12-31
34,34,45,51,82,76,76,90,91,89,111,44,43,46,29,14.0,11.0,0.0,0.0,,2021-08-25,수요일,966,승차,애오개,2531,31079,2021-12-31
46,34,42,52,72,80,62,85,93,93,102,70,61,53,32,23.0,7.0,2.0,0.0,,2021-08-26,목요일,1009,승차,애오개,2531,31639,2021-12-31
38,34,40,46,67,76,53,71,101,87,88,59,62,42,28,14.0,8.0,5.0,1.0,,2021-08-27,금요일,920,승차,애오개,2531,32199,2021-12-31
32,33,25,24,51,58,75,71,59,38,28,28,28,15,16,7.0,5.0,1.0,0.0,,2021-08-28,토요일,594,승차,애오개,2531,32759,2021-12-31
19,21,18,21,47,37,45,34,48,36,28,22,19,11,8,5.0,5.0,1.0,0.0,,2021-08-29,일요일,425,승차,애오개,2531,33319,2021-12-31
45,39,50,45,98,96,63,68,102,78,95,56,62,52,27,16.0,12.0,4.0,0.0,,2021-08-30,월요일,1008,승차,애오개,2531,33879,2021-12-31
34,33,34,56,80,56,74,63,76,63,86,47,62,51,19,11.0,7.0,1.0,0.0,,2021-08-31,화요일,853,승차,애오개,2531,34439,2021-12-31
34,32,44,64,78,68,79,70,78,81,100,74,49,53,28,22.0,17.0,1.0,0.0,,2021-09-01,수요일,972,승차,애오개,2531,34999,2021-12-31
36,29,37,40,80,78,92,72,99,90,90,47,58,48,29,16.0,8.0,2.0,1.0,,2021-09-02,목요일,952,승차,애오개,2531,35559,2021-12-31
