06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,수송일자,요일,일일합계,승하차구분,역명,역번호,연번,날짜
45,17,53,48,60,67,48,41,40,52,54,46,52,46,25,18.0,13.0,5.0,0.0,,2021-07-01,목요일,730,승차,양평,2523,263,2021-12-31
30,28,47,60,54,63,75,39,41,63,69,54,61,44,27,25.0,16.0,9.0,2.0,,2021-07-02,금요일,807,승차,양평,2523,823,2021-12-31
30,13,36,29,43,43,47,36,35,26,31,28,26,13,9,5.0,6.0,3.0,0.0,,2021-07-03,토요일,459,승차,양평,2523,1383,2021-12-31
18,14,18,16,28,30,17,35,28,21,24,20,16,17,7,7.0,8.0,1.0,0.0,,2021-07-04,일요일,325,승차,양평,2523,1943,2021-12-31
29,24,47,59,76,52,67,53,52,61,63,60,64,43,24,17.0,10.0,4.0,4.0,,2021-07-05,월요일,809,승차,양평,2523,2503,2021-12-31
40,30,46,55,65,64,76,54,47,40,74,41,53,51,25,24.0,5.0,5.0,1.0,,2021-07-06,화요일,796,승차,양평,2523,3063,2021-12-31
36,23,54,51,67,68,67,45,48,40,54,35,59,51,20,17.0,9.0,6.0,1.0,,2021-07-07,수요일,751,승차,양평,2523,3623,2021-12-31
37,26,40,52,57,53,62,42,47,45,74,29,54,45,23,9.0,6.0,6.0,1.0,,2021-07-08,목요일,708,승차,양평,2523,4183,2021-12-31
32,26,47,56,58,72,46,47,38,46,63,51,53,47,33,17.0,8.0,13.0,3.0,,2021-07-09,금요일,756,승차,양평,2523,4743,2021-12-31
21,19,28,34,29,49,37,37,27,29,29,26,19,20,13,12.0,8.0,3.0,1.0,,2021-07-10,토요일,441,승차,양평,2523,5303,2021-12-31
27,10,16,19,18,23,12,36,41,21,17,17,17,11,3,4.0,3.0,0.0,0.0,,2021-07-11,일요일,295,승차,양평,2523,5863,2021-12-31
28,28,49,58,38,62,50,39,53,32,51,43,56,42,22,16.0,8.0,8.0,0.0,,2021-07-12,월요일,683,승차,양평,2523,6423,2021-12-31
40,23,45,47,42,53,46,44,39,50,42,36,44,48,19,21.0,6.0,4.0,1.0,,2021-07-13,화요일,650,승차,양평,2523,6983,2021-12-31
37,29,48,51,52,36,45,47,37,47,58,44,41,37,21,13.0,11.0,4.0,2.0,,2021-07-14,수요일,660,승차,양평,2523,7543,2021-12-31
35,19,55,38,47,50,50,30,41,40,53,34,42,34,26,17.0,12.0,5.0,1.0,,2021-07-15,목요일,629,승차,양평,2523,8103,2021-12-31
35,29,48,46,33,45,46,36,46,44,51,51,39,42,18,20.0,5.0,5.0,1.0,,2021-07-16,금요일,640,승차,양평,2523,8663,2021-12-31
23,14,28,35,37,38,29,30,26,22,30,31,22,8,7,7.0,8.0,4.0,0.0,,2021-07-17,토요일,399,승차,양평,2523,9223,2021-12-31
19,13,14,17,17,23,16,30,21,21,15,17,13,12,4,5.0,4.0,4.0,0.0,,2021-07-18,일요일,265,승차,양평,2523,9783,2021-12-31
36,20,48,55,46,48,41,41,53,48,47,32,54,42,19,19.0,7.0,4.0,0.0,,2021-07-19,월요일,660,승차,양평,2523,10343,2021-12-31
36,26,45,39,34,46,38,58,41,49,54,43,44,42,19,19.0,8.0,3.0,0.0,,2021-07-20,화요일,644,승차,양평,2523,10903,2021-12-31
39,20,48,51,43,46,50,42,51,38,47,38,49,41,23,21.0,10.0,5.0,2.0,,2021-07-21,수요일,664,승차,양평,2523,11463,2021-12-31
34,22,43,43,34,47,45,34,30,43,49,39,38,38,15,12.0,19.0,8.0,1.0,,2021-07-22,목요일,594,승차,양평,2523,12023,2021-12-31
37,15,51,48,49,54,43,40,43,42,51,54,43,46,19,14.0,15.0,9.0,3.0,,2021-07-23,금요일,676,승차,양평,2523,12583,2021-12-31
29,17,33,34,28,39,36,37,23,22,14,36,18,18,10,25.0,2.0,5.0,0.0,,2021-07-24,토요일,426,승차,양평,2523,13143,2021-12-31
22,7,25,13,23,24,18,20,36,12,11,12,15,7,4,6.0,2.0,5.0,0.0,,2021-07-25,일요일,262,승차,양평,2523,13703,2021-12-31
29,29,55,55,49,48,56,37,52,41,45,41,36,37,25,17.0,10.0,5.0,1.0,,2021-07-26,월요일,668,승차,양평,2523,14263,2021-12-31
43,16,53,59,44,46,39,35,34,42,59,37,38,51,17,20.0,8.0,3.0,0.0,,2021-07-27,화요일,644,승차,양평,2523,14823,2021-12-31
