06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,수송일자,요일,일일합계,승하차구분,역명,역번호,연번,날짜
47,23,36,41,71,73,94,106,131,116,176,178,150,131,95,56.0,32.0,23.0,4.0,,2021-07-01,목요일,1583,승차,영등포시장,2525,267,2021-12-31
34,16,44,42,65,86,117,101,102,111,155,161,156,97,91,50.0,42.0,27.0,6.0,,2021-07-02,금요일,1503,승차,영등포시장,2525,827,2021-12-31
36,25,34,25,55,63,62,91,109,120,114,95,67,61,61,29.0,32.0,20.0,3.0,,2021-07-03,토요일,1102,승차,영등포시장,2525,1387,2021-12-31
18,6,20,19,24,26,38,68,55,61,71,80,55,41,40,31.0,23.0,15.0,2.0,,2021-07-04,일요일,693,승차,영등포시장,2525,1947,2021-12-31
42,27,33,46,95,100,140,95,131,128,198,148,151,131,101,56.0,35.0,20.0,7.0,,2021-07-05,월요일,1684,승차,영등포시장,2525,2507,2021-12-31
34,17,37,39,69,108,139,115,147,134,176,167,177,130,82,48.0,35.0,22.0,7.0,,2021-07-06,화요일,1683,승차,영등포시장,2525,3067,2021-12-31
36,22,33,45,60,95,83,100,158,123,135,154,135,134,76,67.0,26.0,21.0,3.0,,2021-07-07,수요일,1506,승차,영등포시장,2525,3627,2021-12-31
32,20,35,49,67,88,106,95,114,94,161,137,138,129,99,36.0,35.0,22.0,3.0,,2021-07-08,목요일,1460,승차,영등포시장,2525,4187,2021-12-31
28,33,39,39,59,92,100,101,126,115,165,125,150,106,87,46.0,43.0,22.0,4.0,,2021-07-09,금요일,1480,승차,영등포시장,2525,4747,2021-12-31
25,16,25,30,52,67,75,107,83,106,114,95,80,73,69,38.0,37.0,25.0,4.0,,2021-07-10,토요일,1121,승차,영등포시장,2525,5307,2021-12-31
19,16,19,18,25,36,40,67,62,62,58,52,56,44,39,21.0,21.0,17.0,3.0,,2021-07-11,일요일,675,승차,영등포시장,2525,5867,2021-12-31
40,14,37,32,74,92,112,86,143,102,150,140,110,120,80,45.0,27.0,22.0,1.0,,2021-07-12,월요일,1427,승차,영등포시장,2525,6427,2021-12-31
35,29,33,52,71,88,108,85,105,74,131,136,117,110,84,41.0,26.0,18.0,2.0,,2021-07-13,화요일,1345,승차,영등포시장,2525,6987,2021-12-31
34,16,39,41,62,78,80,80,100,107,120,103,137,104,90,47.0,37.0,17.0,1.0,,2021-07-14,수요일,1293,승차,영등포시장,2525,7547,2021-12-31
38,28,37,44,60,71,113,94,91,90,128,136,119,125,84,46.0,31.0,16.0,2.0,,2021-07-15,목요일,1353,승차,영등포시장,2525,8107,2021-12-31
31,17,29,44,76,76,106,86,92,98,125,141,135,120,72,36.0,36.0,19.0,1.0,,2021-07-16,금요일,1340,승차,영등포시장,2525,8667,2021-12-31
37,25,33,28,45,55,84,60,78,72,97,87,99,71,80,37.0,34.0,20.0,3.0,,2021-07-17,토요일,1045,승차,영등포시장,2525,9227,2021-12-31
17,7,27,19,19,28,35,36,37,41,38,45,54,58,33,30.0,26.0,13.0,2.0,,2021-07-18,일요일,565,승차,영등포시장,2525,9787,2021-12-31
39,26,26,33,89,100,98,91,100,99,124,121,116,110,74,45.0,33.0,11.0,2.0,,2021-07-19,월요일,1337,승차,영등포시장,2525,10347,2021-12-31
31,17,26,50,65,89,99,97,104,116,143,141,124,93,83,40.0,26.0,17.0,2.0,,2021-07-20,화요일,1363,승차,영등포시장,2525,10907,2021-12-31
30,30,32,62,74,90,102,75,81,87,109,112,144,119,75,48.0,34.0,15.0,2.0,,2021-07-21,수요일,1321,승차,영등포시장,2525,11467,2021-12-31
34,15,36,44,71,95,94,92,98,88,116,117,114,104,86,35.0,29.0,21.0,4.0,,2021-07-22,목요일,1293,승차,영등포시장,2525,12027,2021-12-31
34,23,31,46,71,78,75,90,87,94,114,137,158,121,58,56.0,30.0,22.0,1.0,,2021-07-23,금요일,1326,승차,영등포시장,2525,12587,2021-12-31
35,19,29,40,56,68,64,59,64,47,59,78,79,83,66,37.0,28.0,21.0,1.0,,2021-07-24,토요일,933,승차,영등포시장,2525,13147,2021-12-31
23,19,17,25,24,29,33,46,35,36,38,50,49,48,42,23.0,18.0,19.0,0.0,,2021-07-25,일요일,574,승차,영등포시장,2525,13707,2021-12-31
30,17,41,35,56,102,102,89,100,90,140,134,128,116,80,42.0,30.0,19.0,0.0,,2021-07-26,월요일,1351,승차,영등포시장,2525,14267,2021-12-31
35,23,36,42,75,79,112,90,102,102,127,141,115,144,81,42.0,29.0,16.0,2.0,,2021-07-27,화요일,1393,승차,영등포시장,2525,14827,2021-12-31
30,16,43,48,47,90,117,101,84,94,158,135,129,105,71,46.0,37.0,14.0,1.0,,2021-07-28,수요일,1366,승차,영등포시장,2525,15387,2021-12-31
43,23,32,39,56,88,88,75,92,92,152,141,117,141,65,45.0,27.0,16.0,5.0,,2021-07-29,목요일,1337,승차,영등포시장,2525,15947,2021-12-31
31,18,37,57,68,84,97,96,90,108,131,131,127,124,78,35.0,32.0,18.0,4.0,,2021-07-30,금요일,1366,승차,영등포시장,2525,16507,2021-12-31
34,25,25,29,51,69,83,79,69,77,67,88,76,87,77,34.0,24.0,13.0,2.0,,2021-07-31,토요일,1009,승차,영등포시장,2525,17067,2021-12-31
11,13,19,17,19,23,23,45,49,45,63,34,58,56,33,18.0,24.0,11.0,2.0,,2021-08-01,일요일,563,승차,영등포시장,2525,17627,2021-12-31
40,17,32,40,54,83,126,98,111,116,153,130,113,115,74,47.0,27.0,18.0,5.0,,2021-08-02,월요일,1399,승차,영등포시장,2525,18187,2021-12-31
27,11,49,47,68,95,106,72,115,105,154,147,130,133,70,45.0,27.0,17.0,4.0,,2021-08-03,화요일,1422,승차,영등포시장,2525,18747,2021-12-31
38,18,35,36,73,80,82,97,94,107,131,120,118,100,69,32.0,31.0,17.0,2.0,,2021-08-04,수요일,1280,승차,영등포시장,2525,19307,2021-12-31
33,13,39,43,68,76,110,93,107,88,144,145,127,133,72,49.0,33.0,19.0,1.0,,2021-08-05,목요일,1393,승차,영등포시장,2525,19867,2021-12-31
43,26,33,47,73,103,121,84,110,115,148,137,118,128,80,38.0,25.0,16.0,2.0,,2021-08-06,금요일,1447,승차,영등포시장,2525,20427,2021-12-31
33,10,31,28,48,69,81,74,85,67,86,92,92,73,66,35.0,25.0,22.0,3.0,,2021-08-07,토요일,1020,승차,영등포시장,2525,20987,2021-12-31
21,18,20,24,21,24,28,38,44,53,61,36,52,40,43,18.0,13.0,11.0,2.0,,2021-08-08,일요일,567,승차,영등포시장,2525,21547,2021-12-31
31,20,32,36,62,103,108,111,101,118,167,158,146,110,80,42.0,35.0,9.0,0.0,,2021-08-09,월요일,1469,승차,영등포시장,2525,22107,2021-12-31
43,25,29,41,78,84,115,95,119,106,151,155,143,133,78,39.0,26.0,18.0,2.0,,2021-08-10,화요일,1480,승차,영등포시장,2525,22667,2021-12-31
38,14,36,47,54,79,97,96,103,108,174,115,117,115,78,44.0,28.0,28.0,0.0,,2021-08-11,수요일,1371,승차,영등포시장,2525,23227,2021-12-31
41,23,35,37,86,84,113,102,91,111,156,157,126,126,72,46.0,17.0,21.0,0.0,,2021-08-12,목요일,1444,승차,영등포시장,2525,23787,2021-12-31
35,18,28,50,68,83,117,100,121,134,142,150,122,115,69,45.0,32.0,19.0,3.0,,2021-08-13,금요일,1451,승차,영등포시장,2525,24347,2021-12-31
38,21,37,27,52,68,69,71,60,104,106,88,94,71,68,36.0,24.0,14.0,3.0,,2021-08-14,토요일,1051,승차,영등포시장,2525,24907,2021-12-31
24,12,22,11,29,33,29,43,53,43,41,49,41,50,45,19.0,23.0,17.0,1.0,,2021-08-15,일요일,585,승차,영등포시장,2525,25467,2021-12-31
47,23,25,49,47,63,88,85,89,82,92,126,111,79,58,24.0,25.0,12.0,1.0,,2021-08-16,월요일,1126,승차,영등포시장,2525,26027,2021-12-31
42,19,32,42,76,86,122,100,108,128,166,140,128,117,69,37.0,26.0,13.0,0.0,,2021-08-17,화요일,1451,승차,영등포시장,2525,26587,2021-12-31
43,23,29,46,54,71,93,122,119,104,159,145,118,133,64,54.0,28.0,15.0,1.0,,2021-08-18,수요일,1421,승차,영등포시장,2525,27147,2021-12-31
29,17,38,38,66,72,103,94,103,110,175,160,138,149,66,52.0,16.0,23.0,2.0,,2021-08-19,목요일,1451,승차,영등포시장,2525,27707,2021-12-31
43,20,44,40,75,84,94,96,115,123,143,158,139,128,68,48.0,27.0,20.0,1.0,,2021-08-20,금요일,1466,승차,영등포시장,2525,28267,2021-12-31
30,18,20,30,40,64,57,54,57,75,79,96,83,71,55,36.0,26.0,25.0,2.0,,2021-08-21,토요일,918,승차,영등포시장,2525,28827,2021-12-31
22,14,28,26,33,33,45,56,45,56,45,63,49,49,38,30.0,21.0,10.0,2.0,,2021-08-22,일요일,665,승차,영등포시장,2525,29387,2021-12-31
41,10,41,52,75,74,137,96,112,110,141,138,114,122,59,34.0,26.0,10.0,0.0,,2021-08-23,월요일,1392,승차,영등포시장,2525,29947,2021-12-31
38,22,35,43,56,69,87,122,93,106,143,160,142,117,74,43.0,23.0,10.0,1.0,,2021-08-24,화요일,1384,승차,영등포시장,2525,30507,2021-12-31
38,20,38,45,64,86,90,112,135,147,154,171,162,138,74,58.0,40.0,18.0,0.0,,2021-08-25,수요일,1590,승차,영등포시장,2525,31067,2021-12-31
