06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,수송일자,요일,일일합계,승하차구분,역명,역번호,연번,날짜
37,46,55,79,88,53,60,53,36,34,35,37,39,18,21,9.0,16.0,8.0,2.0,,2021-07-01,목요일,726,승차,오금,342,185,2021-12-31
20,15,33,33,39,35,35,45,38,32,47,41,33,35,21,14.0,9.0,4.0,0.0,,2021-07-01,목요일,529,승차,오금,2558,333,2021-12-31
38,37,55,77,68,63,59,64,46,44,60,46,36,29,19,15.0,17.0,7.0,0.0,,2021-07-02,금요일,780,승차,오금,342,745,2021-12-31
17,8,27,35,48,45,35,41,49,47,46,47,25,23,27,6.0,10.0,9.0,1.0,,2021-07-02,금요일,546,승차,오금,2558,893,2021-12-31
25,28,19,45,63,48,53,48,37,30,24,26,18,14,15,7.0,5.0,0.0,0.0,,2021-07-03,토요일,505,승차,오금,342,1305,2021-12-31
11,7,14,17,38,27,34,38,29,18,32,23,19,7,10,6.0,9.0,2.0,0.0,,2021-07-03,토요일,341,승차,오금,2558,1453,2021-12-31
12,21,15,23,32,37,24,35,43,27,21,21,19,11,13,9.0,6.0,3.0,0.0,,2021-07-04,일요일,372,승차,오금,342,1865,2021-12-31
13,5,7,15,8,25,20,21,42,20,32,20,15,10,13,5.0,5.0,2.0,1.0,,2021-07-04,일요일,279,승차,오금,2558,2013,2021-12-31
43,41,57,82,89,58,54,50,59,40,50,63,50,32,12,13.0,7.0,1.0,0.0,,2021-07-05,월요일,801,승차,오금,342,2425,2021-12-31
15,5,28,36,45,33,58,48,48,51,47,31,50,31,24,8.0,9.0,3.0,0.0,,2021-07-05,월요일,570,승차,오금,2558,2573,2021-12-31
40,40,64,71,72,74,54,48,52,44,46,42,38,28,21,16.0,14.0,3.0,0.0,,2021-07-06,화요일,767,승차,오금,342,2985,2021-12-31
22,4,26,35,46,35,37,39,57,51,41,56,36,28,19,12.0,13.0,7.0,2.0,,2021-07-06,화요일,566,승차,오금,2558,3133,2021-12-31
41,40,53,75,83,60,51,47,45,41,61,43,38,29,17,15.0,0.0,5.0,0.0,,2021-07-07,수요일,744,승차,오금,342,3545,2021-12-31
19,7,29,37,46,29,47,49,43,56,47,50,35,35,21,12.0,7.0,3.0,1.0,,2021-07-07,수요일,573,승차,오금,2558,3693,2021-12-31
33,37,57,69,74,51,45,37,45,46,37,49,41,34,19,19.0,4.0,2.0,0.0,,2021-07-08,목요일,699,승차,오금,342,4105,2021-12-31
17,7,25,40,30,36,39,39,42,35,47,42,43,39,23,8.0,6.0,5.0,0.0,,2021-07-08,목요일,523,승차,오금,2558,4253,2021-12-31
35,38,63,64,62,43,41,55,57,36,45,39,35,23,14,9.0,8.0,5.0,2.0,,2021-07-09,금요일,674,승차,오금,342,4665,2021-12-31
20,11,30,34,44,33,41,41,34,49,45,46,39,32,19,14.0,7.0,6.0,2.0,,2021-07-09,금요일,547,승차,오금,2558,4813,2021-12-31
16,23,25,36,49,41,31,47,32,30,26,30,22,13,8,9.0,4.0,2.0,0.0,,2021-07-10,토요일,444,승차,오금,342,5225,2021-12-31
14,5,14,18,24,24,28,25,28,32,19,22,25,11,14,5.0,8.0,1.0,0.0,,2021-07-10,토요일,317,승차,오금,2558,5373,2021-12-31
11,18,19,23,30,21,23,36,45,22,25,22,18,4,6,11.0,2.0,3.0,1.0,,2021-07-11,일요일,340,승차,오금,342,5785,2021-12-31
10,4,10,13,13,22,11,27,30,22,17,18,11,7,9,10.0,6.0,0.0,0.0,,2021-07-11,일요일,240,승차,오금,2558,5933,2021-12-31
37,42,53,69,77,54,32,44,54,38,34,36,42,33,19,9.0,6.0,2.0,0.0,,2021-07-12,월요일,681,승차,오금,342,6345,2021-12-31
20,6,27,38,44,46,47,33,31,36,50,33,34,29,16,7.0,6.0,5.0,0.0,,2021-07-12,월요일,508,승차,오금,2558,6493,2021-12-31
33,45,64,66,66,59,42,48,50,32,40,41,27,30,14,11.0,6.0,3.0,0.0,,2021-07-13,화요일,677,승차,오금,342,6905,2021-12-31
22,10,22,34,36,36,38,34,26,39,42,27,46,25,14,10.0,3.0,1.0,2.0,,2021-07-13,화요일,467,승차,오금,2558,7053,2021-12-31
37,43,59,66,67,55,24,32,48,38,43,48,35,22,15,17.0,6.0,2.0,0.0,,2021-07-14,수요일,657,승차,오금,342,7465,2021-12-31
17,8,25,31,44,37,36,32,36,41,34,41,31,29,17,12.0,5.0,5.0,0.0,,2021-07-14,수요일,481,승차,오금,2558,7613,2021-12-31
35,46,48,67,77,48,42,54,36,30,49,45,31,21,15,10.0,7.0,4.0,0.0,,2021-07-15,목요일,665,승차,오금,342,8025,2021-12-31
19,6,22,28,52,35,34,42,37,41,34,37,32,29,14,5.0,10.0,0.0,0.0,,2021-07-15,목요일,477,승차,오금,2558,8173,2021-12-31
42,40,60,58,61,45,39,34,66,39,32,36,33,36,25,9.0,12.0,6.0,1.0,,2021-07-16,금요일,674,승차,오금,342,8585,2021-12-31
20,8,25,31,30,47,42,41,33,29,36,40,31,29,20,5.0,9.0,1.0,0.0,,2021-07-16,금요일,477,승차,오금,2558,8733,2021-12-31
29,31,33,38,49,38,27,26,23,28,23,24,24,17,9,6.0,3.0,6.0,0.0,,2021-07-17,토요일,434,승차,오금,342,9145,2021-12-31
12,5,19,22,29,21,19,18,24,28,21,28,26,19,12,2.0,8.0,1.0,0.0,,2021-07-17,토요일,314,승차,오금,2558,9293,2021-12-31
13,19,17,11,22,21,17,22,34,20,18,17,10,10,5,2.0,8.0,4.0,0.0,,2021-07-18,일요일,270,승차,오금,342,9705,2021-12-31
12,6,12,24,10,14,10,13,20,15,15,19,15,4,3,5.0,6.0,4.0,0.0,,2021-07-18,일요일,207,승차,오금,2558,9853,2021-12-31
41,42,53,78,76,57,34,48,38,38,40,48,30,26,11,15.0,6.0,1.0,0.0,,2021-07-19,월요일,682,승차,오금,342,10265,2021-12-31
24,8,20,31,47,38,38,43,41,35,35,42,39,31,10,9.0,5.0,2.0,0.0,,2021-07-19,월요일,498,승차,오금,2558,10413,2021-12-31
30,39,67,71,72,73,46,37,52,45,47,47,37,34,8,16.0,5.0,2.0,0.0,,2021-07-20,화요일,728,승차,오금,342,10825,2021-12-31
23,9,21,39,39,34,35,34,36,36,38,40,35,26,14,11.0,11.0,6.0,0.0,,2021-07-20,화요일,487,승차,오금,2558,10973,2021-12-31
34,41,63,72,68,47,48,36,41,36,32,39,35,18,13,17.0,10.0,3.0,0.0,,2021-07-21,수요일,653,승차,오금,342,11385,2021-12-31
14,8,29,35,41,35,28,37,23,31,32,46,39,26,15,11.0,4.0,4.0,0.0,,2021-07-21,수요일,458,승차,오금,2558,11533,2021-12-31
38,40,50,57,59,46,50,43,41,37,44,35,29,27,22,8.0,6.0,0.0,0.0,,2021-07-22,목요일,632,승차,오금,342,11945,2021-12-31
18,9,18,32,42,30,31,40,35,32,36,31,37,25,15,8.0,6.0,3.0,0.0,,2021-07-22,목요일,448,승차,오금,2558,12093,2021-12-31
33,43,62,67,64,38,49,43,48,45,43,45,41,26,21,14.0,4.0,5.0,1.0,,2021-07-23,금요일,692,승차,오금,342,12505,2021-12-31
