06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,수송일자,요일,일일합계,승하차구분,역명,역번호,연번,날짜
18,14,57,26,58,111,116,130,130,211,233,240,225,202,128,81.0,67.0,36.0,10.0,,2021-07-01,목요일,2093,승차,을지로3가,203,25,2021-12-31
6,6,15,14,30,60,71,90,122,139,177,174,193,171,102,53.0,40.0,32.0,5.0,,2021-07-01,목요일,1500,승차,을지로3가,320,143,2021-12-31
12,15,44,26,57,91,147,142,160,225,254,232,225,179,136,65.0,101.0,49.0,6.0,,2021-07-02,금요일,2166,승차,을지로3가,203,585,2021-12-31
10,8,20,21,33,61,78,91,111,149,160,165,181,159,114,53.0,53.0,42.0,5.0,,2021-07-02,금요일,1514,승차,을지로3가,320,703,2021-12-31
10,10,99,20,28,54,70,78,87,214,179,118,82,74,61,69.0,39.0,27.0,3.0,,2021-07-03,토요일,1322,승차,을지로3가,203,1145,2021-12-31
10,5,15,15,15,39,56,65,64,237,207,91,90,64,31,45.0,18.0,22.0,2.0,,2021-07-03,토요일,1091,승차,을지로3가,320,1263,2021-12-31
9,6,11,72,15,105,73,122,112,135,80,98,54,133,23,20.0,19.0,9.0,2.0,,2021-07-04,일요일,1098,승차,을지로3가,203,1705,2021-12-31
4,1,11,30,7,45,35,37,46,82,59,54,33,67,23,17.0,9.0,5.0,0.0,,2021-07-04,일요일,565,승차,을지로3가,320,1823,2021-12-31
12,10,9,24,52,92,122,138,172,198,275,251,222,221,125,89.0,48.0,45.0,6.0,,2021-07-05,월요일,2111,승차,을지로3가,203,2265,2021-12-31
6,5,10,16,50,65,99,79,116,147,178,177,220,175,95,61.0,26.0,28.0,3.0,,2021-07-05,월요일,1556,승차,을지로3가,320,2383,2021-12-31
18,13,10,32,62,95,115,115,139,241,243,237,227,215,122,89.0,83.0,38.0,5.0,,2021-07-06,화요일,2099,승차,을지로3가,203,2825,2021-12-31
8,9,12,15,31,58,92,82,113,157,167,189,229,154,103,64.0,49.0,21.0,5.0,,2021-07-06,화요일,1558,승차,을지로3가,320,2943,2021-12-31
15,10,11,18,57,97,173,147,153,196,255,221,208,216,135,103.0,69.0,57.0,9.0,,2021-07-07,수요일,2150,승차,을지로3가,203,3385,2021-12-31
7,7,8,17,35,54,96,98,143,159,162,159,213,195,107,74.0,39.0,40.0,2.0,,2021-07-07,수요일,1615,승차,을지로3가,320,3503,2021-12-31
14,10,20,20,42,77,98,108,138,198,240,224,216,207,108,83.0,62.0,37.0,6.0,,2021-07-08,목요일,1908,승차,을지로3가,203,3945,2021-12-31
9,6,11,13,33,52,88,80,118,127,165,157,181,184,97,45.0,40.0,25.0,1.0,,2021-07-08,목요일,1432,승차,을지로3가,320,4063,2021-12-31
16,11,15,23,44,61,121,127,133,190,223,200,204,194,117,80.0,90.0,45.0,8.0,,2021-07-09,금요일,1902,승차,을지로3가,203,4505,2021-12-31
8,13,10,19,33,50,76,79,95,137,161,141,186,173,111,62.0,37.0,37.0,3.0,,2021-07-09,금요일,1431,승차,을지로3가,320,4623,2021-12-31
