06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,수송일자,요일,일일합계,승하차구분,역명,역번호,연번,날짜
48,24,43,56,98,95,81,120,120,105,130,110,108,72,28,26.0,15.0,11.0,2.0,,2021-07-01,목요일,1292,승차,이대,241,101,2021-12-31
39,21,44,56,98,107,123,148,123,119,112,108,116,78,38,26.0,15.0,8.0,4.0,,2021-07-02,금요일,1383,승차,이대,241,661,2021-12-31
33,27,27,37,71,82,79,112,84,49,69,44,36,31,15,11.0,12.0,2.0,1.0,,2021-07-03,토요일,822,승차,이대,241,1221,2021-12-31
23,12,16,34,41,45,56,72,62,32,41,35,26,15,14,10.0,9.0,5.0,6.0,,2021-07-04,일요일,554,승차,이대,241,1781,2021-12-31
37,28,40,64,97,99,94,138,131,90,134,120,152,60,45,24.0,14.0,9.0,3.0,,2021-07-05,월요일,1379,승차,이대,241,2341,2021-12-31
41,26,34,65,106,77,90,127,142,112,114,120,110,68,34,22.0,24.0,11.0,3.0,,2021-07-06,화요일,1326,승차,이대,241,2901,2021-12-31
34,23,42,57,87,89,122,151,106,99,133,116,95,81,40,36.0,12.0,9.0,4.0,,2021-07-07,수요일,1336,승차,이대,241,3461,2021-12-31
42,30,36,51,75,76,89,100,98,79,124,99,105,62,33,28.0,12.0,11.0,2.0,,2021-07-08,목요일,1152,승차,이대,241,4021,2021-12-31
35,25,55,54,91,90,127,127,91,100,114,94,107,81,37,36.0,19.0,11.0,2.0,,2021-07-09,금요일,1296,승차,이대,241,4581,2021-12-31
35,22,22,37,60,66,66,74,66,52,63,51,51,41,29,20.0,9.0,6.0,2.0,,2021-07-10,토요일,772,승차,이대,241,5141,2021-12-31
19,19,21,39,28,57,56,71,40,31,49,23,15,17,19,10.0,6.0,5.0,1.0,,2021-07-11,일요일,526,승차,이대,241,5701,2021-12-31
35,30,49,49,77,84,109,109,99,90,97,105,115,61,26,26.0,11.0,11.0,1.0,,2021-07-12,월요일,1184,승차,이대,241,6261,2021-12-31
41,28,44,32,80,85,100,84,99,99,110,106,75,52,29,17.0,14.0,5.0,2.0,,2021-07-13,화요일,1102,승차,이대,241,6821,2021-12-31
40,24,39,43,71,60,72,71,67,96,97,91,76,42,29,26.0,13.0,7.0,1.0,,2021-07-14,수요일,965,승차,이대,241,7381,2021-12-31
33,27,40,60,81,80,83,66,63,78,88,92,81,49,27,18.0,15.0,9.0,2.0,,2021-07-15,목요일,992,승차,이대,241,7941,2021-12-31
42,18,48,57,87,93,117,89,60,82,104,115,76,46,29,15.0,15.0,7.0,1.0,,2021-07-16,금요일,1101,승차,이대,241,8501,2021-12-31
28,19,32,35,58,50,55,52,39,45,52,44,39,33,27,20.0,9.0,6.0,1.0,,2021-07-17,토요일,644,승차,이대,241,9061,2021-12-31
33,8,18,28,28,33,28,25,29,28,29,32,18,23,19,12.0,12.0,3.0,1.0,,2021-07-18,일요일,407,승차,이대,241,9621,2021-12-31
32,23,43,44,74,106,84,94,80,78,125,100,75,37,39,18.0,14.0,6.0,2.0,,2021-07-19,월요일,1074,승차,이대,241,10181,2021-12-31
35,23,39,49,86,94,98,86,89,73,86,104,69,53,40,17.0,11.0,6.0,5.0,,2021-07-20,화요일,1063,승차,이대,241,10741,2021-12-31
29,18,46,41,70,89,91,74,53,91,103,113,69,38,42,23.0,9.0,5.0,1.0,,2021-07-21,수요일,1005,승차,이대,241,11301,2021-12-31
43,22,44,43,73,72,76,69,64,76,79,98,64,47,37,18.0,13.0,8.0,1.0,,2021-07-22,목요일,947,승차,이대,241,11861,2021-12-31
34,18,41,50,76,108,128,87,58,70,79,93,79,46,28,16.0,12.0,8.0,0.0,,2021-07-23,금요일,1031,승차,이대,241,12421,2021-12-31
25,15,28,41,52,52,62,47,36,51,42,57,28,39,21,22.0,6.0,1.0,0.0,,2021-07-24,토요일,625,승차,이대,241,12981,2021-12-31
