06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,수송일자,요일,일일합계,승하차구분,역명,역번호,연번,날짜
50,40,44,68,84,102,67,85,90,80,92,94,80,62,34,221.0,85.0,14.0,5.0,0.0,2023-10-01,일요일,1397,승차,자양(뚝섬한강공원),2730,149058,2023-12-31
48,29,54,76,87,92,79,79,96,86,92,97,67,59,45,21.0,17.0,13.0,1.0,0.0,2023-10-02,월요일,1138,승차,자양(뚝섬한강공원),2730,149602,2023-12-31
61,38,51,77,86,98,102,92,85,65,84,114,85,54,50,18.0,11.0,10.0,2.0,0.0,2023-10-03,화요일,1183,승차,자양(뚝섬한강공원),2730,150146,2023-12-31
82,50,98,126,128,105,101,71,120,99,137,88,71,62,34,33.0,10.0,7.0,4.0,0.0,2023-10-04,수요일,1426,승차,자양(뚝섬한강공원),2730,150690,2023-12-31
102,56,109,111,123,123,74,96,86,111,111,106,97,52,55,29.0,10.0,9.0,5.0,1.0,2023-10-05,목요일,1466,승차,자양(뚝섬한강공원),2730,151234,2023-12-31
84,45,103,107,137,116,84,85,102,90,114,93,87,65,65,141.0,54.0,21.0,10.0,0.0,2023-10-06,금요일,1603,승차,자양(뚝섬한강공원),2730,151778,2023-12-31
69,52,76,97,125,120,85,108,92,107,100,100,89,63,53,42.0,28.0,11.0,5.0,0.0,2023-10-07,토요일,1422,승차,자양(뚝섬한강공원),2730,152322,2023-12-31
56,22,46,81,111,127,83,95,67,77,88,81,79,40,25,19.0,21.0,8.0,3.0,0.0,2023-10-08,일요일,1129,승차,자양(뚝섬한강공원),2730,152866,2023-12-31
54,36,48,68,113,114,83,98,103,80,85,91,60,62,38,23.0,15.0,8.0,4.0,0.0,2023-10-09,월요일,1183,승차,자양(뚝섬한강공원),2730,153410,2023-12-31
93,45,100,123,119,126,97,94,107,101,108,146,80,75,40,43.0,18.0,8.0,4.0,0.0,2023-10-10,화요일,1527,승차,자양(뚝섬한강공원),2730,153954,2023-12-31
81,60,109,142,143,125,83,102,111,95,115,110,110,79,51,28.0,17.0,6.0,3.0,1.0,2023-10-11,수요일,1571,승차,자양(뚝섬한강공원),2730,154498,2023-12-31
94,50,100,122,139,111,109,107,84,123,100,114,91,72,33,30.0,20.0,9.0,5.0,0.0,2023-10-12,목요일,1513,승차,자양(뚝섬한강공원),2730,155042,2023-12-31
