06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,수송일자,요일,일일합계,승하차구분,역명,역번호,연번,날짜
127,84,116,210,275,332,388,344,337,402,494,462,348,243,150,116.0,89.0,55.0,10.0,,2021-07-01,목요일,4582,승차,잠실(송파구청),216,51,2021-12-31
38,12,32,41,62,107,119,111,136,179,233,230,161,105,53,56.0,36.0,20.0,3.0,,2021-07-01,목요일,1734,승차,잠실(송파구청),2815,535,2021-12-31
123,85,140,210,277,357,404,329,388,445,462,495,333,274,180,153.0,103.0,63.0,13.0,,2021-07-02,금요일,4834,승차,잠실(송파구청),216,611,2021-12-31
35,15,31,38,60,110,134,114,137,182,265,216,186,109,55,55.0,44.0,28.0,6.0,,2021-07-02,금요일,1820,승차,잠실(송파구청),2815,1095,2021-12-31
106,67,92,128,187,259,317,283,292,355,356,324,280,204,137,130.0,92.0,37.0,13.0,,2021-07-03,토요일,3659,승차,잠실(송파구청),216,1171,2021-12-31
26,12,33,29,44,75,124,99,124,106,155,152,121,87,53,57.0,33.0,15.0,4.0,,2021-07-03,토요일,1349,승차,잠실(송파구청),2815,1655,2021-12-31
56,46,40,92,94,155,142,156,206,261,277,237,215,151,170,89.0,52.0,31.0,6.0,,2021-07-04,일요일,2476,승차,잠실(송파구청),216,1731,2021-12-31
20,13,17,18,27,27,49,72,57,93,98,107,84,49,50,33.0,30.0,14.0,0.0,,2021-07-04,일요일,858,승차,잠실(송파구청),2815,2215,2021-12-31
128,82,151,216,281,384,381,335,403,416,511,490,369,236,114,121.0,59.0,49.0,9.0,,2021-07-05,월요일,4735,승차,잠실(송파구청),216,2291,2021-12-31
36,12,46,37,67,108,109,153,155,211,254,235,162,117,55,45.0,34.0,18.0,3.0,,2021-07-05,월요일,1857,승차,잠실(송파구청),2815,2775,2021-12-31
129,88,153,201,271,386,407,375,373,445,513,473,349,257,127,120.0,71.0,45.0,8.0,,2021-07-06,화요일,4791,승차,잠실(송파구청),216,2851,2021-12-31
35,13,34,39,66,114,121,138,136,181,246,248,196,108,61,42.0,28.0,17.0,3.0,,2021-07-06,화요일,1826,승차,잠실(송파구청),2815,3335,2021-12-31
112,80,133,203,282,367,357,329,383,386,467,433,298,192,137,113.0,86.0,78.0,9.0,,2021-07-07,수요일,4445,승차,잠실(송파구청),216,3411,2021-12-31
34,9,21,39,66,102,133,129,137,178,217,223,149,109,49,49.0,33.0,26.0,3.0,,2021-07-07,수요일,1706,승차,잠실(송파구청),2815,3895,2021-12-31
101,88,142,194,228,324,363,300,344,341,468,423,310,236,118,118.0,60.0,41.0,12.0,,2021-07-08,목요일,4211,승차,잠실(송파구청),216,3971,2021-12-31
32,14,32,38,54,121,107,105,117,167,218,201,139,82,51,47.0,28.0,14.0,10.0,,2021-07-08,목요일,1577,승차,잠실(송파구청),2815,4455,2021-12-31
111,85,140,193,252,325,343,297,353,342,405,384,268,202,154,94.0,102.0,41.0,8.0,,2021-07-09,금요일,4099,승차,잠실(송파구청),216,4531,2021-12-31
33,13,32,37,57,113,117,90,118,158,216,170,121,98,58,51.0,46.0,17.0,2.0,,2021-07-09,금요일,1547,승차,잠실(송파구청),2815,5015,2021-12-31
73,75,79,109,162,218,269,194,250,235,266,269,246,220,139,103.0,77.0,37.0,12.0,,2021-07-10,토요일,3033,승차,잠실(송파구청),216,5091,2021-12-31
