06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,수송일자,요일,일일합계,승하차구분,역명,역번호,연번,날짜
62,33,83,120,190,264,240,200,184,217,210,240,135,85,57,55.0,30.0,12.0,2.0,,2021-07-01,목요일,2419,승차,잠실나루,215,49,2021-12-31
61,37,83,141,209,219,239,174,152,211,207,211,136,85,61,62.0,23.0,19.0,2.0,,2021-07-02,금요일,2332,승차,잠실나루,215,609,2021-12-31
54,37,39,54,120,121,117,129,124,110,80,67,53,32,22,32.0,22.0,9.0,0.0,,2021-07-03,토요일,1222,승차,잠실나루,215,1169,2021-12-31
30,20,19,47,57,71,59,66,75,72,59,45,27,23,25,21.0,6.0,5.0,1.0,,2021-07-04,일요일,728,승차,잠실나루,215,1729,2021-12-31
61,33,87,151,211,255,226,183,193,205,219,209,114,66,49,47.0,22.0,11.0,2.0,,2021-07-05,월요일,2344,승차,잠실나루,215,2289,2021-12-31
65,39,93,133,222,253,204,201,188,209,208,238,153,76,49,53.0,25.0,12.0,7.0,,2021-07-06,화요일,2428,승차,잠실나루,215,2849,2021-12-31
56,33,80,155,229,273,208,175,182,214,218,216,121,77,46,49.0,25.0,15.0,1.0,,2021-07-07,수요일,2373,승차,잠실나루,215,3409,2021-12-31
50,41,85,129,182,239,214,163,160,208,208,230,126,74,46,47.0,27.0,10.0,3.0,,2021-07-08,목요일,2242,승차,잠실나루,215,3969,2021-12-31
53,30,85,129,177,209,196,157,146,201,195,180,113,72,48,55.0,17.0,14.0,2.0,,2021-07-09,금요일,2079,승차,잠실나루,215,4529,2021-12-31
38,40,44,70,102,114,100,97,95,76,72,71,51,48,22,17.0,20.0,8.0,2.0,,2021-07-10,토요일,1087,승차,잠실나루,215,5089,2021-12-31
30,22,31,35,59,69,50,56,68,43,42,44,40,16,18,19.0,15.0,4.0,2.0,,2021-07-11,일요일,663,승차,잠실나루,215,5649,2021-12-31
60,35,68,122,176,205,180,144,177,215,202,196,112,52,46,42.0,13.0,13.0,2.0,,2021-07-12,월요일,2060,승차,잠실나루,215,6209,2021-12-31
53,30,78,121,204,223,193,217,148,189,182,194,100,66,56,36.0,17.0,13.0,1.0,,2021-07-13,화요일,2121,승차,잠실나루,215,6769,2021-12-31
62,44,77,114,184,216,208,142,150,193,158,206,116,56,42,40.0,14.0,12.0,1.0,,2021-07-14,수요일,2035,승차,잠실나루,215,7329,2021-12-31
62,34,74,129,165,198,159,152,138,184,192,157,110,45,35,45.0,14.0,9.0,2.0,,2021-07-15,목요일,1904,승차,잠실나루,215,7889,2021-12-31
62,43,67,116,176,171,161,149,131,151,170,190,101,68,56,46.0,22.0,11.0,1.0,,2021-07-16,금요일,1892,승차,잠실나루,215,8449,2021-12-31
44,32,41,51,102,90,83,98,58,68,57,58,36,26,14,26.0,18.0,3.0,2.0,,2021-07-17,토요일,907,승차,잠실나루,215,9009,2021-12-31
24,25,22,37,57,55,38,38,48,60,43,38,26,17,19,24.0,12.0,3.0,2.0,,2021-07-18,일요일,588,승차,잠실나루,215,9569,2021-12-31
