06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,수송일자,요일,일일합계,승하차구분,역명,역번호,연번,날짜
90,85,130,188,322,579,798,896,881,813,775,785,589,376,170,87.0,35.0,16.0,7.0,,2021-07-01,목요일,7622,승차,제기동,157,15,2021-12-31
94,68,136,195,291,560,863,905,876,823,817,790,621,414,159,87.0,37.0,32.0,7.0,,2021-07-02,금요일,7775,승차,제기동,157,575,2021-12-31
85,64,148,214,359,694,822,944,850,849,726,458,378,174,63,33.0,26.0,20.0,3.0,,2021-07-03,토요일,6910,승차,제기동,157,1135,2021-12-31
45,26,42,76,122,191,251,329,363,405,385,288,188,115,68,40.0,24.0,8.0,4.0,,2021-07-04,일요일,2970,승차,제기동,157,1695,2021-12-31
95,77,133,158,278,472,780,932,993,981,958,885,591,349,148,66.0,34.0,28.0,6.0,,2021-07-05,월요일,7964,승차,제기동,157,2255,2021-12-31
82,64,110,173,303,572,838,915,887,940,896,809,623,344,156,65.0,48.0,16.0,8.0,,2021-07-06,화요일,7849,승차,제기동,157,2815,2021-12-31
105,70,108,188,316,524,804,819,756,820,835,729,542,323,140,87.0,31.0,21.0,4.0,,2021-07-07,수요일,7222,승차,제기동,157,3375,2021-12-31
87,69,126,169,280,559,716,832,704,757,719,741,557,369,146,59.0,42.0,19.0,4.0,,2021-07-08,목요일,6955,승차,제기동,157,3935,2021-12-31
92,71,135,178,297,589,779,831,791,765,827,790,591,326,158,74.0,48.0,42.0,4.0,,2021-07-09,금요일,7388,승차,제기동,157,4495,2021-12-31
85,72,119,199,296,607,764,727,739,740,759,690,503,319,151,63.0,45.0,14.0,6.0,,2021-07-10,토요일,6898,승차,제기동,157,5055,2021-12-31
62,32,70,129,193,318,370,413,360,401,393,370,258,146,66,38.0,27.0,8.0,4.0,,2021-07-11,일요일,3658,승차,제기동,157,5615,2021-12-31
91,64,116,184,289,481,563,652,634,643,592,600,503,289,152,51.0,31.0,16.0,5.0,,2021-07-12,월요일,5956,승차,제기동,157,6175,2021-12-31
96,72,121,167,272,472,619,628,655,596,630,566,481,277,112,43.0,29.0,16.0,1.0,,2021-07-13,화요일,5853,승차,제기동,157,6735,2021-12-31
86,70,114,160,285,467,596,632,531,541,614,511,493,314,131,48.0,30.0,18.0,2.0,,2021-07-14,수요일,5643,승차,제기동,157,7295,2021-12-31
91,76,129,207,298,465,617,636,570,544,543,481,464,280,113,40.0,35.0,18.0,3.0,,2021-07-15,목요일,5610,승차,제기동,157,7855,2021-12-31
79,61,123,199,313,511,656,622,646,604,595,546,537,372,130,52.0,32.0,19.0,6.0,,2021-07-16,금요일,6103,승차,제기동,157,8415,2021-12-31
92,60,123,219,351,571,612,644,576,600,531,476,448,267,124,51.0,35.0,16.0,2.0,,2021-07-17,토요일,5798,승차,제기동,157,8975,2021-12-31
54,35,95,111,200,294,396,341,371,341,331,290,260,175,88,43.0,15.0,16.0,3.0,,2021-07-18,일요일,3459,승차,제기동,157,9535,2021-12-31
92,66,125,175,302,540,713,686,661,579,661,510,437,273,155,65.0,29.0,20.0,4.0,,2021-07-19,월요일,6093,승차,제기동,157,10095,2021-12-31
89,60,148,206,330,580,734,761,664,666,632,653,514,334,124,56.0,35.0,13.0,1.0,,2021-07-20,화요일,6600,승차,제기동,157,10655,2021-12-31
100,74,149,169,346,514,573,538,504,494,518,529,476,295,126,61.0,40.0,23.0,3.0,,2021-07-21,수요일,5532,승차,제기동,157,11215,2021-12-31
73,67,143,170,327,469,558,557,489,420,470,471,429,306,125,62.0,34.0,15.0,8.0,,2021-07-22,목요일,5193,승차,제기동,157,11775,2021-12-31
84,68,149,168,314,497,592,594,502,509,512,531,468,291,149,55.0,39.0,21.0,5.0,,2021-07-23,금요일,5548,승차,제기동,157,12335,2021-12-31
86,62,146,208,375,521,524,607,478,452,444,375,300,334,136,61.0,27.0,20.0,4.0,,2021-07-24,토요일,5160,승차,제기동,157,12895,2021-12-31
58,44,84,140,198,319,340,324,313,279,264,229,248,171,88,33.0,21.0,11.0,3.0,,2021-07-25,일요일,3167,승차,제기동,157,13455,2021-12-31
83,63,129,178,330,510,623,622,532,516,535,505,463,317,148,58.0,39.0,19.0,2.0,,2021-07-26,월요일,5672,승차,제기동,157,14015,2021-12-31
90,75,139,186,339,514,629,601,551,514,544,542,487,270,139,54.0,28.0,14.0,1.0,,2021-07-27,화요일,5717,승차,제기동,157,14575,2021-12-31
87,66,134,202,284,549,602,530,534,510,523,559,463,245,101,47.0,41.0,13.0,4.0,,2021-07-28,수요일,5494,승차,제기동,157,15135,2021-12-31
98,64,147,176,297,514,618,692,537,546,603,549,486,284,134,48.0,26.0,18.0,2.0,,2021-07-29,목요일,5839,승차,제기동,157,15695,2021-12-31
71,59,136,181,332,552,679,645,551,514,499,527,478,318,130,68.0,32.0,18.0,0.0,,2021-07-30,금요일,5790,승차,제기동,157,16255,2021-12-31
67,64,128,213,315,554,629,644,591,533,481,465,362,237,128,44.0,31.0,13.0,6.0,,2021-07-31,토요일,5505,승차,제기동,157,16815,2021-12-31
45,33,66,99,196,287,341,296,338,361,363,365,257,138,76,35.0,13.0,13.0,4.0,,2021-08-01,일요일,3326,승차,제기동,157,17375,2021-12-31
67,50,113,124,222,474,617,764,657,712,718,621,533,313,131,59.0,28.0,21.0,2.0,,2021-08-02,월요일,6226,승차,제기동,157,17935,2021-12-31
83,57,128,151,296,538,658,696,618,625,670,567,500,240,142,62.0,34.0,17.0,7.0,,2021-08-03,화요일,6089,승차,제기동,157,18495,2021-12-31
89,66,130,147,260,480,619,629,600,561,568,608,485,303,117,40.0,23.0,16.0,1.0,,2021-08-04,수요일,5742,승차,제기동,157,19055,2021-12-31
74,60,144,200,313,580,610,619,571,565,614,588,491,313,127,70.0,19.0,19.0,7.0,,2021-08-05,목요일,5984,승차,제기동,157,19615,2021-12-31
85,65,146,173,348,546,652,706,631,580,600,629,576,325,163,52.0,49.0,14.0,2.0,,2021-08-06,금요일,6342,승차,제기동,157,20175,2021-12-31
85,52,157,218,397,587,700,671,599,577,606,587,419,308,137,47.0,42.0,15.0,2.0,,2021-08-07,토요일,6206,승차,제기동,157,20735,2021-12-31
49,39,82,124,185,347,403,415,439,422,460,370,227,146,56,27.0,18.0,6.0,4.0,,2021-08-08,일요일,3819,승차,제기동,157,21295,2021-12-31
77,58,138,189,272,574,701,818,705,688,703,722,575,328,130,55.0,31.0,14.0,4.0,,2021-08-09,월요일,6782,승차,제기동,157,21855,2021-12-31
84,72,144,183,347,594,699,762,657,648,628,591,576,308,147,55.0,43.0,16.0,2.0,,2021-08-10,화요일,6556,승차,제기동,157,22415,2021-12-31
87,65,132,168,266,450,659,689,628,661,664,587,552,293,137,73.0,22.0,19.0,1.0,,2021-08-11,수요일,6153,승차,제기동,157,22975,2021-12-31
83,65,113,169,300,523,639,661,604,611,674,662,500,271,117,40.0,34.0,14.0,2.0,,2021-08-12,목요일,6082,승차,제기동,157,23535,2021-12-31
66,68,134,179,276,533,717,701,723,772,696,663,535,336,142,66.0,32.0,17.0,4.0,,2021-08-13,금요일,6660,승차,제기동,157,24095,2021-12-31
70,66,127,191,308,505,743,756,762,725,675,605,442,311,126,57.0,35.0,14.0,2.0,,2021-08-14,토요일,6520,승차,제기동,157,24655,2021-12-31
46,26,63,108,212,341,362,407,457,395,412,361,300,192,76,61.0,28.0,10.0,3.0,,2021-08-15,일요일,3860,승차,제기동,157,25215,2021-12-31
86,55,121,158,282,593,791,834,751,686,690,627,466,265,126,34.0,33.0,18.0,4.0,,2021-08-16,월요일,6620,승차,제기동,157,25775,2021-12-31
83,72,141,163,312,535,688,764,715,693,753,655,486,275,110,50.0,26.0,9.0,2.0,,2021-08-17,화요일,6532,승차,제기동,157,26335,2021-12-31
90,67,117,139,213,368,537,633,639,736,766,693,537,310,139,67.0,41.0,14.0,4.0,,2021-08-18,수요일,6110,승차,제기동,157,26895,2021-12-31
79,61,134,189,319,515,821,826,811,738,690,696,569,283,154,44.0,42.0,13.0,6.0,,2021-08-19,목요일,6990,승차,제기동,157,27455,2021-12-31
99,59,134,135,306,540,799,755,801,780,821,727,593,291,122,52.0,40.0,17.0,9.0,,2021-08-20,금요일,7080,승차,제기동,157,28015,2021-12-31
64,56,123,159,267,389,395,363,339,356,543,625,420,233,79,37.0,23.0,14.0,4.0,,2021-08-21,토요일,4489,승차,제기동,157,28575,2021-12-31
46,38,79,106,200,379,494,555,579,623,554,485,288,159,71,38.0,31.0,12.0,5.0,,2021-08-22,일요일,4742,승차,제기동,157,29135,2021-12-31
90,56,124,173,257,582,770,781,707,694,651,553,420,238,90,51.0,28.0,17.0,3.0,,2021-08-23,월요일,6285,승차,제기동,157,29695,2021-12-31
69,65,98,135,242,362,532,659,624,582,637,569,449,250,111,35.0,29.0,7.0,3.0,,2021-08-24,화요일,5458,승차,제기동,157,30255,2021-12-31
