06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,수송일자,요일,일일합계,승하차구분,역명,역번호,연번,날짜
32,20,59,79,207,402,636,746,751,944,922,934,731,545,408,191.0,127.0,77.0,13.0,,2021-07-01,목요일,7824,승차,종로5가,154,9,2021-12-31
25,16,54,122,243,431,631,676,739,846,968,943,776,533,373,239.0,117.0,75.0,20.0,,2021-07-02,금요일,7827,승차,종로5가,154,569,2021-12-31
33,21,53,96,220,421,509,672,784,1169,1071,658,494,321,191,127.0,91.0,53.0,7.0,,2021-07-03,토요일,6991,승차,종로5가,154,1129,2021-12-31
17,11,16,23,50,87,169,252,301,350,311,231,188,143,105,45.0,42.0,29.0,3.0,,2021-07-04,일요일,2373,승차,종로5가,154,1689,2021-12-31
36,12,49,91,212,421,632,793,849,945,1012,1010,798,586,328,187.0,123.0,76.0,12.0,,2021-07-05,월요일,8172,승차,종로5가,154,2249,2021-12-31
29,17,60,91,186,453,599,712,807,1023,1005,1010,788,603,353,194.0,133.0,75.0,10.0,,2021-07-06,화요일,8148,승차,종로5가,154,2809,2021-12-31
33,17,48,91,174,363,577,657,776,816,819,840,774,516,364,192.0,130.0,62.0,13.0,,2021-07-07,수요일,7262,승차,종로5가,154,3369,2021-12-31
30,19,53,81,175,383,541,578,728,862,884,882,703,571,320,199.0,123.0,71.0,11.0,,2021-07-08,목요일,7214,승차,종로5가,154,3929,2021-12-31
31,20,52,86,185,427,650,655,699,813,897,841,702,554,345,215.0,136.0,78.0,8.0,,2021-07-09,금요일,7394,승차,종로5가,154,4489,2021-12-31
31,17,64,95,232,375,517,560,620,671,654,622,530,347,190,111.0,90.0,57.0,5.0,,2021-07-10,토요일,5788,승차,종로5가,154,5049,2021-12-31
16,11,18,23,72,108,167,215,272,290,252,240,187,148,81,57.0,44.0,26.0,2.0,,2021-07-11,일요일,2229,승차,종로5가,154,5609,2021-12-31
19,17,45,80,226,382,565,627,622,756,773,798,698,536,312,141.0,98.0,43.0,6.0,,2021-07-12,월요일,6744,승차,종로5가,154,6169,2021-12-31
34,20,53,94,192,403,558,561,632,737,809,789,758,500,332,159.0,99.0,45.0,7.0,,2021-07-13,화요일,6782,승차,종로5가,154,6729,2021-12-31
22,17,51,94,224,405,504,551,570,664,750,723,684,520,276,146.0,93.0,51.0,6.0,,2021-07-14,수요일,6351,승차,종로5가,154,7289,2021-12-31
36,17,55,88,217,391,520,491,569,736,774,778,631,483,312,122.0,106.0,41.0,7.0,,2021-07-15,목요일,6374,승차,종로5가,154,7849,2021-12-31
32,16,52,95,221,422,558,610,630,710,742,733,708,534,314,135.0,105.0,48.0,6.0,,2021-07-16,금요일,6671,승차,종로5가,154,8409,2021-12-31
38,19,58,79,234,364,481,527,607,588,639,601,463,357,155,96.0,72.0,44.0,4.0,,2021-07-17,토요일,5426,승차,종로5가,154,8969,2021-12-31
13,14,20,33,69,120,192,224,273,289,227,181,185,139,92,38.0,29.0,20.0,2.0,,2021-07-18,일요일,2160,승차,종로5가,154,9529,2021-12-31
33,13,68,100,222,430,613,605,694,740,730,762,614,472,294,156.0,84.0,56.0,9.0,,2021-07-19,월요일,6695,승차,종로5가,154,10089,2021-12-31
31,20,57,93,236,435,629,600,673,724,811,841,680,477,314,154.0,100.0,51.0,4.0,,2021-07-20,화요일,6930,승차,종로5가,154,10649,2021-12-31
36,20,48,93,205,417,541,478,565,581,598,647,711,508,318,153.0,96.0,43.0,8.0,,2021-07-21,수요일,6066,승차,종로5가,154,11209,2021-12-31
31,17,54,79,236,449,498,514,584,619,648,665,675,499,322,141.0,64.0,52.0,4.0,,2021-07-22,목요일,6151,승차,종로5가,154,11769,2021-12-31
