06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,수송일자,요일,일일합계,승하차구분,역명,역번호,연번,날짜
23,8,37,62,51,50,33,26,37,26,39,51,55,29,17,11.0,10.0,2.0,1.0,,2021-07-01,목요일,568,승차,지축,309,121,2021-12-31
29,7,41,38,45,55,31,43,37,35,46,43,50,16,16,11.0,7.0,5.0,0.0,,2021-07-02,금요일,555,승차,지축,309,681,2021-12-31
15,6,16,29,40,43,49,38,33,34,51,45,9,21,9,4.0,2.0,2.0,0.0,,2021-07-03,토요일,446,승차,지축,309,1241,2021-12-31
10,1,10,18,27,26,23,24,14,16,15,17,13,21,18,6.0,3.0,0.0,1.0,,2021-07-04,일요일,263,승차,지축,309,1801,2021-12-31
29,6,37,54,60,56,50,35,51,35,58,56,48,27,22,8.0,5.0,1.0,0.0,,2021-07-05,월요일,638,승차,지축,309,2361,2021-12-31
30,13,36,50,47,51,33,33,35,31,52,60,41,20,25,11.0,8.0,2.0,0.0,,2021-07-06,화요일,578,승차,지축,309,2921,2021-12-31
36,7,32,40,60,41,30,32,27,43,40,56,42,24,17,10.0,2.0,7.0,1.0,,2021-07-07,수요일,547,승차,지축,309,3481,2021-12-31
29,6,25,46,33,53,48,29,33,20,36,45,57,28,16,13.0,4.0,1.0,1.0,,2021-07-08,목요일,523,승차,지축,309,4041,2021-12-31
28,10,30,49,58,41,31,35,31,33,44,47,50,16,20,15.0,5.0,2.0,0.0,,2021-07-09,금요일,545,승차,지축,309,4601,2021-12-31
19,5,12,30,37,44,33,21,36,17,32,44,30,20,11,10.0,2.0,1.0,1.0,,2021-07-10,토요일,405,승차,지축,309,5161,2021-12-31
10,2,11,14,31,20,15,20,16,24,26,23,21,14,13,9.0,3.0,0.0,2.0,,2021-07-11,일요일,274,승차,지축,309,5721,2021-12-31
35,9,25,43,64,53,18,20,35,29,44,54,38,26,14,9.0,6.0,1.0,0.0,,2021-07-12,월요일,523,승차,지축,309,6281,2021-12-31
28,4,33,49,48,39,30,30,37,26,28,58,31,18,14,10.0,6.0,0.0,0.0,,2021-07-13,화요일,489,승차,지축,309,6841,2021-12-31
27,14,26,41,40,45,39,23,24,21,40,45,37,17,12,9.0,2.0,3.0,1.0,,2021-07-14,수요일,466,승차,지축,309,7401,2021-12-31
27,4,34,36,53,38,29,30,15,26,29,44,30,16,15,10.0,7.0,3.0,0.0,,2021-07-15,목요일,446,승차,지축,309,7961,2021-12-31
28,7,32,37,54,42,24,27,36,25,36,52,32,23,8,8.0,4.0,6.0,3.0,,2021-07-16,금요일,484,승차,지축,309,8521,2021-12-31
17,5,15,30,23,32,34,27,25,21,21,40,26,21,2,6.0,3.0,1.0,0.0,,2021-07-17,토요일,349,승차,지축,309,9081,2021-12-31
15,11,9,12,21,19,17,15,14,11,20,25,18,20,15,9.0,2.0,2.0,0.0,,2021-07-18,일요일,255,승차,지축,309,9641,2021-12-31
30,8,23,44,44,42,34,32,34,28,40,36,23,22,12,5.0,9.0,1.0,0.0,,2021-07-19,월요일,467,승차,지축,309,10201,2021-12-31
33,9,27,45,40,53,29,31,36,16,38,35,40,18,15,8.0,5.0,1.0,3.0,,2021-07-20,화요일,482,승차,지축,309,10761,2021-12-31
34,9,30,48,51,32,24,29,36,24,46,37,38,11,21,16.0,5.0,3.0,0.0,,2021-07-21,수요일,494,승차,지축,309,11321,2021-12-31
33,9,35,39,33,32,34,17,25,27,37,47,40,12,12,12.0,5.0,0.0,1.0,,2021-07-22,목요일,450,승차,지축,309,11881,2021-12-31
26,10,30,47,47,38,29,27,24,22,45,25,26,28,14,8.0,8.0,2.0,1.0,,2021-07-23,금요일,457,승차,지축,309,12441,2021-12-31
26,6,21,27,38,39,34,34,15,12,25,21,24,10,8,5.0,6.0,2.0,1.0,,2021-07-24,토요일,354,승차,지축,309,13001,2021-12-31
15,3,11,10,23,24,19,16,16,12,16,19,19,13,8,10.0,2.0,4.0,0.0,,2021-07-25,일요일,240,승차,지축,309,13561,2021-12-31
27,10,30,57,58,42,25,24,20,31,54,46,25,19,10,13.0,8.0,2.0,1.0,,2021-07-26,월요일,502,승차,지축,309,14121,2021-12-31
19,7,33,35,46,34,23,29,11,28,52,41,35,26,15,7.0,5.0,1.0,1.0,,2021-07-27,화요일,448,승차,지축,309,14681,2021-12-31
27,10,29,45,50,41,35,24,24,26,47,34,30,17,8,8.0,7.0,0.0,0.0,,2021-07-28,수요일,462,승차,지축,309,15241,2021-12-31
25,9,32,37,33,40,22,28,31,24,35,38,33,20,13,10.0,6.0,1.0,0.0,,2021-07-29,목요일,437,승차,지축,309,15801,2021-12-31
28,12,29,31,53,30,30,20,23,21,45,32,32,21,13,9.0,5.0,2.0,0.0,,2021-07-30,금요일,436,승차,지축,309,16361,2021-12-31
9,3,11,27,33,29,38,23,20,17,35,26,36,15,5,5.0,7.0,1.0,1.0,,2021-07-31,토요일,341,승차,지축,309,16921,2021-12-31
13,6,10,14,19,15,18,16,23,25,16,20,14,2,10,6.0,2.0,0.0,0.0,,2021-08-01,일요일,229,승차,지축,309,17481,2021-12-31
28,11,37,32,50,37,38,42,35,30,48,34,25,24,15,6.0,3.0,4.0,1.0,,2021-08-02,월요일,500,승차,지축,309,18041,2021-12-31
25,9,31,34,50,46,30,33,43,26,39,47,32,16,14,9.0,5.0,2.0,0.0,,2021-08-03,화요일,491,승차,지축,309,18601,2021-12-31
20,12,27,40,46,36,27,26,31,17,45,40,37,20,18,8.0,7.0,1.0,1.0,,2021-08-04,수요일,459,승차,지축,309,19161,2021-12-31
19,8,32,43,52,35,32,40,28,26,35,52,21,16,20,9.0,4.0,1.0,0.0,,2021-08-05,목요일,473,승차,지축,309,19721,2021-12-31
29,9,24,34,52,27,33,23,37,37,34,59,29,17,16,9.0,5.0,4.0,0.0,,2021-08-06,금요일,478,승차,지축,309,20281,2021-12-31
17,6,18,28,27,44,30,28,29,29,21,46,27,17,10,10.0,2.0,1.0,0.0,,2021-08-07,토요일,390,승차,지축,309,20841,2021-12-31
16,2,13,15,28,24,15,23,15,19,26,21,16,15,6,7.0,3.0,1.0,1.0,,2021-08-08,일요일,266,승차,지축,309,21401,2021-12-31
35,13,20,46,42,51,33,38,31,28,51,42,30,26,20,9.0,6.0,4.0,0.0,,2021-08-09,월요일,525,승차,지축,309,21961,2021-12-31
