06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,수송일자,요일,일일합계,승하차구분,역명,역번호,연번,날짜
100,135,167,175,318,478,630,673,678,720,791,746,615,412,213,132.0,76.0,50.0,13.0,,2021-07-01,목요일,7122,승차,청량리(서울시립대입구),158,17,2021-12-31
96,134,148,196,297,528,667,716,728,739,761,780,666,495,241,164.0,87.0,42.0,11.0,,2021-07-02,금요일,7496,승차,청량리(서울시립대입구),158,577,2021-12-31
100,106,114,189,312,528,707,720,789,764,649,612,497,248,152,108.0,77.0,33.0,8.0,,2021-07-03,토요일,6713,승차,청량리(서울시립대입구),158,1137,2021-12-31
35,44,45,89,164,231,239,333,374,434,460,423,329,259,151,98.0,48.0,24.0,12.0,,2021-07-04,일요일,3792,승차,청량리(서울시립대입구),158,1697,2021-12-31
96,130,134,183,289,478,625,672,767,855,917,815,633,400,210,120.0,77.0,39.0,16.0,,2021-07-05,월요일,7456,승차,청량리(서울시립대입구),158,2257,2021-12-31
96,133,139,191,296,496,628,757,728,757,734,773,606,401,243,116.0,89.0,46.0,7.0,,2021-07-06,화요일,7236,승차,청량리(서울시립대입구),158,2817,2021-12-31
94,129,140,174,288,483,593,591,657,646,718,692,537,384,182,149.0,66.0,40.0,12.0,,2021-07-07,수요일,6575,승차,청량리(서울시립대입구),158,3377,2021-12-31
92,125,136,164,291,432,539,597,638,688,696,652,507,381,205,109.0,55.0,44.0,14.0,,2021-07-08,목요일,6365,승차,청량리(서울시립대입구),158,3937,2021-12-31
103,119,150,186,318,474,661,629,653,694,754,717,567,417,236,138.0,67.0,44.0,15.0,,2021-07-09,금요일,6942,승차,청량리(서울시립대입구),158,4497,2021-12-31
101,107,110,167,317,485,602,627,599,690,597,611,554,414,212,141.0,70.0,30.0,14.0,,2021-07-10,토요일,6448,승차,청량리(서울시립대입구),158,5057,2021-12-31
52,33,66,126,195,283,354,383,405,450,476,474,345,235,121,88.0,49.0,32.0,10.0,,2021-07-11,일요일,4177,승차,청량리(서울시립대입구),158,5617,2021-12-31
92,140,130,160,269,425,531,612,553,540,610,577,529,360,174,99.0,65.0,25.0,5.0,,2021-07-12,월요일,5896,승차,청량리(서울시립대입구),158,6177,2021-12-31
111,127,129,166,294,451,510,535,566,587,610,588,576,361,175,96.0,59.0,25.0,5.0,,2021-07-13,화요일,5971,승차,청량리(서울시립대입구),158,6737,2021-12-31
101,141,147,172,284,456,531,530,527,526,563,564,501,354,181,121.0,63.0,22.0,14.0,,2021-07-14,수요일,5798,승차,청량리(서울시립대입구),158,7297,2021-12-31
91,122,132,185,269,428,524,530,528,533,575,541,500,323,165,79.0,69.0,32.0,5.0,,2021-07-15,목요일,5631,승차,청량리(서울시립대입구),158,7857,2021-12-31
105,127,136,192,273,480,580,532,526,546,583,623,572,419,230,100.0,55.0,31.0,14.0,,2021-07-16,금요일,6124,승차,청량리(서울시립대입구),158,8417,2021-12-31
85,104,126,174,293,454,540,569,564,572,526,562,508,379,193,106.0,62.0,34.0,9.0,,2021-07-17,토요일,5860,승차,청량리(서울시립대입구),158,8977,2021-12-31
53,49,86,128,212,284,316,359,409,378,400,406,362,298,158,103.0,55.0,21.0,5.0,,2021-07-18,일요일,4082,승차,청량리(서울시립대입구),158,9537,2021-12-31
111,129,144,188,303,449,607,551,578,595,638,548,448,350,192,97.0,54.0,24.0,11.0,,2021-07-19,월요일,6017,승차,청량리(서울시립대입구),158,10097,2021-12-31
98,131,150,200,299,547,576,637,604,636,663,604,553,401,180,104.0,61.0,30.0,9.0,,2021-07-20,화요일,6483,승차,청량리(서울시립대입구),158,10657,2021-12-31
108,126,153,209,324,471,483,495,470,446,535,543,486,375,214,131.0,58.0,31.0,9.0,,2021-07-21,수요일,5667,승차,청량리(서울시립대입구),158,11217,2021-12-31
103,125,155,177,322,458,522,482,504,456,541,490,448,363,204,104.0,71.0,40.0,8.0,,2021-07-22,목요일,5573,승차,청량리(서울시립대입구),158,11777,2021-12-31
97,121,156,195,312,478,562,550,565,544,543,588,578,446,208,126.0,83.0,17.0,6.0,,2021-07-23,금요일,6175,승차,청량리(서울시립대입구),158,12337,2021-12-31
110,116,117,198,316,452,504,518,508,448,476,460,397,386,238,110.0,84.0,29.0,4.0,,2021-07-24,토요일,5471,승차,청량리(서울시립대입구),158,12897,2021-12-31
52,53,87,134,241,283,343,396,373,347,378,380,354,296,184,101.0,62.0,22.0,3.0,,2021-07-25,일요일,4089,승차,청량리(서울시립대입구),158,13457,2021-12-31
104,127,150,220,322,470,622,583,535,500,589,580,523,415,228,145.0,81.0,31.0,5.0,,2021-07-26,월요일,6230,승차,청량리(서울시립대입구),158,14017,2021-12-31
101,120,140,193,335,441,536,589,518,504,513,580,537,397,191,90.0,66.0,30.0,5.0,,2021-07-27,화요일,5886,승차,청량리(서울시립대입구),158,14577,2021-12-31
116,127,136,171,315,462,553,551,512,500,564,542,463,375,184,110.0,62.0,32.0,6.0,,2021-07-28,수요일,5781,승차,청량리(서울시립대입구),158,15137,2021-12-31
98,121,139,177,332,470,536,586,558,560,596,603,511,391,188,116.0,60.0,29.0,7.0,,2021-07-29,목요일,6078,승차,청량리(서울시립대입구),158,15697,2021-12-31
98,124,151,174,355,507,497,592,509,554,597,646,557,431,230,107.0,66.0,15.0,12.0,,2021-07-30,금요일,6222,승차,청량리(서울시립대입구),158,16257,2021-12-31
88,79,117,181,312,421,569,532,604,554,578,552,555,411,224,106.0,69.0,28.0,2.0,,2021-07-31,토요일,5982,승차,청량리(서울시립대입구),158,16817,2021-12-31
59,41,83,113,182,258,299,376,474,491,511,425,366,319,150,87.0,55.0,15.0,7.0,,2021-08-01,일요일,4311,승차,청량리(서울시립대입구),158,17377,2021-12-31
92,97,112,147,241,415,553,622,590,621,688,659,508,377,195,110.0,49.0,24.0,8.0,,2021-08-02,월요일,6108,승차,청량리(서울시립대입구),158,17937,2021-12-31
85,111,146,175,321,472,598,597,631,639,687,604,542,380,193,112.0,54.0,30.0,5.0,,2021-08-03,화요일,6382,승차,청량리(서울시립대입구),158,18497,2021-12-31
94,104,129,157,280,444,539,553,571,556,594,646,519,391,215,106.0,65.0,22.0,6.0,,2021-08-04,수요일,5991,승차,청량리(서울시립대입구),158,19057,2021-12-31
79,122,140,172,322,465,546,581,596,551,632,631,559,417,210,126.0,63.0,26.0,10.0,,2021-08-05,목요일,6248,승차,청량리(서울시립대입구),158,19617,2021-12-31
110,117,139,183,331,521,608,561,601,582,616,704,567,454,221,101.0,47.0,27.0,9.0,,2021-08-06,금요일,6499,승차,청량리(서울시립대입구),158,20177,2021-12-31
111,93,123,174,314,519,574,544,552,570,634,599,558,444,232,128.0,63.0,37.0,8.0,,2021-08-07,토요일,6277,승차,청량리(서울시립대입구),158,20737,2021-12-31
72,40,95,119,227,306,367,385,422,518,571,459,422,252,108,88.0,38.0,28.0,5.0,,2021-08-08,일요일,4522,승차,청량리(서울시립대입구),158,21297,2021-12-31
90,128,157,194,327,503,627,630,650,650,648,709,584,382,217,118.0,53.0,19.0,4.0,,2021-08-09,월요일,6690,승차,청량리(서울시립대입구),158,21857,2021-12-31
109,110,153,180,300,511,616,597,615,652,724,692,568,433,198,129.0,63.0,25.0,9.0,,2021-08-10,화요일,6684,승차,청량리(서울시립대입구),158,22417,2021-12-31
87,124,135,159,253,425,580,559,601,577,669,647,523,406,183,112.0,64.0,15.0,6.0,,2021-08-11,수요일,6125,승차,청량리(서울시립대입구),158,22977,2021-12-31
97,128,149,192,303,439,533,586,537,586,655,721,598,385,169,76.0,49.0,25.0,4.0,,2021-08-12,목요일,6232,승차,청량리(서울시립대입구),158,23537,2021-12-31
83,131,141,149,282,417,581,642,662,698,708,701,591,443,182,86.0,59.0,17.0,5.0,,2021-08-13,금요일,6578,승차,청량리(서울시립대입구),158,24097,2021-12-31
78,89,119,179,292,466,629,638,664,699,706,607,512,448,233,115.0,49.0,29.0,5.0,,2021-08-14,토요일,6557,승차,청량리(서울시립대입구),158,24657,2021-12-31
59,53,86,137,222,296,360,381,446,465,463,531,405,337,157,106.0,56.0,23.0,6.0,,2021-08-15,일요일,4589,승차,청량리(서울시립대입구),158,25217,2021-12-31
93,90,106,165,258,459,643,582,626,637,672,536,482,364,188,104.0,55.0,28.0,3.0,,2021-08-16,월요일,6091,승차,청량리(서울시립대입구),158,25777,2021-12-31
94,122,145,198,288,459,693,599,613,642,744,656,567,402,178,97.0,52.0,18.0,6.0,,2021-08-17,화요일,6573,승차,청량리(서울시립대입구),158,26337,2021-12-31
111,123,123,153,230,397,495,607,614,654,758,661,554,391,219,118.0,67.0,22.0,7.0,,2021-08-18,수요일,6304,승차,청량리(서울시립대입구),158,26897,2021-12-31
93,132,144,184,304,464,617,616,603,670,758,657,619,392,189,98.0,54.0,26.0,9.0,,2021-08-19,목요일,6629,승차,청량리(서울시립대입구),158,27457,2021-12-31
103,120,132,185,291,516,635,725,636,751,802,701,658,393,208,104.0,64.0,36.0,10.0,,2021-08-20,금요일,7070,승차,청량리(서울시립대입구),158,28017,2021-12-31
82,99,103,136,241,326,358,371,320,398,495,667,514,319,142,81.0,61.0,18.0,10.0,,2021-08-21,토요일,4741,승차,청량리(서울시립대입구),158,28577,2021-12-31
45,44,60,144,194,320,403,447,569,618,599,540,462,320,164,85.0,62.0,28.0,2.0,,2021-08-22,일요일,5106,승차,청량리(서울시립대입구),158,29137,2021-12-31
85,124,132,169,295,455,598,696,667,653,634,603,477,316,141,98.0,48.0,17.0,3.0,,2021-08-23,월요일,6211,승차,청량리(서울시립대입구),158,29697,2021-12-31
84,101,130,137,231,345,478,597,497,564,626,563,497,334,179,75.0,49.0,24.0,3.0,,2021-08-24,화요일,5514,승차,청량리(서울시립대입구),158,30257,2021-12-31
83,122,121,152,264,462,564,659,723,799,798,781,606,398,231,128.0,82.0,17.0,11.0,,2021-08-25,수요일,7001,승차,청량리(서울시립대입구),158,30817,2021-12-31
92,113,128,183,280,477,632,694,780,808,882,738,660,411,197,89.0,61.0,16.0,8.0,,2021-08-26,목요일,7249,승차,청량리(서울시립대입구),158,31377,2021-12-31
92,99,148,155,238,399,575,627,732,745,748,706,588,334,189,112.0,71.0,25.0,13.0,,2021-08-27,금요일,6596,승차,청량리(서울시립대입구),158,31937,2021-12-31
81,96,109,175,283,499,647,736,774,821,793,793,676,463,205,119.0,72.0,32.0,8.0,,2021-08-28,토요일,7382,승차,청량리(서울시립대입구),158,32497,2021-12-31
45,49,67,119,208,302,410,479,552,598,610,609,458,310,178,103.0,57.0,18.0,7.0,,2021-08-29,일요일,5179,승차,청량리(서울시립대입구),158,33057,2021-12-31
94,117,153,157,318,445,681,747,759,808,839,819,610,407,201,113.0,61.0,14.0,5.0,,2021-08-30,월요일,7348,승차,청량리(서울시립대입구),158,33617,2021-12-31
96,114,143,181,274,425,580,699,601,545,515,449,402,214,155,69.0,72.0,17.0,3.0,,2021-08-31,화요일,5554,승차,청량리(서울시립대입구),158,34177,2021-12-31
82,105,119,145,246,393,573,628,677,853,863,754,598,361,208,124.0,67.0,28.0,11.0,,2021-09-01,수요일,6835,승차,청량리(서울시립대입구),158,34737,2021-12-31
94,127,125,163,294,489,644,754,758,851,869,791,667,390,206,105.0,91.0,25.0,9.0,,2021-09-02,목요일,7452,승차,청량리(서울시립대입구),158,35297,2021-12-31
86,123,159,155,307,471,652,754,789,858,849,786,703,469,219,139.0,67.0,26.0,10.0,,2021-09-03,금요일,7622,승차,청량리(서울시립대입구),158,35857,2021-12-31
87,105,119,184,313,509,700,741,787,804,807,750,593,402,228,133.0,78.0,25.0,11.0,,2021-09-04,토요일,7376,승차,청량리(서울시립대입구),158,36417,2021-12-31
59,56,88,140,225,357,425,501,551,631,581,503,464,315,181,85.0,48.0,23.0,4.0,,2021-09-05,일요일,5237,승차,청량리(서울시립대입구),158,36977,2021-12-31
92,128,140,184,309,449,689,727,794,872,909,678,550,369,178,97.0,56.0,21.0,7.0,,2021-09-06,월요일,7249,승차,청량리(서울시립대입구),158,37537,2021-12-31
78,92,146,151,255,340,430,499,504,564,626,590,443,294,138,98.0,45.0,33.0,8.0,,2021-09-07,화요일,5334,승차,청량리(서울시립대입구),158,38097,2021-12-31
96,116,146,162,305,475,646,794,829,824,943,869,690,453,225,132.0,67.0,37.0,6.0,,2021-09-08,수요일,7815,승차,청량리(서울시립대입구),158,38657,2021-12-31
102,119,153,167,316,495,778,777,799,848,937,865,730,427,194,136.0,76.0,30.0,7.0,,2021-09-09,목요일,7956,승차,청량리(서울시립대입구),158,39217,2021-12-31
96,126,157,191,322,549,768,775,769,847,957,858,674,484,250,116.0,84.0,30.0,13.0,,2021-09-10,금요일,8066,승차,청량리(서울시립대입구),158,39777,2021-12-31
101,111,139,190,351,532,729,756,792,851,837,770,612,470,207,136.0,97.0,34.0,8.0,,2021-09-11,토요일,7723,승차,청량리(서울시립대입구),158,40337,2021-12-31
