06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,수송일자,요일,일일합계,승하차구분,역명,역번호,연번,날짜
146,76,164,212,273,309,307,326,369,332,363,309,287,186,183,125.0,53.0,35.0,3.0,,2021-07-01,목요일,4058,승차,총신대입구(이수),432,233,2021-12-31
122,68,141,221,255,310,359,314,360,338,381,333,269,239,172,125.0,72.0,37.0,9.0,,2021-07-02,금요일,4125,승차,총신대입구(이수),432,793,2021-12-31
105,85,84,193,239,277,340,302,306,317,246,178,153,110,79,56.0,55.0,34.0,5.0,,2021-07-03,토요일,3164,승차,총신대입구(이수),432,1353,2021-12-31
61,27,41,74,135,163,142,232,207,207,158,145,149,86,82,74.0,26.0,17.0,6.0,,2021-07-04,일요일,2032,승차,총신대입구(이수),432,1913,2021-12-31
126,76,163,230,295,315,336,307,365,365,421,365,307,180,182,110.0,37.0,17.0,10.0,,2021-07-05,월요일,4207,승차,총신대입구(이수),432,2473,2021-12-31
113,78,139,220,287,368,339,379,323,371,418,300,273,205,167,114.0,53.0,40.0,6.0,,2021-07-06,화요일,4193,승차,총신대입구(이수),432,3033,2021-12-31
110,82,161,207,278,316,342,299,340,346,396,301,268,183,176,96.0,65.0,38.0,4.0,,2021-07-07,수요일,4008,승차,총신대입구(이수),432,3593,2021-12-31
104,74,127,218,263,293,282,348,311,333,333,290,254,192,195,96.0,52.0,30.0,9.0,,2021-07-08,목요일,3804,승차,총신대입구(이수),432,4153,2021-12-31
118,75,137,220,285,331,292,310,332,358,341,290,250,188,206,110.0,51.0,34.0,4.0,,2021-07-09,금요일,3932,승차,총신대입구(이수),432,4713,2021-12-31
65,63,99,136,203,228,266,258,255,252,191,202,191,155,117,88.0,44.0,24.0,3.0,,2021-07-10,토요일,2840,승차,총신대입구(이수),432,5273,2021-12-31
66,38,61,89,115,194,163,221,183,190,166,161,103,99,85,53.0,19.0,18.0,2.0,,2021-07-11,일요일,2026,승차,총신대입구(이수),432,5833,2021-12-31
113,73,122,208,245,284,276,324,309,292,322,272,243,190,186,75.0,31.0,17.0,5.0,,2021-07-12,월요일,3587,승차,총신대입구(이수),432,6393,2021-12-31
122,78,146,216,256,284,321,264,288,285,308,249,227,179,139,79.0,25.0,17.0,3.0,,2021-07-13,화요일,3486,승차,총신대입구(이수),432,6953,2021-12-31
105,75,148,215,228,245,285,283,295,224,296,224,228,196,133,81.0,44.0,23.0,2.0,,2021-07-14,수요일,3330,승차,총신대입구(이수),432,7513,2021-12-31
126,85,139,199,225,268,288,253,258,257,292,282,200,175,110,86.0,33.0,13.0,4.0,,2021-07-15,목요일,3293,승차,총신대입구(이수),432,8073,2021-12-31
122,79,130,187,214,312,291,262,301,290,300,252,236,206,170,79.0,41.0,17.0,4.0,,2021-07-16,금요일,3493,승차,총신대입구(이수),432,8633,2021-12-31
99,79,99,164,191,232,281,205,241,209,206,192,190,138,111,73.0,33.0,12.0,4.0,,2021-07-17,토요일,2759,승차,총신대입구(이수),432,9193,2021-12-31
54,47,53,97,120,165,128,137,149,150,130,132,104,109,76,76.0,19.0,14.0,2.0,,2021-07-18,일요일,1762,승차,총신대입구(이수),432,9753,2021-12-31
126,87,133,221,231,287,306,293,261,246,286,258,220,165,109,80.0,37.0,16.0,2.0,,2021-07-19,월요일,3364,승차,총신대입구(이수),432,10313,2021-12-31
109,77,156,237,218,291,325,260,262,289,283,244,226,190,130,93.0,35.0,22.0,4.0,,2021-07-20,화요일,3451,승차,총신대입구(이수),432,10873,2021-12-31
129,96,143,219,230,260,281,237,253,252,260,251,211,187,135,80.0,49.0,8.0,3.0,,2021-07-21,수요일,3284,승차,총신대입구(이수),432,11433,2021-12-31
110,85,141,192,213,248,234,229,266,204,281,247,201,155,122,70.0,32.0,17.0,4.0,,2021-07-22,목요일,3051,승차,총신대입구(이수),432,11993,2021-12-31
129,90,137,187,222,302,300,273,236,238,278,240,230,199,158,91.0,34.0,22.0,5.0,,2021-07-23,금요일,3371,승차,총신대입구(이수),432,12553,2021-12-31
95,91,92,174,192,246,242,204,187,174,178,152,130,169,124,84.0,31.0,17.0,3.0,,2021-07-24,토요일,2585,승차,총신대입구(이수),432,13113,2021-12-31
83,56,60,99,124,140,141,118,141,119,91,102,126,105,86,83.0,28.0,14.0,3.0,,2021-07-25,일요일,1719,승차,총신대입구(이수),432,13673,2021-12-31
