06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,수송일자,요일,일일합계,승하차구분,역명,역번호,연번,날짜
8,10,8,12,22,25,32,16,18,19,29,47,30,18,16,5.0,2.0,4.0,1.0,,2021-07-01,목요일,322,승차,한양대,209,37,2021-12-31
4,4,8,5,25,18,21,27,30,28,20,40,32,18,7,6.0,6.0,2.0,0.0,,2021-07-02,금요일,301,승차,한양대,209,597,2021-12-31
7,4,5,9,15,16,19,21,23,16,17,19,10,6,4,5.0,0.0,4.0,0.0,,2021-07-03,토요일,200,승차,한양대,209,1157,2021-12-31
4,4,3,4,7,8,8,10,7,11,13,4,6,5,2,0.0,1.0,1.0,0.0,,2021-07-04,일요일,98,승차,한양대,209,1717,2021-12-31
6,6,12,15,15,35,34,24,21,28,24,58,31,17,10,12.0,2.0,1.0,0.0,,2021-07-05,월요일,351,승차,한양대,209,2277,2021-12-31
7,3,8,6,24,30,32,18,25,27,29,58,31,9,14,12.0,8.0,2.0,0.0,,2021-07-06,화요일,343,승차,한양대,209,2837,2021-12-31
6,4,11,15,22,31,25,26,19,22,19,46,29,19,5,7.0,0.0,2.0,1.0,,2021-07-07,수요일,309,승차,한양대,209,3397,2021-12-31
6,4,7,13,18,29,30,19,15,27,28,49,36,11,9,6.0,5.0,1.0,0.0,,2021-07-08,목요일,313,승차,한양대,209,3957,2021-12-31
8,5,9,11,8,25,29,23,20,31,26,40,23,13,6,5.0,4.0,3.0,0.0,,2021-07-09,금요일,289,승차,한양대,209,4517,2021-12-31
9,4,6,5,16,13,14,19,12,8,15,10,6,7,4,3.0,3.0,2.0,0.0,,2021-07-10,토요일,156,승차,한양대,209,5077,2021-12-31
4,1,5,3,3,5,8,7,4,13,6,6,8,5,5,2.0,0.0,,0.0,,2021-07-11,일요일,85,승차,한양대,209,5637,2021-12-31
11,7,7,9,13,31,32,24,16,25,27,47,27,19,5,6.0,2.0,3.0,0.0,,2021-07-12,월요일,311,승차,한양대,209,6197,2021-12-31
7,5,11,6,21,20,27,8,20,20,21,38,31,10,10,7.0,3.0,1.0,0.0,,2021-07-13,화요일,266,승차,한양대,209,6757,2021-12-31
5,5,7,7,16,31,28,22,20,15,20,37,28,9,7,12.0,5.0,2.0,0.0,,2021-07-14,수요일,276,승차,한양대,209,7317,2021-12-31
5,5,7,8,13,28,27,24,10,19,32,45,28,8,8,3.0,1.0,2.0,0.0,,2021-07-15,목요일,273,승차,한양대,209,7877,2021-12-31
5,5,11,11,21,22,26,10,17,11,20,39,30,8,10,6.0,1.0,3.0,0.0,,2021-07-16,금요일,256,승차,한양대,209,8437,2021-12-31
11,2,9,4,8,9,11,9,7,9,14,8,9,7,3,6.0,4.0,3.0,0.0,,2021-07-17,토요일,133,승차,한양대,209,8997,2021-12-31
3,0,5,5,7,6,4,7,6,8,7,2,8,7,2,2.0,2.0,0.0,0.0,,2021-07-18,일요일,81,승차,한양대,209,9557,2021-12-31
6,8,10,9,8,27,32,21,16,16,28,33,25,17,8,4.0,1.0,1.0,1.0,,2021-07-19,월요일,271,승차,한양대,209,10117,2021-12-31
8,5,7,9,14,24,25,33,14,17,29,37,29,19,7,7.0,2.0,1.0,1.0,,2021-07-20,화요일,288,승차,한양대,209,10677,2021-12-31
10,3,6,12,12,20,22,28,15,15,23,36,25,12,12,6.0,2.0,1.0,2.0,,2021-07-21,수요일,262,승차,한양대,209,11237,2021-12-31
7,6,2,10,19,23,20,13,18,15,23,41,32,14,5,5.0,7.0,1.0,0.0,,2021-07-22,목요일,261,승차,한양대,209,11797,2021-12-31
9,5,8,9,10,17,25,20,16,16,21,38,22,17,16,3.0,8.0,1.0,0.0,,2021-07-23,금요일,261,승차,한양대,209,12357,2021-12-31
5,3,7,10,12,11,8,12,11,11,8,9,9,5,4,10.0,3.0,,0.0,,2021-07-24,토요일,138,승차,한양대,209,12917,2021-12-31
9,6,2,7,4,9,9,6,4,3,5,6,2,5,1,2.0,2.0,1.0,0.0,,2021-07-25,일요일,83,승차,한양대,209,13477,2021-12-31
7,5,7,7,18,24,31,20,19,18,21,33,23,15,11,3.0,4.0,2.0,1.0,,2021-07-26,월요일,269,승차,한양대,209,14037,2021-12-31
7,6,7,6,22,22,19,22,17,20,22,37,29,15,8,3.0,3.0,4.0,0.0,,2021-07-27,화요일,269,승차,한양대,209,14597,2021-12-31
8,6,3,8,16,15,17,21,20,16,20,30,25,8,19,4.0,4.0,2.0,0.0,,2021-07-28,수요일,242,승차,한양대,209,15157,2021-12-31
5,9,6,9,13,17,27,11,18,19,16,43,20,13,12,7.0,3.0,1.0,0.0,,2021-07-29,목요일,249,승차,한양대,209,15717,2021-12-31
7,5,4,7,21,16,28,19,21,14,21,43,26,10,10,5.0,4.0,1.0,1.0,,2021-07-30,금요일,263,승차,한양대,209,16277,2021-12-31
9,8,4,2,7,13,9,10,13,10,9,12,10,11,6,2.0,3.0,1.0,0.0,,2021-07-31,토요일,139,승차,한양대,209,16837,2021-12-31
5,3,3,6,4,3,13,8,7,15,4,8,7,7,2,2.0,0.0,2.0,0.0,,2021-08-01,일요일,99,승차,한양대,209,17397,2021-12-31
4,7,9,10,11,27,26,20,23,27,26,36,25,10,12,3.0,8.0,3.0,0.0,,2021-08-02,월요일,287,승차,한양대,209,17957,2021-12-31
11,6,7,9,12,23,25,20,23,17,24,38,25,19,8,2.0,2.0,1.0,1.0,,2021-08-03,화요일,273,승차,한양대,209,18517,2021-12-31
5,6,9,13,14,25,30,19,26,14,23,32,17,17,8,8.0,4.0,2.0,0.0,,2021-08-04,수요일,272,승차,한양대,209,19077,2021-12-31
