06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,수송일자,요일,일일합계,승하차구분,역명,역번호,연번,날짜
308,127,236,280,383,407,542,494,460,411,359,297,260,165,101,66.0,45.0,32.0,5.0,,2021-07-01,목요일,4978,하차,교대(법원.검찰청),223,66,2021-12-31
90,13,60,88,122,94,96,77,105,86,87,59,59,40,21,10.0,11.0,6.0,6.0,,2021-07-01,목요일,1130,하차,교대(법원.검찰청),330,162,2021-12-31
338,136,226,287,395,416,498,494,436,390,299,299,289,146,97,64.0,44.0,25.0,18.0,,2021-07-02,금요일,4897,하차,교대(법원.검찰청),223,626,2021-12-31
86,12,65,85,113,113,93,84,122,82,89,66,74,49,21,10.0,10.0,13.0,3.0,,2021-07-02,금요일,1190,하차,교대(법원.검찰청),330,722,2021-12-31
202,50,146,118,113,160,196,263,245,179,129,159,124,73,53,38.0,28.0,6.0,11.0,,2021-07-03,토요일,2293,하차,교대(법원.검찰청),223,1186,2021-12-31
41,9,35,24,36,46,46,69,57,39,42,38,24,28,9,14.0,6.0,5.0,3.0,,2021-07-03,토요일,571,하차,교대(법원.검찰청),330,1282,2021-12-31
107,38,49,53,60,94,93,103,117,113,71,82,62,60,45,40.0,28.0,14.0,5.0,,2021-07-04,일요일,1234,하차,교대(법원.검찰청),223,1746,2021-12-31
29,3,10,18,15,23,23,25,34,20,28,19,23,11,16,13.0,10.0,4.0,0.0,,2021-07-04,일요일,324,하차,교대(법원.검찰청),330,1842,2021-12-31
316,114,253,278,415,495,516,466,479,420,403,329,292,163,70,57.0,42.0,22.0,12.0,,2021-07-05,월요일,5142,하차,교대(법원.검찰청),223,2306,2021-12-31
84,14,59,82,107,120,144,114,109,101,93,64,65,42,14,14.0,12.0,7.0,4.0,,2021-07-05,월요일,1249,하차,교대(법원.검찰청),330,2402,2021-12-31
329,125,256,285,412,462,541,584,542,478,369,306,305,142,77,76.0,51.0,24.0,4.0,,2021-07-06,화요일,5368,하차,교대(법원.검찰청),223,2866,2021-12-31
76,10,58,91,107,100,112,109,97,91,73,59,71,41,27,11.0,7.0,9.0,2.0,,2021-07-06,화요일,1151,하차,교대(법원.검찰청),330,2962,2021-12-31
