06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,수송일자,요일,일일합계,승하차구분,역명,역번호,연번,날짜
92,11,97,96,122,201,183,193,140,210,291,278,242,207,147,95.0,80.0,45.0,11.0,,2021-07-01,목요일,2741,하차,구의(광진구청),213,46,2021-12-31
95,9,91,99,155,207,203,165,177,211,296,285,269,197,158,96.0,59.0,41.0,25.0,,2021-07-02,금요일,2838,하차,구의(광진구청),213,606,2021-12-31
89,7,73,73,116,134,165,202,145,154,177,145,125,116,73,50.0,46.0,45.0,14.0,,2021-07-03,토요일,1949,하차,구의(광진구청),213,1166,2021-12-31
38,5,39,29,57,87,72,102,95,109,118,107,101,76,55,44.0,39.0,34.0,6.0,,2021-07-04,일요일,1213,하차,구의(광진구청),213,1726,2021-12-31
102,6,95,113,142,207,197,217,211,233,327,323,242,213,134,85.0,59.0,41.0,13.0,,2021-07-05,월요일,2960,하차,구의(광진구청),213,2286,2021-12-31
82,11,104,110,168,189,181,211,189,218,317,307,241,192,160,99.0,59.0,46.0,15.0,,2021-07-06,화요일,2899,하차,구의(광진구청),213,2846,2021-12-31
100,10,98,110,148,191,227,214,181,208,283,265,241,211,157,95.0,61.0,37.0,11.0,,2021-07-07,수요일,2848,하차,구의(광진구청),213,3406,2021-12-31
99,10,86,95,149,148,170,199,154,199,289,266,228,204,150,78.0,65.0,47.0,15.0,,2021-07-08,목요일,2651,하차,구의(광진구청),213,3966,2021-12-31
111,11,90,106,148,197,176,183,192,177,311,265,214,200,143,78.0,60.0,54.0,21.0,,2021-07-09,금요일,2737,하차,구의(광진구청),213,4526,2021-12-31
70,8,67,73,100,131,148,153,137,126,156,140,166,109,75,44.0,40.0,32.0,19.0,,2021-07-10,토요일,1794,하차,구의(광진구청),213,5086,2021-12-31
54,5,40,35,47,77,65,90,97,101,106,100,89,78,75,48.0,37.0,26.0,14.0,,2021-07-11,일요일,1184,하차,구의(광진구청),213,5646,2021-12-31
92,7,87,114,140,167,162,185,187,188,277,244,219,192,144,74.0,51.0,36.0,10.0,,2021-07-12,월요일,2576,하차,구의(광진구청),213,6206,2021-12-31
94,5,88,111,140,167,137,186,167,162,261,223,218,204,121,68.0,49.0,30.0,15.0,,2021-07-13,화요일,2446,하차,구의(광진구청),213,6766,2021-12-31
84,7,96,110,144,164,154,166,135,146,261,239,198,186,140,76.0,50.0,33.0,10.0,,2021-07-14,수요일,2399,하차,구의(광진구청),213,7326,2021-12-31
95,6,88,115,141,144,165,156,142,162,232,256,206,182,120,88.0,54.0,31.0,12.0,,2021-07-15,목요일,2395,하차,구의(광진구청),213,7886,2021-12-31
83,9,81,103,149,188,164,139,130,188,255,257,202,168,152,86.0,41.0,38.0,12.0,,2021-07-16,금요일,2445,하차,구의(광진구청),213,8446,2021-12-31
81,5,70,63,84,112,144,155,135,113,116,135,160,114,86,63.0,56.0,38.0,12.0,,2021-07-17,토요일,1742,하차,구의(광진구청),213,9006,2021-12-31
