06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,수송일자,요일,일일합계,승하차구분,역명,역번호,연번,날짜
35,18,35,34,54,72,100,85,97,110,76,66,52,34,25,12.0,9.0,4.0,3.0,,2021-07-01,목요일,921,하차,김포공항,2513,244,2021-12-31
36,18,36,36,44,67,89,85,71,89,85,79,44,31,20,10.0,5.0,6.0,1.0,,2021-07-02,금요일,852,하차,김포공항,2513,804,2021-12-31
31,6,30,22,46,65,83,82,73,69,81,55,28,19,18,5.0,4.0,2.0,2.0,,2021-07-03,토요일,721,하차,김포공항,2513,1364,2021-12-31
19,13,14,19,32,39,55,63,55,65,63,52,42,18,12,6.0,9.0,1.0,1.0,,2021-07-04,일요일,578,하차,김포공항,2513,1924,2021-12-31
32,12,36,38,38,78,76,86,91,78,72,68,47,36,18,9.0,6.0,3.0,0.0,,2021-07-05,월요일,824,하차,김포공항,2513,2484,2021-12-31
31,16,32,43,47,64,93,74,72,106,75,98,48,42,24,9.0,5.0,2.0,1.0,,2021-07-06,화요일,882,하차,김포공항,2513,3044,2021-12-31
33,15,34,42,43,57,107,66,75,93,68,70,57,35,12,9.0,5.0,5.0,0.0,,2021-07-07,수요일,826,하차,김포공항,2513,3604,2021-12-31
36,19,34,38,44,59,68,70,67,77,82,68,51,27,18,12.0,10.0,4.0,0.0,,2021-07-08,목요일,784,하차,김포공항,2513,4164,2021-12-31
27,14,27,40,46,50,71,59,69,81,81,58,46,32,14,13.0,1.0,1.0,1.0,,2021-07-09,금요일,731,하차,김포공항,2513,4724,2021-12-31
23,12,14,30,34,61,68,73,58,79,59,57,47,28,17,20.0,11.0,0.0,3.0,,2021-07-10,토요일,694,하차,김포공항,2513,5284,2021-12-31
11,5,16,17,29,42,38,49,47,60,58,36,30,23,6,2.0,4.0,0.0,1.0,,2021-07-11,일요일,474,하차,김포공항,2513,5844,2021-12-31
38,26,39,40,35,54,47,58,62,66,81,51,39,41,27,6.0,3.0,0.0,0.0,,2021-07-12,월요일,713,하차,김포공항,2513,6404,2021-12-31
43,12,30,45,37,74,85,96,91,95,83,51,46,40,21,13.0,4.0,4.0,1.0,,2021-07-13,화요일,871,하차,김포공항,2513,6964,2021-12-31
29,23,33,36,39,60,78,60,82,89,76,60,47,32,20,15.0,1.0,4.0,1.0,,2021-07-14,수요일,785,하차,김포공항,2513,7524,2021-12-31
36,15,37,37,36,62,91,105,88,97,91,59,43,34,13,16.0,0.0,3.0,1.0,,2021-07-15,목요일,864,하차,김포공항,2513,8084,2021-12-31
37,16,31,35,51,45,72,79,88,88,89,66,54,33,10,10.0,6.0,4.0,1.0,,2021-07-16,금요일,815,하차,김포공항,2513,8644,2021-12-31
26,11,22,19,35,55,79,86,72,61,62,55,53,32,12,10.0,4.0,2.0,0.0,,2021-07-17,토요일,696,하차,김포공항,2513,9204,2021-12-31
19,9,12,19,29,47,55,54,67,80,65,46,40,31,18,9.0,6.0,2.0,1.0,,2021-07-18,일요일,609,하차,김포공항,2513,9764,2021-12-31
35,11,34,38,33,47,79,74,77,98,86,59,40,43,12,19.0,1.0,2.0,1.0,,2021-07-19,월요일,789,하차,김포공항,2513,10324,2021-12-31
33,18,33,32,39,72,70,74,90,102,91,67,43,33,19,9.0,2.0,1.0,1.0,,2021-07-20,화요일,829,하차,김포공항,2513,10884,2021-12-31
34,13,38,42,31,81,89,96,73,91,97,78,52,35,22,13.0,2.0,3.0,1.0,,2021-07-21,수요일,891,하차,김포공항,2513,11444,2021-12-31
34,17,32,33,44,84,95,88,109,94,107,88,59,31,25,10.0,4.0,2.0,2.0,,2021-07-22,목요일,958,하차,김포공항,2513,12004,2021-12-31
34,17,31,38,42,72,85,102,126,95,117,66,43,48,23,9.0,7.0,2.0,0.0,,2021-07-23,금요일,957,하차,김포공항,2513,12564,2021-12-31
20,11,16,25,36,78,89,115,99,99,93,59,47,42,27,14.0,7.0,3.0,0.0,,2021-07-24,토요일,880,하차,김포공항,2513,13124,2021-12-31
20,6,13,30,27,48,83,65,92,94,96,68,45,47,13,8.0,6.0,1.0,1.0,,2021-07-25,일요일,763,하차,김포공항,2513,13684,2021-12-31
35,16,42,34,54,61,81,94,106,108,104,87,62,40,26,10.0,7.0,4.0,0.0,,2021-07-26,월요일,971,하차,김포공항,2513,14244,2021-12-31
27,14,42,45,36,85,104,118,138,110,97,99,52,40,19,7.0,6.0,0.0,2.0,,2021-07-27,화요일,1041,하차,김포공항,2513,14804,2021-12-31
35,17,33,37,55,79,101,119,148,132,134,81,38,33,21,9.0,6.0,1.0,1.0,,2021-07-28,수요일,1080,하차,김포공항,2513,15364,2021-12-31
38,11,30,33,44,78,94,111,113,104,96,79,52,32,24,16.0,3.0,4.0,0.0,,2021-07-29,목요일,962,하차,김포공항,2513,15924,2021-12-31
36,18,23,40,50,78,95,105,90,124,96,87,57,33,23,8.0,6.0,2.0,0.0,,2021-07-30,금요일,971,하차,김포공항,2513,16484,2021-12-31
