06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,수송일자,요일,일일합계,승하차구분,역명,역번호,연번,날짜
33,5,43,24,45,58,99,69,53,51,57,88,82,74,39,20.0,21.0,9.0,5.0,,2021-07-01,목요일,875,하차,까치울,2753,510,2021-12-31
31,8,40,36,35,50,76,60,40,55,59,78,72,70,42,32.0,25.0,17.0,5.0,,2021-07-02,금요일,831,하차,까치울,2753,1070,2021-12-31
31,8,21,31,26,60,106,115,67,43,62,45,42,46,23,10.0,11.0,6.0,8.0,,2021-07-03,토요일,761,하차,까치울,2753,1630,2021-12-31
10,1,10,19,18,34,58,42,51,43,26,41,41,26,19,11.0,14.0,9.0,5.0,,2021-07-04,일요일,478,하차,까치울,2753,2190,2021-12-31
29,7,35,27,35,39,67,67,49,50,83,81,75,70,42,24.0,18.0,6.0,5.0,,2021-07-05,월요일,809,하차,까치울,2753,2750,2021-12-31
21,7,37,33,31,72,83,81,48,57,59,76,92,66,44,24.0,21.0,14.0,7.0,,2021-07-06,화요일,873,하차,까치울,2753,3310,2021-12-31
29,7,39,37,52,48,62,68,53,50,53,77,71,59,38,21.0,26.0,10.0,4.0,,2021-07-07,수요일,804,하차,까치울,2753,3870,2021-12-31
25,5,33,36,33,35,67,70,58,48,44,66,73,59,40,26.0,15.0,12.0,5.0,,2021-07-08,목요일,750,하차,까치울,2753,4430,2021-12-31
33,7,39,25,45,51,50,48,55,39,49,83,68,64,39,31.0,24.0,19.0,9.0,,2021-07-09,금요일,778,하차,까치울,2753,4990,2021-12-31
23,5,14,17,21,46,53,68,45,39,44,55,51,46,20,22.0,20.0,5.0,8.0,,2021-07-10,토요일,602,하차,까치울,2753,5550,2021-12-31
15,3,15,12,29,36,53,47,56,42,26,35,30,26,28,14.0,7.0,3.0,7.0,,2021-07-11,일요일,484,하차,까치울,2753,6110,2021-12-31
29,4,36,30,30,45,60,39,41,37,43,49,67,70,46,11.0,18.0,8.0,2.0,,2021-07-12,월요일,665,하차,까치울,2753,6670,2021-12-31
37,5,28,36,33,37,49,46,48,38,48,64,60,44,40,21.0,17.0,8.0,6.0,,2021-07-13,화요일,665,하차,까치울,2753,7230,2021-12-31
31,6,35,31,32,31,54,51,37,44,49,63,68,55,44,19.0,13.0,11.0,5.0,,2021-07-14,수요일,679,하차,까치울,2753,7790,2021-12-31
33,5,27,25,32,35,57,40,41,33,47,60,62,52,39,20.0,14.0,12.0,8.0,,2021-07-15,목요일,642,하차,까치울,2753,8350,2021-12-31
30,6,32,26,29,39,58,43,25,38,47,58,72,49,26,23.0,24.0,12.0,7.0,,2021-07-16,금요일,644,하차,까치울,2753,8910,2021-12-31
38,10,23,20,37,22,46,52,32,29,48,45,53,31,28,22.0,10.0,7.0,4.0,,2021-07-17,토요일,557,하차,까치울,2753,9470,2021-12-31
22,6,18,21,25,31,42,35,31,22,25,43,36,23,19,13.0,15.0,8.0,4.0,,2021-07-18,일요일,439,하차,까치울,2753,10030,2021-12-31
32,8,29,21,35,27,43,46,44,36,38,67,47,47,26,16.0,17.0,3.0,3.0,,2021-07-19,월요일,585,하차,까치울,2753,10590,2021-12-31
29,7,33,24,32,29,45,50,41,43,40,60,52,50,37,22.0,17.0,8.0,6.0,,2021-07-20,화요일,625,하차,까치울,2753,11150,2021-12-31
27,8,27,25,36,36,32,47,39,27,41,57,60,52,38,17.0,14.0,5.0,6.0,,2021-07-21,수요일,594,하차,까치울,2753,11710,2021-12-31
29,10,41,22,29,31,40,42,36,40,35,66,68,44,32,27.0,21.0,8.0,4.0,,2021-07-22,목요일,625,하차,까치울,2753,12270,2021-12-31
30,9,34,26,29,14,54,34,37,42,46,55,60,48,44,12.0,16.0,15.0,6.0,,2021-07-23,금요일,611,하차,까치울,2753,12830,2021-12-31
29,9,27,25,28,27,50,50,34,28,43,38,44,40,35,20.0,14.0,13.0,4.0,,2021-07-24,토요일,558,하차,까치울,2753,13390,2021-12-31
25,7,12,20,28,36,36,39,32,39,18,26,23,25,27,12.0,11.0,8.0,9.0,,2021-07-25,일요일,433,하차,까치울,2753,13950,2021-12-31
34,9,36,24,29,33,55,31,39,19,44,60,60,52,32,22.0,18.0,4.0,6.0,,2021-07-26,월요일,607,하차,까치울,2753,14510,2021-12-31
35,9,30,21,34,41,44,44,38,34,52,60,68,51,32,13.0,20.0,12.0,4.0,,2021-07-27,화요일,642,하차,까치울,2753,15070,2021-12-31
24,9,34,31,25,41,56,41,43,35,46,73,55,40,32,17.0,15.0,7.0,7.0,,2021-07-28,수요일,631,하차,까치울,2753,15630,2021-12-31
40,6,27,32,23,32,34,49,29,51,44,61,70,55,32,21.0,12.0,6.0,2.0,,2021-07-29,목요일,626,하차,까치울,2753,16190,2021-12-31
36,13,33,22,25,36,43,47,51,42,43,40,64,54,37,17.0,15.0,8.0,10.0,,2021-07-30,금요일,636,하차,까치울,2753,16750,2021-12-31
34,10,22,17,22,47,62,57,38,33,34,47,38,37,24,13.0,5.0,6.0,2.0,,2021-07-31,토요일,548,하차,까치울,2753,17310,2021-12-31
20,5,15,22,17,29,30,33,43,31,33,23,37,27,21,7.0,5.0,7.0,5.0,,2021-08-01,일요일,410,하차,까치울,2753,17870,2021-12-31
25,6,21,28,21,29,56,52,40,43,48,62,64,36,34,11.0,18.0,10.0,4.0,,2021-08-02,월요일,608,하차,까치울,2753,18430,2021-12-31
31,9,23,31,35,42,50,37,33,43,45,46,68,57,44,18.0,18.0,7.0,5.0,,2021-08-03,화요일,642,하차,까치울,2753,18990,2021-12-31
32,7,27,20,27,33,68,49,39,42,38,71,49,66,28,16.0,15.0,8.0,7.0,,2021-08-04,수요일,642,하차,까치울,2753,19550,2021-12-31
25,10,29,26,22,30,46,50,28,48,44,67,60,48,32,15.0,19.0,6.0,4.0,,2021-08-05,목요일,609,하차,까치울,2753,20110,2021-12-31
34,9,26,24,21,30,63,50,33,51,42,67,71,43,37,20.0,12.0,11.0,5.0,,2021-08-06,금요일,649,하차,까치울,2753,20670,2021-12-31
24,8,20,19,18,45,54,71,55,42,41,28,57,38,38,17.0,7.0,7.0,5.0,,2021-08-07,토요일,594,하차,까치울,2753,21230,2021-12-31
26,8,17,18,28,47,48,41,49,41,41,25,24,26,20,11.0,5.0,3.0,6.0,,2021-08-08,일요일,484,하차,까치울,2753,21790,2021-12-31
24,10,30,24,34,35,56,51,48,33,40,84,58,60,29,22.0,15.0,7.0,5.0,,2021-08-09,월요일,665,하차,까치울,2753,22350,2021-12-31
27,10,26,26,35,31,72,56,36,48,43,84,72,54,48,19.0,12.0,9.0,7.0,,2021-08-10,화요일,715,하차,까치울,2753,22910,2021-12-31
23,8,34,24,35,34,81,57,52,42,49,68,58,67,29,23.0,12.0,9.0,7.0,,2021-08-11,수요일,712,하차,까치울,2753,23470,2021-12-31
30,8,25,26,39,29,48,39,47,48,36,57,76,40,26,16.0,17.0,10.0,5.0,,2021-08-12,목요일,622,하차,까치울,2753,24030,2021-12-31
18,8,25,26,23,29,59,41,38,40,42,64,65,60,33,27.0,18.0,8.0,6.0,,2021-08-13,금요일,630,하차,까치울,2753,24590,2021-12-31
31,7,17,33,29,47,58,84,65,50,38,49,53,38,29,15.0,10.0,8.0,6.0,,2021-08-14,토요일,667,하차,까치울,2753,25150,2021-12-31
12,2,17,16,27,38,46,48,31,35,38,39,46,30,26,15.0,9.0,9.0,7.0,,2021-08-15,일요일,491,하차,까치울,2753,25710,2021-12-31
22,2,18,27,35,35,71,41,46,48,41,55,63,43,25,15.0,7.0,10.0,6.0,,2021-08-16,월요일,610,하차,까치울,2753,26270,2021-12-31
25,5,27,31,31,27,53,49,39,48,47,73,73,56,39,17.0,14.0,7.0,6.0,,2021-08-17,화요일,667,하차,까치울,2753,26830,2021-12-31
27,5,27,19,30,24,40,62,29,55,42,63,71,55,32,19.0,11.0,11.0,4.0,,2021-08-18,수요일,626,하차,까치울,2753,27390,2021-12-31
26,9,31,29,37,39,70,54,41,45,36,75,73,76,41,17.0,16.0,10.0,6.0,,2021-08-19,목요일,731,하차,까치울,2753,27950,2021-12-31
31,9,24,26,40,30,68,39,44,37,46,80,67,68,37,24.0,16.0,11.0,6.0,,2021-08-20,금요일,703,하차,까치울,2753,28510,2021-12-31
