06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,수송일자,요일,일일합계,승하차구분,역명,역번호,연번,날짜
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,,2021-12-14,화요일,1,하차,남위례,2828,93522,2021-12-31
5,6,4,7,9,31,17,43,27,62,64,41,39,25,10,14.0,17.0,4.0,2.0,,2021-12-18,토요일,427,하차,남위례,2828,95764,2021-12-31
2,4,6,10,13,13,27,32,33,29,60,46,23,17,13,3.0,8.0,2.0,1.0,,2021-12-19,일요일,342,하차,남위례,2828,96326,2021-12-31
13,7,17,25,15,27,33,49,32,45,61,54,50,35,26,20.0,11.0,7.0,3.0,,2021-12-20,월요일,530,하차,남위례,2828,96888,2021-12-31
17,6,29,20,25,36,27,32,43,56,52,74,52,28,16,11.0,17.0,9.0,4.0,,2021-12-21,화요일,554,하차,남위례,2828,97450,2021-12-31
17,6,29,13,27,27,34,36,48,39,47,51,44,34,38,13.0,19.0,5.0,5.0,,2021-12-22,수요일,532,하차,남위례,2828,98012,2021-12-31
16,5,28,20,25,38,27,24,37,42,56,67,45,36,25,16.0,17.0,9.0,3.0,,2021-12-23,목요일,536,하차,남위례,2828,98574,2021-12-31
12,7,25,21,20,30,29,35,45,42,49,67,46,26,19,19.0,13.0,7.0,1.0,,2021-12-24,금요일,513,하차,남위례,2828,99136,2021-12-31
7,4,11,9,12,12,25,27,28,16,26,25,27,12,14,5.0,7.0,2.0,1.0,,2021-12-25,토요일,270,하차,남위례,2828,99698,2021-12-31
7,5,5,4,7,17,13,18,16,25,17,19,14,9,11,6.0,5.0,4.0,0.0,,2021-12-26,일요일,202,하차,남위례,2828,100260,2021-12-31
16,7,30,15,24,22,27,21,29,31,46,52,35,46,15,8.0,20.0,9.0,3.0,,2021-12-27,월요일,456,하차,남위례,2828,100822,2021-12-31
14,9,26,17,16,33,27,41,32,37,46,57,44,38,21,12.0,19.0,6.0,2.0,,2021-12-28,화요일,497,하차,남위례,2828,101384,2021-12-31
16,11,28,19,15,33,35,32,35,38,58,62,57,37,19,20.0,16.0,7.0,2.0,,2021-12-29,수요일,540,하차,남위례,2828,101946,2021-12-31
14,10,27,20,18,36,26,29,21,26,55,54,48,48,21,22.0,12.0,6.0,2.0,,2021-12-30,목요일,495,하차,남위례,2828,102508,2021-12-31
13,7,33,17,17,18,28,22,28,41,39,64,31,35,16,8.0,16.0,7.0,6.0,,2021-12-31,금요일,446,하차,남위례,2828,103070,2021-12-31
8,3,7,3,9,10,11,14,10,18,23,18,24,11,5,4.0,3.0,1.0,1.0,0.0,2022-01-01,토요일,183,하차,남위례,2828.0,544,2022-12-31
6,3,4,8,9,15,11,26,27,30,37,28,22,18,12,11.0,7.0,3.0,1.0,0.0,2022-01-02,일요일,278,하차,남위례,2828.0,1088,2022-12-31
18,10,33,21,21,31,29,28,21,37,44,60,49,33,22,19.0,15.0,6.0,0.0,0.0,2022-01-03,월요일,497,하차,남위례,2828.0,1632,2022-12-31
21,9,25,21,21,20,38,38,33,36,45,77,56,32,27,22.0,12.0,10.0,3.0,0.0,2022-01-04,화요일,546,하차,남위례,2828.0,2176,2022-12-31
12,8,32,21,25,19,30,31,33,30,54,63,52,38,29,15.0,14.0,3.0,3.0,0.0,2022-01-05,수요일,512,하차,남위례,2828.0,2720,2022-12-31
14,6,25,18,18,25,26,32,37,40,55,64,68,43,24,18.0,19.0,2.0,4.0,0.0,2022-01-06,목요일,538,하차,남위례,2828.0,3264,2022-12-31
15,7,33,20,18,15,31,28,35,40,53,45,58,44,23,19.0,14.0,3.0,3.0,0.0,2022-01-07,금요일,504,하차,남위례,2828.0,3808,2022-12-31
7,3,19,16,5,16,21,39,31,40,44,33,42,27,17,13.0,9.0,5.0,5.0,0.0,2022-01-08,토요일,392,하차,남위례,2828.0,4352,2022-12-31
11,5,8,13,10,27,20,17,31,28,39,34,29,20,18,11.0,8.0,0.0,3.0,0.0,2022-01-09,일요일,332,하차,남위례,2828.0,4896,2022-12-31
15,9,30,24,26,26,27,30,30,32,54,57,55,31,25,17.0,16.0,3.0,0.0,0.0,2022-01-10,월요일,507,하차,남위례,2828.0,5440,2022-12-31
22,10,24,20,19,24,24,27,27,24,55,54,48,40,22,18.0,15.0,9.0,2.0,0.0,2022-01-11,화요일,484,하차,남위례,2828.0,5984,2022-12-31
18,9,30,16,26,17,25,15,34,33,44,72,42,49,34,12.0,22.0,7.0,2.0,0.0,2022-01-12,수요일,507,하차,남위례,2828.0,6528,2022-12-31
