06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,수송일자,요일,일일합계,승하차구분,역명,역번호,연번,날짜
31,6,31,39,39,44,29,29,41,42,46,42,29,23,17,17.0,4.0,4.0,2.0,,2021-07-01,목요일,515,하차,녹사평(용산구청),2630,388,2021-12-31
26,6,30,36,40,25,34,26,34,23,39,32,22,33,18,15.0,7.0,5.0,5.0,,2021-07-02,금요일,456,하차,녹사평(용산구청),2630,948,2021-12-31
24,7,22,20,20,21,29,28,20,21,25,22,14,17,4,5.0,6.0,2.0,1.0,,2021-07-03,토요일,308,하차,녹사평(용산구청),2630,1508,2021-12-31
16,2,5,9,17,22,8,19,11,20,14,20,15,8,12,11.0,3.0,3.0,2.0,,2021-07-04,일요일,217,하차,녹사평(용산구청),2630,2068,2021-12-31
28,7,25,30,50,30,40,32,46,43,59,38,30,17,22,13.0,3.0,10.0,2.0,,2021-07-05,월요일,525,하차,녹사평(용산구청),2630,2628,2021-12-31
22,11,28,35,46,37,40,41,37,41,48,29,30,31,30,10.0,5.0,4.0,2.0,,2021-07-06,화요일,527,하차,녹사평(용산구청),2630,3188,2021-12-31
29,8,29,33,31,24,46,31,36,42,38,41,28,24,13,12.0,5.0,3.0,4.0,,2021-07-07,수요일,477,하차,녹사평(용산구청),2630,3748,2021-12-31
26,8,29,33,52,31,38,26,31,26,37,34,33,19,17,6.0,4.0,1.0,3.0,,2021-07-08,목요일,454,하차,녹사평(용산구청),2630,4308,2021-12-31
28,8,27,35,36,42,43,33,28,31,39,33,17,26,17,9.0,5.0,5.0,3.0,,2021-07-09,금요일,465,하차,녹사평(용산구청),2630,4868,2021-12-31
15,6,12,24,21,22,17,18,17,20,16,21,14,8,8,8.0,4.0,2.0,2.0,,2021-07-10,토요일,255,하차,녹사평(용산구청),2630,5428,2021-12-31
12,2,5,10,17,19,7,20,19,24,14,9,23,11,10,6.0,6.0,1.0,1.0,,2021-07-11,일요일,216,하차,녹사평(용산구청),2630,5988,2021-12-31
27,9,23,32,30,33,31,33,27,25,44,30,24,20,20,13.0,2.0,1.0,1.0,,2021-07-12,월요일,425,하차,녹사평(용산구청),2630,6548,2021-12-31
29,7,26,26,36,30,32,31,28,35,35,32,27,19,16,8.0,4.0,4.0,3.0,,2021-07-13,화요일,428,하차,녹사평(용산구청),2630,7108,2021-12-31
24,4,22,28,32,22,39,26,30,36,35,32,25,19,21,10.0,1.0,3.0,1.0,,2021-07-14,수요일,410,하차,녹사평(용산구청),2630,7668,2021-12-31
31,7,27,36,49,28,27,23,21,28,37,24,23,17,17,6.0,3.0,4.0,7.0,,2021-07-15,목요일,415,하차,녹사평(용산구청),2630,8228,2021-12-31
