06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,수송일자,요일,일일합계,승하차구분,역명,역번호,연번,날짜
42,10,36,75,46,49,49,39,43,51,45,45,43,30,37,26.0,16.0,10.0,1.0,,2021-07-01,목요일,693,하차,도곡,334,170,2021-12-31
44,8,48,68,54,46,50,51,62,65,62,59,47,47,38,15.0,16.0,11.0,0.0,,2021-07-02,금요일,791,하차,도곡,334,730,2021-12-31
34,8,22,28,30,32,32,32,33,31,37,29,25,23,11,14.0,7.0,6.0,2.0,,2021-07-03,토요일,436,하차,도곡,334,1290,2021-12-31
18,3,6,10,9,10,21,6,17,13,8,19,13,9,8,5.0,10.0,5.0,2.0,,2021-07-04,일요일,192,하차,도곡,334,1850,2021-12-31
44,12,42,74,64,65,76,52,51,60,47,37,52,39,31,15.0,11.0,5.0,0.0,,2021-07-05,월요일,777,하차,도곡,334,2410,2021-12-31
40,7,49,62,54,52,51,64,32,39,41,42,36,38,31,9.0,20.0,7.0,2.0,,2021-07-06,화요일,676,하차,도곡,334,2970,2021-12-31
39,9,49,49,54,64,48,41,38,45,41,35,32,36,25,19.0,9.0,9.0,0.0,,2021-07-07,수요일,642,하차,도곡,334,3530,2021-12-31
35,8,48,69,53,67,49,39,36,52,55,36,32,30,30,16.0,13.0,9.0,2.0,,2021-07-08,목요일,679,하차,도곡,334,4090,2021-12-31
36,11,45,70,50,60,52,41,43,46,39,42,40,42,27,17.0,7.0,8.0,2.0,,2021-07-09,금요일,678,하차,도곡,334,4650,2021-12-31
36,4,21,19,27,43,18,19,24,32,19,18,22,15,11,7.0,3.0,6.0,1.0,,2021-07-10,토요일,345,하차,도곡,334,5210,2021-12-31
20,3,5,14,7,9,4,12,12,12,10,14,15,4,8,8.0,8.0,3.0,2.0,,2021-07-11,일요일,170,하차,도곡,334,5770,2021-12-31
45,10,42,78,50,55,43,54,38,34,39,33,34,37,22,7.0,5.0,2.0,2.0,,2021-07-12,월요일,630,하차,도곡,334,6330,2021-12-31
42,7,40,65,37,43,33,40,40,35,28,27,37,27,22,6.0,9.0,1.0,3.0,,2021-07-13,화요일,542,하차,도곡,334,6890,2021-12-31
41,8,42,54,46,44,38,33,34,31,33,24,28,34,23,10.0,4.0,7.0,3.0,,2021-07-14,수요일,537,하차,도곡,334,7450,2021-12-31
46,7,38,69,42,34,30,35,32,40,34,23,35,26,25,7.0,4.0,2.0,0.0,,2021-07-15,목요일,529,하차,도곡,334,8010,2021-12-31
40,10,40,56,46,55,42,33,39,42,30,28,34,36,21,15.0,6.0,4.0,0.0,,2021-07-16,금요일,577,하차,도곡,334,8570,2021-12-31
34,5,22,23,22,24,24,20,29,18,19,23,21,15,11,8.0,2.0,3.0,1.0,,2021-07-17,토요일,324,하차,도곡,334,9130,2021-12-31
21,2,6,11,5,12,10,9,8,5,4,10,10,11,13,7.0,5.0,0.0,0.0,,2021-07-18,일요일,149,하차,도곡,334,9690,2021-12-31
47,8,37,73,57,59,41,38,42,34,35,22,33,32,29,7.0,5.0,5.0,0.0,,2021-07-19,월요일,604,하차,도곡,334,10250,2021-12-31
46,9,40,58,48,36,45,38,33,37,34,30,26,29,28,12.0,4.0,2.0,0.0,,2021-07-20,화요일,555,하차,도곡,334,10810,2021-12-31
42,7,37,58,44,48,34,45,35,33,19,25,24,35,26,8.0,6.0,3.0,0.0,,2021-07-21,수요일,529,하차,도곡,334,11370,2021-12-31
44,10,31,64,44,41,39,32,27,24,30,21,23,30,19,13.0,5.0,1.0,4.0,,2021-07-22,목요일,502,하차,도곡,334,11930,2021-12-31
45,7,37,52,46,43,40,35,43,30,37,27,21,37,28,8.0,8.0,2.0,1.0,,2021-07-23,금요일,547,하차,도곡,334,12490,2021-12-31
37,8,19,24,17,29,21,25,15,8,19,19,17,18,7,10.0,3.0,3.0,0.0,,2021-07-24,토요일,299,하차,도곡,334,13050,2021-12-31
23,3,8,7,6,8,13,7,9,8,3,7,12,17,9,7.0,3.0,0.0,0.0,,2021-07-25,일요일,150,하차,도곡,334,13610,2021-12-31
37,9,36,78,56,50,41,33,40,27,24,27,27,38,22,16.0,4.0,2.0,0.0,,2021-07-26,월요일,567,하차,도곡,334,14170,2021-12-31
39,7,34,57,51,38,20,39,45,29,31,35,29,34,30,14.0,3.0,1.0,1.0,,2021-07-27,화요일,537,하차,도곡,334,14730,2021-12-31
35,7,29,52,44,53,38,36,49,26,34,35,28,33,16,12.0,5.0,0.0,0.0,,2021-07-28,수요일,532,하차,도곡,334,15290,2021-12-31
44,4,30,59,49,38,41,27,42,25,39,24,40,32,23,8.0,5.0,3.0,0.0,,2021-07-29,목요일,533,하차,도곡,334,15850,2021-12-31
39,5,42,55,44,45,57,36,43,32,23,31,40,26,24,13.0,7.0,2.0,4.0,,2021-07-30,금요일,568,하차,도곡,334,16410,2021-12-31
37,6,20,23,24,26,26,17,22,20,19,18,13,12,12,4.0,4.0,2.0,1.0,,2021-07-31,토요일,306,하차,도곡,334,16970,2021-12-31
23,3,7,12,7,5,8,14,7,7,10,10,8,11,8,7.0,5.0,2.0,1.0,,2021-08-01,일요일,155,하차,도곡,334,17530,2021-12-31
42,6,32,60,43,58,40,39,33,36,24,26,33,29,27,8.0,5.0,5.0,3.0,,2021-08-02,월요일,549,하차,도곡,334,18090,2021-12-31
43,7,26,57,42,32,46,32,32,41,31,42,30,28,16,11.0,6.0,2.0,1.0,,2021-08-03,화요일,525,하차,도곡,334,18650,2021-12-31
40,7,31,48,52,38,39,38,29,32,32,22,27,22,22,8.0,7.0,4.0,2.0,,2021-08-04,수요일,500,하차,도곡,334,19210,2021-12-31
41,4,29,63,46,59,32,34,36,40,34,25,32,33,18,7.0,7.0,6.0,0.0,,2021-08-05,목요일,546,하차,도곡,334,19770,2021-12-31
42,3,40,59,46,40,40,38,36,40,43,41,24,30,19,14.0,5.0,1.0,0.0,,2021-08-06,금요일,561,하차,도곡,334,20330,2021-12-31
36,6,22,21,32,19,29,22,15,26,17,26,17,14,15,11.0,6.0,2.0,0.0,,2021-08-07,토요일,336,하차,도곡,334,20890,2021-12-31
20,1,8,14,17,15,7,20,46,11,10,11,9,6,17,8.0,6.0,1.0,0.0,,2021-08-08,일요일,227,하차,도곡,334,21450,2021-12-31
44,9,34,73,58,57,45,37,37,53,35,32,32,33,31,11.0,9.0,2.0,2.0,,2021-08-09,월요일,634,하차,도곡,334,22010,2021-12-31
40,4,40,57,42,51,54,37,38,42,38,27,30,27,21,9.0,4.0,5.0,1.0,,2021-08-10,화요일,567,하차,도곡,334,22570,2021-12-31
40,7,41,59,42,55,35,48,30,27,32,36,27,32,23,8.0,4.0,3.0,0.0,,2021-08-11,수요일,549,하차,도곡,334,23130,2021-12-31
41,5,30,62,44,48,42,22,33,45,38,30,29,28,25,10.0,7.0,1.0,0.0,,2021-08-12,목요일,540,하차,도곡,334,23690,2021-12-31
44,7,31,52,52,42,42,48,32,44,35,34,32,30,26,12.0,3.0,3.0,4.0,,2021-08-13,금요일,573,하차,도곡,334,24250,2021-12-31
30,3,17,22,29,28,24,25,24,16,19,22,20,16,12,12.0,5.0,3.0,0.0,,2021-08-14,토요일,327,하차,도곡,334,24810,2021-12-31
17,3,4,14,10,12,16,14,10,7,9,5,11,9,12,6.0,2.0,3.0,0.0,,2021-08-15,일요일,164,하차,도곡,334,25370,2021-12-31
26,6,22,53,39,43,31,30,28,30,26,27,25,22,13,7.0,9.0,1.0,1.0,,2021-08-16,월요일,439,하차,도곡,334,25930,2021-12-31
49,11,43,57,49,57,39,40,39,41,35,33,29,35,22,14.0,4.0,1.0,2.0,,2021-08-17,화요일,600,하차,도곡,334,26490,2021-12-31
36,5,38,56,63,55,43,33,43,44,47,30,40,29,27,11.0,5.0,2.0,3.0,,2021-08-18,수요일,610,하차,도곡,334,27050,2021-12-31
40,3,39,57,73,64,55,55,43,29,33,36,41,28,30,10.0,6.0,3.0,0.0,,2021-08-19,목요일,645,하차,도곡,334,27610,2021-12-31
46,1,42,54,60,52,49,45,37,44,57,38,28,27,23,11.0,9.0,5.0,2.0,,2021-08-20,금요일,630,하차,도곡,334,28170,2021-12-31
30,3,20,23,24,20,21,16,24,15,19,15,15,16,11,9.0,4.0,2.0,1.0,,2021-08-21,토요일,288,하차,도곡,334,28730,2021-12-31
14,2,8,13,7,14,12,19,11,11,7,15,10,14,12,5.0,7.0,1.0,0.0,,2021-08-22,일요일,182,하차,도곡,334,29290,2021-12-31
42,7,32,72,63,56,51,48,46,43,44,32,43,26,37,10.0,8.0,3.0,0.0,,2021-08-23,월요일,663,하차,도곡,334,29850,2021-12-31
44,5,43,50,46,55,43,45,60,37,36,31,27,38,24,9.0,9.0,5.0,1.0,,2021-08-24,화요일,608,하차,도곡,334,30410,2021-12-31
36,6,38,57,54,51,55,46,36,40,51,35,39,32,27,15.0,4.0,3.0,0.0,,2021-08-25,수요일,625,하차,도곡,334,30970,2021-12-31
38,6,33,66,75,48,46,43,32,44,45,34,35,44,22,17.0,12.0,2.0,0.0,,2021-08-26,목요일,642,하차,도곡,334,31530,2021-12-31
45,8,42,64,49,63,47,49,37,36,51,38,31,31,22,14.0,12.0,1.0,3.0,,2021-08-27,금요일,643,하차,도곡,334,32090,2021-12-31
36,2,25,31,18,36,28,29,25,36,19,19,16,22,19,10.0,9.0,3.0,4.0,,2021-08-28,토요일,387,하차,도곡,334,32650,2021-12-31
