06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,수송일자,요일,일일합계,승하차구분,역명,역번호,연번,날짜
28,10,43,63,79,102,91,80,87,92,72,80,62,49,16,8.0,7.0,3.0,2.0,,2021-07-01,목요일,974,하차,모란,2827,560,2021-12-31
34,14,46,52,90,102,89,60,84,77,84,73,58,46,34,13.0,10.0,5.0,4.0,,2021-07-02,금요일,975,하차,모란,2827,1120,2021-12-31
37,11,36,42,79,93,86,58,80,74,60,50,33,31,12,8.0,4.0,2.0,0.0,,2021-07-03,토요일,796,하차,모란,2827,1680,2021-12-31
39,6,18,25,59,76,104,122,170,169,113,60,41,24,17,4.0,6.0,4.0,4.0,,2021-07-04,일요일,1061,하차,모란,2827,2240,2021-12-31
32,11,47,60,87,94,93,99,95,92,79,92,49,36,23,8.0,4.0,3.0,3.0,,2021-07-05,월요일,1007,하차,모란,2827,2800,2021-12-31
30,12,52,65,75,90,97,82,77,97,74,94,63,28,16,12.0,10.0,7.0,3.0,,2021-07-06,화요일,984,하차,모란,2827,3360,2021-12-31
27,13,38,60,75,100,65,54,101,82,76,78,59,26,20,10.0,14.0,3.0,1.0,,2021-07-07,수요일,902,하차,모란,2827,3920,2021-12-31
29,9,41,52,73,89,89,86,94,92,75,73,50,40,19,12.0,5.0,4.0,1.0,,2021-07-08,목요일,933,하차,모란,2827,4480,2021-12-31
20,17,47,87,128,244,210,171,176,203,140,119,56,43,24,9.0,12.0,6.0,2.0,,2021-07-09,금요일,1714,하차,모란,2827,5040,2021-12-31
33,15,23,39,71,90,82,78,86,54,48,56,34,35,23,10.0,4.0,3.0,4.0,,2021-07-10,토요일,788,하차,모란,2827,5600,2021-12-31
29,10,18,24,44,53,47,44,61,40,33,34,23,15,12,12.0,8.0,1.0,1.0,,2021-07-11,일요일,509,하차,모란,2827,6160,2021-12-31
33,16,35,44,92,67,77,82,98,78,51,85,61,35,24,7.0,6.0,2.0,2.0,,2021-07-12,월요일,895,하차,모란,2827,6720,2021-12-31
30,13,44,56,55,77,65,75,94,65,65,63,49,30,19,9.0,8.0,5.0,3.0,,2021-07-13,화요일,825,하차,모란,2827,7280,2021-12-31
30,18,40,69,126,181,169,118,134,105,122,91,56,31,20,1.0,6.0,3.0,0.0,,2021-07-14,수요일,1320,하차,모란,2827,7840,2021-12-31
30,13,33,63,73,86,74,62,78,84,57,58,51,26,10,8.0,2.0,2.0,2.0,,2021-07-15,목요일,812,하차,모란,2827,8400,2021-12-31
29,11,36,62,78,86,77,67,71,76,52,54,47,35,15,14.0,5.0,4.0,0.0,,2021-07-16,금요일,819,하차,모란,2827,8960,2021-12-31
39,10,23,41,59,70,69,60,63,53,53,50,41,30,16,6.0,9.0,0.0,3.0,,2021-07-17,토요일,695,하차,모란,2827,9520,2021-12-31
41,9,18,14,22,32,39,44,52,29,28,34,39,17,14,8.0,4.0,5.0,1.0,,2021-07-18,일요일,450,하차,모란,2827,10080,2021-12-31
32,13,48,53,122,153,157,123,122,136,92,95,55,43,13,9.0,5.0,1.0,2.0,,2021-07-19,월요일,1274,하차,모란,2827,10640,2021-12-31
30,12,32,49,63,90,63,63,86,70,81,73,53,26,28,13.0,3.0,4.0,0.0,,2021-07-20,화요일,839,하차,모란,2827,11200,2021-12-31
31,17,39,64,82,72,67,66,74,69,58,71,40,33,18,10.0,13.0,5.0,1.0,,2021-07-21,수요일,830,하차,모란,2827,11760,2021-12-31
30,14,39,55,66,71,68,56,59,63,56,88,53,33,26,11.0,11.0,3.0,1.0,,2021-07-22,목요일,803,하차,모란,2827,12320,2021-12-31
32,13,37,41,93,75,71,78,92,68,54,62,49,43,19,9.0,13.0,3.0,1.0,,2021-07-23,금요일,853,하차,모란,2827,12880,2021-12-31
38,14,28,57,106,132,113,117,102,102,59,78,46,35,16,11.0,10.0,7.0,1.0,,2021-07-24,토요일,1072,하차,모란,2827,13440,2021-12-31
34,10,14,16,29,40,37,39,35,33,30,32,30,26,15,8.0,5.0,2.0,1.0,,2021-07-25,일요일,436,하차,모란,2827,14000,2021-12-31
37,14,37,51,87,80,82,65,95,75,50,69,36,39,27,9.0,6.0,2.0,2.0,,2021-07-26,월요일,863,하차,모란,2827,14560,2021-12-31
39,13,35,50,78,85,77,64,61,75,59,62,35,37,22,9.0,5.0,0.0,3.0,,2021-07-27,화요일,809,하차,모란,2827,15120,2021-12-31
27,8,36,44,59,68,67,77,72,68,69,67,40,33,14,10.0,10.0,3.0,5.0,,2021-07-28,수요일,777,하차,모란,2827,15680,2021-12-31
33,18,49,64,108,142,137,89,125,100,85,100,46,36,23,12.0,10.0,1.0,3.0,,2021-07-29,목요일,1181,하차,모란,2827,16240,2021-12-31
33,14,38,46,61,80,84,66,60,68,46,76,48,33,17,10.0,13.0,3.0,2.0,,2021-07-30,금요일,798,하차,모란,2827,16800,2021-12-31
29,15,22,44,72,73,73,62,72,49,50,50,41,35,24,11.0,9.0,1.0,3.0,,2021-07-31,토요일,735,하차,모란,2827,17360,2021-12-31
40,7,9,21,30,30,44,33,35,41,44,26,22,28,11,10.0,1.0,0.0,2.0,,2021-08-01,일요일,434,하차,모란,2827,17920,2021-12-31
38,18,41,47,70,87,87,54,76,55,70,78,43,40,24,15.0,2.0,8.0,2.0,,2021-08-02,월요일,855,하차,모란,2827,18480,2021-12-31
31,15,34,55,76,81,63,54,63,81,80,57,53,26,13,11.0,8.0,2.0,3.0,,2021-08-03,화요일,806,하차,모란,2827,19040,2021-12-31
39,15,34,84,116,154,131,111,115,133,88,91,48,47,19,8.0,8.0,5.0,1.0,,2021-08-04,수요일,1247,하차,모란,2827,19600,2021-12-31
39,11,44,43,82,80,83,66,85,84,60,64,43,36,11,6.0,4.0,4.0,2.0,,2021-08-05,목요일,847,하차,모란,2827,20160,2021-12-31
38,14,29,58,75,74,84,60,80,88,54,75,49,30,21,9.0,6.0,3.0,3.0,,2021-08-06,금요일,850,하차,모란,2827,20720,2021-12-31
46,18,27,31,56,66,78,75,87,61,64,52,49,35,27,14.0,4.0,2.0,3.0,,2021-08-07,토요일,795,하차,모란,2827,21280,2021-12-31
32,12,22,24,25,30,46,45,42,51,49,41,32,23,17,11.0,5.0,2.0,1.0,,2021-08-08,일요일,510,하차,모란,2827,21840,2021-12-31
39,14,46,77,140,158,189,150,147,153,101,107,64,37,25,4.0,4.0,3.0,3.0,,2021-08-09,월요일,1461,하차,모란,2827,22400,2021-12-31
43,16,32,61,83,85,106,62,79,71,64,85,46,26,24,5.0,7.0,2.0,2.0,,2021-08-10,화요일,899,하차,모란,2827,22960,2021-12-31
32,16,31,56,87,80,69,85,85,90,65,79,50,33,15,11.0,9.0,1.0,2.0,,2021-08-11,수요일,896,하차,모란,2827,23520,2021-12-31
37,15,41,59,68,93,86,60,81,99,77,68,54,26,16,6.0,1.0,4.0,2.0,,2021-08-12,목요일,893,하차,모란,2827,24080,2021-12-31
27,12,33,55,73,88,84,73,70,93,55,63,57,34,10,8.0,4.0,2.0,2.0,,2021-08-13,금요일,843,하차,모란,2827,24640,2021-12-31
36,16,26,55,100,162,178,134,154,124,82,75,62,23,19,12.0,6.0,5.0,2.0,,2021-08-14,토요일,1271,하차,모란,2827,25200,2021-12-31
32,11,12,24,38,48,37,20,31,46,35,48,34,25,25,5.0,3.0,3.0,2.0,,2021-08-15,일요일,479,하차,모란,2827,25760,2021-12-31
27,7,34,40,52,89,61,69,88,71,67,67,36,29,20,8.0,9.0,4.0,2.0,,2021-08-16,월요일,780,하차,모란,2827,26320,2021-12-31
32,13,41,61,90,89,79,72,92,91,60,78,45,36,12,5.0,3.0,2.0,5.0,,2021-08-17,화요일,906,하차,모란,2827,26880,2021-12-31
33,10,37,49,58,84,62,73,95,83,65,59,48,29,23,7.0,12.0,2.0,2.0,,2021-08-18,수요일,831,하차,모란,2827,27440,2021-12-31
37,7,54,87,143,192,187,147,190,156,101,96,58,26,12,5.0,5.0,5.0,1.0,,2021-08-19,목요일,1509,하차,모란,2827,28000,2021-12-31
29,10,43,64,63,89,71,81,87,102,57,79,41,31,28,9.0,5.0,3.0,1.0,,2021-08-20,금요일,893,하차,모란,2827,28560,2021-12-31
33,19,21,33,66,57,51,54,52,70,66,52,26,32,21,7.0,2.0,0.0,2.0,,2021-08-21,토요일,664,하차,모란,2827,29120,2021-12-31
25,12,16,27,51,54,44,38,48,34,47,38,28,16,23,4.0,4.0,5.0,1.0,,2021-08-22,일요일,515,하차,모란,2827,29680,2021-12-31
31,11,46,48,83,105,89,60,79,94,80,80,50,16,13,7.0,4.0,2.0,3.0,,2021-08-23,월요일,901,하차,모란,2827,30240,2021-12-31
35,11,35,75,75,125,153,101,107,124,85,79,45,20,17,12.0,6.0,1.0,0.0,,2021-08-24,화요일,1106,하차,모란,2827,30800,2021-12-31
33,10,30,40,68,91,84,76,86,102,83,70,39,36,20,10.0,12.0,5.0,2.0,,2021-08-25,수요일,897,하차,모란,2827,31360,2021-12-31
31,12,37,62,84,80,89,73,107,93,77,81,38,29,19,9.0,7.0,5.0,5.0,,2021-08-26,목요일,938,하차,모란,2827,31920,2021-12-31
28,12,38,57,64,72,78,77,101,72,69,67,46,26,19,18.0,2.0,5.0,5.0,,2021-08-27,금요일,856,하차,모란,2827,32480,2021-12-31
36,15,20,38,65,102,86,82,94,64,61,71,50,22,23,7.0,11.0,3.0,3.0,,2021-08-28,토요일,853,하차,모란,2827,33040,2021-12-31
35,6,22,32,107,170,180,219,190,169,97,85,54,25,12,12.0,3.0,3.0,3.0,,2021-08-29,일요일,1424,하차,모란,2827,33600,2021-12-31
30,12,34,56,80,94,87,74,97,121,82,68,71,31,14,14.0,6.0,2.0,1.0,,2021-08-30,월요일,974,하차,모란,2827,34160,2021-12-31
28,13,31,62,68,63,88,73,65,63,60,68,25,21,14,3.0,6.0,2.0,2.0,,2021-08-31,화요일,755,하차,모란,2827,34720,2021-12-31
29,11,34,60,76,96,91,80,86,96,81,83,52,20,16,10.0,4.0,2.0,1.0,,2021-09-01,수요일,928,하차,모란,2827,35280,2021-12-31
35,17,30,64,96,87,110,72,108,102,88,84,54,23,22,2.0,11.0,3.0,5.0,,2021-09-02,목요일,1013,하차,모란,2827,35840,2021-12-31
32,17,35,71,73,94,84,79,96,103,73,86,40,31,22,16.0,6.0,1.0,4.0,,2021-09-03,금요일,963,하차,모란,2827,36400,2021-12-31
29,17,51,62,170,329,291,267,191,198,151,80,53,40,13,8.0,7.0,1.0,1.0,,2021-09-04,토요일,1959,하차,모란,2827,36960,2021-12-31
39,12,14,23,54,46,55,48,48,51,39,42,41,24,10,4.0,2.0,5.0,1.0,,2021-09-05,일요일,558,하차,모란,2827,37520,2021-12-31
38,19,32,58,97,101,96,76,116,107,95,84,49,30,10,9.0,6.0,3.0,2.0,,2021-09-06,월요일,1028,하차,모란,2827,38080,2021-12-31
25,9,30,65,79,76,76,86,77,73,66,64,35,33,16,8.0,5.0,6.0,2.0,,2021-09-07,화요일,831,하차,모란,2827,38640,2021-12-31
36,10,30,59,71,120,88,83,115,99,73,87,44,36,21,11.0,8.0,3.0,1.0,,2021-09-08,수요일,995,하차,모란,2827,39200,2021-12-31
41,11,35,106,194,278,310,188,237,186,179,131,63,37,16,10.0,4.0,7.0,4.0,,2021-09-09,목요일,2037,하차,모란,2827,39760,2021-12-31
34,12,31,63,80,109,97,87,90,101,88,96,49,37,24,10.0,10.0,6.0,6.0,,2021-09-10,금요일,1030,하차,모란,2827,40320,2021-12-31
38,14,21,37,54,76,102,87,76,58,59,51,42,40,21,15.0,7.0,7.0,3.0,,2021-09-11,토요일,808,하차,모란,2827,40880,2021-12-31
31,13,17,27,44,68,45,53,41,47,53,51,39,30,12,5.0,7.0,4.0,3.0,,2021-09-12,일요일,590,하차,모란,2827,41440,2021-12-31
39,18,29,79,98,106,93,70,109,91,88,92,51,39,24,8.0,7.0,5.0,3.0,,2021-09-13,월요일,1049,하차,모란,2827,42000,2021-12-31
50,19,42,86,179,266,247,203,205,217,168,113,65,43,23,10.0,3.0,1.0,3.0,,2021-09-14,화요일,1943,하차,모란,2827,42560,2021-12-31
35,18,29,62,86,105,89,87,110,93,67,68,57,37,23,11.0,6.0,5.0,4.0,,2021-09-15,수요일,992,하차,모란,2827,43120,2021-12-31
44,18,25,55,84,97,105,86,121,100,89,84,54,27,17,8.0,12.0,6.0,3.0,,2021-09-16,목요일,1035,하차,모란,2827,43680,2021-12-31
32,20,36,52,82,107,83,86,94,105,63,89,51,32,18,10.0,7.0,5.0,3.0,,2021-09-17,금요일,975,하차,모란,2827,44240,2021-12-31
29,19,24,42,76,93,88,91,81,76,54,57,54,23,26,5.0,5.0,5.0,4.0,,2021-09-18,토요일,852,하차,모란,2827,44800,2021-12-31
29,13,20,59,140,189,194,173,141,150,105,82,42,28,13,14.0,5.0,0.0,1.0,,2021-09-19,일요일,1398,하차,모란,2827,45360,2021-12-31
16,7,11,19,27,26,42,37,61,45,33,30,18,19,11,8.0,3.0,3.0,2.0,,2021-09-20,월요일,418,하차,모란,2827,45920,2021-12-31
17,4,12,9,25,19,20,24,33,23,18,17,11,12,7,13.0,4.0,2.0,3.0,,2021-09-21,화요일,273,하차,모란,2827,46480,2021-12-31
11,4,11,9,22,39,28,47,55,39,33,35,26,25,15,8.0,5.0,6.0,4.0,,2021-09-22,수요일,422,하차,모란,2827,47040,2021-12-31
31,16,30,43,95,102,76,63,100,103,77,72,36,24,19,11.0,7.0,3.0,4.0,,2021-09-23,목요일,912,하차,모란,2827,47600,2021-12-31
32,18,35,65,94,181,202,187,189,189,121,124,58,34,21,6.0,11.0,4.0,4.0,,2021-09-24,금요일,1575,하차,모란,2827,48160,2021-12-31
43,18,21,43,58,79,71,93,76,70,57,62,43,36,17,10.0,5.0,3.0,4.0,,2021-09-25,토요일,809,하차,모란,2827,48720,2021-12-31
27,13,20,16,39,46,51,47,36,44,43,44,16,40,9,7.0,3.0,2.0,3.0,,2021-09-26,일요일,506,하차,모란,2827,49280,2021-12-31
33,14,39,67,77,119,76,83,91,88,81,74,42,38,18,5.0,10.0,3.0,2.0,,2021-09-27,월요일,960,하차,모란,2827,49840,2021-12-31
36,16,39,61,76,80,80,103,100,77,76,77,45,31,14,5.0,12.0,1.0,4.0,,2021-09-28,화요일,933,하차,모란,2827,50400,2021-12-31
30,12,35,57,80,135,138,156,154,122,89,107,36,28,16,11.0,5.0,5.0,3.0,,2021-09-29,수요일,1219,하차,모란,2827,50960,2021-12-31
34,13,49,63,63,84,108,90,113,91,75,74,39,29,24,10.0,5.0,6.0,4.0,,2021-09-30,목요일,974,하차,모란,2827,51520,2021-12-31
34,12,35,70,71,96,87,66,111,71,71,80,41,33,20,11.0,10.0,9.0,6.0,,2021-10-01,금요일,934,하차,모란,2827,52080,2021-12-31
40,15,23,31,53,82,64,91,87,75,63,63,48,31,18,12.0,5.0,7.0,2.0,,2021-10-02,토요일,810,하차,모란,2827,52640,2021-12-31
39,9,14,33,49,43,55,36,61,53,40,33,40,21,14,6.0,6.0,2.0,4.0,,2021-10-03,일요일,558,하차,모란,2827,53200,2021-12-31
