06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,수송일자,요일,일일합계,승하차구분,역명,역번호,연번,날짜
58,20,62,73,68,81,87,77,77,98,92,110,101,103,58,42.0,38.0,16.0,9.0,,2021-07-01,목요일,1270,하차,방이,2557,332,2021-12-31
68,17,68,80,59,77,90,87,59,92,95,120,102,91,63,46.0,44.0,16.0,10.0,,2021-07-02,금요일,1284,하차,방이,2557,892,2021-12-31
57,17,37,40,45,50,66,74,67,67,87,69,77,60,35,32.0,24.0,16.0,3.0,,2021-07-03,토요일,923,하차,방이,2557,1452,2021-12-31
46,9,12,42,41,59,32,34,52,50,39,62,47,36,25,26.0,16.0,10.0,4.0,,2021-07-04,일요일,642,하차,방이,2557,2012,2021-12-31
65,22,68,84,61,66,76,87,100,90,95,115,120,87,63,35.0,29.0,10.0,5.0,,2021-07-05,월요일,1278,하차,방이,2557,2572,2021-12-31
72,17,63,84,65,71,91,81,81,69,113,107,116,88,66,47.0,25.0,21.0,5.0,,2021-07-06,화요일,1282,하차,방이,2557,3132,2021-12-31
71,16,62,66,61,76,79,81,75,81,99,108,99,100,55,41.0,27.0,12.0,8.0,,2021-07-07,수요일,1217,하차,방이,2557,3692,2021-12-31
67,18,64,73,69,76,56,83,65,73,110,106,82,84,50,41.0,24.0,21.0,5.0,,2021-07-08,목요일,1167,하차,방이,2557,4252,2021-12-31
64,19,63,82,52,63,78,83,67,90,97,91,111,85,75,39.0,25.0,11.0,7.0,,2021-07-09,금요일,1202,하차,방이,2557,4812,2021-12-31
45,17,32,47,42,42,60,53,58,51,71,82,59,45,49,29.0,18.0,9.0,4.0,,2021-07-10,토요일,813,하차,방이,2557,5372,2021-12-31
38,13,13,28,57,52,21,40,44,40,47,51,33,32,27,18.0,16.0,10.0,2.0,,2021-07-11,일요일,582,하차,방이,2557,5932,2021-12-31
69,17,62,80,58,78,73,83,52,73,98,105,77,98,46,37.0,19.0,15.0,6.0,,2021-07-12,월요일,1146,하차,방이,2557,6492,2021-12-31
71,19,62,74,56,64,65,82,64,63,106,73,93,89,51,31.0,10.0,14.0,9.0,,2021-07-13,화요일,1096,하차,방이,2557,7052,2021-12-31
64,14,64,80,55,70,73,69,61,72,90,73,104,86,58,26.0,15.0,8.0,9.0,,2021-07-14,수요일,1091,하차,방이,2557,7612,2021-12-31
69,18,64,72,67,87,64,67,53,49,71,87,94,71,45,45.0,11.0,9.0,5.0,,2021-07-15,목요일,1048,하차,방이,2557,8172,2021-12-31
62,17,61,81,66,72,83,67,53,53,78,86,89,71,57,44.0,13.0,15.0,6.0,,2021-07-16,금요일,1074,하차,방이,2557,8732,2021-12-31
55,12,35,46,43,55,49,41,46,37,54,55,47,56,42,18.0,17.0,13.0,3.0,,2021-07-17,토요일,724,하차,방이,2557,9292,2021-12-31
32,13,16,21,25,21,25,28,18,24,37,48,26,38,30,28.0,10.0,15.0,7.0,,2021-07-18,일요일,462,하차,방이,2557,9852,2021-12-31
63,18,68,83,58,71,67,80,41,62,83,90,90,79,55,32.0,18.0,9.0,5.0,,2021-07-19,월요일,1072,하차,방이,2557,10412,2021-12-31
61,20,58,72,57,69,62,71,57,72,90,73,91,90,43,42.0,20.0,17.0,3.0,,2021-07-20,화요일,1068,하차,방이,2557,10972,2021-12-31
65,19,66,83,47,78,73,73,40,60,82,97,84,94,53,48.0,17.0,12.0,9.0,,2021-07-21,수요일,1100,하차,방이,2557,11532,2021-12-31
69,17,60,70,64,75,68,70,42,61,76,70,82,80,55,35.0,25.0,14.0,5.0,,2021-07-22,목요일,1038,하차,방이,2557,12092,2021-12-31
66,18,65,75,59,78,59,80,53,77,80,89,92,84,62,38.0,26.0,9.0,4.0,,2021-07-23,금요일,1114,하차,방이,2557,12652,2021-12-31
49,12,36,38,43,37,53,50,45,37,41,49,50,59,37,33.0,17.0,12.0,4.0,,2021-07-24,토요일,702,하차,방이,2557,13212,2021-12-31
39,14,14,19,27,24,34,28,26,23,35,36,36,26,39,18.0,14.0,12.0,3.0,,2021-07-25,일요일,467,하차,방이,2557,13772,2021-12-31
64,17,72,75,72,88,73,75,56,63,79,85,90,83,53,44.0,23.0,15.0,8.0,,2021-07-26,월요일,1135,하차,방이,2557,14332,2021-12-31
62,19,63,76,68,53,68,80,55,69,81,85,85,87,61,33.0,24.0,13.0,9.0,,2021-07-27,화요일,1091,하차,방이,2557,14892,2021-12-31
63,15,65,75,57,89,65,58,62,55,68,80,93,77,55,32.0,14.0,18.0,10.0,,2021-07-28,수요일,1051,하차,방이,2557,15452,2021-12-31
66,19,63,75,59,62,70,65,50,66,93,99,91,84,58,39.0,18.0,13.0,7.0,,2021-07-29,목요일,1097,하차,방이,2557,16012,2021-12-31
57,19,64,70,58,62,72,78,45,60,84,87,77,98,66,37.0,22.0,11.0,7.0,,2021-07-30,금요일,1074,하차,방이,2557,16572,2021-12-31
60,12,31,44,26,51,50,50,52,51,57,47,55,57,35,25.0,22.0,13.0,5.0,,2021-07-31,토요일,743,하차,방이,2557,17132,2021-12-31
32,11,10,13,16,24,27,23,25,27,40,31,38,42,33,20.0,21.0,10.0,3.0,,2021-08-01,일요일,446,하차,방이,2557,17692,2021-12-31
