06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,수송일자,요일,일일합계,승하차구분,역명,역번호,연번,날짜
22,17,43,42,66,44,46,50,44,57,61,72,72,45,43,26.0,18.0,17.0,7.0,,2021-07-01,목요일,792,하차,보문,2639,406,2021-12-31
21,7,47,74,67,44,52,66,66,63,54,65,83,62,44,28.0,14.0,21.0,8.0,,2021-07-02,금요일,886,하차,보문,2639,966,2021-12-31
20,11,18,49,32,49,35,52,36,32,46,49,32,42,18,12.0,17.0,8.0,7.0,,2021-07-03,토요일,565,하차,보문,2639,1526,2021-12-31
9,1,19,18,20,50,15,22,30,32,29,32,19,25,11,13.0,13.0,10.0,1.0,,2021-07-04,일요일,369,하차,보문,2639,2086,2021-12-31
28,15,30,64,68,46,50,50,60,52,70,73,71,59,34,23.0,15.0,9.0,12.0,,2021-07-05,월요일,829,하차,보문,2639,2646,2021-12-31
23,10,33,50,53,55,48,43,61,47,69,63,76,43,48,32.0,21.0,9.0,8.0,,2021-07-06,화요일,792,하차,보문,2639,3206,2021-12-31
27,15,27,42,47,63,53,43,58,49,59,63,61,51,50,30.0,16.0,13.0,4.0,,2021-07-07,수요일,771,하차,보문,2639,3766,2021-12-31
26,9,28,42,46,48,39,63,52,48,59,54,66,36,41,13.0,12.0,14.0,7.0,,2021-07-08,목요일,703,하차,보문,2639,4326,2021-12-31
27,15,28,42,65,46,47,48,47,36,48,67,79,43,36,19.0,16.0,14.0,11.0,,2021-07-09,금요일,734,하차,보문,2639,4886,2021-12-31
20,7,17,19,30,36,45,51,24,30,27,42,45,37,24,19.0,9.0,7.0,5.0,,2021-07-10,토요일,494,하차,보문,2639,5446,2021-12-31
16,6,15,20,24,39,16,18,26,25,26,28,25,24,15,17.0,14.0,6.0,3.0,,2021-07-11,일요일,363,하차,보문,2639,6006,2021-12-31
23,9,26,40,57,33,49,43,49,41,60,55,73,50,34,21.0,17.0,17.0,3.0,,2021-07-12,월요일,700,하차,보문,2639,6566,2021-12-31
27,13,30,44,62,36,43,51,53,34,64,55,70,47,37,24.0,19.0,14.0,5.0,,2021-07-13,화요일,728,하차,보문,2639,7126,2021-12-31
26,7,23,38,43,42,51,43,36,39,60,55,62,44,40,19.0,14.0,12.0,1.0,,2021-07-14,수요일,655,하차,보문,2639,7686,2021-12-31
22,15,32,43,42,43,43,47,51,37,48,57,76,45,31,22.0,15.0,17.0,7.0,,2021-07-15,목요일,693,하차,보문,2639,8246,2021-12-31
26,7,20,44,58,37,43,42,53,36,44,64,50,55,36,30.0,18.0,11.0,2.0,,2021-07-16,금요일,676,하차,보문,2639,8806,2021-12-31
23,8,20,21,25,32,28,41,27,26,36,35,38,31,20,21.0,9.0,10.0,5.0,,2021-07-17,토요일,456,하차,보문,2639,9366,2021-12-31
9,1,12,18,15,23,15,18,22,24,18,28,24,34,20,18.0,11.0,9.0,3.0,,2021-07-18,일요일,322,하차,보문,2639,9926,2021-12-31
29,16,22,52,55,37,51,35,50,23,55,51,67,39,43,27.0,10.0,14.0,3.0,,2021-07-19,월요일,679,하차,보문,2639,10486,2021-12-31
