06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,수송일자,요일,일일합계,승하차구분,역명,역번호,연번,날짜
20,2,14,34,34,56,49,48,47,56,57,46,49,55,35,30.0,20.0,10.0,3.0,,2021-07-01,목요일,665,하차,부평구청,2761,526,2021-12-31
21,5,24,49,35,62,41,54,41,45,56,47,44,58,42,25.0,17.0,22.0,7.0,,2021-07-02,금요일,695,하차,부평구청,2761,1086,2021-12-31
13,2,8,7,24,28,55,24,39,41,42,37,32,46,20,6.0,9.0,7.0,3.0,,2021-07-03,토요일,443,하차,부평구청,2761,1646,2021-12-31
11,2,17,5,11,17,28,22,29,27,32,37,27,21,26,14.0,10.0,4.0,3.0,,2021-07-04,일요일,343,하차,부평구청,2761,2206,2021-12-31
16,1,17,41,43,42,56,47,36,49,45,69,51,70,39,33.0,18.0,11.0,3.0,,2021-07-05,월요일,687,하차,부평구청,2761,2766,2021-12-31
16,3,21,33,28,50,53,46,33,38,49,62,61,58,36,23.0,24.0,21.0,2.0,,2021-07-06,화요일,657,하차,부평구청,2761,3326,2021-12-31
16,1,16,42,27,57,31,56,39,50,44,61,45,48,34,28.0,19.0,15.0,5.0,,2021-07-07,수요일,634,하차,부평구청,2761,3886,2021-12-31
20,2,22,28,35,41,42,37,32,34,45,48,49,49,28,25.0,19.0,17.0,2.0,,2021-07-08,목요일,575,하차,부평구청,2761,4446,2021-12-31
14,2,16,36,36,40,37,51,41,71,48,52,48,45,37,26.0,18.0,18.0,2.0,,2021-07-09,금요일,638,하차,부평구청,2761,5006,2021-12-31
13,3,13,13,13,37,44,35,47,23,28,40,30,33,24,14.0,13.0,8.0,6.0,,2021-07-10,토요일,437,하차,부평구청,2761,5566,2021-12-31
