06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,수송일자,요일,일일합계,승하차구분,역명,역번호,연번,날짜
65,18,85,143,247,381,375,335,372,352,352,366,302,249,180,117.0,62.0,69.0,19.0,,2021-07-01,목요일,4089,하차,불광,312,128,2021-12-31
23,3,24,45,63,58,97,64,82,68,80,79,68,48,33,25.0,17.0,4.0,4.0,,2021-07-01,목요일,885,하차,불광,2613,356,2021-12-31
58,22,93,153,238,348,377,403,335,367,398,403,326,270,174,125.0,78.0,82.0,23.0,,2021-07-02,금요일,4273,하차,불광,312,688,2021-12-31
14,4,44,42,68,50,97,65,80,63,95,91,73,53,35,28.0,14.0,10.0,3.0,,2021-07-02,금요일,929,하차,불광,2613,916,2021-12-31
61,11,85,165,285,320,396,374,295,313,258,230,154,124,96,69.0,49.0,47.0,14.0,,2021-07-03,토요일,3346,하차,불광,312,1248,2021-12-31
22,4,20,43,50,73,63,84,59,73,55,66,35,28,19,19.0,12.0,3.0,2.0,,2021-07-03,토요일,730,하차,불광,2613,1476,2021-12-31
28,7,32,71,123,192,204,266,270,241,205,165,127,83,86,71.0,29.0,33.0,12.0,,2021-07-04,일요일,2245,하차,불광,312,1808,2021-12-31
11,3,6,24,21,34,45,61,54,57,34,43,25,20,12,8.0,4.0,10.0,3.0,,2021-07-04,일요일,475,하차,불광,2613,2036,2021-12-31
58,12,110,164,279,361,372,414,396,391,433,407,371,256,159,105.0,63.0,50.0,22.0,,2021-07-05,월요일,4423,하차,불광,312,2368,2021-12-31
24,6,42,46,77,76,82,62,82,67,94,76,76,46,40,22.0,16.0,7.0,1.0,,2021-07-05,월요일,942,하차,불광,2613,2596,2021-12-31
45,15,89,134,281,343,379,392,408,392,371,397,328,260,164,131.0,72.0,62.0,17.0,,2021-07-06,화요일,4280,하차,불광,312,2928,2021-12-31
19,7,36,38,64,75,69,79,97,88,85,75,66,51,32,28.0,13.0,4.0,3.0,,2021-07-06,화요일,929,하차,불광,2613,3156,2021-12-31
