06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,수송일자,요일,일일합계,승하차구분,역명,역번호,연번,날짜
24,8,43,79,51,35,66,79,60,60,48,62,53,54,35,28.0,9.0,13.0,4.0,,2021-07-01,목요일,811,하차,삼산체육관,2759,522,2021-12-31
26,10,37,76,41,47,59,85,70,54,48,54,57,56,42,26.0,13.0,12.0,6.0,,2021-07-02,금요일,819,하차,삼산체육관,2759,1082,2021-12-31
18,7,18,21,26,22,30,36,47,56,42,40,26,33,18,7.0,11.0,10.0,2.0,,2021-07-03,토요일,470,하차,삼산체육관,2759,1642,2021-12-31
8,3,6,6,19,9,24,30,19,24,45,29,23,31,24,14.0,9.0,7.0,2.0,,2021-07-04,일요일,332,하차,삼산체육관,2759,2202,2021-12-31
21,7,30,58,40,32,60,49,67,32,58,62,63,64,37,18.0,17.0,10.0,1.0,,2021-07-05,월요일,726,하차,삼산체육관,2759,2762,2021-12-31
18,11,32,50,32,46,47,59,65,38,60,59,85,48,37,26.0,15.0,14.0,3.0,,2021-07-06,화요일,745,하차,삼산체육관,2759,3322,2021-12-31
20,8,36,55,33,39,56,47,71,40,63,63,66,49,45,17.0,17.0,15.0,5.0,,2021-07-07,수요일,745,하차,삼산체육관,2759,3882,2021-12-31
18,8,29,41,37,32,41,40,37,34,52,60,45,64,34,19.0,16.0,9.0,6.0,,2021-07-08,목요일,622,하차,삼산체육관,2759,4442,2021-12-31
14,8,34,48,36,36,44,66,58,41,51,50,62,47,29,17.0,29.0,8.0,4.0,,2021-07-09,금요일,682,하차,삼산체육관,2759,5002,2021-12-31
10,4,15,18,22,23,34,49,26,39,28,23,37,35,20,14.0,12.0,8.0,2.0,,2021-07-10,토요일,419,하차,삼산체육관,2759,5562,2021-12-31
11,1,10,10,23,14,15,25,23,18,30,24,24,33,15,18.0,14.0,6.0,1.0,,2021-07-11,일요일,315,하차,삼산체육관,2759,6122,2021-12-31
13,11,31,33,27,35,38,42,36,40,41,50,56,49,33,14.0,10.0,13.0,4.0,,2021-07-12,월요일,576,하차,삼산체육관,2759,6682,2021-12-31
13,8,31,26,31,32,31,48,40,33,48,50,54,50,37,17.0,16.0,11.0,2.0,,2021-07-13,화요일,578,하차,삼산체육관,2759,7242,2021-12-31
18,13,31,35,31,27,41,36,38,40,57,46,46,57,26,20.0,12.0,5.0,4.0,,2021-07-14,수요일,583,하차,삼산체육관,2759,7802,2021-12-31
17,5,25,45,33,29,32,30,42,23,43,58,52,44,29,16.0,12.0,9.0,0.0,,2021-07-15,목요일,544,하차,삼산체육관,2759,8362,2021-12-31
21,9,25,49,37,41,36,44,49,42,25,63,41,50,29,14.0,18.0,5.0,1.0,,2021-07-16,금요일,599,하차,삼산체육관,2759,8922,2021-12-31
19,3,18,24,16,28,35,28,23,19,24,24,36,25,24,15.0,13.0,6.0,5.0,,2021-07-17,토요일,385,하차,삼산체육관,2759,9482,2021-12-31
13,2,6,14,7,12,20,13,14,16,16,22,24,20,23,15.0,14.0,8.0,4.0,,2021-07-18,일요일,263,하차,삼산체육관,2759,10042,2021-12-31
18,7,33,32,23,19,46,35,47,36,44,55,54,48,32,16.0,16.0,7.0,4.0,,2021-07-19,월요일,572,하차,삼산체육관,2759,10602,2021-12-31
20,7,34,26,37,24,40,41,43,43,45,63,48,44,38,11.0,6.0,10.0,2.0,,2021-07-20,화요일,582,하차,삼산체육관,2759,11162,2021-12-31
20,5,41,30,24,21,39,36,29,26,52,47,48,46,36,30.0,16.0,9.0,3.0,,2021-07-21,수요일,558,하차,삼산체육관,2759,11722,2021-12-31
18,6,25,23,23,21,40,33,31,24,38,42,49,39,28,24.0,10.0,8.0,2.0,,2021-07-22,목요일,484,하차,삼산체육관,2759,12282,2021-12-31
17,5,28,26,24,27,37,42,32,30,36,44,49,47,28,30.0,11.0,6.0,1.0,,2021-07-23,금요일,520,하차,삼산체육관,2759,12842,2021-12-31
18,7,17,23,22,18,34,31,20,17,26,12,37,29,22,14.0,11.0,6.0,4.0,,2021-07-24,토요일,368,하차,삼산체육관,2759,13402,2021-12-31
14,3,13,7,8,7,10,12,8,18,27,18,19,23,25,15.0,6.0,5.0,1.0,,2021-07-25,일요일,239,하차,삼산체육관,2759,13962,2021-12-31
17,6,31,46,32,36,38,42,26,40,41,42,60,38,30,24.0,16.0,5.0,3.0,,2021-07-26,월요일,573,하차,삼산체육관,2759,14522,2021-12-31
16,5,29,30,25,31,34,39,40,17,39,52,44,58,30,15.0,15.0,6.0,3.0,,2021-07-27,화요일,528,하차,삼산체육관,2759,15082,2021-12-31
19,6,35,28,30,29,40,51,46,26,40,54,46,37,34,20.0,12.0,6.0,2.0,,2021-07-28,수요일,561,하차,삼산체육관,2759,15642,2021-12-31
19,5,30,27,29,27,29,30,46,30,51,51,43,52,30,18.0,14.0,7.0,2.0,,2021-07-29,목요일,540,하차,삼산체육관,2759,16202,2021-12-31
21,7,26,25,34,48,46,43,39,29,40,40,49,53,33,20.0,18.0,5.0,3.0,,2021-07-30,금요일,579,하차,삼산체육관,2759,16762,2021-12-31
24,3,21,23,14,31,26,37,23,23,23,28,26,34,20,12.0,14.0,4.0,3.0,,2021-07-31,토요일,389,하차,삼산체육관,2759,17322,2021-12-31
14,4,7,11,9,14,6,16,23,21,23,17,32,27,21,8.0,11.0,6.0,1.0,,2021-08-01,일요일,271,하차,삼산체육관,2759,17882,2021-12-31
19,2,30,23,19,31,29,47,27,30,44,60,41,46,36,17.0,11.0,8.0,4.0,,2021-08-02,월요일,524,하차,삼산체육관,2759,18442,2021-12-31
23,5,26,20,20,19,33,46,26,32,29,54,43,53,35,17.0,17.0,7.0,5.0,,2021-08-03,화요일,510,하차,삼산체육관,2759,19002,2021-12-31
15,5,24,22,26,28,34,41,30,39,48,55,40,48,33,16.0,14.0,8.0,3.0,,2021-08-04,수요일,529,하차,삼산체육관,2759,19562,2021-12-31
20,9,16,26,19,27,31,34,20,30,34,52,51,47,35,15.0,16.0,9.0,1.0,,2021-08-05,목요일,492,하차,삼산체육관,2759,20122,2021-12-31
23,4,23,22,19,35,41,41,29,44,35,52,42,52,21,20.0,11.0,7.0,2.0,,2021-08-06,금요일,523,하차,삼산체육관,2759,20682,2021-12-31
18,6,15,23,20,36,27,29,31,21,24,25,38,35,23,10.0,19.0,12.0,2.0,,2021-08-07,토요일,414,하차,삼산체육관,2759,21242,2021-12-31
13,3,12,8,16,24,12,22,12,22,36,27,14,27,21,9.0,9.0,3.0,3.0,,2021-08-08,일요일,293,하차,삼산체육관,2759,21802,2021-12-31
20,6,20,38,32,29,42,39,30,40,41,50,42,62,28,21.0,14.0,8.0,2.0,,2021-08-09,월요일,564,하차,삼산체육관,2759,22362,2021-12-31
17,5,28,29,29,39,38,39,32,27,41,64,45,57,38,18.0,11.0,7.0,2.0,,2021-08-10,화요일,566,하차,삼산체육관,2759,22922,2021-12-31
15,7,26,20,25,30,32,38,25,43,35,54,48,52,33,23.0,14.0,6.0,4.0,,2021-08-11,수요일,530,하차,삼산체육관,2759,23482,2021-12-31
15,4,30,36,24,22,21,39,28,46,44,56,48,49,37,14.0,10.0,7.0,3.0,,2021-08-12,목요일,533,하차,삼산체육관,2759,24042,2021-12-31
14,7,23,37,23,22,27,30,25,33,45,60,52,46,35,17.0,14.0,4.0,3.0,,2021-08-13,금요일,517,하차,삼산체육관,2759,24602,2021-12-31
20,2,22,20,24,24,24,31,31,25,31,29,31,46,34,11.0,10.0,8.0,4.0,,2021-08-14,토요일,427,하차,삼산체육관,2759,25162,2021-12-31
7,6,8,14,16,12,16,17,26,17,21,38,29,36,19,14.0,14.0,6.0,2.0,,2021-08-15,일요일,318,하차,삼산체육관,2759,25722,2021-12-31
11,2,17,10,16,19,27,43,28,32,33,43,49,48,22,15.0,11.0,6.0,3.0,,2021-08-16,월요일,435,하차,삼산체육관,2759,26282,2021-12-31
19,6,36,40,18,19,48,36,30,35,45,56,55,52,38,16.0,11.0,5.0,6.0,,2021-08-17,화요일,571,하차,삼산체육관,2759,26842,2021-12-31
24,1,50,36,24,36,26,37,37,40,42,58,48,52,42,15.0,24.0,6.0,1.0,,2021-08-18,수요일,599,하차,삼산체육관,2759,27402,2021-12-31
23,6,37,35,16,38,32,36,28,37,45,75,50,61,34,18.0,7.0,9.0,3.0,,2021-08-19,목요일,590,하차,삼산체육관,2759,27962,2021-12-31
21,5,39,38,19,28,39,46,39,34,50,45,59,67,38,23.0,14.0,7.0,4.0,,2021-08-20,금요일,615,하차,삼산체육관,2759,28522,2021-12-31
15,5,19,21,15,19,28,32,12,18,27,23,32,32,12,13.0,14.0,1.0,1.0,,2021-08-21,토요일,339,하차,삼산체육관,2759,29082,2021-12-31
11,1,14,6,14,20,17,29,24,23,34,38,30,35,16,11.0,15.0,3.0,4.0,,2021-08-22,일요일,345,하차,삼산체육관,2759,29642,2021-12-31
18,5,38,50,23,43,45,40,32,40,42,47,43,51,30,12.0,13.0,2.0,3.0,,2021-08-23,월요일,577,하차,삼산체육관,2759,30202,2021-12-31
16,1,30,59,24,22,35,73,27,34,51,56,56,49,32,15.0,14.0,10.0,2.0,,2021-08-24,화요일,606,하차,삼산체육관,2759,30762,2021-12-31
14,4,39,60,26,42,42,65,31,52,49,59,53,54,40,20.0,22.0,4.0,3.0,,2021-08-25,수요일,679,하차,삼산체육관,2759,31322,2021-12-31
22,3,41,63,27,40,44,48,39,54,43,59,56,62,36,21.0,13.0,7.0,3.0,,2021-08-26,목요일,681,하차,삼산체육관,2759,31882,2021-12-31
