06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,수송일자,요일,일일합계,승하차구분,역명,역번호,연번,날짜
176,72,151,123,186,207,192,156,145,162,161,92,98,68,41,26.0,17.0,19.0,3.0,,2021-07-01,목요일,2095,하차,서초,224,68,2021-12-31
188,75,134,144,218,160,178,144,162,148,118,99,91,71,39,23.0,18.0,12.0,4.0,,2021-07-02,금요일,2026,하차,서초,224,628,2021-12-31
111,73,63,56,74,54,101,83,103,95,53,47,34,31,9,14.0,11.0,5.0,6.0,,2021-07-03,토요일,1023,하차,서초,224,1188,2021-12-31
93,20,150,84,247,77,211,48,79,65,34,38,23,22,17,19.0,13.0,8.0,6.0,,2021-07-04,일요일,1254,하차,서초,224,1748,2021-12-31
196,66,137,156,221,232,204,162,164,164,134,123,110,43,35,25.0,15.0,12.0,3.0,,2021-07-05,월요일,2202,하차,서초,224,2308,2021-12-31
175,93,146,154,224,193,214,188,165,175,140,136,75,45,37,11.0,22.0,13.0,6.0,,2021-07-06,화요일,2212,하차,서초,224,2868,2021-12-31
191,76,140,145,219,183,194,173,137,128,118,101,91,56,41,14.0,22.0,18.0,3.0,,2021-07-07,수요일,2050,하차,서초,224,3428,2021-12-31
184,80,146,135,198,203,185,161,141,136,115,113,87,57,35,30.0,22.0,15.0,2.0,,2021-07-08,목요일,2045,하차,서초,224,3988,2021-12-31
178,82,130,127,211,158,151,127,161,139,117,99,75,44,27,29.0,18.0,19.0,2.0,,2021-07-09,금요일,1894,하차,서초,224,4548,2021-12-31
127,79,60,46,60,62,83,66,80,48,58,41,34,17,22,16.0,14.0,10.0,1.0,,2021-07-10,토요일,924,하차,서초,224,5108,2021-12-31
74,22,142,80,186,58,170,45,64,57,32,23,18,25,17,14.0,8.0,11.0,2.0,,2021-07-11,일요일,1048,하차,서초,224,5668,2021-12-31
187,77,124,148,191,151,129,134,129,116,128,108,70,45,28,17.0,17.0,10.0,2.0,,2021-07-12,월요일,1811,하차,서초,224,6228,2021-12-31
192,72,132,139,194,163,141,106,158,106,125,94,85,46,22,24.0,16.0,9.0,1.0,,2021-07-13,화요일,1825,하차,서초,224,6788,2021-12-31
178,86,132,133,191,144,140,109,123,111,91,92,89,51,26,20.0,14.0,6.0,2.0,,2021-07-14,수요일,1738,하차,서초,224,7348,2021-12-31
170,75,137,134,179,156,145,128,120,110,88,94,73,44,33,12.0,12.0,13.0,0.0,,2021-07-15,목요일,1723,하차,서초,224,7908,2021-12-31
185,76,144,139,163,141,121,135,130,113,112,67,79,36,29,17.0,18.0,12.0,1.0,,2021-07-16,금요일,1718,하차,서초,224,8468,2021-12-31
75,31,57,52,55,46,59,77,68,46,38,30,32,29,24,14.0,10.0,6.0,2.0,,2021-07-17,토요일,751,하차,서초,224,9028,2021-12-31
60,24,27,15,37,27,33,42,29,18,39,11,27,14,11,14.0,11.0,4.0,1.0,,2021-07-18,일요일,444,하차,서초,224,9588,2021-12-31
189,66,140,142,201,170,132,129,140,148,121,102,79,43,24,16.0,15.0,8.0,2.0,,2021-07-19,월요일,1867,하차,서초,224,10148,2021-12-31
197,78,132,108,171,135,133,136,135,125,114,89,69,55,27,19.0,11.0,12.0,2.0,,2021-07-20,화요일,1748,하차,서초,224,10708,2021-12-31
177,80,143,126,210,156,129,109,111,92,97,103,106,55,20,11.0,14.0,9.0,3.0,,2021-07-21,수요일,1751,하차,서초,224,11268,2021-12-31
191,79,136,121,168,149,129,124,104,110,90,83,63,54,25,17.0,16.0,11.0,1.0,,2021-07-22,목요일,1671,하차,서초,224,11828,2021-12-31
182,65,144,121,169,120,152,98,133,95,106,80,89,46,20,22.0,9.0,5.0,2.0,,2021-07-23,금요일,1658,하차,서초,224,12388,2021-12-31
103,32,53,39,41,65,59,62,53,34,36,41,38,17,26,21.0,9.0,5.0,1.0,,2021-07-24,토요일,735,하차,서초,224,12948,2021-12-31
47,19,22,15,25,30,31,27,25,17,25,20,14,16,13,15.0,12.0,10.0,2.0,,2021-07-25,일요일,385,하차,서초,224,13508,2021-12-31
195,89,134,140,179,141,154,122,107,135,92,99,61,39,23,30.0,14.0,13.0,1.0,,2021-07-26,월요일,1768,하차,서초,224,14068,2021-12-31
181,82,123,131,160,138,135,118,128,104,93,74,77,50,29,22.0,10.0,7.0,3.0,,2021-07-27,화요일,1665,하차,서초,224,14628,2021-12-31
184,86,136,139,184,141,118,122,102,102,96,99,77,48,27,22.0,11.0,8.0,1.0,,2021-07-28,수요일,1703,하차,서초,224,15188,2021-12-31
173,76,122,116,177,153,121,128,122,110,91,100,81,32,28,15.0,16.0,12.0,0.0,,2021-07-29,목요일,1673,하차,서초,224,15748,2021-12-31
