06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,수송일자,요일,일일합계,승하차구분,역명,역번호,연번,날짜
280,50,201,238,184,190,180,164,155,160,158,169,153,113,75,55.0,32.0,15.0,15.0,,2021-07-01,목요일,2587,하차,성수,211,42,2021-12-31
278,56,216,243,176,211,205,137,159,145,189,168,155,122,79,50.0,39.0,25.0,20.0,,2021-07-02,금요일,2673,하차,성수,211,602,2021-12-31
134,19,105,104,67,133,148,120,98,127,116,105,96,68,46,32.0,22.0,13.0,3.0,,2021-07-03,토요일,1556,하차,성수,211,1162,2021-12-31
67,17,37,41,58,109,57,55,75,91,75,80,66,46,27,31.0,20.0,11.0,6.0,,2021-07-04,일요일,969,하차,성수,211,1722,2021-12-31
273,49,204,245,207,237,213,133,167,167,202,185,146,113,68,46.0,32.0,15.0,8.0,,2021-07-05,월요일,2710,하차,성수,211,2282,2021-12-31
275,56,220,239,193,187,206,186,136,143,193,162,157,108,67,56.0,32.0,17.0,20.0,,2021-07-06,화요일,2653,하차,성수,211,2842,2021-12-31
271,58,190,268,204,209,191,139,138,177,201,158,141,115,70,42.0,26.0,17.0,7.0,,2021-07-07,수요일,2622,하차,성수,211,3402,2021-12-31
273,63,210,250,177,189,164,137,136,152,181,173,128,124,51,51.0,29.0,23.0,8.0,,2021-07-08,목요일,2519,하차,성수,211,3962,2021-12-31
265,53,194,226,184,211,196,138,145,162,166,172,113,118,58,42.0,26.0,27.0,8.0,,2021-07-09,금요일,2504,하차,성수,211,4522,2021-12-31
126,34,99,94,99,106,123,92,97,98,100,74,97,93,42,34.0,34.0,12.0,9.0,,2021-07-10,토요일,1463,하차,성수,211,5082,2021-12-31
55,10,44,37,54,82,46,89,82,53,67,69,76,78,30,29.0,16.0,10.0,3.0,,2021-07-11,일요일,930,하차,성수,211,5642,2021-12-31
271,60,204,227,190,211,185,125,141,134,148,145,121,101,61,46.0,30.0,10.0,7.0,,2021-07-12,월요일,2417,하차,성수,211,6202,2021-12-31
257,55,203,233,170,164,175,123,123,125,153,146,150,110,69,38.0,27.0,9.0,7.0,,2021-07-13,화요일,2337,하차,성수,211,6762,2021-12-31
273,60,212,220,170,163,140,136,121,126,137,150,123,103,65,41.0,16.0,15.0,4.0,,2021-07-14,수요일,2275,하차,성수,211,7322,2021-12-31
261,56,205,218,176,184,144,130,100,123,156,141,125,98,59,38.0,25.0,10.0,14.0,,2021-07-15,목요일,2263,하차,성수,211,7882,2021-12-31
258,63,207,212,193,188,159,117,123,145,184,128,124,92,66,51.0,31.0,13.0,8.0,,2021-07-16,금요일,2362,하차,성수,211,8442,2021-12-31
141,20,108,93,85,103,105,106,66,59,91,76,105,56,60,35.0,17.0,10.0,5.0,,2021-07-17,토요일,1341,하차,성수,211,9002,2021-12-31
65,19,40,48,34,53,54,58,50,59,56,54,68,62,41,28.0,18.0,11.0,6.0,,2021-07-18,일요일,824,하차,성수,211,9562,2021-12-31
269,53,209,240,199,198,178,141,126,121,150,137,124,103,57,41.0,24.0,14.0,4.0,,2021-07-19,월요일,2388,하차,성수,211,10122,2021-12-31
283,55,204,243,187,202,164,127,129,144,162,154,117,98,72,43.0,29.0,13.0,8.0,,2021-07-20,화요일,2434,하차,성수,211,10682,2021-12-31
272,57,201,243,153,182,178,113,116,94,144,146,111,100,63,39.0,23.0,21.0,7.0,,2021-07-21,수요일,2263,하차,성수,211,11242,2021-12-31
259,57,220,248,162,188,147,121,115,102,136,125,115,111,67,37.0,24.0,14.0,3.0,,2021-07-22,목요일,2251,하차,성수,211,11802,2021-12-31
256,49,199,262,162,171,154,117,127,133,148,139,110,95,79,47.0,24.0,11.0,8.0,,2021-07-23,금요일,2291,하차,성수,211,12362,2021-12-31
151,26,89,109,80,124,120,103,75,64,73,86,78,72,50,37.0,25.0,5.0,6.0,,2021-07-24,토요일,1373,하차,성수,211,12922,2021-12-31
