06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,수송일자,요일,일일합계,승하차구분,역명,역번호,연번,날짜
40,8,49,61,62,66,65,94,70,95,91,106,101,87,56,34.0,26.0,17.0,6.0,,2021-07-01,목요일,1134,하차,신금호,2539,296,2021-12-31
44,8,51,54,45,74,74,64,74,83,105,115,118,94,70,40.0,25.0,15.0,5.0,,2021-07-02,금요일,1158,하차,신금호,2539,856,2021-12-31
28,5,27,46,47,44,72,53,59,63,78,69,69,55,33,29.0,8.0,14.0,2.0,,2021-07-03,토요일,801,하차,신금호,2539,1416,2021-12-31
14,5,14,19,18,67,28,27,42,49,51,50,27,34,30,21.0,20.0,12.0,6.0,,2021-07-04,일요일,534,하차,신금호,2539,1976,2021-12-31
43,5,41,54,52,84,87,70,83,97,137,124,126,77,52,42.0,22.0,16.0,6.0,,2021-07-05,월요일,1218,하차,신금호,2539,2536,2021-12-31
36,6,46,63,47,64,77,61,93,93,111,119,129,94,66,38.0,26.0,21.0,4.0,,2021-07-06,화요일,1194,하차,신금호,2539,3096,2021-12-31
42,9,51,58,56,63,70,88,62,84,111,111,99,85,39,36.0,21.0,19.0,6.0,,2021-07-07,수요일,1110,하차,신금호,2539,3656,2021-12-31
42,4,49,48,51,78,82,47,65,76,113,113,111,76,45,31.0,23.0,12.0,5.0,,2021-07-08,목요일,1071,하차,신금호,2539,4216,2021-12-31
36,6,48,56,38,61,70,68,91,94,109,112,94,91,54,42.0,20.0,20.0,9.0,,2021-07-09,금요일,1119,하차,신금호,2539,4776,2021-12-31
25,5,28,41,60,49,71,63,68,60,56,59,84,55,33,36.0,20.0,13.0,5.0,,2021-07-10,토요일,831,하차,신금호,2539,5336,2021-12-31
