06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,수송일자,요일,일일합계,승하차구분,역명,역번호,연번,날짜
86,19,125,148,221,225,197,202,198,225,261,198,190,153,80,48.0,35.0,24.0,8.0,,2021-07-01,목요일,2643,하차,신당,206,32,2021-12-31
47,13,68,99,95,98,68,58,74,69,63,45,40,30,16,19.0,13.0,4.0,3.0,,2021-07-01,목요일,922,하차,신당,2636,400,2021-12-31
97,13,136,143,212,235,215,211,206,201,219,254,198,140,80,49.0,41.0,34.0,15.0,,2021-07-02,금요일,2699,하차,신당,206,592,2021-12-31
59,17,57,108,99,77,64,70,73,68,57,44,35,33,15,29.0,12.0,4.0,6.0,,2021-07-02,금요일,927,하차,신당,2636,960,2021-12-31
70,18,80,107,163,209,250,252,162,198,203,153,139,72,54,44.0,29.0,17.0,8.0,,2021-07-03,토요일,2228,하차,신당,206,1152,2021-12-31
43,7,26,72,65,55,54,59,68,44,35,24,24,19,12,5.0,6.0,6.0,1.0,,2021-07-03,토요일,625,하차,신당,2636,1520,2021-12-31
40,16,39,77,99,131,126,136,134,133,140,105,66,52,32,35.0,28.0,12.0,7.0,,2021-07-04,일요일,1408,하차,신당,206,1712,2021-12-31
16,2,13,13,23,29,28,38,54,31,33,34,15,13,9,10.0,12.0,5.0,4.0,,2021-07-04,일요일,382,하차,신당,2636,2080,2021-12-31
88,17,127,164,181,219,251,203,208,250,244,236,193,118,67,43.0,31.0,27.0,10.0,,2021-07-05,월요일,2677,하차,신당,206,2272,2021-12-31
55,12,62,118,100,97,87,62,76,59,63,41,39,33,14,16.0,11.0,6.0,3.0,,2021-07-05,월요일,954,하차,신당,2636,2640,2021-12-31
97,18,131,149,201,227,239,200,219,232,244,220,172,120,82,57.0,31.0,22.0,12.0,,2021-07-06,화요일,2673,하차,신당,206,2832,2021-12-31
52,13,49,120,84,74,77,70,73,77,54,65,33,30,25,11.0,13.0,10.0,4.0,,2021-07-06,화요일,934,하차,신당,2636,3200,2021-12-31
85,18,112,145,191,214,204,192,209,199,236,208,194,119,75,39.0,38.0,21.0,6.0,,2021-07-07,수요일,2505,하차,신당,206,3392,2021-12-31
58,10,73,94,91,82,92,60,74,71,69,49,32,32,15,22.0,8.0,9.0,2.0,,2021-07-07,수요일,943,하차,신당,2636,3760,2021-12-31
97,17,137,145,186,180,210,184,207,204,198,221,182,114,77,45.0,33.0,26.0,12.0,,2021-07-08,목요일,2475,하차,신당,206,3952,2021-12-31
52,12,64,101,106,79,66,58,64,70,48,56,27,25,18,22.0,10.0,6.0,0.0,,2021-07-08,목요일,884,하차,신당,2636,4320,2021-12-31
95,25,114,156,200,226,204,202,175,200,207,209,181,135,72,48.0,31.0,26.0,11.0,,2021-07-09,금요일,2517,하차,신당,206,4512,2021-12-31
45,7,60,88,108,90,70,57,63,64,58,40,44,32,20,21.0,11.0,3.0,3.0,,2021-07-09,금요일,884,하차,신당,2636,4880,2021-12-31
66,15,79,105,129,186,219,178,174,160,163,160,137,84,70,36.0,23.0,22.0,7.0,,2021-07-10,토요일,2013,하차,신당,206,5072,2021-12-31
36,10,35,58,85,56,44,39,52,36,38,34,38,9,11,12.0,8.0,6.0,1.0,,2021-07-10,토요일,608,하차,신당,2636,5440,2021-12-31
55,11,40,75,99,164,137,143,142,122,125,112,70,66,42,27.0,15.0,10.0,3.0,,2021-07-11,일요일,1458,하차,신당,206,5632,2021-12-31
20,2,12,13,24,34,38,32,31,51,41,15,23,18,11,7.0,9.0,6.0,1.0,,2021-07-11,일요일,388,하차,신당,2636,6000,2021-12-31
82,20,130,166,183,193,225,183,186,197,190,174,165,114,57,40.0,43.0,19.0,8.0,,2021-07-12,월요일,2375,하차,신당,206,6192,2021-12-31
56,11,58,104,90,87,82,51,40,46,53,45,35,24,19,18.0,14.0,8.0,2.0,,2021-07-12,월요일,843,하차,신당,2636,6560,2021-12-31
89,18,108,140,179,214,190,185,212,197,202,199,164,109,53,37.0,21.0,26.0,7.0,,2021-07-13,화요일,2350,하차,신당,206,6752,2021-12-31
47,16,63,70,100,81,65,48,59,49,49,34,27,22,16,15.0,11.0,2.0,3.0,,2021-07-13,화요일,777,하차,신당,2636,7120,2021-12-31
91,20,116,134,163,188,171,158,123,178,179,190,161,119,62,42.0,23.0,13.0,9.0,,2021-07-14,수요일,2140,하차,신당,206,7312,2021-12-31
63,12,75,87,87,75,82,42,49,43,58,40,42,33,15,19.0,12.0,3.0,3.0,,2021-07-14,수요일,840,하차,신당,2636,7680,2021-12-31
93,18,107,146,188,191,171,165,152,186,215,192,149,110,55,28.0,30.0,19.0,10.0,,2021-07-15,목요일,2225,하차,신당,206,7872,2021-12-31
