06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,수송일자,요일,일일합계,승하차구분,역명,역번호,연번,날짜
132,52,186,249,282,307,457,407,381,341,422,406,398,303,190,131.0,90.0,55.0,25.0,,2021-07-01,목요일,4814,하차,신도림,234,88,2021-12-31
118,49,171,267,292,334,405,389,365,344,421,391,405,331,199,153.0,105.0,74.0,38.0,,2021-07-02,금요일,4851,하차,신도림,234,648,2021-12-31
105,47,121,112,198,350,461,448,348,354,316,295,254,158,94,91.0,57.0,49.0,18.0,,2021-07-03,토요일,3876,하차,신도림,234,1208,2021-12-31
89,28,58,94,119,246,210,219,232,192,170,166,167,106,90,69.0,41.0,32.0,13.0,,2021-07-04,일요일,2341,하차,신도림,234,1768,2021-12-31
121,53,184,269,304,363,418,428,370,381,456,402,415,339,191,112.0,90.0,33.0,18.0,,2021-07-05,월요일,4947,하차,신도림,234,2328,2021-12-31
131,38,156,260,302,357,436,383,412,414,436,460,381,311,173,146.0,111.0,48.0,34.0,,2021-07-06,화요일,4989,하차,신도림,234,2888,2021-12-31
124,59,169,276,301,338,419,401,389,385,420,358,353,271,185,128.0,87.0,39.0,18.0,,2021-07-07,수요일,4720,하차,신도림,234,3448,2021-12-31
125,48,167,225,273,313,359,334,360,370,383,378,373,289,174,129.0,82.0,48.0,22.0,,2021-07-08,목요일,4452,하차,신도림,234,4008,2021-12-31
124,53,184,256,277,302,373,336,361,297,360,395,320,302,196,129.0,83.0,51.0,29.0,,2021-07-09,금요일,4428,하차,신도림,234,4568,2021-12-31
120,42,102,121,177,271,308,302,257,252,244,235,208,224,114,95.0,65.0,37.0,20.0,,2021-07-10,토요일,3194,하차,신도림,234,5128,2021-12-31
84,33,60,81,103,211,162,178,183,183,166,144,149,127,98,57.0,45.0,25.0,14.0,,2021-07-11,일요일,2103,하차,신도림,234,5688,2021-12-31
126,45,174,252,271,312,317,303,268,292,344,354,336,273,148,111.0,53.0,26.0,17.0,,2021-07-12,월요일,4022,하차,신도림,234,6248,2021-12-31
128,55,167,232,261,267,334,307,329,285,348,341,331,248,159,83.0,66.0,30.0,21.0,,2021-07-13,화요일,3992,하차,신도림,234,6808,2021-12-31
114,52,163,224,246,290,318,289,263,299,358,354,331,269,167,103.0,73.0,36.0,21.0,,2021-07-14,수요일,3970,하차,신도림,234,7368,2021-12-31
116,47,179,233,267,285,337,268,303,286,350,320,308,255,183,123.0,67.0,29.0,19.0,,2021-07-15,목요일,3975,하차,신도림,234,7928,2021-12-31
128,43,156,259,232,268,311,318,284,269,366,370,276,276,179,117.0,57.0,26.0,28.0,,2021-07-16,금요일,3963,하차,신도림,234,8488,2021-12-31
93,50,93,118,126,235,287,272,249,220,200,223,234,162,111,85.0,55.0,24.0,16.0,,2021-07-17,토요일,2853,하차,신도림,234,9048,2021-12-31
70,31,44,55,77,129,153,161,126,163,160,184,159,136,75,81.0,42.0,26.0,15.0,,2021-07-18,일요일,1887,하차,신도림,234,9608,2021-12-31
128,56,174,252,279,339,349,340,320,294,342,332,289,246,164,121.0,61.0,29.0,23.0,,2021-07-19,월요일,4138,하차,신도림,234,10168,2021-12-31
110,47,167,250,256,298,318,340,292,303,351,331,336,264,170,117.0,71.0,36.0,24.0,,2021-07-20,화요일,4081,하차,신도림,234,10728,2021-12-31
121,57,161,271,246,273,294,289,255,247,308,335,333,290,161,117.0,81.0,32.0,24.0,,2021-07-21,수요일,3895,하차,신도림,234,11288,2021-12-31
