06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,수송일자,요일,일일합계,승하차구분,역명,역번호,연번,날짜
37,18,77,100,86,93,108,116,95,111,95,106,108,86,48,32.0,29.0,15.0,11.0,,2021-07-01,목요일,1371,하차,신중동,2756,516,2021-12-31
47,18,58,83,95,100,85,141,84,87,114,131,116,93,53,31.0,30.0,23.0,7.0,,2021-07-02,금요일,1396,하차,신중동,2756,1076,2021-12-31
34,16,36,49,56,63,114,99,89,75,54,69,62,48,31,21.0,26.0,15.0,4.0,,2021-07-03,토요일,961,하차,신중동,2756,1636,2021-12-31
36,10,26,41,34,54,42,62,53,61,69,65,52,44,26,10.0,19.0,7.0,8.0,,2021-07-04,일요일,719,하차,신중동,2756,2196,2021-12-31
41,18,65,84,106,79,98,101,108,111,110,113,96,104,42,26.0,28.0,15.0,7.0,,2021-07-05,월요일,1352,하차,신중동,2756,2756,2021-12-31
43,19,72,80,106,94,122,106,94,115,122,95,137,86,60,34.0,30.0,11.0,5.0,,2021-07-06,화요일,1431,하차,신중동,2756,3316,2021-12-31
38,16,79,90,112,80,140,116,124,100,119,115,120,82,54,26.0,23.0,15.0,9.0,,2021-07-07,수요일,1458,하차,신중동,2756,3876,2021-12-31
40,22,71,89,106,82,78,115,97,96,96,94,114,104,52,38.0,27.0,16.0,5.0,,2021-07-08,목요일,1342,하차,신중동,2756,4436,2021-12-31
36,20,72,87,87,76,113,74,89,110,102,94,89,73,57,35.0,40.0,11.0,13.0,,2021-07-09,금요일,1278,하차,신중동,2756,4996,2021-12-31
34,11,39,51,46,58,65,73,61,64,72,72,79,52,37,26.0,20.0,10.0,6.0,,2021-07-10,토요일,876,하차,신중동,2756,5556,2021-12-31
30,9,25,31,34,45,44,44,48,37,46,51,49,43,22,17.0,19.0,7.0,7.0,,2021-07-11,일요일,608,하차,신중동,2756,6116,2021-12-31
42,17,65,74,96,70,93,65,78,103,96,93,88,93,44,21.0,17.0,13.0,5.0,,2021-07-12,월요일,1173,하차,신중동,2756,6676,2021-12-31
36,18,70,75,99,84,81,70,81,97,105,91,109,83,47,28.0,24.0,9.0,7.0,,2021-07-13,화요일,1214,하차,신중동,2756,7236,2021-12-31
48,17,63,71,94,77,86,69,77,101,90,96,97,85,43,23.0,17.0,16.0,4.0,,2021-07-14,수요일,1174,하차,신중동,2756,7796,2021-12-31
34,25,78,88,104,83,84,53,73,74,66,81,98,78,45,29.0,17.0,14.0,3.0,,2021-07-15,목요일,1127,하차,신중동,2756,8356,2021-12-31
39,16,64,84,92,85,87,74,94,79,85,96,80,88,37,39.0,15.0,9.0,6.0,,2021-07-16,금요일,1169,하차,신중동,2756,8916,2021-12-31
23,13,44,33,43,56,56,63,67,62,73,59,64,43,22,28.0,17.0,8.0,4.0,,2021-07-17,토요일,778,하차,신중동,2756,9476,2021-12-31
22,11,19,29,18,40,34,36,44,38,52,55,49,36,26,15.0,10.0,9.0,5.0,,2021-07-18,일요일,548,하차,신중동,2756,10036,2021-12-31
45,19,72,103,122,106,91,88,100,83,96,82,81,74,36,30.0,21.0,12.0,5.0,,2021-07-19,월요일,1266,하차,신중동,2756,10596,2021-12-31
46,22,70,74,80,102,103,71,93,74,97,85,107,85,50,31.0,18.0,7.0,6.0,,2021-07-20,화요일,1221,하차,신중동,2756,11156,2021-12-31
40,20,72,74,103,74,101,67,95,65,78,100,83,95,40,31.0,18.0,17.0,7.0,,2021-07-21,수요일,1180,하차,신중동,2756,11716,2021-12-31
44,18,58,72,76,80,94,70,68,64,70,99,74,94,46,25.0,18.0,8.0,6.0,,2021-07-22,목요일,1084,하차,신중동,2756,12276,2021-12-31
43,19,74,82,83,84,76,89,89,86,98,85,103,86,53,26.0,24.0,14.0,5.0,,2021-07-23,금요일,1219,하차,신중동,2756,12836,2021-12-31
37,12,48,46,40,64,65,55,64,48,49,61,63,38,37,21.0,15.0,12.0,11.0,,2021-07-24,토요일,786,하차,신중동,2756,13396,2021-12-31
16,8,16,24,24,22,35,43,28,33,44,33,43,40,21,12.0,17.0,8.0,5.0,,2021-07-25,일요일,472,하차,신중동,2756,13956,2021-12-31
52,17,68,85,97,99,91,60,72,79,82,90,108,85,36,34.0,17.0,9.0,8.0,,2021-07-26,월요일,1189,하차,신중동,2756,14516,2021-12-31
36,15,77,79,75,96,92,77,89,97,81,92,83,85,41,34.0,17.0,12.0,9.0,,2021-07-27,화요일,1187,하차,신중동,2756,15076,2021-12-31
50,16,57,89,72,75,90,70,95,85,80,80,98,88,36,22.0,13.0,10.0,7.0,,2021-07-28,수요일,1133,하차,신중동,2756,15636,2021-12-31
39,17,71,72,72,88,92,76,71,71,80,82,97,83,43,24.0,27.0,12.0,4.0,,2021-07-29,목요일,1121,하차,신중동,2756,16196,2021-12-31
42,20,57,74,92,91,101,89,84,89,82,94,81,84,42,26.0,24.0,16.0,7.0,,2021-07-30,금요일,1195,하차,신중동,2756,16756,2021-12-31
27,13,47,31,41,67,71,57,47,64,73,59,73,48,40,31.0,20.0,11.0,4.0,,2021-07-31,토요일,824,하차,신중동,2756,17316,2021-12-31
30,9,24,28,29,34,39,33,44,47,43,40,39,36,28,14.0,9.0,4.0,9.0,,2021-08-01,일요일,539,하차,신중동,2756,17876,2021-12-31
31,16,53,82,87,65,94,87,82,66,118,96,72,88,43,21.0,23.0,14.0,3.0,,2021-08-02,월요일,1141,하차,신중동,2756,18436,2021-12-31
37,16,46,81,68,73,94,69,70,78,80,103,69,73,46,34.0,21.0,8.0,6.0,,2021-08-03,화요일,1072,하차,신중동,2756,18996,2021-12-31
38,18,56,74,69,93,123,79,92,73,79,81,79,86,46,20.0,25.0,8.0,6.0,,2021-08-04,수요일,1145,하차,신중동,2756,19556,2021-12-31
42,18,55,76,79,82,86,81,118,67,84,102,71,105,58,24.0,21.0,7.0,10.0,,2021-08-05,목요일,1186,하차,신중동,2756,20116,2021-12-31
33,15,63,80,74,89,106,74,96,56,89,91,86,78,52,26.0,18.0,12.0,6.0,,2021-08-06,금요일,1144,하차,신중동,2756,20676,2021-12-31
37,10,40,44,49,45,67,59,64,57,55,74,78,49,33,18.0,17.0,8.0,15.0,,2021-08-07,토요일,819,하차,신중동,2756,21236,2021-12-31
23,6,34,29,27,43,46,40,48,43,58,51,54,33,27,7.0,9.0,11.0,8.0,,2021-08-08,일요일,597,하차,신중동,2756,21796,2021-12-31
42,17,64,81,96,73,89,99,86,84,92,108,76,87,41,28.0,23.0,15.0,3.0,,2021-08-09,월요일,1204,하차,신중동,2756,22356,2021-12-31
43,16,67,79,71,102,113,85,102,89,101,107,88,93,52,32.0,13.0,13.0,6.0,,2021-08-10,화요일,1272,하차,신중동,2756,22916,2021-12-31
44,19,63,74,88,74,103,69,75,68,86,85,97,72,44,32.0,22.0,13.0,5.0,,2021-08-11,수요일,1133,하차,신중동,2756,23476,2021-12-31
