06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,수송일자,요일,일일합계,승하차구분,역명,역번호,연번,날짜
41,8,80,88,90,81,74,52,69,77,80,89,74,38,32,27.0,15.0,17.0,6.0,,2021-07-01,목요일,1038,하차,애오개,2531,280,2021-12-31
49,9,70,68,75,71,61,56,56,53,78,76,70,46,36,36.0,20.0,12.0,12.0,,2021-07-02,금요일,954,하차,애오개,2531,840,2021-12-31
31,6,49,35,42,40,62,43,38,42,36,39,31,23,26,18.0,15.0,5.0,4.0,,2021-07-03,토요일,585,하차,애오개,2531,1400,2021-12-31
23,5,11,41,30,47,24,24,28,24,34,36,27,27,21,23.0,11.0,4.0,1.0,,2021-07-04,일요일,441,하차,애오개,2531,1960,2021-12-31
48,7,81,64,72,98,63,79,67,61,98,84,80,54,43,16.0,6.0,14.0,7.0,,2021-07-05,월요일,1042,하차,애오개,2531,2520,2021-12-31
50,11,69,68,83,78,69,64,57,90,80,62,60,62,37,33.0,19.0,10.0,11.0,,2021-07-06,화요일,1013,하차,애오개,2531,3080,2021-12-31
47,8,69,62,68,91,72,68,62,79,76,71,49,43,31,26.0,17.0,7.0,7.0,,2021-07-07,수요일,953,하차,애오개,2531,3640,2021-12-31
52,14,75,75,72,69,62,53,72,71,76,71,69,52,42,23.0,14.0,11.0,4.0,,2021-07-08,목요일,977,하차,애오개,2531,4200,2021-12-31
40,10,66,69,68,73,84,67,66,75,67,46,68,48,37,26.0,13.0,15.0,5.0,,2021-07-09,금요일,943,하차,애오개,2531,4760,2021-12-31
33,9,35,35,30,26,48,33,31,44,28,34,38,25,22,19.0,21.0,16.0,5.0,,2021-07-10,토요일,532,하차,애오개,2531,5320,2021-12-31
18,1,10,27,21,37,23,26,33,23,20,24,19,32,15,17.0,9.0,5.0,1.0,,2021-07-11,일요일,361,하차,애오개,2531,5880,2021-12-31
43,11,85,53,63,75,76,67,58,76,77,57,50,49,37,17.0,12.0,9.0,5.0,,2021-07-12,월요일,920,하차,애오개,2531,6440,2021-12-31
40,5,79,54,60,88,77,51,50,66,68,56,44,47,30,24.0,16.0,12.0,4.0,,2021-07-13,화요일,871,하차,애오개,2531,7000,2021-12-31
46,9,70,58,68,66,53,55,60,56,56,52,61,51,33,20.0,11.0,6.0,7.0,,2021-07-14,수요일,838,하차,애오개,2531,7560,2021-12-31
42,5,78,58,70,60,65,38,55,58,51,60,57,36,22,25.0,9.0,9.0,6.0,,2021-07-15,목요일,804,하차,애오개,2531,8120,2021-12-31
41,10,61,62,71,69,67,53,54,56,77,37,54,46,31,21.0,16.0,10.0,8.0,,2021-07-16,금요일,844,하차,애오개,2531,8680,2021-12-31
29,6,37,32,31,31,37,33,28,30,32,35,43,33,17,18.0,4.0,14.0,5.0,,2021-07-17,토요일,495,하차,애오개,2531,9240,2021-12-31
26,4,10,21,10,18,12,16,23,30,21,19,27,21,22,12.0,7.0,3.0,3.0,,2021-07-18,일요일,305,하차,애오개,2531,9800,2021-12-31
47,5,76,57,67,97,59,59,63,69,70,66,55,31,27,23.0,17.0,3.0,4.0,,2021-07-19,월요일,895,하차,애오개,2531,10360,2021-12-31
46,9,70,59,62,69,69,36,50,64,67,52,44,52,19,20.0,17.0,11.0,11.0,,2021-07-20,화요일,827,하차,애오개,2531,10920,2021-12-31
44,4,74,55,82,74,46,33,48,50,51,71,40,45,26,24.0,15.0,7.0,7.0,,2021-07-21,수요일,796,하차,애오개,2531,11480,2021-12-31
52,11,72,59,70,71,62,54,51,41,61,45,64,39,29,32.0,12.0,8.0,5.0,,2021-07-22,목요일,838,하차,애오개,2531,12040,2021-12-31
44,7,61,58,63,65,59,40,42,58,62,62,54,38,32,16.0,14.0,7.0,10.0,,2021-07-23,금요일,792,하차,애오개,2531,12600,2021-12-31
36,7,25,33,28,27,32,26,22,33,19,20,32,32,13,19.0,16.0,14.0,6.0,,2021-07-24,토요일,440,하차,애오개,2531,13160,2021-12-31
28,3,13,12,17,19,16,15,15,22,24,16,25,33,19,16.0,8.0,10.0,3.0,,2021-07-25,일요일,314,하차,애오개,2531,13720,2021-12-31
55,9,70,63,71,70,40,54,41,52,73,51,50,41,25,19.0,15.0,10.0,9.0,,2021-07-26,월요일,818,하차,애오개,2531,14280,2021-12-31
44,8,63,63,54,71,65,40,37,50,67,45,52,52,24,20.0,19.0,5.0,6.0,,2021-07-27,화요일,785,하차,애오개,2531,14840,2021-12-31
57,9,64,61,57,67,43,39,46,57,51,48,47,45,33,18.0,12.0,9.0,6.0,,2021-07-28,수요일,769,하차,애오개,2531,15400,2021-12-31
46,8,65,53,62,64,56,54,44,50,62,38,51,53,23,18.0,15.0,7.0,6.0,,2021-07-29,목요일,775,하차,애오개,2531,15960,2021-12-31
49,13,58,62,65,60,56,46,52,48,72,56,48,55,34,20.0,11.0,11.0,8.0,,2021-07-30,금요일,824,하차,애오개,2531,16520,2021-12-31
37,4,34,27,28,30,27,33,38,25,18,35,37,35,27,18.0,10.0,5.0,2.0,,2021-07-31,토요일,470,하차,애오개,2531,17080,2021-12-31
26,4,9,18,21,21,20,25,13,30,32,21,28,25,20,21.0,8.0,3.0,3.0,,2021-08-01,일요일,348,하차,애오개,2531,17640,2021-12-31
48,5,59,53,56,49,45,46,54,56,79,56,51,32,27,20.0,17.0,6.0,5.0,,2021-08-02,월요일,764,하차,애오개,2531,18200,2021-12-31
46,8,58,53,44,45,50,45,36,63,62,53,53,51,30,24.0,15.0,13.0,8.0,,2021-08-03,화요일,757,하차,애오개,2531,18760,2021-12-31
47,4,57,45,47,48,50,53,41,35,55,46,56,39,34,23.0,13.0,5.0,6.0,,2021-08-04,수요일,704,하차,애오개,2531,19320,2021-12-31
