06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,수송일자,요일,일일합계,승하차구분,역명,역번호,연번,날짜
59,12,81,96,125,148,170,159,147,188,190,177,183,153,81,74.0,43.0,34.0,14.0,,2021-07-01,목요일,2134,하차,약수,323,148,2021-12-31
20,4,27,44,45,53,71,42,54,42,48,41,39,37,21,16.0,10.0,8.0,6.0,,2021-07-01,목요일,628,하차,약수,2634,396,2021-12-31
61,20,70,80,109,163,163,175,142,170,215,190,195,151,84,49.0,47.0,38.0,15.0,,2021-07-02,금요일,2137,하차,약수,323,708,2021-12-31
15,4,22,58,41,52,69,40,53,54,49,32,44,47,22,18.0,13.0,10.0,4.0,,2021-07-02,금요일,647,하차,약수,2634,956,2021-12-31
48,6,57,57,79,115,163,155,99,108,129,109,124,80,60,36.0,36.0,23.0,3.0,,2021-07-03,토요일,1487,하차,약수,323,1268,2021-12-31
10,5,17,21,27,34,38,43,27,48,53,31,26,23,12,11.0,6.0,3.0,5.0,,2021-07-03,토요일,440,하차,약수,2634,1516,2021-12-31
39,10,40,71,52,83,90,93,79,91,88,85,80,76,43,39.0,28.0,14.0,12.0,,2021-07-04,일요일,1113,하차,약수,323,1828,2021-12-31
7,1,10,13,10,27,20,29,20,17,38,34,21,18,4,9.0,7.0,5.0,3.0,,2021-07-04,일요일,293,하차,약수,2634,2076,2021-12-31
69,12,71,81,126,160,190,185,161,202,199,217,186,162,76,44.0,44.0,27.0,9.0,,2021-07-05,월요일,2221,하차,약수,323,2388,2021-12-31
16,1,32,48,45,66,69,52,46,53,58,41,52,47,20,11.0,8.0,4.0,2.0,,2021-07-05,월요일,671,하차,약수,2634,2636,2021-12-31
61,19,80,85,128,153,173,169,169,195,213,203,194,141,92,56.0,47.0,24.0,14.0,,2021-07-06,화요일,2216,하차,약수,323,2948,2021-12-31
24,6,21,39,58,57,56,46,46,49,65,40,55,45,19,12.0,10.0,5.0,3.0,,2021-07-06,화요일,656,하차,약수,2634,3196,2021-12-31
58,15,69,93,124,128,188,169,162,195,179,181,206,142,67,66.0,44.0,27.0,12.0,,2021-07-07,수요일,2125,하차,약수,323,3508,2021-12-31
17,2,24,57,57,71,52,36,53,46,50,39,34,41,20,13.0,9.0,6.0,2.0,,2021-07-07,수요일,629,하차,약수,2634,3756,2021-12-31
63,18,74,74,126,138,150,174,127,164,154,187,173,128,71,46.0,47.0,24.0,15.0,,2021-07-08,목요일,1953,하차,약수,323,4068,2021-12-31
17,5,24,39,41,46,47,46,36,50,52,41,42,36,19,12.0,10.0,4.0,3.0,,2021-07-08,목요일,570,하차,약수,2634,4316,2021-12-31
53,12,70,99,130,137,197,172,138,186,169,211,160,122,79,57.0,59.0,35.0,12.0,,2021-07-09,금요일,2098,하차,약수,323,4628,2021-12-31
18,3,22,44,53,57,65,45,40,50,46,61,55,24,16,12.0,10.0,10.0,5.0,,2021-07-09,금요일,636,하차,약수,2634,4876,2021-12-31
45,14,46,56,79,92,117,120,106,113,85,121,114,100,53,52.0,35.0,21.0,8.0,,2021-07-10,토요일,1377,하차,약수,323,5188,2021-12-31
9,4,16,15,24,35,33,32,17,20,31,37,32,24,12,15.0,9.0,6.0,2.0,,2021-07-10,토요일,373,하차,약수,2634,5436,2021-12-31
36,11,39,66,36,60,88,74,90,61,66,69,81,62,47,42.0,27.0,9.0,5.0,,2021-07-11,일요일,969,하차,약수,323,5748,2021-12-31
6,0,6,15,11,15,19,26,20,30,25,32,24,18,5,9.0,3.0,6.0,2.0,,2021-07-11,일요일,272,하차,약수,2634,5996,2021-12-31
55,22,76,79,114,133,159,129,122,153,143,196,174,125,62,32.0,33.0,22.0,11.0,,2021-07-12,월요일,1840,하차,약수,323,6308,2021-12-31
20,3,28,43,37,38,44,36,43,47,38,37,40,29,19,7.0,7.0,4.0,4.0,,2021-07-12,월요일,524,하차,약수,2634,6556,2021-12-31
53,19,63,83,111,144,166,144,106,146,152,185,162,153,61,46.0,34.0,21.0,5.0,,2021-07-13,화요일,1854,하차,약수,323,6868,2021-12-31
16,3,37,51,47,50,57,33,34,34,58,42,47,25,19,11.0,10.0,5.0,3.0,,2021-07-13,화요일,582,하차,약수,2634,7116,2021-12-31
62,16,71,78,108,153,144,129,127,146,147,165,152,131,74,53.0,38.0,16.0,8.0,,2021-07-14,수요일,1818,하차,약수,323,7428,2021-12-31
16,3,31,40,39,35,51,40,38,30,40,43,33,42,19,5.0,9.0,4.0,3.0,,2021-07-14,수요일,521,하차,약수,2634,7676,2021-12-31
64,18,65,71,113,149,131,127,131,122,140,182,160,130,65,50.0,41.0,18.0,12.0,,2021-07-15,목요일,1789,하차,약수,323,7988,2021-12-31
16,2,30,37,42,54,46,44,38,40,66,26,38,32,15,11.0,8.0,7.0,2.0,,2021-07-15,목요일,554,하차,약수,2634,8236,2021-12-31
55,16,66,72,136,121,141,127,121,132,153,164,158,119,89,50.0,40.0,19.0,6.0,,2021-07-16,금요일,1785,하차,약수,323,8548,2021-12-31
23,6,21,47,49,47,41,31,34,36,56,40,53,29,21,8.0,7.0,5.0,3.0,,2021-07-16,금요일,557,하차,약수,2634,8796,2021-12-31
42,6,55,43,74,81,126,98,70,94,96,92,99,92,62,40.0,35.0,18.0,5.0,,2021-07-17,토요일,1228,하차,약수,323,9108,2021-12-31
12,3,17,30,21,23,34,42,31,27,25,35,24,23,15,11.0,8.0,6.0,3.0,,2021-07-17,토요일,390,하차,약수,2634,9356,2021-12-31
41,9,27,23,34,44,52,59,61,69,67,60,90,71,51,25.0,33.0,19.0,10.0,,2021-07-18,일요일,845,하차,약수,323,9668,2021-12-31
6,2,9,2,1,18,24,25,19,20,34,23,23,21,7,12.0,6.0,2.0,3.0,,2021-07-18,일요일,257,하차,약수,2634,9916,2021-12-31
68,14,70,80,120,162,147,114,135,129,163,188,156,134,61,45.0,37.0,19.0,3.0,,2021-07-19,월요일,1845,하차,약수,323,10228,2021-12-31
17,1,26,44,47,66,47,27,53,35,55,27,40,32,17,13.0,5.0,2.0,2.0,,2021-07-19,월요일,556,하차,약수,2634,10476,2021-12-31
58,20,66,90,98,159,141,147,125,126,187,189,161,131,80,43.0,29.0,28.0,10.0,,2021-07-20,화요일,1888,하차,약수,323,10788,2021-12-31
21,4,31,49,43,45,44,41,35,35,58,31,46,27,19,8.0,11.0,7.0,3.0,,2021-07-20,화요일,558,하차,약수,2634,11036,2021-12-31
