06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,수송일자,요일,일일합계,승하차구분,역명,역번호,연번,날짜
82,26,58,80,85,81,68,71,86,92,80,71,57,49,28,17.0,5.0,7.0,4.0,,2021-07-01,목요일,1047,하차,어린이대공원(세종대),2728,460,2021-12-31
85,23,40,79,88,69,87,63,76,75,75,86,62,53,37,25.0,7.0,9.0,2.0,,2021-07-02,금요일,1041,하차,어린이대공원(세종대),2728,1020,2021-12-31
58,20,33,57,55,63,49,46,56,52,33,61,43,31,18,10.0,9.0,3.0,6.0,,2021-07-03,토요일,703,하차,어린이대공원(세종대),2728,1580,2021-12-31
18,10,18,23,39,55,25,31,41,30,43,36,32,11,24,9.0,12.0,5.0,4.0,,2021-07-04,일요일,466,하차,어린이대공원(세종대),2728,2140,2021-12-31
84,28,53,82,79,93,62,75,81,78,98,95,72,46,24,19.0,15.0,6.0,2.0,,2021-07-05,월요일,1092,하차,어린이대공원(세종대),2728,2700,2021-12-31
89,25,46,76,78,74,72,63,80,82,64,75,59,55,34,18.0,11.0,5.0,3.0,,2021-07-06,화요일,1009,하차,어린이대공원(세종대),2728,3260,2021-12-31
85,27,46,88,73,94,59,72,65,62,72,91,61,55,26,19.0,23.0,5.0,2.0,,2021-07-07,수요일,1025,하차,어린이대공원(세종대),2728,3820,2021-12-31
78,26,49,81,78,84,76,57,79,54,72,73,56,53,22,18.0,21.0,4.0,2.0,,2021-07-08,목요일,983,하차,어린이대공원(세종대),2728,4380,2021-12-31
81,27,48,78,70,76,71,58,94,63,80,79,66,53,30,20.0,17.0,11.0,3.0,,2021-07-09,금요일,1025,하차,어린이대공원(세종대),2728,4940,2021-12-31
58,14,29,42,46,42,48,50,41,46,46,46,46,26,18,17.0,8.0,11.0,4.0,,2021-07-10,토요일,638,하차,어린이대공원(세종대),2728,5500,2021-12-31
30,16,17,44,40,53,29,29,38,38,46,44,42,26,17,11.0,12.0,4.0,0.0,,2021-07-11,일요일,536,하차,어린이대공원(세종대),2728,6060,2021-12-31
83,20,51,70,75,76,60,47,63,61,71,82,50,42,27,19.0,10.0,5.0,0.0,,2021-07-12,월요일,912,하차,어린이대공원(세종대),2728,6620,2021-12-31
84,23,46,79,66,47,46,65,69,52,68,70,55,43,30,16.0,13.0,6.0,4.0,,2021-07-13,화요일,882,하차,어린이대공원(세종대),2728,7180,2021-12-31
84,21,45,71,54,58,46,69,68,64,74,66,60,39,24,22.0,6.0,6.0,0.0,,2021-07-14,수요일,877,하차,어린이대공원(세종대),2728,7740,2021-12-31
89,25,49,74,46,74,56,61,45,60,70,69,59,44,26,18.0,8.0,4.0,1.0,,2021-07-15,목요일,878,하차,어린이대공원(세종대),2728,8300,2021-12-31
81,23,53,56,53,64,56,54,62,55,75,70,70,46,36,14.0,10.0,2.0,1.0,,2021-07-16,금요일,881,하차,어린이대공원(세종대),2728,8860,2021-12-31
59,19,25,45,38,37,37,31,39,47,37,57,37,22,25,23.0,14.0,5.0,2.0,,2021-07-17,토요일,599,하차,어린이대공원(세종대),2728,9420,2021-12-31
19,11,17,34,30,29,23,23,38,38,37,33,41,36,32,14.0,7.0,7.0,2.0,,2021-07-18,일요일,471,하차,어린이대공원(세종대),2728,9980,2021-12-31
82,25,61,54,57,75,48,67,62,55,63,67,49,43,18,21.0,6.0,3.0,1.0,,2021-07-19,월요일,857,하차,어린이대공원(세종대),2728,10540,2021-12-31
83,24,47,54,52,62,64,49,65,74,62,63,65,49,28,14.0,5.0,5.0,5.0,,2021-07-20,화요일,870,하차,어린이대공원(세종대),2728,11100,2021-12-31
85,25,50,58,49,51,53,53,58,38,67,68,57,34,20,29.0,6.0,6.0,0.0,,2021-07-21,수요일,807,하차,어린이대공원(세종대),2728,11660,2021-12-31
85,20,51,60,67,42,58,56,57,62,85,50,54,35,27,13.0,7.0,4.0,2.0,,2021-07-22,목요일,835,하차,어린이대공원(세종대),2728,12220,2021-12-31
85,27,57,60,50,48,46,56,41,45,64,64,58,37,38,24.0,19.0,4.0,1.0,,2021-07-23,금요일,824,하차,어린이대공원(세종대),2728,12780,2021-12-31
49,23,34,44,33,40,42,37,43,28,37,42,34,30,24,22.0,16.0,6.0,4.0,,2021-07-24,토요일,588,하차,어린이대공원(세종대),2728,13340,2021-12-31
28,16,28,27,27,30,31,26,33,23,34,29,34,34,15,17.0,7.0,2.0,1.0,,2021-07-25,일요일,442,하차,어린이대공원(세종대),2728,13900,2021-12-31
76,28,56,56,75,57,47,88,54,46,59,53,64,45,31,30.0,18.0,4.0,3.0,,2021-07-26,월요일,890,하차,어린이대공원(세종대),2728,14460,2021-12-31
82,27,55,66,63,55,47,59,51,44,62,65,59,46,27,21.0,15.0,8.0,2.0,,2021-07-27,화요일,854,하차,어린이대공원(세종대),2728,15020,2021-12-31
82,23,49,67,65,60,61,49,62,57,76,70,60,43,26,20.0,10.0,2.0,3.0,,2021-07-28,수요일,885,하차,어린이대공원(세종대),2728,15580,2021-12-31
89,26,53,63,50,61,61,56,27,64,67,51,48,42,35,21.0,10.0,6.0,3.0,,2021-07-29,목요일,833,하차,어린이대공원(세종대),2728,16140,2021-12-31
85,26,50,52,49,64,56,49,50,63,71,59,54,56,23,27.0,12.0,8.0,0.0,,2021-07-30,금요일,854,하차,어린이대공원(세종대),2728,16700,2021-12-31
64,19,30,44,41,42,40,35,38,41,47,42,40,34,21,15.0,8.0,9.0,0.0,,2021-07-31,토요일,610,하차,어린이대공원(세종대),2728,17260,2021-12-31
26,11,21,32,26,37,31,25,36,26,32,35,26,31,17,13.0,7.0,5.0,4.0,,2021-08-01,일요일,441,하차,어린이대공원(세종대),2728,17820,2021-12-31
78,25,56,53,53,65,53,54,44,59,70,54,52,37,29,13.0,11.0,5.0,1.0,,2021-08-02,월요일,812,하차,어린이대공원(세종대),2728,18380,2021-12-31
75,24,47,59,52,60,51,53,58,60,65,51,56,41,30,21.0,20.0,7.0,2.0,,2021-08-03,화요일,832,하차,어린이대공원(세종대),2728,18940,2021-12-31
83,22,46,64,45,46,52,55,48,51,80,72,45,36,40,21.0,13.0,7.0,1.0,,2021-08-04,수요일,827,하차,어린이대공원(세종대),2728,19500,2021-12-31
84,23,46,66,48,58,59,54,48,48,72,61,50,39,29,14.0,10.0,2.0,3.0,,2021-08-05,목요일,814,하차,어린이대공원(세종대),2728,20060,2021-12-31
69,29,49,65,45,50,59,48,49,42,74,73,60,45,32,22.0,6.0,4.0,4.0,,2021-08-06,금요일,825,하차,어린이대공원(세종대),2728,20620,2021-12-31
52,20,32,43,45,47,44,51,43,36,48,45,40,35,18,16.0,8.0,7.0,3.0,,2021-08-07,토요일,633,하차,어린이대공원(세종대),2728,21180,2021-12-31
29,14,30,31,38,32,32,33,40,34,44,42,36,32,23,7.0,6.0,7.0,1.0,,2021-08-08,일요일,511,하차,어린이대공원(세종대),2728,21740,2021-12-31
81,22,50,71,55,65,50,65,50,56,73,70,71,41,22,22.0,7.0,8.0,0.0,,2021-08-09,월요일,879,하차,어린이대공원(세종대),2728,22300,2021-12-31
80,20,51,61,57,62,45,53,47,55,70,66,54,43,33,21.0,14.0,7.0,2.0,,2021-08-10,화요일,841,하차,어린이대공원(세종대),2728,22860,2021-12-31
82,18,53,63,55,52,55,55,50,57,72,70,47,45,32,25.0,15.0,4.0,3.0,,2021-08-11,수요일,853,하차,어린이대공원(세종대),2728,23420,2021-12-31
84,24,44,68,49,58,55,41,66,65,81,66,51,45,23,15.0,6.0,4.0,3.0,,2021-08-12,목요일,848,하차,어린이대공원(세종대),2728,23980,2021-12-31
80,20,48,65,54,61,68,64,62,55,72,76,59,41,28,19.0,7.0,2.0,2.0,,2021-08-13,금요일,883,하차,어린이대공원(세종대),2728,24540,2021-12-31
56,21,31,42,33,60,47,41,55,55,47,54,25,29,22,15.0,4.0,4.0,2.0,,2021-08-14,토요일,643,하차,어린이대공원(세종대),2728,25100,2021-12-31
31,13,41,30,44,46,31,35,38,39,48,43,44,35,27,16.0,6.0,3.0,0.0,,2021-08-15,일요일,570,하차,어린이대공원(세종대),2728,25660,2021-12-31
48,21,43,43,37,67,54,68,42,46,52,63,44,22,23,18.0,16.0,5.0,2.0,,2021-08-16,월요일,714,하차,어린이대공원(세종대),2728,26220,2021-12-31
70,22,60,47,61,66,64,64,46,63,85,53,65,45,30,18.0,11.0,7.0,2.0,,2021-08-17,화요일,879,하차,어린이대공원(세종대),2728,26780,2021-12-31
73,27,63,67,51,58,63,62,68,73,81,68,61,52,32,24.0,13.0,3.0,2.0,,2021-08-18,수요일,941,하차,어린이대공원(세종대),2728,27340,2021-12-31
84,20,54,56,57,47,71,60,50,75,75,85,61,29,23,20.0,8.0,10.0,1.0,,2021-08-19,목요일,886,하차,어린이대공원(세종대),2728,27900,2021-12-31
71,24,49,73,66,76,72,69,80,58,86,76,64,45,31,23.0,9.0,5.0,3.0,,2021-08-20,금요일,980,하차,어린이대공원(세종대),2728,28460,2021-12-31
