06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,수송일자,요일,일일합계,승하차구분,역명,역번호,연번,날짜
87,29,89,132,127,116,93,93,101,91,54,66,49,37,21,30.0,15.0,5.0,3.0,,2021-07-01,목요일,1238,하차,여의도,2527,272,2021-12-31
85,33,87,129,115,121,96,96,98,76,83,66,50,44,19,29.0,16.0,7.0,11.0,,2021-07-02,금요일,1261,하차,여의도,2527,832,2021-12-31
44,27,46,44,51,65,53,77,48,42,43,37,47,18,18,3.0,7.0,3.0,1.0,,2021-07-03,토요일,674,하차,여의도,2527,1392,2021-12-31
43,18,47,41,59,34,37,40,36,30,34,23,14,22,11,12.0,7.0,3.0,1.0,,2021-07-04,일요일,512,하차,여의도,2527,1952,2021-12-31
85,31,91,124,128,138,87,87,104,108,85,77,67,46,27,21.0,12.0,4.0,4.0,,2021-07-05,월요일,1326,하차,여의도,2527,2512,2021-12-31
103,24,100,134,143,121,110,82,108,84,70,62,59,38,27,22.0,16.0,9.0,3.0,,2021-07-06,화요일,1315,하차,여의도,2527,3072,2021-12-31
88,37,86,108,129,117,79,97,79,79,81,63,54,32,10,17.0,13.0,7.0,1.0,,2021-07-07,수요일,1177,하차,여의도,2527,3632,2021-12-31
90,32,89,132,113,91,98,84,94,97,59,60,44,35,21,17.0,17.0,5.0,9.0,,2021-07-08,목요일,1187,하차,여의도,2527,4192,2021-12-31
74,30,85,114,101,101,56,68,87,73,46,46,39,32,15,16.0,7.0,12.0,6.0,,2021-07-09,금요일,1008,하차,여의도,2527,4752,2021-12-31
43,17,52,31,48,59,57,49,34,43,32,28,30,15,9,3.0,10.0,2.0,0.0,,2021-07-10,토요일,562,하차,여의도,2527,5312,2021-12-31
28,17,48,25,49,17,23,33,28,28,18,14,15,12,12,17.0,8.0,4.0,0.0,,2021-07-11,일요일,396,하차,여의도,2527,5872,2021-12-31
84,31,93,119,107,92,72,67,92,64,57,46,37,26,24,14.0,11.0,2.0,2.0,,2021-07-12,월요일,1040,하차,여의도,2527,6432,2021-12-31
81,31,77,124,127,97,72,61,79,88,50,52,38,30,14,16.0,6.0,6.0,2.0,,2021-07-13,화요일,1051,하차,여의도,2527,6992,2021-12-31
81,29,85,109,94,93,64,59,72,86,56,46,46,29,22,17.0,10.0,2.0,3.0,,2021-07-14,수요일,1003,하차,여의도,2527,7552,2021-12-31
74,29,77,107,99,87,79,62,82,73,43,56,33,39,20,15.0,11.0,5.0,3.0,,2021-07-15,목요일,994,하차,여의도,2527,8112,2021-12-31
81,31,104,95,97,94,69,67,65,68,42,39,41,32,19,14.0,9.0,6.0,5.0,,2021-07-16,금요일,978,하차,여의도,2527,8672,2021-12-31
50,20,36,30,37,32,50,44,29,29,32,19,22,18,12,9.0,8.0,2.0,1.0,,2021-07-17,토요일,480,하차,여의도,2527,9232,2021-12-31
26,13,25,21,25,11,12,27,34,15,15,16,18,20,14,13.0,6.0,4.0,1.0,,2021-07-18,일요일,316,하차,여의도,2527,9792,2021-12-31
76,36,88,107,104,84,71,84,82,87,60,41,27,36,19,12.0,6.0,2.0,2.0,,2021-07-19,월요일,1024,하차,여의도,2527,10352,2021-12-31
93,26,80,125,129,102,77,81,70,80,66,54,32,35,18,13.0,11.0,4.0,3.0,,2021-07-20,화요일,1099,하차,여의도,2527,10912,2021-12-31
71,32,74,96,87,91,64,89,61,79,51,40,48,30,14,22.0,10.0,4.0,2.0,,2021-07-21,수요일,965,하차,여의도,2527,11472,2021-12-31
85,29,87,107,99,85,68,88,68,88,53,47,42,34,24,10.0,13.0,6.0,4.0,,2021-07-22,목요일,1037,하차,여의도,2527,12032,2021-12-31
72,31,83,106,111,98,59,51,93,73,51,43,34,41,16,14.0,4.0,8.0,2.0,,2021-07-23,금요일,990,하차,여의도,2527,12592,2021-12-31
49,16,34,30,34,52,46,42,29,41,23,28,19,13,12,12.0,9.0,2.0,2.0,,2021-07-24,토요일,493,하차,여의도,2527,13152,2021-12-31
23,11,20,14,19,14,24,20,40,19,14,17,14,5,13,10.0,9.0,3.0,0.0,,2021-07-25,일요일,289,하차,여의도,2527,13712,2021-12-31
81,32,78,114,117,116,87,80,87,80,57,56,47,27,20,15.0,4.0,1.0,1.0,,2021-07-26,월요일,1100,하차,여의도,2527,14272,2021-12-31
79,27,93,107,106,106,74,75,89,74,63,45,36,31,16,12.0,13.0,2.0,4.0,,2021-07-27,화요일,1052,하차,여의도,2527,14832,2021-12-31
85,31,89,89,104,101,84,78,93,81,65,51,40,31,17,13.0,7.0,6.0,5.0,,2021-07-28,수요일,1070,하차,여의도,2527,15392,2021-12-31
79,30,84,105,83,98,64,83,78,83,51,47,32,34,20,17.0,7.0,5.0,3.0,,2021-07-29,목요일,1003,하차,여의도,2527,15952,2021-12-31
78,26,71,102,88,87,79,65,85,91,61,42,44,38,17,9.0,5.0,5.0,4.0,,2021-07-30,금요일,997,하차,여의도,2527,16512,2021-12-31
51,20,40,24,27,31,32,33,34,39,27,27,30,35,15,2.0,9.0,5.0,4.0,,2021-07-31,토요일,485,하차,여의도,2527,17072,2021-12-31
32,9,15,17,18,24,20,21,31,21,23,25,10,15,8,7.0,7.0,3.0,0.0,,2021-08-01,일요일,306,하차,여의도,2527,17632,2021-12-31
74,31,75,106,105,93,69,73,98,80,58,40,28,30,17,20.0,6.0,6.0,3.0,,2021-08-02,월요일,1012,하차,여의도,2527,18192,2021-12-31
79,28,82,104,122,118,94,88,80,79,55,36,41,29,15,14.0,12.0,4.0,6.0,,2021-08-03,화요일,1086,하차,여의도,2527,18752,2021-12-31
79,32,73,94,88,95,67,88,77,75,45,43,46,31,17,15.0,10.0,5.0,3.0,,2021-08-04,수요일,983,하차,여의도,2527,19312,2021-12-31
81,33,92,98,106,103,80,81,97,91,51,35,44,30,19,9.0,15.0,6.0,3.0,,2021-08-05,목요일,1074,하차,여의도,2527,19872,2021-12-31
83,36,79,97,88,80,72,80,68,76,58,39,48,30,25,12.0,6.0,5.0,3.0,,2021-08-06,금요일,985,하차,여의도,2527,20432,2021-12-31
45,17,48,30,35,42,44,54,34,35,34,29,16,27,9,7.0,7.0,1.0,2.0,,2021-08-07,토요일,516,하차,여의도,2527,20992,2021-12-31
19,11,19,17,20,27,28,30,34,29,22,20,16,16,6,8.0,8.0,3.0,1.0,,2021-08-08,일요일,334,하차,여의도,2527,21552,2021-12-31
82,32,86,99,120,133,73,77,97,86,64,55,60,35,13,13.0,6.0,3.0,2.0,,2021-08-09,월요일,1136,하차,여의도,2527,22112,2021-12-31
73,30,85,99,103,109,101,93,109,89,60,44,48,45,14,16.0,12.0,5.0,3.0,,2021-08-10,화요일,1138,하차,여의도,2527,22672,2021-12-31
87,28,71,108,93,101,94,95,80,104,68,50,44,32,22,13.0,8.0,2.0,4.0,,2021-08-11,수요일,1104,하차,여의도,2527,23232,2021-12-31
71,29,84,95,106,103,79,91,78,85,69,44,51,43,12,17.0,8.0,4.0,3.0,,2021-08-12,목요일,1072,하차,여의도,2527,23792,2021-12-31
80,25,79,85,86,106,78,92,83,80,64,54,47,43,17,18.0,13.0,5.0,2.0,,2021-08-13,금요일,1057,하차,여의도,2527,24352,2021-12-31
51,21,43,35,29,45,43,41,39,41,33,17,15,24,22,7.0,2.0,2.0,2.0,,2021-08-14,토요일,512,하차,여의도,2527,24912,2021-12-31
