06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,수송일자,요일,일일합계,승하차구분,역명,역번호,연번,날짜
70,14,79,153,140,139,133,126,157,141,146,84,83,44,12,26.0,11.0,11.0,2.0,,2021-07-01,목요일,1571,하차,영등포시장,2525,268,2021-12-31
78,18,80,131,128,142,153,138,112,123,124,107,78,44,21,24.0,18.0,13.0,3.0,,2021-07-02,금요일,1535,하차,영등포시장,2525,828,2021-12-31
50,18,44,53,104,106,130,139,110,120,75,61,42,32,15,11.0,7.0,5.0,2.0,,2021-07-03,토요일,1124,하차,영등포시장,2525,1388,2021-12-31
27,7,21,37,62,70,48,69,100,70,58,43,23,17,16,15.0,8.0,6.0,4.0,,2021-07-04,일요일,701,하차,영등포시장,2525,1948,2021-12-31
68,17,79,158,168,146,168,150,181,158,148,112,69,37,24,18.0,15.0,6.0,3.0,,2021-07-05,월요일,1725,하차,영등포시장,2525,2508,2021-12-31
90,18,73,142,158,170,171,170,146,140,151,123,58,50,23,21.0,12.0,11.0,4.0,,2021-07-06,화요일,1731,하차,영등포시장,2525,3068,2021-12-31
68,17,79,135,140,141,140,148,150,131,113,101,63,55,23,18.0,19.0,6.0,5.0,,2021-07-07,수요일,1552,하차,영등포시장,2525,3628,2021-12-31
77,17,71,142,142,144,136,128,137,125,112,89,71,45,20,14.0,18.0,8.0,3.0,,2021-07-08,목요일,1499,하차,영등포시장,2525,4188,2021-12-31
67,16,75,119,149,135,144,130,134,149,117,92,61,41,30,22.0,13.0,13.0,0.0,,2021-07-09,금요일,1507,하차,영등포시장,2525,4748,2021-12-31
54,25,38,66,98,121,142,119,93,94,83,55,54,33,23,9.0,1.0,5.0,3.0,,2021-07-10,토요일,1116,하차,영등포시장,2525,5308,2021-12-31
26,5,12,42,56,64,58,83,66,63,47,42,34,22,19,15.0,10.0,6.0,1.0,,2021-07-11,일요일,671,하차,영등포시장,2525,5868,2021-12-31
72,20,81,130,149,157,131,111,132,119,102,96,64,46,28,11.0,9.0,12.0,0.0,,2021-07-12,월요일,1470,하차,영등포시장,2525,6428,2021-12-31
58,20,82,111,150,133,130,116,103,124,96,84,64,46,23,11.0,8.0,5.0,3.0,,2021-07-13,화요일,1367,하차,영등포시장,2525,6988,2021-12-31
70,20,84,116,129,130,117,108,107,100,99,100,62,38,32,20.0,9.0,10.0,2.0,,2021-07-14,수요일,1353,하차,영등포시장,2525,7548,2021-12-31
70,17,76,110,135,130,154,94,100,121,99,76,69,38,18,15.0,17.0,10.0,0.0,,2021-07-15,목요일,1349,하차,영등포시장,2525,8108,2021-12-31
71,25,93,104,141,142,127,117,82,111,107,84,59,54,21,19.0,13.0,7.0,4.0,,2021-07-16,금요일,1381,하차,영등포시장,2525,8668,2021-12-31
58,17,43,68,88,107,95,114,78,92,79,57,62,28,19,12.0,10.0,9.0,2.0,,2021-07-17,토요일,1038,하차,영등포시장,2525,9228,2021-12-31
30,5,17,35,45,43,50,48,61,63,45,34,29,22,20,6.0,13.0,3.0,1.0,,2021-07-18,일요일,570,하차,영등포시장,2525,9788,2021-12-31
61,19,86,139,154,144,132,92,122,102,122,75,57,39,20,15.0,12.0,7.0,0.0,,2021-07-19,월요일,1398,하차,영등포시장,2525,10348,2021-12-31
73,21,82,116,163,153,138,124,96,130,95,77,54,41,24,15.0,9.0,9.0,5.0,,2021-07-20,화요일,1425,하차,영등포시장,2525,10908,2021-12-31
65,19,85,115,142,140,129,111,104,92,109,59,77,31,24,19.0,10.0,2.0,4.0,,2021-07-21,수요일,1337,하차,영등포시장,2525,11468,2021-12-31
74,22,75,110,141,150,114,112,86,91,88,85,63,41,22,13.0,17.0,9.0,3.0,,2021-07-22,목요일,1316,하차,영등포시장,2525,12028,2021-12-31
64,17,80,107,139,132,123,110,115,100,109,87,63,36,21,15.0,12.0,6.0,2.0,,2021-07-23,금요일,1338,하차,영등포시장,2525,12588,2021-12-31
61,24,48,67,95,81,99,85,77,73,47,52,51,34,22,15.0,4.0,7.0,2.0,,2021-07-24,토요일,944,하차,영등포시장,2525,13148,2021-12-31
24,8,15,22,40,52,46,42,51,54,44,52,26,23,19,13.0,11.0,3.0,5.0,,2021-07-25,일요일,550,하차,영등포시장,2525,13708,2021-12-31
80,24,88,126,158,145,129,133,99,96,107,83,58,44,28,14.0,14.0,12.0,2.0,,2021-07-26,월요일,1440,하차,영등포시장,2525,14268,2021-12-31
63,22,75,123,152,152,122,133,111,90,96,77,65,35,30,15.0,9.0,9.0,2.0,,2021-07-27,화요일,1381,하차,영등포시장,2525,14828,2021-12-31
74,22,81,123,146,171,96,135,115,119,101,80,53,36,21,15.0,14.0,7.0,1.0,,2021-07-28,수요일,1410,하차,영등포시장,2525,15388,2021-12-31
64,22,88,125,125,108,135,114,100,124,93,75,69,37,29,16.0,9.0,7.0,3.0,,2021-07-29,목요일,1343,하차,영등포시장,2525,15948,2021-12-31
68,21,84,135,137,133,134,106,113,90,105,89,51,36,26,14.0,12.0,9.0,2.0,,2021-07-30,금요일,1365,하차,영등포시장,2525,16508,2021-12-31
47,18,36,61,97,103,112,116,79,85,56,55,46,32,18,5.0,7.0,2.0,3.0,,2021-07-31,토요일,978,하차,영등포시장,2525,17068,2021-12-31
30,10,14,24,44,51,51,54,53,54,44,29,38,26,22,9.0,8.0,5.0,3.0,,2021-08-01,일요일,569,하차,영등포시장,2525,17628,2021-12-31
61,16,63,135,137,159,142,122,136,116,96,76,56,28,28,12.0,12.0,11.0,2.0,,2021-08-02,월요일,1408,하차,영등포시장,2525,18188,2021-12-31
77,21,81,109,147,134,155,126,119,143,91,95,52,35,24,19.0,5.0,12.0,7.0,,2021-08-03,화요일,1452,하차,영등포시장,2525,18748,2021-12-31
53,18,68,110,128,126,129,120,114,131,99,77,66,29,18,18.0,13.0,8.0,2.0,,2021-08-04,수요일,1327,하차,영등포시장,2525,19308,2021-12-31
79,24,73,130,125,131,152,126,100,102,108,94,49,58,27,13.0,10.0,9.0,4.0,,2021-08-05,목요일,1414,하차,영등포시장,2525,19868,2021-12-31
60,19,75,132,147,146,148,118,123,128,73,78,65,36,34,10.0,14.0,6.0,1.0,,2021-08-06,금요일,1413,하차,영등포시장,2525,20428,2021-12-31
56,23,42,67,76,98,114,103,87,75,73,62,47,28,15,11.0,7.0,4.0,0.0,,2021-08-07,토요일,988,하차,영등포시장,2525,20988,2021-12-31
24,6,12,23,32,46,57,54,58,50,50,44,29,22,12,12.0,8.0,3.0,2.0,,2021-08-08,일요일,544,하차,영등포시장,2525,21548,2021-12-31
78,18,76,125,158,162,152,116,111,144,107,97,53,34,34,14.0,8.0,6.0,2.0,,2021-08-09,월요일,1495,하차,영등포시장,2525,22108,2021-12-31
66,19,72,137,152,147,147,128,123,151,104,108,67,56,19,12.0,14.0,6.0,2.0,,2021-08-10,화요일,1530,하차,영등포시장,2525,22668,2021-12-31
75,26,65,123,127,166,118,131,120,125,96,89,52,40,28,14.0,13.0,6.0,3.0,,2021-08-11,수요일,1417,하차,영등포시장,2525,23228,2021-12-31
58,16,78,129,137,146,141,132,122,133,102,100,62,26,22,13.0,9.0,3.0,0.0,,2021-08-12,목요일,1429,하차,영등포시장,2525,23788,2021-12-31
70,25,66,122,137,146,149,143,117,144,118,96,58,43,18,21.0,14.0,3.0,0.0,,2021-08-13,금요일,1490,하차,영등포시장,2525,24348,2021-12-31
