06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,수송일자,요일,일일합계,승하차구분,역명,역번호,연번,날짜
13,4,21,12,15,19,34,32,33,24,39,56,59,36,21,11.0,6.0,4.0,2.0,,2021-07-01,목요일,441,하차,용답,244,108,2021-12-31
11,7,21,12,17,29,34,41,45,19,42,53,43,52,25,12.0,9.0,8.0,5.0,,2021-07-02,금요일,485,하차,용답,244,668,2021-12-31
12,2,13,6,17,32,26,34,35,32,25,40,28,18,13,9.0,7.0,2.0,1.0,,2021-07-03,토요일,352,하차,용답,244,1228,2021-12-31
7,4,10,10,8,11,13,8,19,28,15,27,15,18,12,4.0,7.0,2.0,2.0,,2021-07-04,일요일,220,하차,용답,244,1788,2021-12-31
17,5,16,19,23,27,44,40,32,39,47,59,50,35,25,4.0,9.0,6.0,0.0,,2021-07-05,월요일,497,하차,용답,244,2348,2021-12-31
12,5,15,11,15,18,34,32,30,36,47,42,48,50,23,12.0,11.0,5.0,3.0,,2021-07-06,화요일,449,하차,용답,244,2908,2021-12-31
19,5,21,12,14,33,32,31,30,30,38,57,51,35,23,13.0,10.0,4.0,1.0,,2021-07-07,수요일,459,하차,용답,244,3468,2021-12-31
11,4,13,17,14,24,41,35,22,25,53,46,42,43,17,11.0,15.0,3.0,2.0,,2021-07-08,목요일,438,하차,용답,244,4028,2021-12-31
19,3,19,15,19,30,33,30,38,34,40,49,55,38,21,12.0,11.0,5.0,1.0,,2021-07-09,금요일,472,하차,용답,244,4588,2021-12-31
9,4,12,9,21,25,30,24,32,27,23,34,32,24,21,7.0,12.0,5.0,2.0,,2021-07-10,토요일,353,하차,용답,244,5148,2021-12-31
13,3,10,11,9,16,17,19,18,27,25,20,23,16,10,5.0,9.0,2.0,2.0,,2021-07-11,일요일,255,하차,용답,244,5708,2021-12-31
13,3,12,17,19,19,40,16,21,30,42,48,53,40,15,7.0,11.0,2.0,0.0,,2021-07-12,월요일,408,하차,용답,244,6268,2021-12-31
17,3,16,17,16,21,25,28,31,32,36,52,39,40,20,6.0,12.0,2.0,3.0,,2021-07-13,화요일,416,하차,용답,244,6828,2021-12-31
14,3,16,15,16,28,22,27,18,32,43,47,40,37,21,2.0,8.0,4.0,0.0,,2021-07-14,수요일,393,하차,용답,244,7388,2021-12-31
20,3,15,17,10,25,29,25,20,21,30,46,46,26,15,3.0,13.0,2.0,1.0,,2021-07-15,목요일,367,하차,용답,244,7948,2021-12-31
13,3,20,19,16,36,32,23,24,33,30,45,48,42,20,5.0,10.0,5.0,2.0,,2021-07-16,금요일,426,하차,용답,244,8508,2021-12-31
15,3,12,11,13,13,24,25,24,34,22,31,33,27,13,9.0,5.0,1.0,1.0,,2021-07-17,토요일,316,하차,용답,244,9068,2021-12-31
4,3,7,6,7,11,10,11,22,24,20,21,24,23,11,8.0,8.0,2.0,0.0,,2021-07-18,일요일,222,하차,용답,244,9628,2021-12-31
23,4,17,13,16,29,33,35,26,22,40,40,48,36,10,11.0,9.0,3.0,2.0,,2021-07-19,월요일,417,하차,용답,244,10188,2021-12-31
17,4,16,15,19,21,37,20,27,25,36,48,51,26,11,9.0,12.0,4.0,1.0,,2021-07-20,화요일,399,하차,용답,244,10748,2021-12-31
21,4,19,22,21,23,29,30,21,25,39,36,46,27,16,11.0,12.0,3.0,1.0,,2021-07-21,수요일,406,하차,용답,244,11308,2021-12-31
15,5,17,12,15,26,33,19,15,29,36,38,44,36,21,7.0,9.0,2.0,1.0,,2021-07-22,목요일,380,하차,용답,244,11868,2021-12-31
21,3,17,15,24,29,39,28,22,27,38,45,39,37,14,6.0,12.0,6.0,3.0,,2021-07-23,금요일,425,하차,용답,244,12428,2021-12-31
13,5,18,15,17,20,17,28,26,21,16,18,26,23,20,9.0,11.0,3.0,3.0,,2021-07-24,토요일,309,하차,용답,244,12988,2021-12-31
15,3,10,5,10,10,20,11,18,15,14,24,23,19,9,7.0,14.0,1.0,1.0,,2021-07-25,일요일,229,하차,용답,244,13548,2021-12-31
16,5,14,20,20,21,28,30,27,25,32,45,44,34,17,10.0,10.0,4.0,0.0,,2021-07-26,월요일,402,하차,용답,244,14108,2021-12-31
18,2,24,22,21,26,21,25,24,16,37,40,38,44,20,3.0,12.0,4.0,3.0,,2021-07-27,화요일,400,하차,용답,244,14668,2021-12-31
12,5,19,17,15,27,27,28,25,38,34,45,46,36,19,14.0,10.0,6.0,3.0,,2021-07-28,수요일,426,하차,용답,244,15228,2021-12-31
22,2,25,20,17,30,24,19,28,20,39,41,43,32,28,9.0,9.0,3.0,1.0,,2021-07-29,목요일,412,하차,용답,244,15788,2021-12-31
15,3,17,21,15,26,27,30,26,22,38,48,40,33,31,7.0,15.0,5.0,1.0,,2021-07-30,금요일,420,하차,용답,244,16348,2021-12-31
11,5,14,11,14,19,26,24,24,27,34,22,23,25,13,15.0,8.0,3.0,5.0,,2021-07-31,토요일,323,하차,용답,244,16908,2021-12-31
7,3,14,2,8,15,11,19,24,25,17,18,26,18,6,5.0,4.0,1.0,1.0,,2021-08-01,일요일,224,하차,용답,244,17468,2021-12-31
14,7,15,20,20,33,33,31,31,39,48,44,35,28,19,8.0,14.0,2.0,0.0,,2021-08-02,월요일,441,하차,용답,244,18028,2021-12-31
13,3,12,22,13,26,37,31,36,26,33,42,35,27,11,13.0,9.0,0.0,2.0,,2021-08-03,화요일,391,하차,용답,244,18588,2021-12-31
19,2,18,21,18,33,29,25,41,23,41,38,39,27,19,3.0,8.0,4.0,1.0,,2021-08-04,수요일,409,하차,용답,244,19148,2021-12-31
11,5,19,25,14,28,24,38,24,22,35,40,33,40,17,7.0,6.0,8.0,0.0,,2021-08-05,목요일,396,하차,용답,244,19708,2021-12-31
19,3,20,16,14,26,32,32,26,24,40,35,46,27,25,15.0,8.0,6.0,2.0,,2021-08-06,금요일,416,하차,용답,244,20268,2021-12-31
12,3,12,11,11,12,36,24,27,20,24,31,33,26,15,9.0,12.0,4.0,3.0,,2021-08-07,토요일,325,하차,용답,244,20828,2021-12-31
16,1,11,8,6,13,15,14,18,19,27,28,14,13,10,8.0,8.0,2.0,1.0,,2021-08-08,일요일,232,하차,용답,244,21388,2021-12-31
