06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,수송일자,요일,일일합계,승하차구분,역명,역번호,연번,날짜
17,3,19,39,53,60,67,44,63,69,78,46,44,33,21,11.0,5.0,5.0,2.0,,2021-07-01,목요일,679,하차,용두(동대문구청),250,120,2021-12-31
18,4,18,30,66,71,79,58,86,72,75,47,64,29,18,13.0,10.0,4.0,4.0,,2021-07-02,금요일,766,하차,용두(동대문구청),250,680,2021-12-31
13,6,18,30,48,53,64,59,41,55,42,17,19,17,12,9.0,7.0,4.0,1.0,,2021-07-03,토요일,515,하차,용두(동대문구청),250,1240,2021-12-31
6,1,5,5,16,17,27,31,33,17,26,26,14,8,12,3.0,3.0,3.0,2.0,,2021-07-04,일요일,255,하차,용두(동대문구청),250,1800,2021-12-31
10,3,20,33,48,58,77,61,68,72,103,59,41,36,24,10.0,2.0,9.0,1.0,,2021-07-05,월요일,735,하차,용두(동대문구청),250,2360,2021-12-31
10,3,21,31,54,71,68,53,55,65,71,58,43,32,23,13.0,11.0,7.0,1.0,,2021-07-06,화요일,690,하차,용두(동대문구청),250,2920,2021-12-31
14,5,18,26,44,81,50,46,57,69,72,51,49,28,17,8.0,14.0,6.0,3.0,,2021-07-07,수요일,658,하차,용두(동대문구청),250,3480,2021-12-31
16,3,26,35,45,56,51,49,49,63,51,58,42,36,25,13.0,4.0,5.0,5.0,,2021-07-08,목요일,632,하차,용두(동대문구청),250,4040,2021-12-31
10,3,22,32,62,62,66,67,62,53,67,54,45,30,23,12.0,8.0,8.0,5.0,,2021-07-09,금요일,691,하차,용두(동대문구청),250,4600,2021-12-31
9,4,21,30,50,51,61,43,51,50,42,45,34,28,14,9.0,7.0,2.0,1.0,,2021-07-10,토요일,552,하차,용두(동대문구청),250,5160,2021-12-31
8,2,10,16,21,22,28,25,29,24,27,23,17,18,14,9.0,3.0,,2.0,,2021-07-11,일요일,298,하차,용두(동대문구청),250,5720,2021-12-31
8,3,19,28,41,57,55,31,42,52,63,59,43,39,21,7.0,5.0,7.0,4.0,,2021-07-12,월요일,584,하차,용두(동대문구청),250,6280,2021-12-31
11,4,20,32,46,62,57,40,44,41,52,39,36,34,24,6.0,9.0,5.0,0.0,,2021-07-13,화요일,562,하차,용두(동대문구청),250,6840,2021-12-31
14,4,13,29,46,39,54,21,37,46,53,48,37,31,14,19.0,9.0,6.0,4.0,,2021-07-14,수요일,524,하차,용두(동대문구청),250,7400,2021-12-31
10,6,25,30,46,49,50,46,51,53,65,44,36,28,22,5.0,1.0,3.0,7.0,,2021-07-15,목요일,577,하차,용두(동대문구청),250,7960,2021-12-31
12,3,27,29,58,53,43,41,42,44,73,58,38,36,24,8.0,10.0,6.0,2.0,,2021-07-16,금요일,607,하차,용두(동대문구청),250,8520,2021-12-31
16,3,19,20,40,46,35,36,34,37,46,36,25,27,23,9.0,4.0,2.0,2.0,,2021-07-17,토요일,460,하차,용두(동대문구청),250,9080,2021-12-31
8,1,12,17,19,27,27,23,23,15,25,28,21,10,14,6.0,10.0,1.0,2.0,,2021-07-18,일요일,289,하차,용두(동대문구청),250,9640,2021-12-31
10,5,17,31,48,56,63,39,47,55,45,56,39,30,13,11.0,8.0,8.0,1.0,,2021-07-19,월요일,582,하차,용두(동대문구청),250,10200,2021-12-31
10,6,25,26,46,69,42,37,56,65,66,54,41,41,17,18.0,8.0,2.0,2.0,,2021-07-20,화요일,631,하차,용두(동대문구청),250,10760,2021-12-31
18,10,22,27,40,36,38,43,48,37,51,43,31,35,9,12.0,7.0,5.0,2.0,,2021-07-21,수요일,514,하차,용두(동대문구청),250,11320,2021-12-31
13,7,18,34,40,52,41,31,35,44,58,51,32,31,26,13.0,6.0,6.0,2.0,,2021-07-22,목요일,540,하차,용두(동대문구청),250,11880,2021-12-31
14,7,18,36,41,63,40,34,41,41,58,46,35,35,21,16.0,5.0,6.0,3.0,,2021-07-23,금요일,560,하차,용두(동대문구청),250,12440,2021-12-31
18,5,30,45,40,44,38,32,34,23,37,29,34,30,23,12.0,5.0,2.0,3.0,,2021-07-24,토요일,484,하차,용두(동대문구청),250,13000,2021-12-31
10,2,11,17,16,17,26,20,14,17,20,15,27,18,9,6.0,7.0,1.0,1.0,,2021-07-25,일요일,254,하차,용두(동대문구청),250,13560,2021-12-31
15,7,24,29,46,44,51,39,32,46,48,51,38,43,25,7.0,6.0,5.0,1.0,,2021-07-26,월요일,557,하차,용두(동대문구청),250,14120,2021-12-31
20,5,27,33,51,51,64,25,43,48,45,62,37,33,25,7.0,6.0,7.0,1.0,,2021-07-27,화요일,590,하차,용두(동대문구청),250,14680,2021-12-31
16,4,25,30,49,56,46,27,35,33,57,56,37,34,19,14.0,8.0,4.0,2.0,,2021-07-28,수요일,552,하차,용두(동대문구청),250,15240,2021-12-31
15,7,18,24,53,52,52,46,54,50,48,54,35,36,19,10.0,6.0,4.0,0.0,,2021-07-29,목요일,583,하차,용두(동대문구청),250,15800,2021-12-31
12,6,24,27,55,57,62,28,44,49,58,54,37,30,28,15.0,10.0,9.0,0.0,,2021-07-30,금요일,605,하차,용두(동대문구청),250,16360,2021-12-31
11,5,24,23,37,44,51,34,35,36,38,51,19,19,19,12.0,6.0,1.0,0.0,,2021-07-31,토요일,465,하차,용두(동대문구청),250,16920,2021-12-31
9,2,8,4,21,14,21,12,31,22,29,20,18,14,9,9.0,4.0,3.0,0.0,,2021-08-01,일요일,250,하차,용두(동대문구청),250,17480,2021-12-31
14,6,19,28,51,56,53,47,58,61,57,51,40,25,11,7.0,9.0,4.0,3.0,,2021-08-02,월요일,600,하차,용두(동대문구청),250,18040,2021-12-31
11,5,24,35,41,56,45,28,39,50,53,46,32,21,19,12.0,10.0,1.0,2.0,,2021-08-03,화요일,530,하차,용두(동대문구청),250,18600,2021-12-31
9,6,18,29,54,64,38,44,47,47,56,50,31,33,14,9.0,6.0,5.0,2.0,,2021-08-04,수요일,562,하차,용두(동대문구청),250,19160,2021-12-31
13,8,31,36,50,55,46,33,38,45,60,41,44,25,25,10.0,14.0,1.0,3.0,,2021-08-05,목요일,578,하차,용두(동대문구청),250,19720,2021-12-31
13,7,16,38,44,55,46,46,37,58,62,56,38,27,19,5.0,6.0,3.0,3.0,,2021-08-06,금요일,579,하차,용두(동대문구청),250,20280,2021-12-31
11,4,18,26,32,49,37,32,36,34,36,26,32,21,13,15.0,5.0,2.0,3.0,,2021-08-07,토요일,432,하차,용두(동대문구청),250,20840,2021-12-31
12,1,7,13,20,21,12,27,19,38,38,24,10,12,7,5.0,2.0,3.0,2.0,,2021-08-08,일요일,273,하차,용두(동대문구청),250,21400,2021-12-31
