06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,수송일자,요일,일일합계,승하차구분,역명,역번호,연번,날짜
69,10,79,131,124,184,206,179,167,216,239,227,232,200,107,78.0,56.0,42.0,17.0,,2021-07-01,목요일,2563,하차,우장산,2517,252,2021-12-31
66,18,79,119,138,170,215,185,195,212,228,224,213,188,128,81.0,59.0,42.0,15.0,,2021-07-02,금요일,2575,하차,우장산,2517,812,2021-12-31
52,14,52,67,99,129,154,159,149,149,152,159,159,85,69,29.0,46.0,24.0,11.0,,2021-07-03,토요일,1758,하차,우장산,2517,1372,2021-12-31
35,10,24,39,34,83,77,85,80,99,89,115,94,77,57,34.0,44.0,13.0,14.0,,2021-07-04,일요일,1103,하차,우장산,2517,1932,2021-12-31
68,11,86,114,150,185,210,206,221,219,248,280,246,177,115,72.0,47.0,31.0,15.0,,2021-07-05,월요일,2701,하차,우장산,2517,2492,2021-12-31
71,14,75,127,158,200,205,163,217,200,247,272,238,190,113,74.0,44.0,42.0,11.0,,2021-07-06,화요일,2661,하차,우장산,2517,3052,2021-12-31
67,11,86,121,138,180,180,174,206,199,247,246,214,192,109,81.0,41.0,38.0,5.0,,2021-07-07,수요일,2535,하차,우장산,2517,3612,2021-12-31
66,16,82,124,145,182,172,161,180,211,210,235,209,183,131,62.0,43.0,35.0,14.0,,2021-07-08,목요일,2461,하차,우장산,2517,4172,2021-12-31
69,16,80,119,140,172,206,180,204,193,243,240,199,183,103,66.0,39.0,43.0,20.0,,2021-07-09,금요일,2515,하차,우장산,2517,4732,2021-12-31
53,15,42,67,84,121,140,126,125,132,121,134,144,98,85,50.0,33.0,32.0,11.0,,2021-07-10,토요일,1613,하차,우장산,2517,5292,2021-12-31
32,11,27,42,34,86,73,78,84,86,87,86,82,79,61,38.0,30.0,21.0,8.0,,2021-07-11,일요일,1045,하차,우장산,2517,5852,2021-12-31
75,11,87,116,130,173,176,154,157,151,244,208,196,154,105,43.0,33.0,27.0,7.0,,2021-07-12,월요일,2247,하차,우장산,2517,6412,2021-12-31
71,11,75,113,112,176,182,190,127,188,221,200,202,160,108,60.0,49.0,22.0,4.0,,2021-07-13,화요일,2271,하차,우장산,2517,6972,2021-12-31
74,13,99,113,135,175,161,158,140,158,179,221,193,156,128,57.0,40.0,26.0,10.0,,2021-07-14,수요일,2236,하차,우장산,2517,7532,2021-12-31
82,12,77,125,117,171,164,139,153,160,204,182,168,173,116,61.0,32.0,25.0,8.0,,2021-07-15,목요일,2169,하차,우장산,2517,8092,2021-12-31
64,14,74,123,144,165,172,149,154,146,201,201,205,193,99,73.0,36.0,22.0,14.0,,2021-07-16,금요일,2249,하차,우장산,2517,8652,2021-12-31
56,8,47,56,89,108,144,119,95,106,110,146,105,103,66,46.0,30.0,29.0,10.0,,2021-07-17,토요일,1473,하차,우장산,2517,9212,2021-12-31
38,10,20,30,32,52,55,54,60,58,71,94,88,85,50,42.0,33.0,19.0,6.0,,2021-07-18,일요일,897,하차,우장산,2517,9772,2021-12-31
75,9,86,102,136,153,185,195,189,168,218,208,171,186,104,61.0,37.0,24.0,8.0,,2021-07-19,월요일,2315,하차,우장산,2517,10332,2021-12-31
66,13,80,121,143,181,189,153,172,186,219,228,191,154,101,68.0,42.0,32.0,6.0,,2021-07-20,화요일,2345,하차,우장산,2517,10892,2021-12-31
75,16,79,121,126,151,173,147,144,170,182,222,212,176,121,70.0,41.0,25.0,9.0,,2021-07-21,수요일,2260,하차,우장산,2517,11452,2021-12-31
